[00:00:00.189 --> 00:00:00.689]  Iodine.
[00:00:00.750 --> 00:00:01.510]  You've talked about it.
[00:00:01.750 --> 00:00:02.271]  Iodide.
[00:00:02.311 --> 00:00:02.911]  You need both.
[00:00:03.191 --> 00:00:09.176]  That's what supports the thyroid to make vitamin A. Now, all of this that we're saying is not some BS.
[00:00:09.616 --> 00:00:20.704]  And what the real BS is bullshitting people that the immune system is weak, that the only way out of it is vaccines, vaccines, vaccines, and chemicals, chemicals, chemicals.
[00:00:21.244 --> 00:00:35.752]  So, that's why they have a problem right now, Alex, because you're looking at a guy who's got four degrees from MIT's PhD in Biological Engineering, is a Fulbright Scholar, and I'm the guy who was invited by the National Science Foundation just four months ago to give the lecture on the modern immune system.
[00:00:36.232 --> 00:00:45.799]  So this is why we need to go boldly and expose Fauci, Gates, Zuckerberg, the Clintons, because what we're witnessing right here is a destruction of science.
[00:00:45.979 --> 00:00:51.123]  From the front lines of the information war, it's Alex Jones.
[00:00:54.766 --> 00:01:03.352]  Well, yesterday... I... went pretty wild on air.
[00:01:05.495 --> 00:01:09.378]  Because you're supposed to get upset and get out of your comfort zone when things like this are going on.
[00:01:11.099 --> 00:01:16.683]  Wrath of God, End of the World, Mark of the Beast type stuff, all of it actually now unfolding for real.
[00:01:17.764 --> 00:01:33.335]  And run by psychotic pedophile occultists that established a medical world government society headed up by David Rockefeller, Bill Gates,
[00:01:36.818 --> 00:01:47.041]  Oprah Winfrey, Warren Buffett, Ted Turner, and Hans Jod is the manager by Jeffrey Epstein.
[00:01:50.102 --> 00:02:05.286]  And because we've been at the tip of the spear, as loyal humans, loyal to life, liberty, and freedom, I have Bill Gates and a consortium of others who signed on with
[00:02:06.311 --> 00:02:21.419]  Bloomberg and the DNC to run these giant operations against Infowars to shut us down and to order federal bureaucrats to somehow put me in jail or they themselves will lose their jobs.
[00:02:23.521 --> 00:02:24.881]  That doesn't make me want to back down.
[00:02:24.901 --> 00:02:28.964]  That makes me want to fight even harder, but it really makes me sad that our country is this corrupt.
[00:02:31.685 --> 00:02:33.186]  But there's something very heartening.
[00:02:33.226 --> 00:02:34.847]  In fact, you guys pull it out of your stack.
[00:02:36.463 --> 00:03:01.224]  On Bill Gates' Twitter, on his Instagram, 99% of people say, we know you're a monster, and we hate your stinking guts, and we know that you run all the big institutes, and the big foundations, and that you are a anti-human exterminist, and that everybody is just everywhere digging into him, and how he funds Fauci, and Bricks, and her daughter, and Fauci's family, and just they're all work for him.
[00:03:01.925 --> 00:03:04.427]  And the world is saying, who is this creepy little dude?
[00:03:06.243 --> 00:03:12.865]  It's been mainly behind the scenes except when he talks about killing old people and sterilizing people and how much he loves getting rid of black people.
[00:03:14.345 --> 00:03:19.086]  But now he's here telling you to stay in your house and that your Bill of Rights and Constitution is all gone.
[00:03:19.186 --> 00:03:22.507]  So they may get me.
[00:03:24.587 --> 00:03:25.848]  And I told you that last week.
[00:03:26.068 --> 00:03:27.268]  I mean, I was told.
[00:03:28.556 --> 00:03:33.682]  That if I don't stop, that they will put me in prison.
[00:03:34.062 --> 00:03:35.964]  They don't want to kill me because that'd turn me into a martyr.
[00:03:37.186 --> 00:03:44.574]  But they said, you're going to shut up right now and you're going to behave like a good boy, or we're going to have you indicted.
[00:03:44.774 --> 00:03:46.276]  And you can now see that all over the news.
[00:03:46.356 --> 00:03:48.458]  Well, guess what?
[00:03:51.661 --> 00:03:59.888]  I aborted a lot of my children when I was younger, and I repented of it, and I swore before God that I was going to fight for life on this planet if I could be forgiven.
[00:04:00.628 --> 00:04:02.450]  And so, I don't care what you do to me.
[00:04:02.750 --> 00:04:05.572]  In fact, I'm going to fight you ten times harder now.
[00:04:09.575 --> 00:04:11.677]  By the way, you know what COVID-19 is.
[00:04:11.957 --> 00:04:12.557]  He named it.
[00:04:13.318 --> 00:04:15.380]  They had a tabletop exercise five months ago.
[00:04:16.020 --> 00:04:17.882]  It is Certificate of Vaccination ID.
[00:04:19.904 --> 00:04:31.167]  And Fauci has now announced that they are going to have a medical ID by next year if you're going to leave your home.
[00:04:31.287 --> 00:04:33.288]  That is total martial law.
[00:04:33.628 --> 00:04:34.748]  No more medical privacy.
[00:04:34.788 --> 00:04:35.989]  Just absolute takeover.
[00:04:37.149 --> 00:04:43.431]  By the way, when I tell you that they had a consortium of billionaires put money into an account, they pay the media when they attack me.
[00:04:43.451 --> 00:04:44.111]  They get paid.
[00:04:45.481 --> 00:04:47.642]  Gates plays all these shows, but pays to be on them.
[00:04:47.802 --> 00:04:48.703]  That's on record, look it up.
[00:04:49.083 --> 00:04:54.045]  He has entertainment shows he funds where he's the hero as well, like The Good Doctor and Pandemic.
[00:04:57.747 --> 00:05:00.889]  I had to sign non-disclosures about this, okay?
[00:05:01.609 --> 00:05:06.352]  In D.C., and you have to understand, we've been in meetings in D.C.
[00:05:08.253 --> 00:05:10.354]  with, let's just say, some of the richest people in the world,
[00:05:11.690 --> 00:05:14.371]  One of which did not opt in to this consortium.
[00:05:14.391 --> 00:05:15.371]  That's how I know about it, okay?
[00:05:15.851 --> 00:05:16.952]  And I had to sign that on disclosure.
