[00:00:00.289 --> 00:00:05.110]  From the front lines of the information war, it's Alex Jones.
[00:00:09.551 --> 00:00:20.594]  Ladies and gentlemen, I have a feeling today's Alex Jones Show is going to be pivotal information dispersed today.
[00:00:22.514 --> 00:00:27.095]  And yeah, it'll be important for you to hear this and share this, but most of it you already know.
[00:00:29.625 --> 00:00:38.847]  It's going to be more pivotal for the White House to hear this, for President Trump to hear this, and understand it's time to make a move.
[00:00:39.647 --> 00:00:44.048]  The traitors among us have been fully exposed, ladies and gentlemen.
[00:00:44.108 --> 00:00:51.190]  Now look, I'm going to tell you what's going on here at InfoWars today and what you can expect coming up.
[00:00:52.290 --> 00:00:58.872]  Alex Jones meant to take a short trip, get out of the hurricane for a minute,
[00:01:00.069 --> 00:01:01.770]  Recharge the batteries, we all need that.
[00:01:02.290 --> 00:01:03.971]  Quite frankly, I wish Alex could do it.
[00:01:04.752 --> 00:01:06.633]  But, wild horses couldn't drag him away.
[00:01:06.993 --> 00:01:08.894]  They're actually dragging him back into studio.
[00:01:10.275 --> 00:01:14.877]  So, Alex Jones is on his way back into studio and he's got breaking news.
[00:01:16.378 --> 00:01:18.620]  Now, I don't even know what his breaking news is.
[00:01:19.000 --> 00:01:26.244]  I've been like a busy beaver last night and tonight with a lot of the new information that was coming in yesterday.
[00:01:28.331 --> 00:01:39.179]  But then, this morning, tying it into what we already know, and then it was like... You know how, when you're driving down a highway, like 6, 7 in the morning, and the fog is there?
[00:01:40.260 --> 00:01:51.748]  But the longer you drive, and maybe you get to higher ground, and then the fog clears, and it's a beautiful, sunny day, and you can see the dew on the blades of grass, uh, grass, and the crisp...
[00:01:53.439 --> 00:01:55.300]  Air with the sun beaming down.
[00:01:56.361 --> 00:02:14.214]  It was so clear to me and what I discovered with mainstream media, American academia and the Democrat Party, 110% never been clearer, never been more exposed.
[00:02:15.215 --> 00:02:17.336]  Chinese communist agents.
[00:02:18.388 --> 00:02:24.031]  At worst, colluding with the Chinese Communist Party at best.
[00:02:24.451 --> 00:02:29.954]  110% connections have been made, it's all out there, deep state, fully exposed, ties to China.
[00:02:31.675 --> 00:02:46.302]  And then I'm getting more intel coming in today that I'm trying to back check, that not only are we sitting here watching the full rollout of Bill Gates, 7.5 billion vaccines for the whole world,
[00:02:47.461 --> 00:02:51.624]  Everything goes on to his Zoom platform and how that all ties into China.
[00:02:53.566 --> 00:02:59.731]  But also how Fauci was using Bill and Melinda Gates models
[00:03:01.454 --> 00:03:06.615]  And Bill and Melinda Gates propaganda to roll out his entire response to this.
[00:03:07.155 --> 00:03:08.876]  And again, I'm checking on this.
[00:03:08.956 --> 00:03:09.936]  This would be breaking now.
[00:03:11.156 --> 00:03:15.758]  The White House is now pulling away from those models and using real-time data.
[00:03:16.378 --> 00:03:21.499]  But that's probably going to be a story for tomorrow, quite frankly, the way this news is developing.
[00:03:22.499 --> 00:03:25.320]  But folks, they're not even hiding it anymore.
[00:03:26.977 --> 00:03:33.842]  Direct Democrat connections to the Chinese Communist Party, fully exposed, and they're still trying to go with it.
[00:03:35.784 --> 00:03:51.176]  You have media connections to the Chinese Communist Party, fully exposed after yesterday's lambasting, scorch fest, President Trump against the anti-American mainstream news, and then
[00:03:52.970 --> 00:04:05.324]  The ties from the Obama administration selling these bioweapon research viruses to the Chinese government.
[00:04:05.905 --> 00:04:07.847]  And I got it all right here, folks.
[00:04:08.328 --> 00:04:09.589]  I got it all tied together.
[00:04:09.609 --> 00:04:11.732]  It cannot be denied.
[00:04:11.872 --> 00:04:13.554]  It's time for the president to take action.
[00:04:15.043 --> 00:04:31.509]  I'm gonna do my due diligence and hopefully I can even get to that with whatever breaking news Alex Jones has coming up as well as he has canceled yet another trip to come in here and deliver the breaking news that he has for you today.
[00:04:31.549 --> 00:04:32.009]  But folks,
[00:04:33.837 --> 00:04:51.162]  The average American that wasn't involved in politics or red-pilled or knew about any of this stuff is now looking squarely at Bill Gates, looking squarely at the CDC and the WHO and the Chinese Communists, and their middle finger is starting to get exposed.
[00:04:54.935 --> 00:04:59.860]  Alex Jones here on this Tuesday, April 14th, worldwide broadcast.
[00:04:59.880 --> 00:05:01.281]  Owen Schroeder is about to take over.
[00:05:01.301 --> 00:05:03.283]  I'll be back in studio live next hour.
[00:05:04.063 --> 00:05:10.929]  But as predicted, the globalist takedown of the West and America is proceeding according to their plan.
[00:05:11.770 --> 00:05:15.894]  As we've been telling you since before, the artificial shutdown, when Trump
[00:05:17.304 --> 00:05:18.807]  Tries to reopen the economy.
[00:05:19.127 --> 00:05:27.381]  The leftist controlled states of California and New York and their satellite neighbors, their axis of loose state corruption.
[00:05:28.612 --> 00:05:33.433]  We'll then hold the states hostage and say we're not going to reopen.
[00:05:33.593 --> 00:05:41.394]  Major globalist corporations will also refuse to reopen, along with blue cities in red states.
[00:05:42.315 --> 00:05:45.895]  This is being called an alliance of the West Coast and the East Coast.
[00:05:46.615 --> 00:05:53.737]  This is a globalist-financed, globalist-run civil war inside the United States
[00:05:54.867 --> 00:05:56.271]  America was almost done.
[00:05:56.291 --> 00:05:57.273]  We've been sold out to China.
[00:05:57.293 --> 00:05:58.376]  We were industrialized.
[00:05:58.396 --> 00:05:59.519]  We're being set up for a race war.
[00:06:00.711 --> 00:06:05.894]  The American people rallied, we got Trump in, he turned the economy back on, showed people it was artificial suppression.
