[00:00:00.289 --> 00:00:05.811]  From the front lines of the Information War, it's Alex Jones.
[00:00:09.813 --> 00:00:27.681]  We can look back at the beginning of February 2020 as a true rollercoaster in American history that saw populism victorious over anti-American forces that were crushed under the weight of Providence, real popular opinion, and the hubris of their own statements.
[00:00:28.240 --> 00:00:31.061]  We must remove this president to protect our country.
[00:00:31.481 --> 00:00:37.542]  For the rest of his life, he's also gonna, people are also gonna remember he was impeached by the House of Representatives.
[00:00:37.662 --> 00:00:45.104]  He was, and as Nancy Pelosi kept saying, because she understood, once the House was done, what the outcome was gonna be in the Senate forever, forever, forever.
[00:00:45.284 --> 00:00:52.906]  The impeachment only revealed the severity of the true threat that Democrats have become to the foundation of our republic.
[00:00:53.325 --> 00:01:00.792]  The Constitution requires that the House conduct the investigation, including calling witnesses, taking depositions, collecting evidence.
[00:01:01.292 --> 00:01:06.116]  And the Senate is charged to rule based on the evidence the House provides.
[00:01:07.477 --> 00:01:11.681]  This was designed this way for a very specific reason, a very practical reason.
[00:01:12.462 --> 00:01:18.988]  In the House, committees can investigate these charges while the rest of the House continues to do their legislative work.
[00:01:19.835 --> 00:01:30.944]  Unfortunately, in the Senate, when articles of impeachment are brought and sent to the Senate, the Senate, by constitutional law, must stop what it's doing, must open an impeachment hearing.
[00:01:31.484 --> 00:01:37.729]  While an informal, a formal impeachment hearing, the Senate cannot do anything else by law.
[00:01:38.950 --> 00:01:41.832]  It goes into legislative shutdown by law.
[00:01:42.913 --> 00:01:49.238]  In this case, if we were to call additional witnesses, then we would be setting a dangerous precedent for every future case.
[00:01:49.898 --> 00:01:54.962]  Democrats like Senator Coons of Delaware continued to spew statements like this.
[00:01:55.662 --> 00:02:02.868]  The legendary Senator from West Virginia, Robert Byrd, rose and said, I think my country sinks beneath the yoke.
[00:02:03.728 --> 00:02:08.152]  It weeps, it bleeds, and each new day a gash is added to her wounds.
[00:02:08.851 --> 00:02:30.619]  Don't the Democrats know that the rest of us are completely aware that they began as a pro-slavery party, created the Ku Klux Klan, saw to it that Margaret Sanger's extermination plan was carried out, and even in February of 2020 continued to immortalize bigots within their own party, as Coons did with exalted Cyclops, Robert Byrd.
[00:02:30.839 --> 00:02:37.541]  With regards to Hunter Biden, taking excessive advantage of his father's name is unsavory, but also not a crime.
[00:02:39.215 --> 00:02:55.667]  Given that in neither the case of the father nor the son was any evidence presented by the president's counsel that a crime had been committed, the president's insistence that they be investigated by the Ukrainians is hard to explain other than as a political pursuit.
[00:02:56.548 --> 00:03:18.332]  While Mitt Romney, a turncoat who claimed his religion guided his decision to convict the president, apparently doesn't realize we all know it's because Mitt Romney's top advisor Joseph Kofor Black sat on the same corrupt board at the Ukrainian energy company Burisma at the same time Hunter Biden was raking in millions for political influence.
[00:03:18.532 --> 00:03:24.273]  I don't like people who use their faith as justification
[00:03:25.836 --> 00:03:28.062]  For doing what they know is wrong.
[00:03:29.926 --> 00:03:33.174]  Nor do I like people who say, I pray for you.
[00:03:34.994 --> 00:03:37.535]  When they know that that's not so.
[00:03:38.375 --> 00:03:41.117]  But of course, the madness was hardly over.
[00:03:41.397 --> 00:03:53.422]  President Trump delivered a historic State of the Union, while the Democrats, like spoiled children, refused to stand for anything that didn't adhere to their hatred of true American values.
[00:03:53.682 --> 00:04:02.846]  Members of Congress, we must never forget that the only victories that matter in Washington are victories that deliver for the American people.
[00:04:07.827 --> 00:04:13.478]  We must always remember that our job is to put America first.
[00:04:23.137 --> 00:04:25.838]  And now the Democrats are falling apart.
[00:04:27.178 --> 00:04:29.258]  This is not going particularly well so far.
[00:04:29.799 --> 00:04:32.999]  And why is Tom Perez still the chairman of the Democratic National Committee?
[00:04:33.059 --> 00:04:33.820]  I have no idea.
[00:04:34.800 --> 00:04:40.801]  This party needs to wake up and make sure that we talk about things that are relevant to people.
[00:04:41.121 --> 00:04:48.603]  We need to go back to 2018 where we had good, diverse, strong candidates that had real connections to the community and talked about real things.
[00:04:48.963 --> 00:04:50.944]  We don't need to become the British Labor Party.
[00:04:51.104 --> 00:04:51.584]  That's a bad thing.
[00:04:53.024 --> 00:05:02.407]  And as they face the backlash of the hell they brought upon the executive office and the American people, all anyone can say is that it's long overdue.
[00:05:02.787 --> 00:05:04.067]  John Bowne reporting.
[00:05:06.728 --> 00:05:07.469]  We'll be right back.
[00:05:07.489 --> 00:05:08.029]  Stay with us.
[00:05:09.769 --> 00:05:15.311]  Thank you for joining us, my friends, on this Monday, February 10, 2020, live transmission.
[00:05:19.383 --> 00:05:31.352]  I'll be here live for the next four hours, Lord willing, and I intend to open the phones up, and I intend to take a lot of your phone calls, and I intend to have some very informative guests on with us as well.
[00:05:38.818 --> 00:05:41.780]  The coronavirus has broken containment.
[00:05:42.601 --> 00:05:43.522]  It's spread all over
[00:05:45.253 --> 00:05:52.435]  The modern populated world is even showing up on Swiss Alp ski resort mountaintops.
[00:05:54.175 --> 00:06:00.717]  And it's the response to it by governments that's got everyone so concerned.
[00:06:03.798 --> 00:06:07.278]  Then you look at the providence of it and it's clearly man-made that gets you more concerned.
[00:06:08.399 --> 00:06:12.180]  The official number is over 900 dead confirmed cases exceeding 40,000.
[00:06:15.998 --> 00:06:18.220]  But we know they're covering up the real numbers of dead.
[00:06:19.000 --> 00:06:21.242]  China to quarantine city of Shenzhen.
[00:06:23.244 --> 00:06:27.787]  And of course, the big news that has now been announced.
[00:06:29.969 --> 00:06:38.856]  China is now locking down their capital city of Beijing.
[00:06:40.899 --> 00:06:44.061]  We're going to be looking at all of that today.
[00:06:45.042 --> 00:06:46.443]  This is a big deal.
[00:06:48.824 --> 00:06:59.072]  Immediately after Beijing quarantine, now Shanghai lockdown in response to shocking spread of the Wuhan coronavirus pandemic.
[00:07:03.274 --> 00:07:06.317]  So we're going to be laying it all out here today.
[00:07:07.421 --> 00:07:09.965]  Quarantine centers set up at U.S.
[00:07:10.807 --> 00:07:13.451]  military bases, DOD reports.
[00:07:15.254 --> 00:07:16.797]  Of course, we first laid all this out.
[00:07:17.418 --> 00:07:19.061]  This was going on a few weeks ago.
[00:07:19.081 --> 00:07:20.884]  The Pentagon had already set it up.
[00:07:22.093 --> 00:07:27.354]  That was exclusively here at InfoWars and now there it is in the Miami Herald yesterday.
[00:07:29.975 --> 00:07:31.035]  Meanwhile, the U.S.
[00:07:31.075 --> 00:07:35.336]  has charged four Chinese military members in Equifax breach.
[00:07:35.556 --> 00:07:44.879]  More and more Chinese spies are being charged in that ongoing struggle with Communist China.
[00:07:46.212 --> 00:07:58.275]  Mike Pompeo has come out in the speech of the Governor's Association, pointing out that bipartisanly, they are being targeted as well.
[00:07:59.676 --> 00:08:00.976]  We're going to be getting to that report.
[00:08:02.777 --> 00:08:08.238]  And we're going to talk about how serious could this virus really be, how big could it get?
[00:08:09.399 --> 00:08:10.779]  Because the response to it
[00:08:17.239 --> 00:08:23.302]  Is the largest, most sustained response we've ever seen to a viral outbreak.
[00:08:24.742 --> 00:08:27.744]  So is it all a global government hysteria drill?
[00:08:28.804 --> 00:08:30.865]  Or is it something far worse?
[00:08:32.846 --> 00:08:41.930]  That is just some of what we're going to be laying out in those areas today.
[00:08:44.426 --> 00:08:51.569]  Also, Attorney General Barr takes on human trafficking in the child welfare system.
[00:08:52.509 --> 00:08:54.590]  That's one of the biggest places that it goes on.
[00:08:54.610 --> 00:08:58.152]  I'm not saying everybody involved in child welfare is bad.
[00:08:58.192 --> 00:09:00.333]  I'm not saying every social worker is bad.
[00:09:00.353 --> 00:09:03.174]  In fact, most of them are pretty good.
[00:09:04.755 --> 00:09:10.337]  But statistically, a lot of child trafficking gets covered up
[00:09:12.179 --> 00:09:19.624]  By the groups and organizations involved in it, like DynCorp that's been caught kidnapping children for sex slavery.
[00:09:19.644 --> 00:09:29.451]  This has been a congressional hearings, reports confirmed, all over the world and caught running many CPS operations in the United States.
[00:09:32.573 --> 00:09:33.693]  And the Attorney General
[00:09:34.793 --> 00:09:36.254]  Has come out and spoken out about that.
[00:09:36.654 --> 00:09:45.997]  That is a big deal and a big plus for the Attorney General because they do not want that being discussed in the establishment.
[00:09:50.319 --> 00:09:52.920]  So this has happened over and over and over again.
[00:09:55.054 --> 00:09:58.855]  I also want to hit this when we come back in the second segment.
[00:09:59.515 --> 00:10:01.976]  It's the first story I want to burrow into in great detail.
[00:10:02.836 --> 00:10:06.277]  Charles Murray says we're living in post-America.
[00:10:06.297 --> 00:10:12.799]  He says move to a small town to survive the collapse.
[00:10:14.940 --> 00:10:15.360]  And yes,
[00:10:17.959 --> 00:10:44.680]  If we don't turn America around and route the leftist poison ideology that is designed to collapse society, then the producers, whether you be white, black, Hispanic, old, young, but people that want to live like normal humans and want to live in what America was, if you don't want to live in the globalist paradigm that's actually taking us backwards,
[00:10:46.237 --> 00:10:55.783]  We're going to have to move to geographic areas and then pass laws and have culture and systems that do not tolerate the left because they don't tolerate us.
[00:10:56.523 --> 00:10:59.205]  They come in and take over and then end fair elections.
[00:11:01.306 --> 00:11:06.990]  You can pull up all the videos of the illegal aliens lined up in New York and other places being given their driver's licenses and being told to vote.
[00:11:07.470 --> 00:11:10.352]  They're not the enemy, but they're being used as a political weapon.
[00:11:13.174 --> 00:11:14.415]  We either defeat the left
[00:11:15.569 --> 00:11:21.374]  And absolutely repudiate them like we did communism, because that's what it is under another name.
[00:11:21.394 --> 00:11:22.275]  Or we die of it.
[00:11:26.118 --> 00:11:33.184]  Because the left engages in election fraud and is bringing in a permanent underclass that they control.
[00:11:34.346 --> 00:11:38.747]  Who will then be used as a political weapon, just as the left's doing in Europe, the exact same thing.
[00:11:39.588 --> 00:11:50.171]  And you go to any university or turn on any newscast, it is the most anti-white, anti-Christian, anti-Western propaganda ever being put out, because that's the globalist model they believe will win!
[00:11:50.551 --> 00:11:59.494]  Big, ruthless, cold-blooded corporations that back communist China and its homogeneous activities and its enslavement and two million Muslims in death camps.
[00:11:59.974 --> 00:12:08.201]  But then in America, we can't even have a border or a wall or say we're not going to let Chinese fly in to the United States during this coronavirus outbreak.
[00:12:08.381 --> 00:12:13.225]  The UN says that's bad, but praises China mowing people down with machine guns.
[00:12:13.945 --> 00:12:16.948]  But because they're Asian, they cannot commit a crime.
[00:12:18.409 --> 00:12:28.377]  Only Caucasians are capable of any form of moral violations.
[00:12:29.770 --> 00:12:31.532]  And that's not a sarcastic statement.
[00:12:33.553 --> 00:12:37.236]  That's what the left has established and set up, and that's what they teach.
[00:12:39.679 --> 00:12:44.062]  And it's mainly white, globalist academics that are teaching it.
[00:12:44.162 --> 00:12:52.610]  But they are finding groups of non-whites who are now adopting the most racist
[00:12:54.801 --> 00:12:59.065]  Inversion of common sense and what people like Dr. Martin Luther King Jr.
