[00:00:15.262 --> 00:00:18.024]  InfoWars, tomorrow's news today.
[00:00:19.364 --> 00:00:19.704]  Welcome.
[00:00:19.744 --> 00:00:26.968]  Thank you so much for joining us on this Saturday, July 11th, Emergency Global Afternoon Transmission.
[00:00:27.369 --> 00:00:33.392]  We're sending this out on all the radio and TV affiliates and the feeds at Band.Video, InfoWars.com and NewsWars.com.
[00:00:33.412 --> 00:00:42.997]  So remember, please, viewers and listeners, you the folks that are tuned in and care about what's happening in this war to keep our Republic free against the globalist onslaught, you are the power.
[00:00:43.537 --> 00:00:44.518]  Everything is you.
[00:00:45.731 --> 00:00:47.112]  I've got this great crew that came in.
[00:00:47.912 --> 00:00:48.973]  We've got the great affiliates.
[00:00:49.013 --> 00:00:49.953]  We appreciate them.
[00:00:50.833 --> 00:01:01.559]  But without you taking the live feed on your Twitter, on your Facebook, on your YouTube, on your email, on your text message, on your word of mouth, telling folks about that local radio station, that local TV station.
[00:01:03.239 --> 00:01:08.222]  Without you doing that, we are absolutely defeated.
[00:01:08.482 --> 00:01:08.882]  All of us.
[00:01:08.982 --> 00:01:11.583]  So this is a group team effort.
[00:01:11.803 --> 00:01:14.084]  There are no spectators in this fight.
[00:01:14.965 --> 00:01:15.085]  Now,
[00:01:16.479 --> 00:01:28.230]  Coming up in this hour plus long transmission, we're scheduled to have Mankal Muller who spent the last long time friend of mine syndicated talk show host last week with Roger to give him support.
[00:01:28.250 --> 00:01:30.673]  A lot of exclusive videos, interviews with Roger.
[00:01:30.693 --> 00:01:31.313]  We're going to premiere.
[00:01:31.734 --> 00:01:35.678]  Mankal's already sent those to me, but we're going to get him on the Skype or the Zoom here in a few minutes.
[00:01:37.128 --> 00:01:45.873]  Then Roger's longtime personal lawyer, Tyler Nixon, who's not been a lawyer on the case, was able to speak about it because he's been both on the inside and the outside.
[00:01:46.213 --> 00:01:47.934]  He's scheduled to be joining us via Skype.
[00:01:48.974 --> 00:01:51.516]  That's coming up in this hour.
[00:01:52.676 --> 00:01:57.039]  And then after he leaves us, I've never had my phones or my email.
[00:01:58.211 --> 00:01:59.852]  Blown off the wall like this.
[00:01:59.912 --> 00:02:05.455]  I've had neighbors coming over to my house this morning saying, Wayfair, Wayfair, Wayfair, Wayfair, Wayfair.
[00:02:05.475 --> 00:02:14.000]  Uh, I got home last night after working until like six o'clock and just, there were all these text messages and I saw comments on InfoWars, Wayfair, Wayfair.
[00:02:15.741 --> 00:02:23.286]  Is it true that Wayfair, this online shopping system, was putting out ads for selling children's in armoires?
[00:02:25.418 --> 00:02:30.041]  Well, I happen to be an expert on the global pedophile networks and how they operate.
[00:02:30.681 --> 00:02:44.110]  And so, after we've talked to Mankal Muller, after we've talked to Tyler Nixon, I will give you the inside expert scoop on this here on this transmission.
[00:02:44.670 --> 00:02:53.196]  So, and it's really important the truth about this gets out there because I've seen this movie before.
[00:02:55.083 --> 00:02:57.124]  Right as Ghislaine Maxwell's being arrested.
[00:02:57.484 --> 00:02:59.864]  Right as the real pedophile networks are being taken down.
[00:03:01.605 --> 00:03:06.746]  You're seeing an outrageous story like this that looks really like they're guilty.
[00:03:08.926 --> 00:03:10.387]  The names of missing children.
[00:03:10.507 --> 00:03:11.467]  Oh, it's definitely that.
[00:03:12.067 --> 00:03:14.128]  And $13,000, $15,000, $10,000 armoires and $5,000, $3,000 children's pillows.
[00:03:14.208 --> 00:03:15.108]  Ever heard of something called bait?
[00:03:24.895 --> 00:03:28.476]  So we're going to be laying, and listen, I've been caught in this before.
[00:03:28.536 --> 00:03:32.376]  So there's, there's nothing like getting caught in a bear trap to teach you about them.
[00:03:33.297 --> 00:03:38.958]  There's three ways to learn experience, education, and revelation.
[00:03:39.358 --> 00:03:43.598]  Revelation is the best way to just, you have that download and wow, you know, that's the best type.
[00:03:44.219 --> 00:03:45.099]  Education's good.
[00:03:45.119 --> 00:03:48.939]  Cause you go through it, you learn it, but it's not quite as strong as you still haven't experienced it.
[00:03:49.700 --> 00:03:51.440]  There's nothing like experience.
[00:03:52.366 --> 00:03:54.668]  So I'd say revelation is the best way to get it experiences.
[00:03:54.688 --> 00:03:55.990]  The next education is not the best.
[00:03:56.010 --> 00:04:03.016]  Cause if you're just learning about the thing, you're not actually, it's like, it's like getting an education, like hearing about boxing.
[00:04:03.417 --> 00:04:05.799]  So you, and maybe you studied boxing for two years.
[00:04:05.839 --> 00:04:07.641]  You never get in a fight or never go train.
[00:04:07.901 --> 00:04:10.363]  You suddenly go into a golden gloves gym and get your ass kicked.
[00:04:10.804 --> 00:04:16.750]  Uh, that's the difference between learning from revelation or experience.
[00:04:18.430 --> 00:04:19.130]  Or education.
[00:04:19.791 --> 00:04:23.512]  So, I am a world expert on the New Orleander pedophile ranks, okay?
[00:04:24.352 --> 00:04:36.737]  Ted Gunderson, head of the FBI Southern District of California, was a mainline guy, right-winger, ran right into all the pedophiles, right into the real Satan worship.
[00:04:38.498 --> 00:04:40.618]  And he would come on my show probably a hundred times.
[00:04:40.818 --> 00:04:44.800]  And he made films about it, he wrote about it, and he was selfless about it.
[00:04:46.269 --> 00:04:49.871]  And I didn't think he was a liar, but I thought he might've been a little crazy or exaggerated.
[00:04:50.251 --> 00:04:51.692]  Turned out it was worse than he said.
[00:04:52.012 --> 00:04:57.195]  And the FBI earlier this year released the Finder's CIA documents about massive child kidnapping rings.
[00:04:57.876 --> 00:05:02.558]  So, I've been covering this for 26 years.
[00:05:03.639 --> 00:05:12.344]  Because when people like General Benton Partin, former head of the Air Force Weapons Development, told me about it, and the high-level FBI told me about it, and, you know, I talked to my dad who knew a lot of people.
[00:05:12.404 --> 00:05:13.204]  He said, no, it's true.
[00:05:13.264 --> 00:05:14.485]  Read Zbigniew Brzezinski's book.
[00:05:14.994 --> 00:05:17.816]  Where Brzezinski admitted that the elites control it to control people.
[00:05:19.397 --> 00:05:24.080]  This is a key mafia system that they took over the Vatican with and so many other systems.
[00:05:24.120 --> 00:05:25.241]  And now they're doing it to the whole world.
[00:05:26.281 --> 00:05:29.283]  That's coming up at the end of this transmission today.
[00:05:29.343 --> 00:05:38.049]  So please, we've got to make sure that truth gets out there and that we don't get deceived with something that seems, you know, too good to be true, true fantastical.
[00:05:38.349 --> 00:05:41.011]  How would Red Adair blow up a oil well that was on fire?
[00:05:41.651 --> 00:05:44.433]  He'd do it with a bunch of TNT with a bigger explosion to take out the oxygen.
[00:05:45.239 --> 00:05:46.563]  And so that's what this is.
[00:05:47.505 --> 00:05:49.932]  I'm going to lay it out for you coming up.
[00:05:49.992 --> 00:05:52.779]  But first off, here's a little clip of Anderson.
[00:05:54.056 --> 00:06:17.014]  Cooper, the heir to the trillion dollar combine of the robber barons, true globalist royalty, looking like he's got a deer in the headlights when he learns that President Trump finally overrid Jared Kushner and the rest of them and Bill Barr and called up and said, you are granted clemency, throwing the deep state fraud in its face.
[00:06:17.055 --> 00:06:17.415]  Here it is.
[00:06:18.255 --> 00:06:20.177]  Leaving tonight, he finally called Roger Stone.
[00:06:20.217 --> 00:06:22.399]  And here is how Stone described that conversation.
[00:06:24.659 --> 00:06:31.121]  He said, you understand I have the option, I have the authority to either grant a pardon or commute your sentence.
[00:06:31.661 --> 00:06:41.003]  He says, you should understand that a pardon would be final and that in accepting a pardon, you are exceptionally accepting guilt.
[00:06:41.643 --> 00:06:45.844]  And I would rather see you fight this out, which is why I'm commuting your sentence.
[00:06:46.974 --> 00:06:52.537]  He went on to point out they spent millions of dollars with 20-something men, helicopters, boats, all of it.
[00:06:52.557 --> 00:06:54.137]  I think it's like a million, two million, three.
[00:06:54.157 --> 00:06:56.458]  They spent just on the raid to make it look like he was a criminal.
[00:06:56.798 --> 00:07:03.281]  It's like how they'll have SWAT teams raid Amish that are selling their neighbors cheese to make it look to a jury like, look, we had 20 SWAT team people.
[00:07:03.321 --> 00:07:04.162]  They must have been bad.
[00:07:05.512 --> 00:07:07.893]  And so this is repudiating the whole deep state.
[00:07:07.953 --> 00:07:09.534]  It's taken over the FBI and the rest of it.
[00:07:10.055 --> 00:07:12.576]  And it's a very good thing to do because that whole jury was rigged.
[00:07:12.816 --> 00:07:19.079]  We'll talk about it with Tyler Nixon, who was there covering the show, Trial of Roger Stone, because what happened to Roger could happen to us all.
[00:07:19.119 --> 00:07:21.261]  And believe me, they want to put me through the very same system.
[00:07:21.601 --> 00:07:22.922]  They're trying to cook that up right now.
[00:07:23.062 --> 00:07:23.882]  Roger knows about it.
[00:07:23.942 --> 00:07:25.443]  So do others, but we're not able to get to that.
[00:07:26.676 --> 00:07:27.096]  At this point.
[00:07:47.083 --> 00:07:47.704]  Exonerated.
[00:07:47.744 --> 00:07:50.547]  I think Trump should embrace him and embrace his advice.
[00:07:50.607 --> 00:07:58.215]  Now, they'll be talking a lot more now that the whole Russia thing has been blown away and, you know, that was designed to keep Roger away from all of his best advisors.
[00:07:58.595 --> 00:07:59.216]  I'm a Russian.
[00:07:59.256 --> 00:08:00.017]  Roger's a Russian.
[00:08:00.037 --> 00:08:01.158]  Wouldn't you like to be a Russian, too?
[00:08:02.439 --> 00:08:04.221]  Absolutely asinine crap.
[00:08:04.261 --> 00:08:09.607]  When he was back, a famous lobbyist in the 80s, Roger identified a major Russian spy ring and got a bunch of people arrested.
[00:08:10.296 --> 00:08:11.879]  But why do I have these angel wings here?
[00:08:22.469 --> 00:08:28.835]  This is something, I don't know, about 15, 16 years ago, I literally had Rex on my back in a backpack.
[00:08:29.076 --> 00:08:33.680]  I was out of like an antiques sale, warehouse deal.
[00:08:33.740 --> 00:08:35.102]  I rarely go to those.
