[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[00:00:00.989 --> 00:00:01.930]  We're under attack.
[00:00:03.070 --> 00:00:04.971]  And only by facing that can we turn this around.
[00:00:05.432 --> 00:00:06.372]  Vote fraud in Michigan.
[00:00:06.412 --> 00:00:10.014]  Massive dump of over 200,000 ballots in Biden all of a sudden appear.
[00:00:10.694 --> 00:00:11.655]  Oversight update.
[00:00:12.215 --> 00:00:13.956]  Officials call it a typo.
[00:00:16.557 --> 00:00:17.658]  But it isn't a typo.
[00:00:17.698 --> 00:00:19.819]  They have been caught red fricking handed.
[00:00:20.902 --> 00:00:22.223]  Right, all of them for Biden.
[00:00:22.263 --> 00:00:25.586]  And there's just so many different tactics they have to steal this election.
[00:00:26.106 --> 00:00:30.409]  One of those being calling the states early, before the polls were even closed.
[00:00:30.469 --> 00:00:32.351]  So they call Arizona, they call Nevada.
[00:00:33.552 --> 00:00:38.776]  What that does is it causes people who were going to vote in those states to stay home.
[00:00:38.936 --> 00:00:41.958]  Because we know conservatives are voting on the day of, leftists before on average.
[00:00:42.138 --> 00:00:42.398]  Exactly.
[00:00:42.418 --> 00:00:45.100]  And so that gives them that, yeah, that's election fixing right there.
[00:00:45.301 --> 00:00:46.942]  That is total election meddling.
[00:00:47.202 --> 00:00:52.323]  From the front lines of the information war, it's Alex Jones.
[00:00:56.844 --> 00:00:57.864]  Well, thank you very much.
[00:01:01.124 --> 00:01:01.624]  Thank you.
[00:01:05.685 --> 00:01:06.505]  Thank you very much.
[00:01:06.525 --> 00:01:07.125]  Please sit.
[00:01:07.245 --> 00:01:07.746]  Thank you.
[00:01:08.646 --> 00:01:11.926]  This is without question the latest news conference I've ever had.
[00:01:11.946 --> 00:01:15.067]  We love you!
[00:01:15.767 --> 00:01:16.347]  Thank you.
[00:01:19.372 --> 00:01:24.796]  I appreciate it very much, and I want to thank the American people for their tremendous support.
[00:01:24.896 --> 00:01:38.605]  Millions and millions of people voted for us tonight, and a very sad group of people is trying to disenfranchise that group of people, and we won't stand for it.
[00:01:38.785 --> 00:01:39.706]  We will not stand for it.
[00:01:44.150 --> 00:01:53.194]  I want to thank the First Lady, my entire family, and Vice President Pence, Mrs. Pence, for being with us all through this.
[00:01:56.575 --> 00:02:00.137]  And we were getting ready for a big celebration.
[00:02:01.417 --> 00:02:05.299]  We were winning everything, and all of a sudden it was just called off.
[00:02:06.380 --> 00:02:08.862]  The results tonight have been phenomenal.
[00:02:09.623 --> 00:02:10.804]  And we are getting ready.
[00:02:10.824 --> 00:02:19.071]  I mean, literally, we were just all set to get outside and just celebrate something that was so beautiful, so good.
[00:02:20.245 --> 00:02:22.166]  Such a vote, such a success.
[00:02:22.807 --> 00:02:26.269]  The citizens of this country have come out in record numbers.
[00:02:26.309 --> 00:02:27.190]  This is a record.
[00:02:27.210 --> 00:02:28.811]  There's never been anything like it.
[00:02:29.332 --> 00:02:34.055]  To support our incredible movement, we won states that we weren't expected to win.
[00:02:34.095 --> 00:02:35.276]  Florida, we didn't win it.
[00:02:35.596 --> 00:02:36.697]  We won it by a lot.
[00:02:43.982 --> 00:02:47.125]  We won the great state of Ohio.
[00:02:48.314 --> 00:02:49.354]  We won Texas.
[00:02:55.516 --> 00:03:02.618]  We won Texas by 700,000 votes and they don't even include it in the tabulations.
[00:03:03.399 --> 00:03:06.320]  It's also clear that we have won Georgia.
[00:03:09.981 --> 00:03:10.681]  We're up by
[00:03:13.285 --> 00:03:17.067]  2.5% or 117,000 votes with only 7% left.
[00:03:17.087 --> 00:03:18.807]  They're never going to catch us.
[00:03:18.847 --> 00:03:19.688]  They can't catch us.
[00:03:20.648 --> 00:03:35.313]  Likewise, we've clearly won North Carolina, where we're up 1.4% or 77,000 votes with only approximately 5% left.
[00:03:35.333 --> 00:03:36.113]  They can't catch us.
[00:03:37.374 --> 00:03:40.495]  We also, if you look and you see,
[00:03:41.418 --> 00:03:44.661]  Arizona, we have a lot of life in that.
[00:03:44.861 --> 00:03:49.304]  And somebody said, somebody declared that it was a victory for us.
[00:03:49.384 --> 00:03:50.265]  And maybe it will be.
[00:03:50.325 --> 00:03:51.346]  I mean, that's possible.
[00:03:52.287 --> 00:03:55.169]  All right, ladies and gentlemen, I told you this was coming.
[00:03:55.429 --> 00:03:57.311]  It wasn't hard to predict it.
[00:03:57.451 --> 00:03:58.672]  In fact, it wasn't a prediction.
[00:03:59.312 --> 00:04:03.035]  The Democrats wargamed it and they said, we're going to lose.
[00:04:03.536 --> 00:04:05.157]  We're going to call it a red mirage.
[00:04:06.158 --> 00:04:10.101]  And then we're going to stop the ballot boxes with hordes of the 80 million ballots we've got.
[00:04:11.607 --> 00:04:13.868]  in facilities around the battleground states.
[00:04:14.548 --> 00:04:33.835]  And now we have the videos in Pennsylvania, the videos in Michigan, the videos in Wisconsin, the videos in Georgia, the videos in North Carolina, the videos in Nevada, the videos in all these places, Arizona, of just poll workers unauthorized with just boxes of ballots going in and out, putting them in their cars, leaving, driving around with machines.
[00:04:33.915 --> 00:04:36.176]  I've got all these videos right here, all these different articles.
[00:04:38.186 --> 00:04:39.867]  But of course it's all the COVID lockdown.
[00:04:39.947 --> 00:04:41.407]  It's the fraud.
[00:04:41.447 --> 00:04:43.288]  It's the 80 million ballots that are illegal.
[00:04:43.348 --> 00:04:44.409]  It's all of it.
[00:04:44.469 --> 00:04:51.672]  It's the illegal aliens stretched around the block in California and New York and other places to get driver's licenses so they can vote.
[00:04:52.932 --> 00:04:57.794]  And so we're having a multinational consortium take this election from us.
[00:04:57.814 --> 00:04:59.355]  I didn't want to scare people.
[00:05:00.481 --> 00:05:06.264]  And so it's not lying, but I hinted at it, but I didn't want to say it.
[00:05:06.504 --> 00:05:07.625]  Trump's going to lose, okay?
[00:05:08.185 --> 00:05:09.006]  He's going to get removed.
[00:05:09.686 --> 00:05:11.167]  They're going to probably send nukes off, okay?
[00:05:11.187 --> 00:05:12.748]  And you're all going to be starving to death soon.
[00:05:13.188 --> 00:05:13.768]  I'm not kidding!
[00:05:13.888 --> 00:05:15.909]  This is a Chai Com Globalist takeover, people!
[00:05:16.049 --> 00:05:17.430]  We're all in grave damn danger!
[00:05:19.091 --> 00:05:19.671]  I'm serious.
