[00:00:00.289 --> 00:00:05.193]  From the front lines of the information war, it's Alex Jones.
[00:00:09.355 --> 00:00:11.317]  Alright, welcome to the Alex Jones Show.
[00:00:11.417 --> 00:00:14.179]  Mike Adams here for the first half of the show.
[00:00:14.199 --> 00:00:16.360]  It's February 26th already.
[00:00:17.181 --> 00:00:17.901]  Just amazing.
[00:00:17.941 --> 00:00:19.502]  We've got a bombshell show for you today.
[00:00:20.043 --> 00:00:25.947]  I've done a full analysis of what's going on and I believe that the CDC is setting a trap for Trump.
[00:00:26.806 --> 00:00:27.006]  I think?
[00:00:42.165 --> 00:00:45.786]  To take the fall when this pandemic spreads in America.
[00:00:46.386 --> 00:00:50.747]  But not everybody agrees with me, so we're going to cover some different angles here, some different possibilities.
[00:00:51.367 --> 00:00:58.548]  One of the interesting things that has come out is Dr. Nancy Messonnier of the CDC, who's the one saying that this is going to spread in America.
[00:00:59.028 --> 00:01:06.190]  Reportedly, she is the sister, now I haven't confirmed this fully yet, but reportedly she's the sister of Rod Rosenstein.
[00:01:07.577 --> 00:01:10.618]  If that's true, then it starts to beg a lot of questions.
[00:01:11.178 --> 00:01:12.638]  What are the various agendas here?
[00:01:13.258 --> 00:01:16.299]  Is Rod working with William Barr against the deep state?
[00:01:17.259 --> 00:01:20.300]  Or is he still part of the deep state that's the anti-Trump agenda?
[00:01:20.820 --> 00:01:23.900]  And also today, Rush Limbaugh has chimed in on this.
[00:01:23.920 --> 00:01:33.122]  There was a caller yesterday at his show that mentioned my name and my work, and Rush said that basically this is really no big deal.
[00:01:34.463 --> 00:01:36.283]  That the coronavirus is no worse than the flu.
[00:01:37.369 --> 00:01:41.794]  But another radio host, Michael Savage, is outraged that Rush would say such a thing.
[00:01:41.834 --> 00:01:45.939]  Michael Savage, of course, is a brilliant scientist with a background in epidemiology.
[00:01:46.300 --> 00:01:54.850]  Michael Savage, I think, agrees with most of what I'm saying, and I'm citing the CDC when I say that there's virtually no testing taking place in the United States.
[00:01:55.831 --> 00:01:56.512]  Now on top of that,
[00:01:57.591 --> 00:02:05.198]  We have the Public Health Laboratory Association of America that is tired of waiting for the CDC to fix their test kits.
[00:02:05.558 --> 00:02:06.639]  Their test kits don't work.
[00:02:07.039 --> 00:02:15.366]  And as of this morning, the CDC's numbers show that only 426 Americans have been tested for the coronavirus by the CDC.
[00:02:15.387 --> 00:02:15.667]  That's it. 426.
[00:02:18.168 --> 00:02:20.269]  I mean, it's astonishing.
[00:02:20.689 --> 00:02:25.210]  How are you supposed to find community outbreaks if you're not testing for community outbreaks?
[00:02:25.850 --> 00:02:32.872]  When South Korea is testing 28,000 people and America is only testing 400, how are you supposed to detect community outbreaks?
[00:02:33.252 --> 00:02:40.814]  So you now have these labs or this lab association going to the FDA saying, give us permission to do our own tests so that we can test it.
[00:02:41.772 --> 00:02:44.793]  And I believe, in fact, I'm going to present evidence for you here today.
[00:02:45.213 --> 00:02:55.275]  I believe that the CDC is withholding test kits to set a trap for President Trump so that Trump can take the blame when the pandemic explodes in America.
[00:02:55.855 --> 00:03:04.397]  And Senator Schumer and even Mitt Romney are ready to pounce on Trump and blame him for the pandemic that's coming.
[00:03:04.877 --> 00:03:07.558]  I think we're looking at a possible
[00:03:09.301 --> 00:03:14.027]  Trump defeat if he doesn't handle this correctly.
[00:03:14.087 --> 00:03:24.038]  And that's why today on the show, I'm going to urge Trump to get up to speed, to be upfront with the American people about what's coming so we can be prepared and not panic.
[00:03:24.679 --> 00:03:25.520]  We don't want panic.
[00:03:25.660 --> 00:03:28.744]  We want preparedness, which is the opposite of panic.
[00:03:29.775 --> 00:03:32.816]  So we've got all those stories today, plus amazing clips.
[00:03:32.937 --> 00:03:34.837]  Oh, by the way, it's confirmed in Brazil now.
[00:03:35.578 --> 00:03:38.539]  This thing is in so many countries around the world now.
[00:03:38.619 --> 00:03:39.360]  It's in Germany.
[00:03:39.460 --> 00:03:40.120]  It's in Brazil.
[00:03:40.180 --> 00:03:40.980]  It's in Croatia.
[00:03:41.441 --> 00:03:42.101]  It's in Iraq.
[00:03:42.161 --> 00:03:42.881]  It's in Israel.
[00:03:42.941 --> 00:03:44.362]  It's spreading just like crazy.
[00:03:44.802 --> 00:03:45.442]  Uncontained.
[00:03:45.863 --> 00:03:47.583]  A new outbreak hub, of course, in Italy.
[00:03:47.623 --> 00:03:49.524]  Over 300 cases there confirmed yesterday.
[00:03:49.945 --> 00:03:50.865]  This is not contained.
[00:03:51.565 --> 00:03:58.689]  And everyone who was warned about the R-naught value of this, which is how quickly it multiplies in the population, everyone is being proven correct.
[00:03:59.659 --> 00:04:03.100]  All the predictions that we made here on InfoWars.com are being proven correct.
[00:04:03.720 --> 00:04:10.642]  And sadly, I'll talk about this, Rush Limbaugh is behind the curve on this, but maybe we can help bring Rush up to speed.
[00:04:11.162 --> 00:04:14.363]  He needs to get educated, and President Trump needs to get educated.
[00:04:14.663 --> 00:04:19.465]  So we're going to cover the vaccine also, six weeks away of vaccine testing in humans?
[00:04:20.245 --> 00:04:20.806]  Are you kidding me?
[00:04:20.846 --> 00:04:21.827]  Human trials already?
[00:04:21.847 --> 00:04:23.669]  Did they skip all the animal trials?
[00:04:23.689 --> 00:04:26.232]  Is there going to be any quality control when they roll out a vaccine?
[00:04:26.732 --> 00:04:34.241]  And are they going to criminalize anti-vaxxers and throw them in prison when they roll out a mandatory vaccine for the coronavirus?
[00:04:34.261 --> 00:04:37.484]  We'll answer all those questions and much more today here on the Alex Jones Show.
[00:04:37.504 --> 00:04:38.225]  This is Mike Adams.
[00:04:38.245 --> 00:04:38.686]  Stay with me.
[00:04:38.986 --> 00:04:39.507]  One-minute break.
[00:04:39.607 --> 00:04:41.409]  We'll be back with all that news and much more.
[00:04:43.467 --> 00:04:49.871]  This is one of the most important shows that you will ever see me hosting here on InfoWars.com.
[00:04:49.951 --> 00:04:53.433]  We've got Professor Francis Boyle coming up at the top of the next hour.
[00:04:54.073 --> 00:04:58.436]  Alex Jones himself will be popping in at the bottom of this hour with an update from Washington, D.C.
[00:04:59.457 --> 00:05:02.298]  Judge Bergman and the Roger Stone trial, all of that.
[00:05:02.839 --> 00:05:07.381]  At the same time, I've got bombshell news about the CDC setting a trap for Trump.
[00:05:08.522 --> 00:05:09.522]  Well, welcome to the show.
[00:05:09.942 --> 00:05:16.544]  I'm Mike Adams, the health ranger here from Natural News, and you are watching Infowars.com Alex Jones Show.
[00:05:17.004 --> 00:05:18.525]  The CDC is setting a trap for Trump.
[00:05:18.545 --> 00:05:19.905]  That's the big headline for right now.
[00:05:19.965 --> 00:05:21.346]  Here's what we know so far.
[00:05:21.926 --> 00:05:25.527]  The CDC sent out hundreds of thousands of test kits around February 5.
[00:05:26.877 --> 00:05:31.539]  We soon found out, and this is mainstream news, this is not some wacko theory.
[00:05:31.939 --> 00:05:33.739]  We found out that those test kits did not work.
[00:05:33.800 --> 00:05:34.820]  It was reported everywhere.
[00:05:35.060 --> 00:05:36.841]  Wall Street Journal, CNBC, everywhere.
[00:05:37.361 --> 00:05:38.421]  Test kits did not work.
[00:05:38.461 --> 00:05:40.602]  They produced false positives and false negatives.
[00:05:41.262 --> 00:05:46.404]  At the same time, it now appears the CDC was ordering states not to conduct their own tests.
[00:05:47.064 --> 00:05:54.027]  And that's why, to date, only 426 tests for the coronavirus have been made nationwide.
[00:05:54.787 --> 00:05:58.610]  And those are CDC figures that I double-checked as of this morning.
[00:05:59.291 --> 00:06:00.712]  CDC official website.
[00:06:00.752 --> 00:06:01.953]  You can go, I mean, pull it up.
[00:06:02.413 --> 00:06:09.118]  CDC official website on the coronavirus currently says, or at least as of this morning, it said 426 tests nationwide.
[00:06:09.138 --> 00:06:09.479]  That's it.
[00:06:10.079 --> 00:06:14.803]  California, the testing that they have, quote, done for the coronavirus, they sent them to Atlanta.
[00:06:14.843 --> 00:06:16.044]  The CDC did the testing.
[00:06:16.972 --> 00:06:20.955]  I had staffers research the public health websites of all 50 states.
[00:06:21.736 --> 00:06:25.658]  Basically, almost none of them report any in-state testing.
[00:06:26.079 --> 00:06:29.101]  There is virtually no testing happening anywhere in America.
[00:06:29.121 --> 00:06:30.482]  In fact, I've got a story here.
[00:06:30.562 --> 00:06:30.922]  Here it is.
[00:06:31.363 --> 00:06:32.844]  This is CNBC from yesterday.
[00:06:33.384 --> 00:06:34.485]  Only three U.S.
[00:06:34.585 --> 00:06:38.448]  states can test for coronavirus, says Public Lab Group.
[00:06:38.768 --> 00:06:41.350]  This is the Association of Public Health Laboratories, APHL.
[00:06:42.944 --> 00:06:56.190]  They're saying that no one's testing for this, and the CDC is prohibiting people from testing for it, while the CDC is apparently, this is my theory, withholding test kits, so that no one tests for community outbreaks in America.
[00:06:56.751 --> 00:07:01.033]  How are you supposed to know if there's an outbreak if you're not testing for one?
[00:07:01.753 --> 00:07:09.676]  And then you have Dr. Nancy Messonnier from the CDC, who's a very interesting person, reported to be the sister of Rod Rosenstein.
[00:07:09.716 --> 00:07:15.378]  Now, I haven't confirmed that yet, but I saw that on Zero Hedge and a couple other places, that may be the case.
[00:07:16.018 --> 00:07:18.539]  But she is the one who said the test kits are broken.
[00:07:19.179 --> 00:07:21.640]  They don't work and now she's quoted in the Wall Street Journal.
[00:07:22.041 --> 00:07:23.481]  I'll have quotes from her right here.
[00:07:23.941 --> 00:07:30.005]  Quote, now is the time for businesses, hospitals, communities, schools, and everyday people to begin preparing.
[00:07:30.545 --> 00:07:36.648]  We are asking the American public to work with us to prepare for the expectation that this could be bad.
[00:07:37.944 --> 00:07:39.445]  Here we go, we do have confirmation.
[00:07:39.725 --> 00:07:44.649]  Rob Rosenstein's sister is the CDC's Dr. Nancy Messonnier.
[00:07:45.109 --> 00:07:46.430]  So yeah, thank you for that.
[00:07:46.470 --> 00:07:48.852]  So now the plot thickens, folks.
[00:07:49.152 --> 00:07:49.933]  The plot thickens.
[00:07:50.013 --> 00:07:52.094]  How many agendas are flying around on all this?
[00:07:52.474 --> 00:07:55.076]  You've got President Trump that says everything's fine.
[00:07:55.096 --> 00:07:57.358]  He's going to address the nation tonight at 6 p.m.
[00:07:57.618 --> 00:08:02.522]  and he's going to tell people, at least reportedly, he's going to say, don't worry, the CDC has us under control.
[00:08:02.802 --> 00:08:04.163]  The WHO has us under control.
[00:08:04.423 --> 00:08:05.564]  We're working on a vaccine.
[00:08:05.584 --> 00:08:06.464]  Everything's going to be fine.
[00:08:06.504 --> 00:08:08.165]  There's no evidence of any outbreaks in America.
[00:08:08.645 --> 00:08:09.606]  Rush Limbaugh is out there.
[00:08:09.626 --> 00:08:10.866]  We're going to talk about him a little bit today.
[00:08:11.226 --> 00:08:13.127]  Rush Limbaugh says there's no problem.
[00:08:13.167 --> 00:08:13.968]  This is just the flu.
[00:08:15.847 --> 00:08:17.188]  We need to get Rush up to speed on this.
[00:08:17.248 --> 00:08:18.629]  We'll talk about that in a minute.
[00:08:18.989 --> 00:08:22.612]  Rush is a great American hero, but he's not yet up to speed on this.
[00:08:23.032 --> 00:08:30.537]  Then you've got Dr. Nancy Messonnier at the CDC, the sister of Rob Rosenstein, saying this thing's coming to America.
[00:08:30.877 --> 00:08:32.559]  Schools and hospitals get ready.
[00:08:32.899 --> 00:08:34.200]  The test kits have failed.
[00:08:34.460 --> 00:08:37.142]  There's no testing taking place anywhere across the country.
[00:08:37.502 --> 00:08:44.927]  The Lab Association of America is saying, FDA, give us permission to test for coronavirus because there's no testing being done.
[00:08:45.867 --> 00:08:49.970]  And then Nancy Messonnier says we don't have any evidence of any outbreaks in America.
[00:08:50.370 --> 00:08:53.232]  She didn't say we don't have any outbreaks in America.
[00:08:53.633 --> 00:08:57.215]  She said we don't have any evidence of outbreaks in America.
[00:08:57.255 --> 00:08:57.955]  You understand the difference?
[00:08:58.296 --> 00:09:00.077]  Because there's no testing being done.
[00:09:00.857 --> 00:09:01.718]  No testing being done.
[00:09:02.038 --> 00:09:11.725]  Meanwhile, a reliable source of mine from the Department of Homeland Security told me days ago that they already have confirmation of 989 confirmed infections on a map
[00:09:15.467 --> 00:09:18.528]  Known to Homeland Security from a week ago.
[00:09:19.248 --> 00:09:26.491]  And if this thing with an R-naught value of estimated up to 6.6, if this thing doubles every, what, 3.5 days or so?
[00:09:27.091 --> 00:09:29.352]  That means it's doubled twice in the last week.
[00:09:29.752 --> 00:09:35.014]  A thousand infections in America that were known over a week ago could be 4,000 infections right now.
[00:09:35.274 --> 00:09:37.535]  And that's assuming that they caught every infection.
[00:09:38.720 --> 00:09:45.046]  So I believe, realistically, mathematically, we have over 4,000 infections in America right now.
[00:09:45.746 --> 00:09:50.871]  And yesterday we had a super-secret classified briefing before the United States Senate.
[00:09:51.852 --> 00:09:56.396]  And NIH was briefing senators and the CDC and Homeland Security.
[00:09:56.776 --> 00:09:57.777]  Classified briefing.
[00:09:58.397 --> 00:09:58.598]  Whoa!
[00:09:58.698 --> 00:10:00.079]  Why does this have to be a secret?
[00:10:01.249 --> 00:10:03.630]  If it's all good news, why can't you make it public?
[00:10:04.330 --> 00:10:06.731]  Why can't you just say, oh, public hearing?
[00:10:06.851 --> 00:10:08.511]  Hey, senators, everything's fine.
[00:10:08.791 --> 00:10:10.572]  There will be no outbreaks in America.
[00:10:10.932 --> 00:10:11.772]  Everything's awesome.
[00:10:11.892 --> 00:10:13.052]  Everybody buy more stocks.
[00:10:13.232 --> 00:10:14.253]  Proceed as normal.
[00:10:14.753 --> 00:10:16.393]  But no, it's a super secret hearing.
[00:10:17.354 --> 00:10:18.634]  So it's classified.
[00:10:19.014 --> 00:10:20.594]  What are they telling them that's classified?
[00:10:20.995 --> 00:10:24.516]  And I have an educated theory on this point.
[00:10:24.856 --> 00:10:26.276]  And I'm going to share that with you right now.
[00:10:28.017 --> 00:10:28.957]  We have four minutes on this.
[00:10:29.872 --> 00:10:30.312]  Here we go.
[00:10:30.612 --> 00:10:33.254]  Here's my theory, can't prove it yet, but here's what I think has happened.
[00:10:34.474 --> 00:10:49.962]  I believe the United States of America has already been subjected to a bioweapons attack, that enemies of America, which include China, Iran, which has the virus, North Korea, and perhaps other nations, that they've already harvested this.
[00:10:51.237 --> 00:10:58.372]  They've already incubated it, multiplied it, which is easy to do in egg yolks, and they've already released it in American cities.
[00:10:58.572 --> 00:10:59.234]  That's my theory.
[00:10:59.254 --> 00:11:00.116]  I can't prove it.
[00:11:01.084 --> 00:11:02.025]  It's an educated theory.
[00:11:02.045 --> 00:11:04.706]  It's something I talked about weeks ago, probably happening.
[00:11:05.446 --> 00:11:19.654]  I believe, based on the evidence we're seeing right now, that the Department of Homeland Security is aware that a bioterrorism attack has taken place against America, that human weapons with this virus have been unleashed in U.S.
[00:11:19.734 --> 00:11:24.497]  cities by flying to America from nations where we don't have a travel ban.
[00:11:25.197 --> 00:11:27.499]  Again, I caution you, I can't prove this yet.
[00:11:27.979 --> 00:11:35.264]  This is a well-educated estimation of what might be happening and that explains the super-secret classified hearing.
[00:11:35.965 --> 00:11:43.050]  And I believe that these officials from the CDC and the NIH, I believe that they're telling the Senators
[00:11:44.218 --> 00:11:45.860]  This is going to have outbreaks in America.
[00:11:46.521 --> 00:11:47.422]  We can't control it.
[00:11:48.063 --> 00:11:49.144]  It's broken containment.
[00:11:49.665 --> 00:11:51.687]  And we're going to have to have medical martial law.
[00:11:52.428 --> 00:11:54.711]  We're going to have to have quarantines in America.
[00:11:55.492 --> 00:12:00.238]  And I believe these officials are asking the senators, please, senators, tell us, what should we do?
[00:12:01.840 --> 00:12:10.042]  Because you can't even say this news to the American people without, I suppose, putting them in a state of shock, since nobody's prepared for anything.
[00:12:10.062 --> 00:12:14.783]  The average American has less than $400 in terms of backup money for an emergency.
[00:12:15.083 --> 00:12:16.384]  They don't have backup food supplies.
[00:12:16.404 --> 00:12:17.564]  They don't have backup medicine.
[00:12:17.824 --> 00:12:18.784]  There's no vaccine ready.
[00:12:18.804 --> 00:12:20.245]  There's no drug proven to treat this.
[00:12:20.965 --> 00:12:22.585]  And the stock market is overbought.
[00:12:23.665 --> 00:12:27.246]  And we don't want to see the stock market crash, even though Democrats want to crash it.
[00:12:28.327 --> 00:12:29.867]  What are these officials going to do?
[00:12:31.144 --> 00:12:36.510]  Now, if you think that that case is not happening, maybe you say, OK, Mike, you're taking it too far.
[00:12:36.851 --> 00:12:38.573]  It's not a bioterrorism attack yet.
[00:12:38.933 --> 00:12:39.834]  It's just an outbreak.
[00:12:39.954 --> 00:12:41.516]  OK, it's just an outbreak.
[00:12:41.837 --> 00:12:42.978]  It's an outbreak in America.
[00:12:43.559 --> 00:12:45.521]  Then the CDC knows the outbreak is happening.
[00:12:45.541 --> 00:12:46.522]  The NIH knows it.
