[00:00:00.535 --> 00:00:00.895]  Warning.
[00:00:01.635 --> 00:00:05.176]  The stage is set for Trump's assassination.
[00:00:05.816 --> 00:00:11.457]  Could the deep state use threats from Iran to complete their coup against President Trump?
[00:00:11.517 --> 00:00:16.038]  You take on the intelligence community, they have six ways from Sunday at getting back at you.
[00:00:16.098 --> 00:00:17.259]  Government's gonna kill this guy.
[00:00:17.499 --> 00:00:23.680]  The establishment might have finally set the stage for the perfect false flag to bury the president.
[00:00:24.480 --> 00:00:25.481]  Here's the scenario.
[00:00:25.721 --> 00:00:36.509]  We all know the evil Democrats would love to orchestrate a JFK-style coup to get rid of Trump, but fear the repercussions would mean another civil war in America.
[00:00:36.709 --> 00:00:42.914]  Normally, the criminal elite would not be opposed to civil war as long as they were able to maintain order
[00:00:43.214 --> 00:00:43.835]  I don't know.
[00:01:00.020 --> 00:01:03.441]  Enter the enemy within, the neocons.
[00:01:04.202 --> 00:01:18.027]  The recent decision to authorize a US airstrike that barbecued Iran's top general, Qasem Soleimani, was a bold and justified response to Iran's terrorist campaign throughout the Middle East.
[00:01:18.228 --> 00:01:21.649]  Nobody mourns the death of Soleimani, may he rot in hell.
[00:01:21.929 --> 00:01:31.115]  But the action could very well set the course for a much larger conflict in the Middle East and might have sealed the fate for President Trump here at home.
[00:01:31.415 --> 00:01:37.299]  Now, both sides of the establishment, left and right, have the opportunity they've been waiting for.
[00:01:37.319 --> 00:01:41.562]  The ultimate false flag attack to strike down our president.
[00:01:42.743 --> 00:01:51.652]  Because now, if Trump gets assassinated, the American people will no longer suspect the criminal cartel operating the Deep State.
[00:01:51.952 --> 00:01:58.298]  Instead, they will blame the murder on Iran, and the American media will fully support that narrative.
[00:01:58.539 --> 00:02:05.665]  This will ultimately prevent civil war and divert the people's anger away from the treasonous Democrats.
[00:02:06.266 --> 00:02:17.196]  The death of Trump would mean no indictments against Democratic leaders, Hollywood celebrities, wealthy elites like George Soros, and criminal operatives within the mainstream media.
[00:02:17.517 --> 00:02:29.008]  The establishment would regain total control of the White House, the American people would be duped into another war, and the military-industrial complex would once again be satisfied.
[00:02:29.488 --> 00:02:32.315]  Now am I saying this is absolutely going to happen?
[00:02:32.696 --> 00:02:32.876]  No.
[00:02:33.318 --> 00:02:35.122]  This is not a prediction.
[00:02:35.142 --> 00:02:36.786]  This is a warning.
[00:02:37.247 --> 00:02:38.811]  Trump better watch his ass.
[00:02:42.782 --> 00:02:46.925]  All right, ladies and gentlemen, this is an extended broadcast here, emergency special.
[00:02:47.726 --> 00:02:50.648]  We've got a developing situation in Iraq.
[00:02:50.828 --> 00:02:51.509]  Two U.S.
[00:02:51.589 --> 00:02:53.270]  bases have been hit by missiles.
