[00:00:02.531 --> 00:00:05.494]  Nurse Erin Marie Olszewski?
[00:00:21.267 --> 00:00:25.611]  It's going to be joining us coming up next segment when some of the stations join us.
[00:00:25.911 --> 00:00:26.952]  We really appreciate coming on.
[00:00:26.992 --> 00:00:31.256]  We had an amazing nurse call in earlier talking about basically COVID being an overblown fraud.
[00:00:31.736 --> 00:00:32.817]  She's a major whistleblower.
[00:00:32.837 --> 00:00:36.700]  We really appreciate coming up in a moment and then we'll continue on after she leaves and take your calls.
[00:00:37.261 --> 00:00:39.503]  All right now let's go to Old Dude in Missouri.
[00:00:39.623 --> 00:00:40.524]  Old Dude, thanks for holding.
[00:00:40.544 --> 00:00:40.764]  Go ahead.
[00:00:42.244 --> 00:00:45.306]  Folks, first off, man, hey, I just want to thank you for what you've done.
[00:00:45.346 --> 00:00:50.468]  I know you hear that a lot, but I've never had an opportunity to speak with you before, so I wanted to say that first and foremost.
[00:00:50.488 --> 00:00:53.390]  You've been very influential in a lot of people's lives.
[00:00:54.050 --> 00:00:59.013]  Second thing I want to say is the bodies and the X2 is amazing.
[00:00:59.433 --> 00:01:00.634]  I played football in college.
[00:01:00.734 --> 00:01:04.976]  I had some injuries, and the bodies allows me to do things that most people my age
[00:01:05.676 --> 00:01:12.720]  I mean, I went out and played flag football here a few weeks ago and was running with guys that were in their early 20s and I'm almost 40.
[00:01:12.920 --> 00:01:15.121]  So the products are awesome.
[00:01:15.321 --> 00:01:25.286]  As far as what Donald Trump could do, one thing he could do is make a call out to all local law enforcement and militias to organize all able-bodied patriots, and now I realize he would be
[00:01:25.766 --> 00:01:26.927]  Well, I told
[00:01:51.681 --> 00:01:52.141]  I totally agree.
[00:01:52.181 --> 00:02:01.126]  We've got to politically weaponize like it's a war, and we can do it better than the bad guys, and literally start our own think tanks, our own groups, our own people, and then run our people.
[00:02:01.166 --> 00:02:02.587]  We'll kick the left's ass at that.
[00:02:02.787 --> 00:02:04.588]  They've all been secret in groups doing it.
[00:02:04.809 --> 00:02:05.609]  We won't be secret.
[00:02:05.629 --> 00:02:06.470]  We'll energize.
[00:02:06.770 --> 00:02:12.393]  We'll run people against Soros, putting in all his operatives at the DAs.
[00:02:12.433 --> 00:02:13.414]  This has got to be done.
