[00:00:00.449 --> 00:00:01.750]  Vaccines are very safe.
[00:00:02.790 --> 00:00:14.436]  If someone gets sick after vaccination, it is usually either a coincidence, an error in administering the vaccine, or very rarely a problem with the vaccine itself.
[00:00:15.136 --> 00:00:17.057]  Please listen to me carefully.
[00:00:18.258 --> 00:00:27.202]  Millions of people have already had their lives ruined, and many of them have died because of the information I'm about to lay out.
[00:00:28.024 --> 00:00:32.246]  And still millions more are facing that same fate.
[00:00:33.506 --> 00:00:53.834]  This information that I'm about to lay out, that has just broken, and is directly from the UN Department running the operation, admits that they are knowingly forcing vaccines worldwide when they are killing and maiming people en masse, when they are untested
[00:00:54.913 --> 00:01:03.696]  unproven and known to be dangerous and that the majority of doctors know they're dangerous and are about to go public.
[00:01:05.917 --> 00:01:09.058]  What you're about to witness is the beginning of them going public.
[00:01:09.978 --> 00:01:19.541]  They know what they're saying here and they're saying it because they know nothing can stop this information coming out now and it's far worse than they even say.
[00:01:20.102 --> 00:01:20.842]  You're about to see
[00:01:21.980 --> 00:01:28.327]  The head scientist at the World Health Organization admit that vaccines are killing people and there's a cover-up.
[00:01:29.828 --> 00:01:40.059]  Then we're going to show you the directors of all the major programs at the UN admitting that the front line of doctors is wobbly and they don't think they're safe because they see what's happening.
[00:01:40.400 --> 00:01:41.521]  The people are being hurt.
[00:01:42.273 --> 00:01:46.854]  We really don't have very good safety monitoring systems in many countries and this adds to the
[00:02:11.698 --> 00:02:12.078]  The first
[00:02:33.524 --> 00:02:35.766]  Accusation is it is the adjuvant.
[00:02:36.126 --> 00:02:40.250]  And yet without adjuvants, we are not going to have the next generation of vaccines.
[00:02:40.710 --> 00:02:47.576]  And many of the vaccines that we do have, ranging from tetanus through to HPV, require adjuvants in order for them to work.
[00:02:47.856 --> 00:02:51.820]  I give courses every year on how do you develop vaccines?
[00:02:51.860 --> 00:02:52.841]  How do you make vaccines?
[00:02:53.301 --> 00:02:54.442]  And the first lesson is
[00:02:55.925 --> 00:02:59.992]  While you're making your vaccine, if you can avoid using an adjuvant, please do so.
[00:03:00.333 --> 00:03:05.161]  It seems to me they multiply the reactogenicity in many instances.
[00:03:06.650 --> 00:03:24.629]  And therefore it seems to me that it is not unexpected if they multiply the incidence of adverse reactions that are associated with the antigen but may not have been detected through lack of statistical power in the original study.
