[00:00:02.016 --> 00:00:03.437]  Sorry folks, park's closed.
[00:00:03.877 --> 00:00:07.560]  We were here a week ago and this one entrance was closed.
[00:00:07.580 --> 00:00:08.741]  There were no cars here.
[00:00:09.401 --> 00:00:14.244]  But here we are a week later and it's open and hundreds of people are enjoying the Austin Greenbelt.
[00:00:14.825 --> 00:00:17.046]  And that's what this exercise of freedom is about.
[00:00:17.486 --> 00:00:21.529]  All over the world they're closing outdoor facilities under the COVID hoax.
[00:00:21.789 --> 00:00:25.652]  We're here because in Australia and in Spain and in Canada
[00:00:26.312 --> 00:00:30.795]  And in Austin, and in California, they're trying to keep the beaches and the parks closed.
[00:00:31.395 --> 00:00:36.218]  And humanity is saying, no, we will not bow down to you!
[00:00:36.699 --> 00:00:38.320]  We will go outside!
[00:00:38.500 --> 00:00:40.241]  We will enjoy God's creation!
[00:00:40.261 --> 00:00:41.942]  We got it!
[00:00:41.982 --> 00:00:43.042]  We got it!
[00:00:43.062 --> 00:00:44.924]  We got it!
[00:00:45.084 --> 00:00:53.289]  We are here to exercise our First Amendment, and our right to travel, and our right to use the public amenities.
[00:00:57.991 --> 00:01:10.835]  Ladies and gentlemen, we are here because the United Nations on record launched the COVID hoax and counts all the regular pneumonia and flus that do kill people as it to scare everyone.
[00:01:11.155 --> 00:01:22.579]  But we are here in defiance of this evil and we are here saying humanity knows we're under attack and we're taking the planet back from the global host.
[00:01:24.983 --> 00:01:28.265]  This is a quarter mile hike down, quarter mile up, so get plenty of water.
[00:01:28.285 --> 00:01:31.006]  We're out here exercising our free speech, and I salute and thank you all for being here!
[00:01:31.026 --> 00:01:31.186]  Yeah!
[00:01:31.206 --> 00:01:31.587]  Let's go!
[00:01:31.607 --> 00:01:31.807]  Let's go!
[00:01:31.827 --> 00:01:32.067]  Let's go!
[00:01:32.087 --> 00:01:32.347]  Let's go!
[00:01:32.367 --> 00:01:32.547]  Let's go!
[00:01:32.567 --> 00:01:32.767]  Let's go!
[00:01:32.787 --> 00:01:32.947]  Let's go!
[00:01:32.967 --> 00:01:33.247]  Let's go!
[00:01:33.287 --> 00:01:33.568]  Let's go!
[00:01:33.588 --> 00:01:36.709]  Let's go!
[00:01:37.430 --> 00:01:37.790]  Let's go!
[00:01:37.810 --> 00:01:38.170]  Let's go!
[00:01:38.210 --> 00:01:42.753]  Let's go!
[00:01:43.373 --> 00:01:44.554]  Let's go!
[00:01:44.574 --> 00:01:44.754]  Let's go!
[00:01:44.774 --> 00:01:44.974]  Let's go!
[00:01:44.994 --> 00:01:45.274]  Let's go!
[00:01:45.294 --> 00:01:45.454]  Let's go!
[00:01:45.474 --> 00:01:46.615]  Let's go!
[00:01:46.655 --> 00:01:46.815]  Let's go!
[00:01:46.835 --> 00:01:47.015]  Let's go!
[00:01:47.035 --> 00:01:47.255]  Let's go!
[00:01:47.275 --> 00:01:47.435]  Let's go!
[00:01:47.455 --> 00:01:47.635]  Let's go!
[00:01:47.655 --> 00:01:47.895]  Let's go!
[00:01:47.915 --> 00:01:48.135]  Let's go!
[00:01:48.155 --> 00:01:48.436]  Let's go!
[00:01:48.456 --> 00:01:48.656]  Let's go!
[00:01:48.696 --> 00:01:48.896]  Let's go!
[00:01:48.916 --> 00:01:49.116]  Let's go!
[00:01:49.136 --> 00:01:49.336]  Let's go!
[00:01:49.376 --> 00:01:49.536]  Let's go!
