[00:00:20.141 --> 00:00:21.104]  I'm good.
[00:00:27.659 --> 00:00:29.540]  FIFA's an idea, not an organization.
[00:00:29.600 --> 00:00:30.381]  Oh, you gotta be kidding.
[00:00:30.441 --> 00:00:30.801]  Not militia.
[00:00:31.401 --> 00:00:35.384]  I have taken on the very people that, in fact, we're worried about.
[00:00:35.784 --> 00:00:37.525]  I've taken on the Castros of the world.
[00:00:37.585 --> 00:00:39.126]  I've taken on the Putins of the world.
[00:00:39.186 --> 00:00:41.367]  I've taken on all these dictators.
[00:00:41.468 --> 00:00:42.748]  I haven't cozied up to them.
[00:00:42.968 --> 00:00:54.916]  As the election approaches the final stretch, the Democrats' campaign of blatant lies ignites like the American cities their supporters left smoldering in the wake of BLM's Marxist campaign.
[00:00:55.319 --> 00:01:02.106]  They're stoking fears about black and brown Americans, lying about how minorities will destroy the suburbs.
[00:01:02.822 --> 00:01:08.283]  Ain't nothing left here, so when we start coming to the suburbs, when we come to the government center, then what's all gonna do?
[00:01:08.483 --> 00:01:09.283]  You see what I'm saying?
[00:01:09.583 --> 00:01:11.564]  So, hey, that's just what's gonna happen, you know?
[00:01:12.344 --> 00:01:19.825]  And they're pinning it all on what's been an overwhelmingly peaceful movement for racial solidarity.
[00:01:20.346 --> 00:01:20.866]  It's true.
[00:01:21.526 --> 00:01:22.586]  Research backs it up.
[00:01:22.766 --> 00:01:27.447]  Only a tiny fraction of demonstrations have had any violence at all.
[00:01:28.107 --> 00:01:37.957]  Respectfully, the first lady lied in that video because the protests, everyone in this country can see the chaos and the burning in these democratic cities.
[00:01:38.237 --> 00:01:40.419]  She lives in a very wealthy area.
[00:01:40.699 --> 00:01:47.526]  Meanwhile, the far left's Marxist cockroach nests are flagrantly strengthening their seceding communist city-states.
[00:01:47.706 --> 00:01:50.269]  Your right-seceding nation fills me with a fire, comrades.
[00:01:50.989 --> 00:01:52.030]  I will tell you what, Wheeler.
[00:01:52.791 --> 00:01:56.515]  You are a capitalist, a treasurer, a statist, a tyrant.
[00:01:56.896 --> 00:01:58.037]  You are nothing to me.
[00:01:58.097 --> 00:01:59.319]  You are just scum.
[00:01:59.499 --> 00:02:03.523]  You are laying the seeds for an insurrection on the record, Jeff Singer.
[00:02:04.044 --> 00:02:04.905]  It is not a threat.
[00:02:05.746 --> 00:02:07.428]  It is a fact and it's a fact.
[00:02:07.688 --> 00:02:24.655]  Gateway Pundit reported, you know you're in Portland when the current mayor who has chased out countless businesses and allowed Antifa and BLM terrorists to destroy the city on a nightly basis for over four months straight is somehow not far enough to the left to appease the voter base.
[00:02:24.895 --> 00:02:29.437]  National laughingstock Ted Wheeler is now trailing in the polls for his re-election.
[00:02:29.637 --> 00:02:36.259]  But not against a candidate that promises to crack down on the rioters, promote businesses, and actually fix the roads.
[00:02:36.580 --> 00:02:37.540]  No, of course not.
[00:02:37.660 --> 00:02:42.402]  He's losing to a candidate that's even further to the left than he is.
[00:02:42.622 --> 00:02:50.545]  Plucky upstart Sarah Ayanarone, who is best known for declaring, I am Antifa, now picks up 41% of the vote to Wheeler's 30%.
[00:02:53.137 --> 00:03:00.046]  We have people looking at the graffiti on that courthouse and calling it violence.
[00:03:00.426 --> 00:03:06.233]  Calling us violent anarchists for essentially what some people have done is spray paint on a building.
[00:03:06.374 --> 00:03:10.499]  The CIA's Mockingbird media operation was revealed in 1975 by the church committee.
[00:03:12.661 --> 00:03:20.745]  Most of the Senators now agree with Chairman Frank Church that the CIA has indeed been a rogue elephant out of control.
[00:03:20.765 --> 00:03:25.727]  45 years later, it is at the very least an open conspiracy.
[00:03:25.807 --> 00:03:33.711]  The President, in that Sunset Boulevard gesture, whipped his mask off in front of the American people on the nightly news last night.
[00:03:34.051 --> 00:03:37.953]  So, as a doctor whose job it is, you know, take it off, please, don't even put it on the screen.
[00:03:38.213 --> 00:03:38.934]  Please take it off.
[00:03:39.639 --> 00:03:41.100]  Because that's going to kill people.
[00:03:41.120 --> 00:03:46.922]  A lot of people get riled up and offended that you're comparing the caste system here to Nazi Germany.
[00:03:59.568 --> 00:04:05.634]  Yet we discover that we were the template for Nazi Germany.
[00:04:05.734 --> 00:04:11.420]  Mockingbird is now being weaponized as the military will now go to war with free speech.
[00:04:11.640 --> 00:04:14.503]  As Defense One reports, Air Force U.S.
[00:04:14.543 --> 00:04:21.009]  Special Operations Command fund year-long effort to train a neural net to rank credibility in
[00:04:21.229 --> 00:04:21.629]  Let's do it!
[00:04:51.049 --> 00:04:59.045]  If you were unaware that we were in an Info War before, you most certainly have to understand that we are literally in an Info War now.
[00:04:59.505 --> 00:05:00.688]  John Bowne reporting.
[00:05:10.911 --> 00:05:21.679]  Ladies and gentlemen, the United Nations is openly announcing a desire to oversee our elections and is openly discussing putting peacekeeping forces on the streets of the United States.
[00:05:22.520 --> 00:05:28.425]  The United Nations is openly declaring war on our country's very existence.
[00:05:28.465 --> 00:05:29.986]  Here's the headline of the New York Times.
[00:05:30.726 --> 00:05:32.248]  America may need intervention.
[00:05:32.828 --> 00:05:33.949]  International intervention.
[00:05:34.129 --> 00:05:41.594]  Even Democrats may find it hard to imagine what the leader of the free world would benefit from United Nations oversight.
[00:05:42.235 --> 00:05:46.018]  That means governance, oversight in the thesaurus.
[00:05:46.158 --> 00:05:50.781]  It also means governance or rule or control or regulation.
[00:05:51.722 --> 00:05:54.124]  Look up oversight in the thesaurus.
[00:05:55.674 --> 00:05:56.674]  But they need a cover.
[00:05:57.234 --> 00:06:08.297]  And the New York Times says it's race war, which they're preparing to trigger, which the communist Chinese that own Hollywood have been greedily financing and openly rebuking the U.S.
[00:06:08.377 --> 00:06:14.998]  yesterday at the U.N., saying we deserve to be broken up and the country doesn't deserve to exist.
[00:06:15.598 --> 00:06:18.479]  After all, Antifa is a malice organization.
[00:06:18.939 --> 00:06:22.900]  No borders, no walls, no USA at all.
[00:06:24.484 --> 00:06:25.144]  What's wrong?
[00:06:25.645 --> 00:06:27.205]  You don't have any black friends?
[00:06:27.486 --> 00:06:31.908]  Do you want everyone to think that you're an ally and not a racist?
[00:06:32.228 --> 00:06:36.630]  Well, now's your chance to get woke with Black Lives Matter!
[00:06:37.070 --> 00:06:43.753]  And we've made it easy in this all-new sensational step-by-step instructional video.
[00:06:44.213 --> 00:06:45.294]  Here's what you'll learn.
[00:06:45.874 --> 00:06:47.074]  How to block traffic.
[00:06:47.294 --> 00:06:49.615]  How to pull down racist statues.
[00:06:50.195 --> 00:06:52.156]  How to burn the American flag.
