[00:00:00.250 --> 00:00:05.830]  President Trump, you were about to be approached by Joe Biden and his new COVID-19 commission.
[00:00:06.325 --> 00:00:18.287]  They're going to tell you that, sir, you're going to be blamed for the hundreds of thousands of deaths unless you sign on to a new lockdown, contact tracing, and even people being taken from their homes and forced inoculations.
[00:00:18.827 --> 00:00:28.469]  When you sign on to that, you will be confirming that COVID-19 was your fault and legitimizing the martial law takedown of this country and the complete shutdown of our economy.
[00:00:28.909 --> 00:00:34.330]  This will be the end of the Republic, and you, sir, will be known as Benedict Arnold, who allowed it all to happen.
[00:00:37.910 --> 00:00:43.173]  President Trump, you survived at least four previous illegal coups.
[00:00:44.313 --> 00:00:46.774]  You were illegally spied on during your campaign.
[00:00:47.115 --> 00:00:51.477]  Everyone knows about the illegal fraud of Russiagate, Ukrainegate, the fake impeachment, and more.
[00:00:52.818 --> 00:01:07.525]  And now the very same corporate media that's so discredited, that's so loathed, that is the enemy of the American people, as you've rightfully said, has announced that you're the loser and you have rightfully gone to those states where there is overwhelming clear evidence pouring out
[00:01:07.947 --> 00:01:11.489]  That there was organized criminal fraud by big city corrupt machines.
[00:01:12.210 --> 00:01:15.612]  But your own internal advisors and others are telling you stand down.
[00:01:16.173 --> 00:01:21.356]  You're being congratulated by George W. Bush that, oh, you made a good showing, step down.
[00:01:22.217 --> 00:01:30.042]  If you do that, they're going to set you up and destroy your legacy and blame you for COVID-19 and then destroy this republic.
[00:01:30.823 --> 00:01:31.684]  If you stand up,
[00:01:32.515 --> 00:01:33.676]  And fight back hard.
[00:01:34.276 --> 00:01:37.758]  It is they that will be destroyed, not you and not America.
[00:01:38.098 --> 00:01:44.602]  Bill Gates, the United Nations, the Wuhan lab, Fauci are all on record running that facility.
[00:01:45.023 --> 00:01:51.547]  And as soon as they knew that you were about to beat the fake impeachment, they rolled out the hysteria and the fear that we witnessed.
[00:01:52.667 --> 00:01:57.010]  You took the right action, not knowing how deadly it was, and shut down flights from China.
[00:01:57.435 --> 00:02:00.156]  Because their plan all along was to blame you for it.
[00:02:00.697 --> 00:02:07.540]  Then once it spread in the United States and began killing Americans, they turned around and said that you were to blame.
[00:02:08.421 --> 00:02:22.028]  That's why it's so essential for you now to not concede the election, but to come out with your bully pulpit of the Oval Office and lay out the Newsweek articles and the New Scientist articles and all the documents
[00:02:22.295 --> 00:02:22.415]  It's
[00:02:42.955 --> 00:02:45.877]  It was moved to Communist China at Wuhan.
[00:02:46.617 --> 00:02:54.841]  I know the viewers of this emergency video and the White House and even the president are asking, Jones, we know about what happened with COVID and the UN Chinese power grab.
[00:02:54.861 --> 00:02:55.822]  Why are you telling us about it?
[00:02:56.382 --> 00:03:05.707]  Instead of getting into the election fraud in Pennsylvania, the election fraud in Georgia, the election fraud in Michigan and Nevada and Arizona, why Jones are you covering COVID?
[00:03:05.967 --> 00:03:06.427]  Because sir,
[00:03:07.620 --> 00:03:20.504]  I want you and your advisors to know what they're planning to do to drive you from office before January 20th and how they're planning to then blame you for COVID-19 that's been their plan all along.
[00:03:20.685 --> 00:03:33.509]  If they're able to trick you, then your legacy and all your supporters will be irrevocably connected to the COVID-19 deaths and the American people will be persecuted and Americanism itself
[00:03:33.868 --> 00:03:39.032]  We'll be demonized, connected to the Wuhan virus, which is a Chinese communist bioweapon.
[00:03:39.553 --> 00:03:56.086]  Joe Biden, who's already had the entire corporate media blaming you, President Trump, and the American people for COVID-19, with all of their testing and all of their hysteria and all their false positives, they are going to come out and form, early this week, Joe Biden's new Coronavirus Task Force.
[00:03:56.647 --> 00:04:02.592]  That task force made up of UN, Bill Gates, Chi-Com operators like Fauci and others,
[00:04:03.479 --> 00:04:17.030]  We'll call for an extended, undefined lockdown, face masks for at least two more years, and a shutdown of the economy as well as forced inoculations as soon as they're ready.
[00:04:18.177 --> 00:04:24.762]  Then they will demand that you, who is still President, elected under the Constitution, implement these plans.
[00:04:25.543 --> 00:04:44.759]  If you do not immediately agree, they're going to say that 260 plus thousand, most of them deaths as you know from something else, are on your watch and are on your head and that you are guilty of this under the 25th Amendment and are not fit to be the President of the United States.
[00:04:45.119 --> 00:04:47.021]  They want to further discredit you.
[00:04:48.140 --> 00:05:03.282]  Not just with this fraudulent election, but to certify that fraudulent election by having your own cabinet remove you under the 25th Amendment because you don't follow the recommendations and orders of Joe Biden's new globalist COVID-19 task force.
[00:05:03.622 --> 00:05:04.303]  And here's the problem.
[00:05:05.143 --> 00:05:17.945]  If you follow the lockdown, they will put your name on the coming depression in the United States and blame you for all the previous deaths, saying later you actually admitted that you were the one behind it all.
[00:05:19.065 --> 00:05:27.947]  Again, if you don't sign on to it, you've got to come out and expose Fauci, Bill Gates, Joe Biden, and all of them in Oval Office addresses.
[00:05:28.087 --> 00:05:30.668]  And that is the only path to stop them.
[00:05:31.428 --> 00:05:33.028]  They're going to have Jared Kushner approach you.
[00:05:33.359 --> 00:05:36.602]  They're going to have others come to you and say, listen, we're ready to make a deal, Trump.
