[00:00:15.521 --> 00:00:18.223]  InfoWars, tomorrow's news today.
[00:00:20.184 --> 00:00:26.108]  If Biden wins, China will own the United States and I turned it all around and you know that better than anybody.
[00:00:27.209 --> 00:00:34.734]  In 2019, if you go back 10 years, everybody projected 2019 the economy of China was going to be bigger than the U.S.
[00:00:35.495 --> 00:00:39.277]  except it didn't happen because I got elected and I turned it the opposite way.
[00:00:39.857 --> 00:00:41.859]  We were picking up much more than them.
[00:00:42.828 --> 00:00:46.609]  And then I did the no dumping steel and I did tariffs and I did everything on them.
[00:00:47.090 --> 00:00:49.410]  No, no, they want Sleepy Joe to win.
[00:00:49.490 --> 00:00:55.212]  And if he does, if Sleepy Joe wins, China will own the United States.
[00:00:55.633 --> 00:01:01.075]  And when you look at these photographs that are disgusting and horrible, the Chinese have every single one of them.
[00:01:01.095 --> 00:01:04.876]  The Chinese have every single one, probably 10 times more.
[00:01:06.206 --> 00:01:16.228]  Because what the Chinese government has been doing, and a country that's totally undefended against this, is setting Biden up, putting him in a position where he's totally compromised.
[00:01:17.149 --> 00:01:20.229]  They've now given him so much money, he's totally compromised.
[00:01:20.689 --> 00:01:27.751]  They now have pictures of his son doing things that I can't describe, some of which are illegal.
[00:01:28.071 --> 00:01:30.312]  It's Saturday, October 17th.
[00:01:31.472 --> 00:01:31.852]  The year is 2020.
[00:01:32.172 --> 00:01:35.613]  We are now two weeks out from the election.
[00:01:36.803 --> 00:01:46.167]  And the information I'm about to cover here is bigger than anything we covered in the run-up to the 2016 election, and that was epic.
[00:01:46.867 --> 00:01:57.191]  Ladies and gentlemen, we have total proof from over 10 sources, triangulated, proving
[00:01:58.168 --> 00:02:10.138]  That not just Hunter Biden, not just Joe Biden, not just Joe Biden's brothers, not just Nancy Pelosi, not just Hillary Clinton, not just Barack Obama, but the entire leadership, including Dianne Feinstein.
[00:02:11.539 --> 00:02:22.545]  are openly working with Communist China against the United States and have willingly put themselves in positions where they could be blackmailed and controlled.
[00:02:23.165 --> 00:02:31.930]  You just heard what the President said a few days ago, and he's been saying that in every major speech, that if he loses, Communist China takes control of the United States.
[00:02:31.950 --> 00:02:36.313]  They've already got our debt, they already own Hollywood, and they've compromised leaders
[00:02:37.261 --> 00:02:37.741]  We're good to go.
[00:02:53.194 --> 00:03:07.884]  I am cutting in over all of the major feeds of my rebroadcast, David Knight's rebroadcast, Owen Shorter's rebroadcast that are very popular on the satellite for radio and TV on the streams at man.video and infowares.com forward slash show.
[00:03:11.195 --> 00:03:19.118]  on Saturday afternoon shooting this 30-minute transmission that I'm gonna then loop until I go live at 4 p.m.
[00:03:19.138 --> 00:03:20.518]  tomorrow with a regular Sunday show.
[00:03:21.038 --> 00:03:38.884]  But I am asking you from the bottom of my heart and from just a place of total common sense and mutual parallel tracks that we all are in grave danger that you research this information for yourself
[00:03:40.089 --> 00:03:45.011]  And that you take action with this information because this is about mutual self-preservation.
[00:03:46.951 --> 00:03:49.532]  Now, let me first explain something before I get to this.
[00:03:50.973 --> 00:03:52.573]  That ties into it and sets the stage.
[00:03:53.373 --> 00:04:00.556]  The FBI director, Ray, over six months ago received the laptop that Giuliani has.
[00:04:02.003 --> 00:04:09.249]  He received the information, that's confirmed, that shows thousands of photos of what appear to be underage girls.
[00:04:09.930 --> 00:04:25.463]  And these are videos with Hunter Biden in them, in China, clearly being compromised with what appear to be prepubescent girls, to the point the New York Post was supposed to release these on Friday and said they're child porn.
[00:04:25.483 --> 00:04:26.384]  We've been told we can't.
[00:04:27.349 --> 00:04:30.831]  Now the media spun that, that, oh, Hunter has an underage obsession.
[00:04:31.231 --> 00:04:33.932]  No, this isn't like barely 18 or something, okay?
[00:04:34.432 --> 00:04:50.400]  This is Hunter having sex with what appears to be underage girls to be compromised before he and his father got billions of dollars from Communist China by the Communist Party China to make sure that they were under their control.
[00:04:50.420 --> 00:04:53.422]  So this is a Jeffrey Epstein operation to the next level.
[00:04:54.361 --> 00:04:59.263]  Epstein was doing it for British intelligence, corrupt elements of the Democratic Party, and Mossad.
[00:05:00.283 --> 00:05:03.424]  Well, this is the Chinese operation, and so that's why this is so big.
[00:05:03.944 --> 00:05:18.469]  And we have the documents, we have the New York Post, we have other journalists that have seen the documents, we have my sources, and we have Americans and others that speak Chinese who are dissidents who've watched the video
[00:05:19.750 --> 00:05:42.064]  of a well-known Chinese dissident in America who was inside the Communist Party China, who we're about to play clips of in a moment, who said on record back in September, three plus weeks ago, that this laptop of Hunter was there and that this laptop was coming out and what was on it and now we've confirmed what he's saying is on it.
[00:05:43.325 --> 00:05:44.186]  Now let's explain.
[00:05:44.266 --> 00:05:45.367]  This is not just
[00:05:46.420 --> 00:05:53.344]  An adult man having sex with what looks like ten-year-old girls, from people we've talked to that have seen it, that they look really young.
[00:05:54.845 --> 00:06:02.389]  He's beating and torturing them and beating the living hell out of them, and they're begging in the video.
[00:06:03.109 --> 00:06:10.693]  And the national media that did pick up some of this said, oh, it shows some footage of what may look like underage girls that he had on his computer.
[00:06:10.773 --> 00:06:12.294]  Not, it's Hunter with the girls.
[00:06:12.594 --> 00:06:13.255]  That's confirmed.
[00:06:13.375 --> 00:06:14.095]  That's number one.
[00:06:14.575 --> 00:06:14.976]  Number two,
[00:06:16.016 --> 00:06:20.785]  And the actual Chinese translation, and I called around to a bunch of folks I know to confirm my sources in D.C.
[00:06:20.805 --> 00:06:25.555]  and New York, and they watched the video, including Mike Adams' wife, who's from Taiwan and speaks fluent Chinese.
[00:06:26.416 --> 00:06:26.857]  And indeed,
[00:06:28.171 --> 00:06:47.780]  When translated, the man that's seen the video that predicted before it broke, two and a half weeks before it broke, what was on it, it's been confirmed, it's not just that he's saying extreme pedo, he's saying extreme torture, extreme abuse that you wouldn't do to an animal, is what Hunter is doing to these little girls.
[00:06:50.407 --> 00:06:52.808]  And this fits into the whole MO of these people.
[00:06:53.348 --> 00:06:54.989]  Their selfishness, their corruption.
[00:06:55.429 --> 00:06:57.630]  And, oh, you want me to shoot films with underage girls?
[00:06:57.990 --> 00:06:59.131]  I'll break their jaws.
[00:07:00.391 --> 00:07:02.072]  I'll slap them.
[00:07:02.132 --> 00:07:02.592]  I'll hit them.
[00:07:02.752 --> 00:07:04.493]  I'll do things I can't mention here.
[00:07:04.613 --> 00:07:07.755]  I'll shove, you know, huge things that damage their bodies into them.
[00:07:08.195 --> 00:07:09.795]  This is serious torture porn.
[00:07:11.076 --> 00:07:15.078]  And remember, the FBI Deep State had this
[00:07:16.818 --> 00:07:20.599]  Six plus months, almost seven months ago, and all of that's confirmed.
[00:07:21.899 --> 00:07:24.419]  So this dwarfs what's even on Anthony Weiner's laptop.
[00:07:25.140 --> 00:07:28.000]  It dwarfs what we see in the spirit cooking emails from four years ago.
[00:07:28.240 --> 00:07:29.840]  That's why this is so ultra massive.
[00:07:29.880 --> 00:07:33.141]  So, let's go ahead and start going through the article.
[00:07:33.501 --> 00:07:43.283]  Go watch the full video at InfoWars.com, Kit Daniel's story, Chai Com Dissident predicts Hunter Biden laptop leak in September 24th video, basically three weeks ago.
[00:07:44.844 --> 00:07:49.548]  And then he lays all of this out and specifically says what's on the hard drive.
[00:07:50.048 --> 00:07:52.970]  And then it turns out this guy's very credible for my DC and New York sources.
[00:07:53.791 --> 00:08:00.035]  And that what was done here was that Hunter knew he was being compromised.
[00:08:00.096 --> 00:08:05.059]  This was shot five years ago when he made these big deals in communist China for several billion dollars to sell out U.S.
[00:08:05.119 --> 00:08:05.400]  interest.
[00:08:06.761 --> 00:08:09.483]  And they were paid hundreds of millions conservatively, he and his family.
[00:08:10.259 --> 00:08:14.342]  And all he demanded was unlimited drugs, unlimited underage girls to torture.
[00:08:15.122 --> 00:08:17.624]  And he knows when he's doing this, it's a two-way mirror.
[00:08:17.864 --> 00:08:18.744]  He knows there's cameras.
[00:08:19.105 --> 00:08:20.386]  He doesn't care.
[00:08:20.666 --> 00:08:30.952]  He wants to bathe in this, just like with Epstein, just like Bill Gates with Epstein, how they compromised the scientist to have this scientific takeover with the forced inoculations.
[00:08:31.172 --> 00:08:33.914]  All of this is interconnected to big tech.
[00:08:34.254 --> 00:08:37.797]  Big tech's been involved in this because to get those big tech positions,
