[00:00:01.209 --> 00:00:04.790]  Is the United States currently at war with North Korea?
[00:00:05.269 --> 00:00:06.870]  The answer is yes.
[00:00:07.389 --> 00:00:13.630]  I'm not talking about the Korean troops massing in Russia that have now reportedly invaded Ukraine, according to the Ukrainian government.
[00:00:13.949 --> 00:00:16.089]  Putin just confirmed the North Korean troops are there.
[00:00:16.890 --> 00:00:27.309]  No, I'm talking about the fact that on July 27th, 1953, there was a ceasefire in the Korean War between the US and South Korea's allies and North Korea and China.
[00:00:27.870 --> 00:00:28.870]  That war never ended.
[00:00:29.809 --> 00:00:38.070]  And now, North Korean dictator said last week, Kim Jong-un, that they're about to go to total war with South Korea and the United States.
[00:00:38.710 --> 00:00:49.210]  And now, the reports of massing Korean troops inside Russia are confirmed, and now Ukraine and NATO are saying that the Ukrainians are now facing North Koreans on the battlefield.
[00:00:49.490 --> 00:00:52.750]  This is a completely insane escalation.
[00:00:52.829 --> 00:01:04.269]  So the answer is, yes, we're at war with North Korea, and now it's going hot again because U.S. forces and other NATO forces have been confirmed to be on the ground fighting Russians as well.
[00:01:04.450 --> 00:01:09.819]  That means Western forces Are now fighting North Koreans as well as Russians.
[00:01:10.019 --> 00:01:10.799]  This is insane.
[00:01:11.459 --> 00:01:13.859]  It leads right to full conflict and nuclear war.
[00:01:14.099 --> 00:01:15.920]  We're about to break it down right now.
[00:01:21.840 --> 00:01:22.900]  It's official.
[00:01:24.159 --> 00:01:28.159]  North Korean troops have been massing inside Russia for at least two weeks.
[00:01:29.239 --> 00:01:32.040]  Putin confirmed today that they are in the country.
[00:01:33.170 --> 00:01:49.670]  And Ukraine and NATO have both reported that they've been massing on the western border of Russia with Ukraine, and Ukrainian forces are now reporting that they have been coming into the country and may already be involved in combat operations.
[00:01:49.810 --> 00:01:57.890]  Now, let me explain for folks that don't study military history or current military postures what this means, okay?
[00:02:00.569 --> 00:02:02.909]  This is what a world war looks like.
[00:02:04.310 --> 00:02:13.090]  And you have NATO 13 years ago overthrowing the Ukrainian government and then having an ongoing proxy civil war going on.
[00:02:13.370 --> 00:02:14.349]  This is all admitted.
[00:02:15.030 --> 00:02:18.469]  George Soros has gone on CNN and bragged about it, Hillary Clinton, Victoria Newland.
[00:02:18.650 --> 00:02:19.509]  This is on record.
[00:02:20.840 --> 00:02:27.240]  And then the Russians said, if you enter NATO or get ready to, we will invade and take part of the country as a security zone.
[00:02:27.800 --> 00:02:29.520]  And Putin's been very open about that.
[00:02:29.599 --> 00:02:35.180]  What, six years ago, he came in and took a large part of southern Ukraine that's always been part of Russia.
[00:02:36.280 --> 00:02:42.560]  And now they've got that area of control that they want in eastern Ukraine, that buffer zone.
[00:02:42.960 --> 00:02:49.539]  And so NATO has been sending in French troops and British troops and others and giving them heavier and heavier weapons.
[00:02:49.800 --> 00:03:06.180]  And five weeks ago, Biden authorized with Keir Starmer of the UK the transfer of the joint U.S.-British-made Storm Shadow missile, which Russia said is a huge escalation, so that they would escalate as well, and that if any of those missiles hit Russia, they might reserve the right,
[00:03:06.280 --> 00:03:07.360]  or might use nuclear weapons.
[00:03:07.460 --> 00:03:09.599]  So, this is massive escalation.
