[00:00:00.000 --> 00:00:23.280]  MUSIC PLAYS Thank you.
[00:00:57.899 --> 00:00:58.020]  We're good to go.
[00:01:20.929 --> 00:01:21.049]  We're good to go.
[00:01:50.519 --> 00:01:50.640]  We're good to go.
[00:02:28.020 --> 00:02:28.080]  Thank you.
[00:02:50.120 --> 00:02:51.960]  We're good to go.
[00:03:14.030 --> 00:03:16.090]  Thank you.
[00:04:07.909 --> 00:04:09.509]  Thank you.
[00:04:42.150 --> 00:04:43.829]  Thank you.
[00:05:23.719 --> 00:05:23.899]  Thank you.
[00:05:59.110 --> 00:06:06.649]  You're listening to Real Alex Jones, unfiltered, uncensored, and unrelenting truth, right here on the Alex Jones Network.
[00:06:18.610 --> 00:06:22.449]  Today, October 16th, 2024.
[00:06:22.889 --> 00:06:26.689]  We're only 20 days out from the most important election in world history.
[00:06:26.769 --> 00:06:27.370]  Hell, 19.
[00:06:28.129 --> 00:06:30.189]  And I am honored to be here with you.
[00:06:30.790 --> 00:06:36.110]  Alright, this is a major news-making broadcast you're watching right now.
[00:06:36.930 --> 00:06:48.329]  Because what's happening to me in the last really nine years of intense deep state attacks, they admit on CNN, MSNBC, the New York Times, the Wall Street Journal, Financial Times of London, PBS, everything.
[00:06:48.569 --> 00:06:49.490]  You've seen it everywhere.
[00:06:50.050 --> 00:07:01.430]  Unrelenting attack is a beta test that if they can do it to me as a training tool for the public and for the deep state, the corporations and government working together under BlackRock, they can do it to anybody.
[00:07:02.569 --> 00:07:03.050]  So...
[00:07:04.300 --> 00:07:07.680]  I'm going to reveal a lot of exclusive information here tonight.
[00:07:07.879 --> 00:07:21.740]  And I can tell you, while I was on air today, I got a call from a very important lawyer that happens to represent a very important person who's fighting the deep state at a level I've never been able to.
[00:07:21.939 --> 00:07:23.300]  Now, who else could that be?
[00:07:24.100 --> 00:07:27.120]  It's not Tucker Carlson, not Joe Rogan.
[00:07:27.379 --> 00:07:28.319]  Who else could it be?
[00:07:28.420 --> 00:07:31.220]  Who owns a big giant social media company?
[00:07:31.339 --> 00:07:32.819]  Oh, I'll just leave it for you to figure out.
[00:07:34.410 --> 00:07:36.490]  And I said, what's this call about while I was on air?
[00:07:36.529 --> 00:07:38.509]  And they said, don't you know what's breaking right now?
[00:07:38.709 --> 00:07:39.649]  Call us back later.
[00:07:41.230 --> 00:07:50.129]  Because they understand how that affects everybody, especially those trying to bring free speech back in this age of great tyranny.
[00:07:50.269 --> 00:07:53.110]  So this is a lot bigger than Alex Jones.
[00:07:55.149 --> 00:07:59.430]  And we have all the lies of the federal government and the big corporations.
[00:07:59.430 --> 00:08:01.189]  We have all the proof of what they're doing.
[00:08:02.560 --> 00:08:08.639]  In the last 14 weeks, it has been something out of a dystopic novel, what we've gone through.
[00:08:08.819 --> 00:08:12.939]  But you have to understand, they're trying to get through me, as Trump always says, to get to you.
[00:08:14.639 --> 00:08:22.860]  So, without recapping all the ancient history, this is where we are.
[00:08:23.300 --> 00:08:36.950]  On the 13th of November, Federal Bankruptcy Court has authorized the sale of Infowars, the website, the shopping cart, the equipment, to the highest bidder.
[00:08:37.250 --> 00:08:40.669]  And George Soros, through Media Matters, has said he plans to buy it and shut it down.
[00:08:42.850 --> 00:08:47.070]  And I knew what they would do because the Democratic Party funded these lawsuits.
[00:08:47.210 --> 00:08:48.870]  The FBI ran it, created it all.
[00:08:48.950 --> 00:08:50.169]  They testified to that in court.
[00:08:50.250 --> 00:08:53.970]  The CIA got caught in hidden video admitting it all earlier this year as well.
[00:08:53.970 --> 00:08:55.049]  That was a big national story.
[00:08:58.259 --> 00:09:08.039]  And they said on the courthouse steps after they won their rigged trials, where the judges already found me guilty in Texas and Connecticut and key Democrat jurisdictions, that we don't want money.
[00:09:08.039 --> 00:09:09.879]  We want Alex Jones off the air.
[00:09:10.100 --> 00:09:12.200]  I'll play those clips again, just some of them for you.
[00:09:12.740 --> 00:09:16.059]  But then they simultaneously in the news say, he won't pay us money.
[00:09:16.179 --> 00:09:19.580]  He has hundreds of millions of dollars he made off us, totally made up.
[00:09:19.740 --> 00:09:24.820]  The New York Times even had to admit two months ago, turns out Jones was fully reviewed by the bankruptcy court outside accounting firms.
[00:09:24.940 --> 00:09:25.919]  He had meager assets.
[00:09:25.919 --> 00:09:26.519]  He told the truth.
[00:09:28.700 --> 00:09:38.559]  But they still spin it like InfoWars is being sold to pay debts to these people when it's all an appeal and all the even mainline lawyers say will be overturned.
[00:09:39.779 --> 00:09:41.899]  But in the process, they're trying to shut me down.
[00:09:42.120 --> 00:09:55.679]  Now, I said to my lawyers months and months and months ago when the judge ordered InfoWars up for sale after the feds tried to shut the doors without even a court order and he fired the federal trustees from the Justice Department that were over it.
[00:09:56.340 --> 00:09:59.759]  Remember, they came to the studio with armed security to lock it, and I said, I'm calling the police.
[00:09:59.779 --> 00:10:00.480]  You don't have a warrant.
[00:10:00.559 --> 00:10:02.019]  You don't have a judge's order.
[00:10:02.059 --> 00:10:02.419]  You have nothing.
[00:10:03.700 --> 00:10:05.820]  Then they went to the judge and said, fine, we just want it closed.
[00:10:05.919 --> 00:10:09.940]  He said, no, but since Jones is in personal bankruptcy, he's already liquidated his assets that were meager.
[00:10:10.600 --> 00:10:12.899]  If he owns this company, it'll go up for sale.
[00:10:13.220 --> 00:10:17.220]  And then I said, you watch to my lawyers before I even announce this on air.
[00:10:17.299 --> 00:10:18.179]  They said, don't give them any ideas.
[00:10:18.259 --> 00:10:19.019]  I said, no, just watch.
[00:10:19.340 --> 00:10:26.659]  They will claim they own my name, Alex Jones, and they will claim they own any social media or anything I say or do in the future.
[00:10:27.659 --> 00:10:29.399]  They then filed in court.
[00:10:30.279 --> 00:10:34.820]  To take real Alex Jones, my personal account, and a bunch of others.
[00:10:34.980 --> 00:10:36.659]  And the judge said no to that.
[00:10:37.620 --> 00:10:53.399]  Now, as of the last couple days, they got the new federal trustee, the judge fired the last one, Chris Murray, who I'm not saying is a villain at this point, but the Sandy Hook people, the Democrats and others, coming wanting to buy it, said,
[00:10:53.519 --> 00:11:10.830]  we want you to file in the court, which they did this morning, it's all over the news, And say, you heard my defense a few weeks ago, 13th Amendment against slavery, say that this doesn't violate the 13th Amendment and that his private social media and his name,
[00:11:10.929 --> 00:11:13.470]  Alex Jones, does not belong to him.
