[00:00:00.000 --> 00:00:01.960]  Today, October 17th, 2024.
[00:00:02.419 --> 00:00:03.740]  I'm your host, Alex Jones.
[00:00:03.919 --> 00:00:19.339]  We're only 25 days out now from the potential shutdown of InfoWars, and we are 18 days, really in a few hours, it'll be midnight, we are 17 days away from this pivotal referendum against the New World Order.
[00:00:20.010 --> 00:00:25.370]  And then we've got the 76 days when he's president-elect, when the Democrats have promised civil war conditions.
[00:00:25.370 --> 00:00:31.170]  They've signed executive orders and have the Pentagon put out reports for martial law to kill American citizens.
[00:00:31.170 --> 00:00:34.030]  And then crazily, they're everywhere saying Trump's going to do that.
[00:00:34.490 --> 00:00:38.729]  Clearly, they're telegraphing and preparing to try to steal the election again.
[00:00:38.729 --> 00:00:41.170]  They've said they're not going to certify a Trump win.
[00:00:41.170 --> 00:00:48.810]  They are going to create, in the words of Jamie Raskin, top Democrat strategist and congressman, and serious criminal in my view, civil war conditions.
[00:00:50.000 --> 00:00:58.979]  They follow Saul Alinsky's rule for radicals, that's their handbook, admittedly, for the Clintons and all of them, to blame your opponent for what you are doing.
[00:01:00.880 --> 00:01:08.379]  You're listening to Real Alex Jones, unfiltered, uncensored, and unrelenting truth, right here on the Alex Jones Network.
[00:01:10.319 --> 00:01:13.079]  I don't fight charity because I hate the tyrants.
[00:01:14.180 --> 00:01:15.180]  Oh, I do hate them.
[00:01:15.420 --> 00:01:18.540]  I do it because I love the people behind me I'm defending.
[00:01:18.939 --> 00:01:24.780]  I don't know how all this is going to end, but if you want to fight, you better believe you got one.
[00:01:25.640 --> 00:01:30.060]  I've been holding back my real capabilities.
[00:01:30.879 --> 00:01:32.140]  I'm most ashamed of it.
[00:01:32.239 --> 00:01:33.159]  It's a little scary.
[00:01:33.500 --> 00:01:42.219]  I have decided, and I'm just now accessing the genetic memory codes to release my full potential against the new world.
[00:01:47.239 --> 00:01:48.579]  Good luck, globalists!
[00:01:49.280 --> 00:01:56.519]  Because if you thought Alex Jones was a problem before, I want you to throw everything you've got at me.
[00:02:10.780 --> 00:02:17.860]  We're good to go.
[00:02:27.349 --> 00:02:33.110]  Whoever loads the teleprompters, whoever controls the executive orders in the Pentagon right now, is openly preparing martial law.
[00:02:33.250 --> 00:02:40.189]  What are you talking about saying, I'm going to do that, when you're actually, for the first time in U.S. history, putting out orders saying, get ready for it.
