[00:00:00.703 --> 00:00:01.484]  It's Monday night.
[00:00:02.244 --> 00:00:10.651]  We've been working on this story for two weeks and now the whistleblower has given us the authorization to go forward with the information you are about to see.
[00:00:10.691 --> 00:00:18.077]  This is the first report and several we're going to be breaking with the documents if MSM challenges this in any way.
[00:00:19.011 --> 00:00:36.222]  Ladies and gentlemen, we have a major health executive over a 35 hospital network in Western Pennsylvania that is exposing the fact that COVID-19 is a completely overblown power grab scam.
[00:00:36.603 --> 00:00:42.847]  Now we received this information directly from this whistleblower, checked out their credentials.
[00:00:44.156 --> 00:00:47.377]  And that was just the beginning of how insane this got.
[00:00:47.538 --> 00:00:49.078]  Listen to this information.
[00:00:50.419 --> 00:00:54.261]  This individual is involved in the management of 35 Hospital Network in Western Pennsylvania.
[00:00:54.641 --> 00:00:57.282]  The UPMC is the name of the company.
[00:00:58.356 --> 00:01:09.444]  During the latest so-called surge of COVID-19, where they claim the hospitals are all overwhelmed, we've got to have a lockdown again, they went from 96 beds to around 600.
[00:01:10.024 --> 00:01:17.850]  That is only 10% of the capacity they have just for COVID-19, and their hospitals are basically wide open.
[00:01:18.150 --> 00:01:19.311]  And here's the most important point.
[00:01:19.771 --> 00:01:23.374]  No deaths of the 600 people.
[00:01:24.094 --> 00:01:27.517]  Most patients stayed overnight for observation because they tested positive.
[00:01:28.388 --> 00:01:41.727]  Media will say hospitalization patients have surged over 600%, but it's the test that's been turned up 45 times, and German courts have ruled that it is a fake test 96% of the time.
[00:01:41.987 --> 00:01:43.770]  So this is a major industrial scam.
[00:01:44.350 --> 00:01:54.159]  You've seen the big reports about the famous female CEO that had a test that could find cancer in your blood and it was incredible and they made hundreds of billions of dollars and it turned out it was all scam?
[00:01:54.740 --> 00:02:00.025]  That's what this PCR scam is and the inventor of it came out and said just that.
[00:02:00.661 --> 00:02:14.256]  If they could find this virus in you at all, and with PCR, if you do it well, you can find almost anything in anybody, it starts making you believe in the sort of Buddhist notion that everything is contained in everything else, right?
[00:02:14.296 --> 00:02:26.928]   I mean, because if you can amplify one single molecule up to something that you can really measure, which PCR can do, So it's not about deaths now, it's all about the cases, the cases, the cases.
[00:02:26.948 --> 00:02:28.509]  Remember what we first broke 8 months ago?
[00:02:28.529 --> 00:02:32.933]  Texas counties, where they were told if one person tests positive, claim 15 people around them have it, and that's also you.
[00:02:32.753 --> 00:02:36.333]   about deaths now, it's all about the cases, the cases, the cases.
[00:02:36.333 --> 00:02:41.333]   I remember when we first broke eight months ago, Texas counties, where they
[00:02:41.333 --> 00:02:46.253]   were told if one person tests positive claim 15 people around them have it.
[00:02:46.253 --> 00:02:47.573]  And that's also used.
[00:02:47.573 --> 00:02:52.092]  So this is the biggest hoax ever perpetrated in history.
[00:02:52.092 --> 00:02:53.132]  Not just a medical hoax.
[00:02:53.404 --> 00:02:59.429]  And that's why they've got top scientists and virologists and epidemiologists going public saying it's the biggest hoax ever.
[00:03:00.050 --> 00:03:05.794]  Not that there isn't a virus that if you're run down and don't have your vitamin D3 and your vitamin C and your zinc.
[00:03:06.395 --> 00:03:10.818]  Sure, you're an old person in a nursing home, 85 years old, already had cancer, heart attacks.
[00:03:11.199 --> 00:03:14.561]  It can kill you just like the flu or a regular cold or pneumonia.
[00:03:15.458 --> 00:03:19.520]  But the response to it and the fear-mongering and the power grab is a hoax.
[00:03:19.800 --> 00:03:30.986]  And even Klaus Schwab, the globalist of the Davos Group, says this is a great reset, that the virus really isn't a threat, and that it's the excuse to bring in this planetary rule and total control.
[00:03:31.126 --> 00:03:43.232]  The COVID-19 crisis would be seen in this respect as a small disturbance in comparison to a major cyber attack.
[00:03:44.244 --> 00:04:03.256]  to use the COVID-19 crisis as a timely opportunity to reflect on the lessons cybersecurity community can draw and improve our preparedness for a potential cyber pandemic.
[00:04:03.649 --> 00:04:11.995]  We are now still fighting the virus, but we can be rather optimistic after what we have seen with the announcement of vaccines.
[00:04:12.495 --> 00:04:17.698]  Now we have to think how to structure, how to design the post-Corona era.
[00:04:18.259 --> 00:04:23.142]  And here, of course, the word reset comes to my mind, because one thing is clear.
[00:04:23.522 --> 00:04:26.144]  We cannot come back to the old normal.
[00:04:26.484 --> 00:04:33.069]  We have to use this opportunity, as our parents and grandparents have done after the World War II.
[00:04:33.869 --> 00:04:38.696]  To really reflect on what went wrong and what could we do better.
[00:04:39.137 --> 00:04:46.708]  Everything we're seeing this fall going into the winter is a repeat of what we saw in January, February and March earlier this year.
[00:04:48.206 --> 00:04:52.590]  They tell you just 15 days to stay at home, the hospitals will be overwhelmed.
[00:04:52.890 --> 00:04:54.392]  Was it true the hospitals were empty?
[00:04:55.653 --> 00:04:57.775]  Independent journalists went out and documented that.
[00:04:57.815 --> 00:05:01.058]  The media tried to deny it at first, but later had to admit it was true.
[00:05:01.699 --> 00:05:11.849]  And as InfoWars has pointed out in the last few years, Big Tech, Apple, Google, Facebook, Twitter have been merging and investing in Big Pharma and the hospital systems.
[00:05:12.449 --> 00:05:15.191]  So now they're even banning consumer watchdog groups.
[00:05:15.451 --> 00:05:30.621]  They're banning medical doctors and epidemiologists, virologists and scientists who come out and point all this out because they want to use this hysteria to take over society, bring in a cashless society, bring in a digital tracking app to be able to go to a movie, get on a plane, have a job.
[00:05:31.021 --> 00:05:32.302]  I told you that 10 months ago.
[00:05:32.802 --> 00:05:37.686]  Now it's all official to go to a bar, to go to a movie, to get on a plane.
[00:05:37.906 --> 00:05:40.648]  You've got to be COVID tested and have their vaccine.
[00:05:41.388 --> 00:05:51.130]  Which they admit doesn't even protect you because the common cold virus is the same thing as COVID-19 and there's no proven inoculation for that.
[00:05:51.550 --> 00:05:55.731]  So they've created the ultimate problem to which there is no solution.
[00:05:56.231 --> 00:06:06.494]  But the answer to big tech censoring the truth and trying to muzzle us for this medical dictatorship is to do what people did eight months ago, six months ago, from Hawaii to New Jersey.
[00:06:07.014 --> 00:06:08.775]  From London, England to Frankfurt, Germany.
[00:06:09.095 --> 00:06:12.698]  They went to the hospitals they claim were full and they were totally empty.
[00:06:12.958 --> 00:06:19.002]  And they caught the hospitals for the media once a week showing people in hazmat suits going in circles in and out.
[00:06:20.163 --> 00:06:23.084]  They have been caught red-handed and it's now confirmed.
[00:06:23.405 --> 00:06:32.871]  So the answer is all of you to peacefully, legally and lawfully go out and document this trend yet again because they're running the same playbook just 10 months later.
[00:06:34.110 --> 00:06:41.283]  The famous wordsmith and journalist Mark Twain once said, a lie goes halfway around the world before the truth puts its pants on.
[00:06:42.104 --> 00:06:46.251]  But once the truth puts its pants on, it has a tendency in the end to win.
[00:06:47.133 --> 00:06:56.176]  Ladies and gentlemen, America and the world is awake, people now know there's a scam going on, and the establishment is in full panic mode, hoping you don't inform others.
[00:06:56.956 --> 00:06:59.097]  The only solution is realizing it's a scam.
[00:06:59.697 --> 00:07:08.120]  And Big Pharma is creating phobias where you're scared of the common cold and believe you can't leave your house unless you've had all their inoculations and are tracked and traced by them.
[00:07:08.600 --> 00:07:11.361]  You are being terrorized under their control.
[00:07:11.681 --> 00:07:14.022]  This is a medical tyranny cult.
[00:07:14.702 --> 00:07:21.229]  As again, top scientists, members of the British Parliament, and members of Congress like Senator Rand Paul have pointed out.
[00:07:21.789 --> 00:07:34.602]  It's up to you to face the real numbers and the real facts and understand that's why Big Tech has been censoring these developments and trying to block the real science because science proves this is a giant fraud and a huge power grab.
[00:07:34.822 --> 00:07:53.277]   But again, This is directly from a high level executive at UPMC, 35 major hospital network groups, not just 35 hospitals in Western Pennsylvania, giving us the inside scoop that we already know from other announcements and other admissions.
[00:07:53.797 --> 00:08:09.112]  That their hospitals are basically empty and they're only at 10% of capacity for COVID-19 and no one has died because they're not following the Fauci, Bill Gates, Ewan directive to intubate someone that has a fever, which then destroys their lungs and kills them.
[00:08:09.733 --> 00:08:13.475]  The modern guillotine has been replaced with these ventilators.
[00:08:14.036 --> 00:08:25.262]  You need zinc, you need D3, you need C. Even the NIH website admits if you don't have that, any common virus can replicate in your cells, in your mitochondria, and kill you.
[00:08:25.722 --> 00:08:28.944]  We're covering it all live, weekdays, 11 to 3 p.m.
[00:08:29.484 --> 00:08:30.185]  at InfoWars.
[00:08:30.865 --> 00:08:31.586]  I'm Alex Jones.
[00:08:32.026 --> 00:08:33.187]  I am breaking all this down.
[00:08:33.467 --> 00:08:34.608]  We have banned that video.
[00:08:34.888 --> 00:08:36.069]  Everybody else has been censored.
[00:08:36.329 --> 00:08:37.731]  Almost everybody else has been shut down.
[00:08:37.931 --> 00:08:38.771]  But we're still on air.
[00:08:39.012 --> 00:08:39.792]  Thanks for your support.
[00:08:39.852 --> 00:08:45.817]  So please, visit the site, research the info, and when you find out it's deadly accurate, share it with others.
[00:08:46.077 --> 00:08:47.398]  Because the virus isn't the threat.
[00:08:47.879 --> 00:08:51.402]  The UN, the Great Reset, the New World Order is the threat.
[00:08:52.122 --> 00:08:56.085]  And if we don't stand up against it, they could really use this to end our civilization as we know it.
[00:08:56.365 --> 00:09:06.551]  Communist China is officially announcing America will be destroyed, that we're cowards, that the virus hoax, the virus exaggeration, the chicken little event will make us never leave our homes again.
[00:09:07.592 --> 00:09:10.554]  Are we really going to just end our civilization based on this lie?
[00:09:10.914 --> 00:09:14.136]  Or will we take the facts, educate others, and overturn this tyranny?
[00:09:14.156 --> 00:09:15.817]  I know we're going to do the right thing.
[00:09:16.017 --> 00:09:16.758]  I believe in you.
[00:09:17.118 --> 00:09:17.899]  I believe in God.
[00:09:17.978 --> 00:09:21.978]  I believe in America and I believe in humanity.
