[00:00:02.016 --> 00:00:03.437]  Sorry folks, park's closed.
[00:00:03.877 --> 00:00:07.560]  We were here a week ago and this one entrance was closed.
[00:00:07.580 --> 00:00:08.741]  There were no cars here.
[00:00:09.401 --> 00:00:14.244]  But here we are a week later and it's open and hundreds of people are enjoying the Austin Greenbelt.
[00:00:14.825 --> 00:00:17.046]  And that's what this exercise of freedom is about.
[00:00:17.486 --> 00:00:21.529]  All over the world they're closing outdoor facilities under the COVID hoax.
[00:00:21.789 --> 00:00:30.795]   We're here because in Australia and in Spain and in Canada And in Austin, and in California, they're trying to keep the beaches and the parks closed.
[00:00:31.395 --> 00:00:36.218]  And humanity is saying, no, we will not bow down to you!
[00:00:36.699 --> 00:00:38.320]  We will go outside!
[00:00:38.500 --> 00:00:40.241]  We will enjoy God's creation!
[00:00:40.261 --> 00:00:41.942]  We got it!
[00:00:45.084 --> 00:00:53.289]  We are here to exercise our First Amendment, and our right to travel, and our right to use the public amenities.
[00:00:57.991 --> 00:01:10.835]  Ladies and gentlemen, we are here because the United Nations on record launched the COVID hoax and counts all the regular pneumonia and flus that do kill people as it to scare everyone.
[00:01:11.155 --> 00:01:22.579]  But we are here in defiance of this evil and we are here saying humanity knows we're under attack and we're taking the planet back from the global host.
[00:01:24.983 --> 00:01:28.265]  This is a quarter mile hike down, quarter mile up, so get plenty of water.
[00:01:28.285 --> 00:01:31.006]  We're out here exercising our free speech, and I salute and thank you all for being here!
[00:01:31.026 --> 00:01:31.186]  Yeah!
[00:01:31.206 --> 00:01:31.587]  Let's go!
[00:01:32.087 --> 00:01:32.347]  Let's go!
[00:01:32.787 --> 00:01:32.947]  Let's go!
[00:01:33.588 --> 00:01:36.709]  Let's go!
[00:01:38.210 --> 00:01:42.753]  Let's go!
[00:01:44.774 --> 00:01:44.974]  Let's go!
[00:01:45.474 --> 00:01:46.615]  Let's go!
[00:01:47.035 --> 00:01:47.255]  Let's go!
[00:01:47.655 --> 00:01:47.895]  Let's go!
[00:01:48.456 --> 00:01:48.656]  Let's go!
[00:01:49.136 --> 00:01:49.336]  Let's go!
[00:01:49.736 --> 00:01:49.936]  Let's go!
[00:01:50.397 --> 00:01:50.617]  Let's go!
[00:01:51.257 --> 00:01:51.437]  Let's go!
[00:01:51.817 --> 00:01:52.018]  Let's go!
[00:01:52.358 --> 00:01:53.358]  Get up! Get up!
[00:01:53.358 --> 00:01:54.358]  Get up!
[00:01:54.358 --> 00:01:57.358]  Guys, don't try this at home.
[00:01:57.358 --> 00:01:58.358]  Yeah!
[00:01:58.358 --> 00:02:12.358]  [Music]
[00:02:12.358 --> 00:02:14.358]  White is what those are.
[00:02:14.358 --> 00:02:17.358]  It doesn't matter what race you are, black, white.
[00:02:17.358 --> 00:02:20.358]  No matter what, we just have to maintain America.
[00:02:20.164 --> 00:02:22.164]  In Jesus' name, America!
[00:02:22.164 --> 00:02:24.164]  [Cheering]
[00:02:24.164 --> 00:02:32.164]  This is what it's all about, humanity, just being humans.
[00:02:32.994 --> 00:02:40.596]  They want to end humans as we know it, they want to genetically program everybody, and they want us out of nature, in our houses, on VR, under their control.
[00:02:40.856 --> 00:02:48.479]  And these folks are here as the tip of the spear for all of humanity, saying we're keeping the human planet open, we're not the post-civil war!
[00:02:53.266 --> 00:02:57.329]  Next Saturday, Martin Springs to Freeside is crystal clear.
