[00:00:00.000 --> 00:00:03.459]  [MUSIC PLAYING]
[00:00:03.459 --> 00:00:16.559]  InfoWars.
[00:00:16.559 --> 00:00:19.320]  Tomorrow's news, today.
[00:00:18.864 --> 00:00:22.927]  And we are back on this Saturday afternoon emergency transmission.
[00:00:23.668 --> 00:00:34.697]  And I have never had so many people reaching out to me, friends, family, neighbors, emails, text messages, comments on InfoWars wanting to know about Wayfair.
[00:00:35.758 --> 00:00:43.665]  And I know Army commandos and CIA operatives and FBI agents that have been contacting me and others who think this is real.
[00:00:45.543 --> 00:00:50.525]  Because of how incredibly, obviously weird it is.
[00:00:51.965 --> 00:00:57.067]  Now that said, I'm not sure exactly what's going on here, but I have a pretty good idea.
[00:00:57.147 --> 00:00:58.167]  This is one of three things.
[00:00:59.708 --> 00:01:10.111]  Either it's a money laundering operation, and so they had these numbers, and what would be in the cabinet would be drugs or something, or you're paying more for something because you're using drug money to pay for it.
[00:01:10.351 --> 00:01:12.772]  That goes on all over the place online.
[00:01:13.353 --> 00:01:14.513]  It's happening every millisecond.
[00:01:15.242 --> 00:01:25.811]  Okay, where you've got a $100 cabinet, a $200 cabinet, I've actually bought cabinets like these, that you add a couple zeros to or whatever, and now it is $12,000, $13,000, $14,000.
[00:01:28.073 --> 00:01:47.029]   So it's either money laundering, or it is the big mistake they said, and some fool added zeros to it, or is it really that they're Advertising this as a package, a container, symbolizing they're gonna deliver you a child.
[00:01:48.690 --> 00:01:49.951]  Drugged up in one of these cabinets.
[00:01:51.232 --> 00:01:52.053]  I said there's three things.
[00:01:53.394 --> 00:01:55.555]  Because that's the three things people are gonna debate and say.
[00:01:56.556 --> 00:01:57.356]  But there's a fourth.
[00:01:57.176 --> 00:01:58.176]  It was a fourth.
[00:01:58.176 --> 00:01:59.176]  It was a fourth.
[00:01:59.176 --> 00:02:00.176]  Think about that.
[00:02:00.176 --> 00:02:01.176]  And that's the end of the video.
[00:02:01.176 --> 00:02:02.176]  I hope you enjoyed it.
[00:02:02.176 --> 00:02:03.176]  I'll see you next time.
[00:02:03.176 --> 00:02:03.176]  Bye.
[00:02:03.176 --> 00:02:04.176]  Bye.
[00:02:04.176 --> 00:02:05.176]  Bye.
[00:02:05.176 --> 00:02:06.176]  Bye.
[00:02:06.176 --> 00:02:07.176]  Bye.
[00:02:07.176 --> 00:02:08.175]  Bye.
[00:02:08.303 --> 00:02:10.445]  And you see, I've experienced the fourth.
[00:02:12.011 --> 00:02:20.480]  And so I believe this is the fourth from all the evidence and how outrageous it is and how obvious it is and how it's designed and meant.
[00:02:20.500 --> 00:02:28.689]  Like when you put a big old juicy nightcrawler worm on the end of a hook and drop it in there for the bass or the perch or the crappie or the catfish.
[00:02:30.791 --> 00:02:33.614]  Because it smells good, it's wiggling around, they're going to want to take a bite out of it.
[00:02:34.482 --> 00:02:38.184]  When you look at this, it's not just that they added zeros to it.
[00:02:38.224 --> 00:02:42.686]  It's not money laundering, it looks like, because it's the names of girls.
[00:02:43.367 --> 00:02:45.828]  And it's not like they have three cabinets or 20 cabinets.
[00:02:45.948 --> 00:02:57.874]  It's all these products named after little girls, and a bunch of them are really weird names that are of actual missing kidnapped children on the backs of milk cartons and in your internet.
[00:02:58.575 --> 00:02:58.915]  Warnings.
[00:03:01.158 --> 00:03:10.120]  Now, why in the hell would they put out ads to really deliver you children in cabinets and then put the actual names of kids on this?
[00:03:10.940 --> 00:03:13.441]  This is one thing and one thing only.
