[00:00:00.000 --> 00:00:10.000]  [SOUND]
[00:00:10.000 --> 00:00:24.000]  Seismologists from around the world agree.
[00:00:24.581 --> 00:00:32.104]  California, that is on the Great Ring of Fire in the Pacific Ocean, is way overdue for a massive earthquake, or the big one.
[00:00:32.384 --> 00:00:36.305]  In fact, it's more overdue than any other place in the world.
[00:00:36.345 --> 00:00:38.486]  They've been having record numbers of earthquakes.
[00:00:38.546 --> 00:00:41.867]  A 5.5 earthquake just hit yesterday.
[00:00:42.227 --> 00:00:43.348]  Now, why is that important?
[00:00:44.161 --> 00:00:50.886]  Well, many estimates have it that if a large earthquake hits the right spot, large parts of California could break off into the sea.
[00:00:51.587 --> 00:00:56.951]  In fact, there are many islands off the coast of California that they believe broke off thousands of years ago.
[00:00:57.411 --> 00:01:02.235]  They've even found the bones of extinct elephants on some of the islands going back more than 30,000 years ago.
[00:01:03.536 --> 00:01:20.541]  We're talking about what's happening right now and something just unfolded yesterday in Norway that gives us a microcosm of what it could look like in California because you have some of the very same geological elements taking place there not just tectonically and seismically but also from erosion.
[00:01:20.841 --> 00:01:34.310]   So here is the incredible footage in Norway where a large part of the beach and surrounding a farm and Houses slides off, spills out, and then collapses into the ocean.
[00:01:34.751 --> 00:01:40.979]  Imagine something like this a thousand times that scale or a hundred thousand times that scale.
[00:01:41.259 --> 00:01:47.707]  We know that's happened historically before with pieces of California and we could witness it in our lifetimes.
[00:01:48.428 --> 00:01:58.515]  Another reason to flee California, not just the socialism, the communism, all the leftist brainwashing, but also the fact that the place seems to be cursed.
[00:01:59.036 --> 00:02:06.761]  An amazing state in the past, a lot of great people, but the pioneer spirit that founded California is now, by and large, dead and gone.
[00:02:07.542 --> 00:02:08.823]  But there's an even bigger problem now.
[00:02:09.964 --> 00:02:12.586]  They're traveling like locusts to Texas and other areas.
[00:02:13.638 --> 00:02:16.941]  And bringing their Marxist-Leninist way of life with them.
[00:02:17.641 --> 00:02:23.325]  So, it's not the tectonic plates and magma that really endanger us here on Earth.
[00:02:23.546 --> 00:02:30.546]  It is the poisonous ideology of the New World Order.
[00:02:30.546 --> 00:02:45.546]   The New World Order is a group of people who have been living in the United States for a long time.
[00:02:45.546 --> 00:03:00.546]  They have been living in the United States for a long time.
[00:03:00.546 --> 00:03:17.546]  The United States is under attack.
[00:03:18.261 --> 00:03:22.264]  Our country's not perfect, but it's our nation and has a Bill of Rights and Constitution.
[00:03:22.324 --> 00:03:31.113]  It's been very successful and has been the number one country where the average person has a chance to become successful and to become happy and to live out their dreams.
[00:03:32.199 --> 00:03:41.561]  Powerful multinational corporations that exploit human populations all over the world to levels beyond any horror movie or H.P.
[00:03:41.601 --> 00:03:56.225]   Lovecraft novel are the very ones now setting up this tyranny in America and knowing that we care about race relations and knowing that we care and we have a basic Christian ethos still, they play on that and say You're racist.
[00:03:56.886 --> 00:03:57.446]  You're bad.
[00:03:58.187 --> 00:04:13.144]  And when, out of 350 million people, something sad happens to somebody at the hands of police officers, like George Floyd, even if they're all charged, and even if they all go to prison, it doesn't matter, it's your fault.
[00:04:13.785 --> 00:04:14.786]  Because you're white.
[00:04:15.711 --> 00:04:30.935]  But it's white billionaires controlling things saying that they want to divert from their crimes, their corruption, their illegal surveillance of the population on to telling us that we're all individually bad.
[00:04:31.395 --> 00:04:41.198]  And now after three months of a lockdown and top scientists coming out and saying COVID-19 is a giant hoax designed to destroy the economy, now they move on to destroying the economy.
[00:04:42.264 --> 00:04:44.925]  With looting and rioting and race war.
[00:04:45.085 --> 00:04:46.965]  It is absolutely evil.
[00:04:47.706 --> 00:04:54.247]  And now Senator Cotton of Arkansas has come out and said that President Trump is absolutely right.
[00:04:54.348 --> 00:05:05.731]  We should invoke the Insurrection Act because all over the United States, more than 20 states run by blue governors and blue cities say riot, kill, attack.
