[00:00:00.000 --> 00:00:08.939]  [outro music]
[00:00:08.918 --> 00:00:10.519]  Tomorrow's news today.
[00:00:11.819 --> 00:00:13.540]  It is Saturday, May 30th.
[00:00:13.560 --> 00:00:15.321]  The year is 2020.
[00:00:15.381 --> 00:00:17.122]  156 days out from this election.
[00:00:18.523 --> 00:00:19.343]  It is 2 p.m.
[00:00:19.844 --> 00:00:20.224]  Central.
[00:00:20.464 --> 00:00:21.044]  We are live.
[00:00:21.084 --> 00:00:25.387]  We have a great skeleton crew that came up here as volunteers.
[00:00:25.407 --> 00:00:32.491]  The only day that we have off from our 24-7 news coverage would be Saturday.
[00:00:34.231 --> 00:00:46.127]   And we've also got much of our crew Where I-35, one of the biggest highways in the United States, has been shut down by communist-led anti-police protesters.
[00:00:46.948 --> 00:00:49.930]  And you can see some of the footage that our crew has already sent in.
[00:00:50.930 --> 00:00:59.616]  We have some of our crew there with drones right now that are sending back footage.
[00:00:59.676 --> 00:01:03.219]  Those live feeds are at InfoWars.com and NewsWars.com.
[00:01:03.799 --> 00:01:07.982]  There have been security personnel shot and killed.
[00:01:09.574 --> 00:01:12.316]  In different parts of the country, police have been shot.
[00:01:14.817 --> 00:01:17.398]  The media, including CNN, is saying they deserve it.
[00:01:18.239 --> 00:01:27.524]  But when CNN's center in Atlanta got taken over and people were waving Mexican flags over the CNN symbol, suddenly CNN has changed their tune.
[00:01:28.484 --> 00:01:29.565]  Here's the big takeaway.
[00:01:30.886 --> 00:01:34.548]  There are globalist forces allied with Communist China against America.
[00:01:34.988 --> 00:01:38.130]  This is the equivalent of a new world war, but it's being done through proxies.
[00:01:39.867 --> 00:01:51.351]  And the media takes real events where police are in the wrong, they blow it up and exacerbate it, and then say that white people on average are statistically out there killing black people.
[00:01:52.012 --> 00:01:56.713]  And Ice Cube and everybody else comes out and pushes that, even though black on white crime is 10 to 1.
[00:01:56.913 --> 00:02:03.356]  And the media then legitimizes the type of explosion you're seeing to further destabilize the country.
[00:02:03.376 --> 00:02:06.237]  You had the White House almost overrun last night.
[00:02:07.304 --> 00:02:10.165]  You've got the president being censored by big tech openly now.
[00:02:11.125 --> 00:02:18.047]  You've got Twitter and others censoring other nationalist presidents, but letting Iran promote their propaganda.
[00:02:19.567 --> 00:02:22.108]  Everything is coming to a head now.
[00:02:24.949 --> 00:02:26.769]  America is being plunged into a crisis.
[00:02:26.789 --> 00:02:28.730]  You know, we said, what'll be the next thing after COVID?
[00:02:30.130 --> 00:02:36.232]  Well, it'll be the race riots and the media taking any event they can and hyping it up to be as insane.
[00:02:40.675 --> 00:02:41.336]  As possible.
[00:02:43.819 --> 00:02:58.978]  So again, we are going to go to a very important announcement that was made by the president last night from the Rose Garden.
[00:03:01.465 --> 00:03:05.830]  And when we come back from that, I'm going to lay out just the incredible amount of information that's unfolding.
[00:03:05.850 --> 00:03:11.176]  But the Globalist and their Democrat-controlled minions are launching everything they've got.
[00:03:13.610 --> 00:03:15.451]  And they are attempting to devalue the dollar.
[00:03:15.471 --> 00:03:16.632]  They're attempting to break the borders.
[00:03:16.652 --> 00:03:18.413]  They're attempting to trigger race riots.
[00:03:18.473 --> 00:03:22.897]  They are attempting to absolutely flood this country with fentanyl.
[00:03:23.617 --> 00:03:25.298]  They are allied with Communist China.
[00:03:25.318 --> 00:03:32.583]  I remember the Washington Post last year said China's Xi Jinping, their dictator, must, quote, destroy Trump to save America.
[00:03:33.164 --> 00:03:39.969]  This is really who they are, a party of bringing down the nation, because they believe they're the conquerors with the globalists that they're allied with.
[00:03:39.989 --> 00:03:41.470]  This is true treason.
[00:03:42.210 --> 00:03:45.632]  You read them in the history books about people that would open the drawbridge up to let the enemy in.
[00:03:45.672 --> 00:03:46.553]  You say, why would you do that?
[00:03:47.033 --> 00:03:48.214]  Because they wanted to be in control.
[00:03:49.294 --> 00:03:54.258]  Now, always the idiots that open up the drawbridge were the first ones that the new conquerors would kill.
[00:03:54.278 --> 00:03:57.900]  Because you don't leave traitors like that alone to keep operating.
[00:03:59.406 --> 00:04:01.007]  So this is an incredible time to be alive.
[00:04:01.047 --> 00:04:03.530]  We've got Owen Schroyer downtown in the armored vehicle.
[00:04:03.550 --> 00:04:05.171]  We're going to be covering that.
[00:04:05.791 --> 00:04:07.893]  We've got Savannah Hernandez down there covering it.
[00:04:08.013 --> 00:04:14.278]  Protesters stop traffic on I-35 amid angry demonstration outside of APD headquarters.
[00:04:15.740 --> 00:04:19.683]  APD endorsed the protest, and so APD is being attacked.
[00:04:20.644 --> 00:04:26.128]  This is not about justice for a poor man that got killed in what I think is an illegal chokehold.
[00:04:27.119 --> 00:04:29.321]  This is about hysteria.
[00:04:30.722 --> 00:04:32.923]  And this is about mindless violence.
[00:04:32.984 --> 00:04:46.954]  But the big issue and the big takeaway for everybody on this live Saturday transmission, where we've preempted all the radio and TV satellite feeds we've got, the re-feeds we've got of three different shows going, we've preempted all those, because this is so important.
[00:04:46.974 --> 00:05:13.909]   We hope that you, those that were there on the spot watching the live feed, will share and say, hey, Communist China Working with globalist traitors is trying to overthrow the United States and Trump came out yesterday and said, we're rounding up and we're arresting the communist Chinese spies that are all over the United States, which is true.
[00:05:14.912 --> 00:05:15.713]  That's really going on.
[00:05:15.893 --> 00:05:17.935]  Finally, we're admitting the attack we were under.
[00:05:18.335 --> 00:05:20.097]  And he wanted to say, we're leaving the WHO.
[00:05:20.117 --> 00:05:21.238]  We're not just going to cut its funding.
[00:05:21.558 --> 00:05:22.619]  We pay for more than half of it.
[00:05:22.659 --> 00:05:24.340]  We're out of it because China runs it.
[00:05:24.881 --> 00:05:26.863]  And it's directing this fake COVID response.
[00:05:28.344 --> 00:05:32.468]  And Trump's going after the big tech censors with a real executive order that has real teeth.
[00:05:32.528 --> 00:05:33.469]  It's very strong.
[00:05:34.169 --> 00:05:36.611]  So Trump, if you ever had any questions, is the real deal.
[00:05:37.172 --> 00:05:38.833]  But is it a day late and a dollar short?
[00:05:39.844 --> 00:05:41.645]  Well, it's not just up to Trump, it's up to us.
[00:05:42.425 --> 00:05:44.987]  And so the average person's questioning what's going on right now.
[00:05:45.927 --> 00:05:56.873]  And they're really open to the truth, but the only way they find out is you breaking the back of big tech censorship and sharing the live feed from BandOnVideo, InfoWars.com, and NewsWars.com.
[00:05:58.374 --> 00:06:05.638]  So let's pull up InfoWars.com if we can, and I'll show you the live feed article right now.
[00:06:07.332 --> 00:06:14.637]  Titled, going from memory because I just wrote it 10 minutes before we went live, Shy Comps, Emergency Saturday Live Press Conference.
[00:06:14.898 --> 00:06:16.839]  Emergency Saturday Live Press Conference.
[00:06:16.879 --> 00:06:27.166]  Communist Chinese back violent protesters, push civil war.
[00:06:28.345 --> 00:06:33.008]  Communist-led protesters are burning buildings and killing innocent people in more than 30 cities.
[00:06:33.068 --> 00:06:37.130]  Tune in live to find out the latest developments in what's coming.
[00:06:37.690 --> 00:06:41.933]  And by the way, you got cops and you got security guards killed and shot all over the country.
[00:06:41.993 --> 00:06:43.053]  It's barely footnotes.
[00:06:43.073 --> 00:06:46.836]  In fact, I sent that to some of the crew right before we went live.
[00:06:46.916 --> 00:06:49.337]  Can you get your messages and print those for me?
[00:06:49.357 --> 00:06:50.198]  I need to have that for folks.
[00:06:50.598 --> 00:06:52.459]  Drudge Report has a good running tally of it.
[00:06:54.793 --> 00:07:07.580]  But when we come back after this important press conference or announcement the President made last night, we're going to go through it all, but this is the globalists trying to nullify the election of three and a half years ago.
[00:07:08.281 --> 00:07:10.602]  This is the new world order.
[00:07:10.662 --> 00:07:13.123]  This is everything Hollywood's pre-programmed.
[00:07:13.163 --> 00:07:14.564]  This is everything they're pushing.
[00:07:15.084 --> 00:07:19.247]  The cop has been fired and arrested and charged with third-degree murder.
[00:07:20.575 --> 00:07:23.276]  Which against manslaughter didn't obviously know he was doing it.
[00:07:23.597 --> 00:07:26.158]  I don't give a rat's ass about that idiot guy.
[00:07:28.139 --> 00:07:29.780]  But how is that then?
[00:07:29.800 --> 00:07:34.843]  I mean, I can show you videos all day at WorldStarHipHop where they celebrate whites getting killed just because they're white.
[00:07:36.864 --> 00:07:38.925]  And some of the racist black folks are on there loving that.
[00:07:39.045 --> 00:07:44.768]  I don't blame black people in general because there's a bunch of racist black people on WorldStarHipHop getting their jollies off that.
[00:07:47.619 --> 00:07:54.081]  I can show you footage all day of white people getting beat up, stabbed, shot by black people and then say, well, I'm going to go out now attack black people randomly.
[00:07:55.181 --> 00:07:59.463]  You judge people off of what they do individually, not off what color they are.
[00:08:00.643 --> 00:08:02.784]  But the left and a lot of folks have forgotten that.
[00:08:02.824 --> 00:08:03.064]  And so.
[00:08:04.633 --> 00:08:06.634]  There's this idea to go out and burn everything down.
[00:08:07.075 --> 00:08:08.596]  All that does is help the globalists.
[00:08:08.676 --> 00:08:10.697]  All that does is hurt these communities.
[00:08:11.157 --> 00:08:13.039]  We've got the footage that's up on DrudgeReport.com.
[00:08:13.079 --> 00:08:14.980]  We're going to play for you coming up as well.
[00:08:16.021 --> 00:08:18.603]  And that is folks saying, oh, now we're coming to the suburbs.
[00:08:18.623 --> 00:08:19.083]  We're coming.
[00:08:19.443 --> 00:08:20.304]  We're going to get you.
[00:08:22.105 --> 00:08:25.747]  So that's coming up as well.
[00:08:26.728 --> 00:08:29.490]  So we're going to go to this announcement by Trump.
[00:08:29.590 --> 00:08:31.832]  Terminates relationship with World Health Organization.
[00:08:32.930 --> 00:08:37.972]  And ends the Taiwan deal, giving them special treatment because they're now run by China and so much more.
[00:08:37.992 --> 00:08:44.475]  Then we will come back on the other side where Ted Cruz talks about criminal investigation of Twitter for aiding and abetting foreign governments.
[00:08:44.574 --> 00:08:55.933]  Stay with us.
[00:08:56.641 --> 00:08:57.381]  Good afternoon.
[00:08:59.062 --> 00:08:59.402]  Thank you.
[00:09:01.656 --> 00:09:09.652]  I'm here today to talk about our relationship with China and several new measures to protect American security and prosperity.
[00:09:10.629 --> 00:09:13.151]  China's pattern of misconduct is well known.
[00:09:14.032 --> 00:09:18.795]  For decades, they've ripped off the United States like no one has ever done before.
[00:09:19.656 --> 00:09:27.802]  Hundreds of billions of dollars a year were lost dealing with China, especially over the years during the prior administration.
[00:09:28.642 --> 00:09:35.282]   China raided our factories, offshored our jobs, gutted our industries, stole our intellectual
[00:09:35.282 --> 00:09:41.942]   property and violated their commitments under the World Trade Organization.
[00:09:41.942 --> 00:09:46.782]   To make matters worse, they are considered a developing nation, getting all sorts of
[00:09:46.782 --> 00:09:52.402]   benefits that others, including the United States, are not entitled to.
[00:09:52.402 --> 00:09:55.882]  But I have never solely blamed China for this.
[00:09:55.882 --> 00:10:02.221]   They were able to get away with the theft like no one was able to get away with before
[00:10:02.221 --> 00:10:06.462]  because of past politicians and, frankly, past presidents.
[00:10:07.086 --> 00:10:13.791]  But unlike those who came before, my administration negotiated and fought for what was right.
[00:10:14.632 --> 00:10:18.134]  It's called fair and reciprocal treatment.
[00:10:18.995 --> 00:10:27.282]  China has also unlawfully claimed territory in the Pacific Ocean, threatening freedom of navigation and international trade.
[00:10:28.226 --> 00:10:33.110]  And they broke their word to the world on ensuring the autonomy of Hong Kong.
[00:10:34.051 --> 00:10:44.260]  The United States wants an open and constructive relationship with China, but achieving that relationship requires us to vigorously defend our national interests.
[00:10:45.061 --> 00:10:51.606]  The Chinese government has continually violated its promises to us and so many other nations.
[00:10:52.728 --> 00:10:56.589]  These plain facts cannot be overlooked or swept aside.
[00:10:57.329 --> 00:11:02.890]  The world is now suffering as a result of the malfeasance of the Chinese government.
[00:11:03.590 --> 00:11:19.254]  China's cover-up of the Wuhan virus allowed the disease to spread all over the world, instigating a global pandemic that has cost more than 100,000 American lives and over a million lives worldwide.
[00:11:20.543 --> 00:11:33.950]  Chinese officials ignored their reporting obligations to the World Health Organization and pressured the World Health Organization to mislead the world when the virus was first discovered by Chinese authorities.
[00:11:34.711 --> 00:11:40.674]  Countless lives have been taken and profound economic hardship has been inflicted all around the globe.
[00:11:41.494 --> 00:11:45.857]  They strongly recommended against me doing the early ban from China.
[00:11:46.769 --> 00:11:50.392]  But I did it anyway and was proven to be 100% correct.
[00:11:51.152 --> 00:12:06.904]  China has total control over the World Health Organization, despite only paying $40 million per year, compared to what the United States has been paying, which is approximately $450 million a year.
[00:12:07.845 --> 00:12:15.631]  We have detailed the reforms that it must make and engage with them directly, but they have refused to act.
[00:12:16.584 --> 00:12:20.667]  Because they have failed to make the requested and greatly needed reforms.
[00:12:21.507 --> 00:12:33.536]  We will be today terminating our relationship with the World Health Organization and redirecting those funds to other worldwide and deserving urgent global public health needs.
[00:12:34.690 --> 00:12:38.311]  The world needs answers from China on the virus.
[00:12:39.032 --> 00:12:40.812]  We must have transparency.
[00:12:41.413 --> 00:12:47.595]  Why is it that China shut off infected people from Wuhan to all other parts of China?
[00:12:48.395 --> 00:12:49.616]  It went nowhere else.
[00:12:49.816 --> 00:12:51.176]  It didn't go to Beijing.
[00:12:51.376 --> 00:12:52.597]  It went nowhere else.
[00:12:52.717 --> 00:12:59.379]  But they allowed them to freely travel throughout the world, including Europe and the United States.
[00:13:00.159 --> 00:13:03.701]  The death and destruction caused by this is incalculable.
[00:13:04.571 --> 00:13:08.474]  We must have answers, not only for us, but for the rest of the world.
[00:13:09.374 --> 00:13:24.225]  This pandemic has underscored the crucial importance of building up America's economic independence, reshoring our critical supply chains, and protecting America's scientific and technological advances.
[00:13:25.126 --> 00:13:34.580]   For years, the government of China has conducted illicit espionage to steal our industrial secrets, of which There are many.
[00:13:35.240 --> 00:13:50.153]  Today I will issue a proclamation to better secure our nation's vital university research and to suspend the entry of certain foreign nationals from China who we have identified as potential security risks.
[00:13:50.954 --> 00:13:57.679]  I am also taking action to protect the integrity of America's financial system, by far the best in the world.
[00:13:58.340 --> 00:14:08.968]  I am instructing my Presidential Working Group on Financial Markets to study the differing practices of Chinese companies listed on the US financial markets.
[00:14:09.727 --> 00:14:13.390]  With the goal of protecting American investors.
[00:14:14.110 --> 00:14:25.738]  Investment firms should not be subjecting their clients to the hidden and undue risks associated with financing Chinese companies that do not play by the same rules.
[00:14:26.736 --> 00:14:30.518]  Americans are entitled to fairness and transparency.
[00:14:31.178 --> 00:14:39.182]  Several of the most significant actions we're taking pertain to deeply troubling situations unfolding in Hong Kong.
[00:14:40.043 --> 00:14:44.865]  This week, China unilaterally imposed control over Hong Kong security.
[00:14:45.885 --> 00:14:50.868]  This was a plain violation of Beijing's treaty obligations.
[00:14:51.669 --> 00:15:01.995]  With the United Kingdom in the Declaration of 1984 and explicit provisions of Hong Kong's Basic Law, it has 27 years to go.
[00:15:04.861 --> 00:15:14.326]  The Chinese government's move against Hong Kong is the latest in a series of measures that are diminishing the city's long-standing and very proud status.
[00:15:15.007 --> 00:15:22.151]  This is a tragedy for the people of Hong Kong, the people of China, and indeed the people of the world.
[00:15:23.294 --> 00:15:26.857]  China claims it is protecting national security.
[00:15:27.498 --> 00:15:32.282]  But the truth is that Hong Kong was secure and prosperous as a free society.
[00:15:32.882 --> 00:15:35.425]  Beijing's decision reverses all of that.
[00:15:36.065 --> 00:15:43.192]  It extends the reach of China's invasive state security apparatus into what was formerly a bastion of liberty.
[00:15:44.144 --> 00:16:00.355]  China's latest incursion, along with other recent developments that degraded the territory's freedoms, makes clear that Hong Kong is no longer sufficiently autonomous to warrant the special treatment that we have afforded the territory since the handover.
[00:16:01.495 --> 00:16:09.741]  China has replaced its promised formula of one country, two systems, with one country, one system.
[00:16:10.529 --> 00:16:19.935]  Therefore, I am directing my administration to begin the process of eliminating policy exemptions that give Hong Kong different and special treatment.
[00:16:20.755 --> 00:16:34.064]  My announcement today will affect the full range of agreements we have with Hong Kong, from our extradition treaty to our export controls on dual-use technologies and more, with few exceptions.
[00:16:34.952 --> 00:16:47.077]  We will be revising the State Department's travel advisory for Hong Kong to reflect the increased danger of surveillance and punishment by the Chinese state security apparatus.
[00:16:47.938 --> 00:16:55.341]  We will take action to revoke Hong Kong's preferential treatment as a separate customs and travel territory.
[00:16:56.061 --> 00:16:57.422]  From the rest of China.
[00:16:57.922 --> 00:17:16.393]  The United States will also take necessary steps to sanction PRC and Hong Kong officials, directly or indirectly involved, in eroding Hong Kong's autonomy and just, if you take a look, smothering, absolutely smothering Hong Kong's freedom.
[00:17:17.874 --> 00:17:19.395]  Our actions will be strong.
[00:17:19.855 --> 00:17:21.817]  Our actions will be meaningful.
[00:17:22.662 --> 00:17:33.445]  More than two decades ago, on a rainy night in 1997, British soldiers lowered the Union flag and Chinese soldiers raised the Chinese flag in Hong Kong.
[00:17:34.165 --> 00:17:42.967]  The people of Hong Kong felt simultaneously proud of their Chinese heritage and their unique Hong Kong identity.
[00:17:43.854 --> 00:17:50.636]  The people of Hong Kong hope that in the year... Alright, ladies and gentlemen, it is May 30th on this live Saturday transmission.
[00:17:50.495 --> 00:17:53.015]  and it is 218 Central Standard Time.
[00:17:53.015 --> 00:18:00.594]  There's always a lot of magnitude here on the broadcast.
[00:18:00.479 --> 00:18:02.159]  You notice it's next year's news today.
[00:18:03.159 --> 00:18:05.800]  You notice that we really know what we're talking about.
