[00:00:00.389 --> 00:00:05.011]  Every cult has the same goal, the utter submission of its members.
[00:00:05.471 --> 00:00:07.111]  Cult members surrender everything.
[00:00:07.232 --> 00:00:11.153]  They give up their physical freedom, where they can go, who they can see, how they can dress.
[00:00:11.733 --> 00:00:14.194]  But more than that, they give up control of their minds.
[00:00:14.754 --> 00:00:19.576]  Cult leaders determine what their followers are allowed to believe, even in their most private thoughts.
[00:00:20.316 --> 00:00:24.401]  In order to do this, cults separate people from all they have known before.
[00:00:24.541 --> 00:00:28.906]  They force their members to renounce their former lives, their countries, their customs.
[00:00:29.467 --> 00:00:31.749]  They allow no loyalty except to the cult.
[00:00:32.270 --> 00:00:34.973]  The first thing they attack, always, is the family.
[00:00:35.153 --> 00:00:38.537]  Families are the main impediment to brainwashing and extremism.
[00:00:38.557 --> 00:00:39.638]  That's true in every culture.
[00:00:40.079 --> 00:00:44.399]   So if you're going to control individuals, if you're going to transform free people into
[00:00:44.399 --> 00:00:50.239]   compliant robots, the first thing you must do is separate them from the ones who love them most.
[00:00:50.239 --> 00:01:05.278]   Not just the United States of America, but the entire western world is being turned into a giant
[00:01:05.278 --> 00:01:08.478]  open air re-education camp.
[00:01:08.732 --> 00:01:09.807]  We are about to lay out.
[00:01:10.657 --> 00:01:30.852]  The incredibly authoritarian, tyrannical developments taking place now, where in the EU and the United States, we're being told to adopt the policies of the Communist Chinese when it comes to allowing those that espouse the establishment view to march and demonstrate and have free speech.
[00:01:31.372 --> 00:01:39.919]  But those that do not have the establishment view of the UN, the Communist Chinese and mainstream media are not allowed to have speech.
[00:01:40.499 --> 00:01:42.081]  Churches are not allowed to open.
[00:01:42.501 --> 00:01:46.765]  Synagogues are not allowed to open, according to the blue states and blue cities.
[00:01:47.285 --> 00:02:04.740]   But we're told by those very same governors and mayors that if you're marching and demonstrating against police brutality, not only is it protected, it's something everyone should do, but those that are actually demonstrating to reopen the economy and For all Americans to have our free speech and rights should be crushed.
[00:02:05.340 --> 00:02:09.062]  This is openly being promoted by so-called mainstream media.
[00:02:09.443 --> 00:02:11.904]  And this is the next level of oppression.
[00:02:12.104 --> 00:02:13.185]  This is not a new world.
[00:02:13.205 --> 00:02:17.627]  It is simply an extension of what began in the old one.
[00:02:18.748 --> 00:02:26.192]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:02:27.165 --> 00:02:34.093]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:02:35.234 --> 00:02:39.780]  But like every one of the super states that preceded it, it has one iron rule.
[00:02:40.931 --> 00:02:43.232]  Logic is an enemy and truth is a menace.
[00:02:43.412 --> 00:02:46.134]  Logic is an enemy and truth is a menace.
[00:02:46.734 --> 00:03:03.363]  When Rod Serling, himself, who fought in World War II against tyranny, wrote those words for the Obsolete Man episode in 1962, he gave newspaper interviews and said, I see this as a possible dystopic future, just like George Orwell saw a possible dystopic future.
[00:03:04.044 --> 00:03:13.074]   Well now, in the year 2020, we are seeing things that even surpass What our ancestors warned us about.
[00:03:13.815 --> 00:03:18.223]  And until we wake up to this and say no, it's only going to get worse.
[00:03:19.087 --> 00:03:20.467]  Obsolete, Mr. Wordsworth.
[00:03:20.487 --> 00:03:21.387]  A lie!
[00:03:21.848 --> 00:03:23.548]  No man is obsolete!
[00:03:23.848 --> 00:03:25.688]  You have no function, Mr. Wordsworth.
[00:03:25.728 --> 00:03:28.609]  You're an anachronism, like a ghost from another time!
[00:03:28.969 --> 00:03:34.050]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages!
[00:03:34.410 --> 00:03:41.691]  You're a bug, Mr. Wordsworth, a crawling insect, an ugly, misformed little creature who has no purpose here, no meaning!
[00:03:42.271 --> 00:03:43.352]  I am a human being!
[00:03:43.732 --> 00:03:45.372]  How do you find, ladies and gentlemen?
[00:03:48.556 --> 00:03:48.996]  Absolute.
[00:03:51.217 --> 00:03:51.957]  Absolute.
[00:03:52.077 --> 00:03:52.897]  I concur.
[00:03:53.177 --> 00:04:08.640]  Authoritarian regimes always do the same thing, over and over again, whether it was Mao, Stalin, Hitler, or Pol Pot, or thousands and thousands of years ago, during the corrupt Roman Empire, and emperors like Nero and Caligula.
[00:04:09.200 --> 00:04:11.601]  They decide who is essential.
[00:04:11.941 --> 00:04:13.881]  They decide who is non-essential.
[00:04:14.281 --> 00:04:17.082]  They decide who is obsolete.
[00:04:17.842 --> 00:04:31.869]  And now, CNN and others are running breathlessly with headlines about how over a thousand health care professionals have come out and told the world that, hey, people protesting against the lockdown, they should be arrested.
[00:04:32.370 --> 00:04:40.214]  But everyone that's out there protesting against the police and calling for the police to be disbanded and abolished, well, they deserve their rights.
[00:04:40.994 --> 00:04:49.960]  So how is there going to be police to arrest all the people that go outside their homes and don't wear masks and who demonstrate for free speech?
[00:04:50.780 --> 00:04:55.123]  This, again, is a direct attack on common sense and knowledge.
[00:04:55.143 --> 00:04:57.244]  But this is what authoritarians always do.
[00:04:57.704 --> 00:05:05.889]  They always say that the inside group or the political group that supports the establishment has their speech, has their right to travel.
[00:05:06.209 --> 00:05:11.512]   But all of us that aren't, like the Jews in Nazi Germany, well, We're shit out of luck.
[00:05:11.792 --> 00:05:30.678]  When you see fictional movies like Red Dawn that came out in the 1980s where the Soviets and the Cubans take over part of the United States, and you see people in sports stadiums being told how much America sucks and being beaten into submission, you have to understand that that is taken from a model of what the Soviets did in Eastern Europe and what the Chinese did to their own people under communism.
