[00:00:00.409 --> 00:00:02.592]  Infowars.com!
[00:00:03.133 --> 00:00:07.939]  Infowars.com lives in defiance of big tech!
[00:00:08.860 --> 00:00:10.321]  In defiance of the globalists!
[00:00:11.405 --> 00:00:17.470]  In defiance of all the lipstick lawsuits against us, and we will continue on because it's about the truth.
[00:00:17.590 --> 00:00:24.335]  I'm honored to be censored in the platform of the mainstream media that supports those child molesting globalists.
[00:00:24.355 --> 00:00:24.335]  1776!
[00:00:24.675 --> 00:00:24.955]  USA!
[00:00:25.396 --> 00:00:37.396]   You are so good. You are so good. You are so good. You are so good. You are so good.
[00:00:37.397 --> 00:00:38.217]  USA!
[00:00:38.877 --> 00:00:41.718]  The globalists think they can silence America.
[00:00:42.359 --> 00:00:45.159]  They thought they'd intimidated us, but we were really sleeping.
[00:00:45.700 --> 00:00:50.881]  Now their attempts to bully us and shut us down have only angered us.
[00:00:51.320 --> 00:01:00.900]   And now we are awake and we are fighting back with the truth of the First Amendment in defiance of the Soros
[00:01:00.900 --> 00:01:07.320]  Bloomberg puppet that is KKK commander Northam.
[00:01:07.320 --> 00:01:14.320]  But election fraud is how the Democrats take you over.
[00:01:14.310 --> 00:01:16.891]  You must criminally investigate Democrats.
[00:01:17.551 --> 00:01:22.473]  Democrats are a fraudulent criminal group that know they are a criminal fraud.
[00:01:23.536 --> 00:01:28.301]  And I'll just be quite frank with you, the only way to deal with them is to route them out politically.
[00:01:28.902 --> 00:01:30.924]  Infowars.com, we love you!
[00:01:30.944 --> 00:01:31.484]  USA!
[00:01:31.645 --> 00:01:32.145]  USA!
[00:01:32.465 --> 00:01:35.068]  You guys did a great job!
[00:01:35.409 --> 00:01:36.810]  Yay for the First Amendment!
[00:01:37.150 --> 00:01:38.552]  Yay for the Second Amendment!
[00:01:38.872 --> 00:01:39.853]  Great job!
[00:01:40.114 --> 00:01:41.595]  You guys kicked ass today!
[00:01:43.717 --> 00:01:44.698]  You came out here...
[00:01:45.711 --> 00:01:57.168]   When you peacefully exercised your First Amendment in defense of your Second Amendment, and just like I told Pierce Morgan all those years ago, Hitler took the guns!
[00:01:57.648 --> 00:01:59.010]  Stalin took the guns!
[00:01:59.530 --> 00:02:00.751]  Mao took the guns!
[00:02:01.051 --> 00:02:02.793]  Fidel Castro took the guns!
[00:02:03.133 --> 00:02:04.674]  Bull Butt took the guns!
[00:02:05.355 --> 00:02:07.757]  Kim Jong-Un's daddy took the guns!
[00:02:08.157 --> 00:02:12.381]  And if you try to take our guns, 1776 will commence again!
[00:02:12.221 --> 00:02:19.221]  76 will commence again! Yeah!
[00:02:19.221 --> 00:02:23.221]  The answer to their tyranny is this.
[00:02:23.445 --> 00:02:46.885]  Armed Americans, armed with the truth, armed with information, armed with justice, armed with the Bill of Rights, armed with the Constitution, armed with the love of God and Jesus Christ, armed with the love of family, and armed with courage and freedom to stand in defiance to the bullies that think they're going to intimidate us.
[00:02:47.793 --> 00:02:51.678]  With a bunch of politically correct garbage!
