[00:00:00.089 --> 00:00:01.470]  We're here from California!
[00:00:01.550 --> 00:00:05.171]  You're from California, we're here to see you!
[00:00:05.451 --> 00:00:06.331]  Our fighters are here!
[00:00:06.210 --> 00:00:08.210]  Oh my god, look at this!
[00:00:08.210 --> 00:00:10.210]  [Screaming]
[00:00:10.210 --> 00:00:12.210]  Warrior!
[00:00:12.210 --> 00:00:14.210]  Here we go.
[00:00:14.210 --> 00:00:16.210]  3, 2...
[00:00:16.210 --> 00:00:20.210]   We are at the most important moment since our birth
[00:00:20.210 --> 00:00:22.210]  on July 4th, 1776.
[00:00:22.210 --> 00:00:22.710]  76.
[00:00:23.274 --> 00:00:27.197]  Powerful globalist forces are on record saying they want to end the nation-state.
[00:00:27.617 --> 00:00:32.582]  They've run a fraudulent election to remove our president who's been pulling us out of the New World Order.
[00:00:33.042 --> 00:00:42.230]  Now they're announcing forced lockdowns under UN command that'll basically never end, forced inoculations, tracking apps on your phones, so you'll leave your house or have a job.
[00:00:42.890 --> 00:00:44.391]  This is a medical tyranny.
[00:00:44.972 --> 00:00:45.772]  This is the U.N.
[00:00:45.812 --> 00:00:46.293]  takeover.
[00:00:46.353 --> 00:00:47.494]  This is the New World Order.
[00:00:47.834 --> 00:00:51.257]  But the good news is humanity is awakening all over D.C.
[00:00:51.597 --> 00:01:01.986]  We are running into people of every race, color, and creed who are all humans and who are pro-human, who are aware of what's going on and understand that this is as important as the last two major world wars.
[00:01:02.426 --> 00:01:03.426]  Love you too, brother.
[00:01:03.887 --> 00:01:06.068]  This is a major political realignment.
[00:01:06.528 --> 00:01:08.209]  That's why they engage in election fraud.
[00:01:08.749 --> 00:01:11.870]  That's why they're trying to bring down the economy and start a third world and bankrupt us.
[00:01:12.330 --> 00:01:16.132]  They're trying to make us give in to them under siege and submit.
[00:01:16.452 --> 00:01:23.335]   Remember Big Mike, Michelle Obama, Joe Biden, all of them said, Don't elect Trump and we'll turn the economy back on.
[00:01:23.355 --> 00:01:25.736]  And I told you, they'll never take their foot off your neck.
[00:01:26.256 --> 00:01:27.416]  They want to make you poor.
[00:01:27.756 --> 00:01:28.757]  They want to control you.
[00:01:28.777 --> 00:01:29.757]  They want to break your will.
[00:01:30.257 --> 00:01:31.858]  That's why Wall Street doesn't support Trump.
[00:01:32.078 --> 00:01:37.199]  He made them more money than ever, but he said, you're not going to run the stock market down, up and down to hurt poor people.
[00:01:37.219 --> 00:01:38.880]  You're going to help everybody with wealth.
[00:01:39.420 --> 00:01:41.581]  And the globalists said, we don't want double the wealth.
[00:01:42.021 --> 00:01:44.982]  We want to have this little bit of wealth and make everybody else poor under us.
[00:01:45.322 --> 00:01:46.562]  And that's why they're pissed at Trump.
[00:01:46.882 --> 00:01:48.043]  These people are dirt bags.
[00:01:48.522 --> 00:01:51.522]  and they're scum, but humanity is awakening to them.
[00:01:51.522 --> 00:01:55.122]   And the fact that we forced them out in the open to try to steal this election,
[00:01:55.122 --> 00:01:58.322]   the fact that we forced the Chi-Coms out in the open to endorse Joe
[00:01:58.322 --> 00:01:59.881]  Biden and say, America's done.
[00:01:59.881 --> 00:02:03.361]   The fact that this has happened is a major victory no matter what happens to Trump.
[00:02:03.361 --> 00:02:06.483]   But pray for Trump, pray for America, pray for us tomorrow with
[00:02:06.483 --> 00:02:07.483]  the big march taking place.
[00:02:07.483 --> 00:02:11.483]   But I cannot stress to you enough how historic this moment is.
[00:02:12.077 --> 00:02:16.501]  This is as big as the founding of the country, as big as the Civil War, and the Lincoln Memorial we're going to next.
[00:02:17.121 --> 00:02:22.025]  This is a giant time that all of you need to be involved in, and I know you're going to be involved in it.
[00:02:22.266 --> 00:02:25.869]  And the front lines of that fight is InfoWars.com and Bandon Video.
[00:02:27.878 --> 00:02:35.499]  We're told by big tech and the globalists and the big bankers that humans are antiquated, that we suck, we're failures, that they're going to give us the new world.
[00:02:35.880 --> 00:02:36.960]  These are human haters.
[00:02:36.980 --> 00:02:53.703]  But you look at this beautiful World War II memorial right in front of the League Memorial of all the people that died in the Pacific War, in the Atlantic War, what happened on both sides of the planet, and it's a celebration of humanity sacrificing and coming together and how we appreciate these men and some of the women that died.
