[00:00:00.390 --> 00:00:01.953]  America is awake!
[00:00:02.072 --> 00:00:04.073]  That's what's happening now, get ready for it!
[00:00:04.073 --> 00:00:13.352]  I came here tonight because I wanted to meet Alex.
[00:00:13.366 --> 00:00:15.467]  I wanted to meet a number of you.
[00:00:16.408 --> 00:00:20.030]  And the vibe so far has just been nothing but support.
[00:00:21.771 --> 00:00:31.237]  I can tell you that I kind of describe what's been going on with my family and everything else that's happened with all this Russiagate shit.
[00:00:31.337 --> 00:00:34.779]  And it's kind of like this long boxing match.
[00:00:34.799 --> 00:00:36.160]  We're kind of in the 15th round now.
[00:00:36.220 --> 00:00:38.621]  We feel like things are kind of winding down.
[00:00:40.262 --> 00:00:52.510]  You know, it's like, you take so many gut punches and things happen and you just kind of become numb to everything, but we have an absolute bulldog in our corner right now, and her name is Sydney Powell.
[00:00:53.130 --> 00:00:54.171]  And she...
[00:00:56.414 --> 00:01:06.142]  You know, we wish, you know, hindsight is what it is, but, you know, would it have been great for her to be, you know, our lawyer from the beginning?
[00:01:06.182 --> 00:01:12.187]  Yes, but, you know, things happen and, you know, you make, you know, certain decisions, but at the end of the day... Lay out what happened.
[00:01:12.207 --> 00:01:12.407]  Tell them.
[00:01:12.847 --> 00:01:14.309]  Yeah, I mean... Start from the beginning.
[00:01:14.729 --> 00:01:22.016]   Well, kind of going off with what Ivan said, I mean, I mean, Crossfire Hurricane did not begin July 31st.
[00:01:22.116 --> 00:01:23.418]  It just didn't.
[00:01:23.999 --> 00:01:30.827]  I mean, we know that my father was set up from as early as 2015, maybe even before that.
[00:01:31.348 --> 00:01:38.034]   I mean, he was absolutely targeted Because of his loud voice against the Obama administration.
[00:01:38.054 --> 00:01:42.797]  I mean, I'll never forget a conversation that he and I had whenever he retired from the DIA.
[00:01:42.837 --> 00:01:52.583]  He said, look, you know, we talked about getting into business together, but then he said, you know, look, I'm tired of listening to the Obama administration lie to the American public about the ISIS threat.
[00:01:53.463 --> 00:02:06.936]  And that's really when we got on a roll in the media and he went on to various talk shows and instantly became a target because he was out there basically calling out Obama and all these other deep state officials that were just out there.
[00:02:08.117 --> 00:02:08.417]  What's up?
[00:02:09.057 --> 00:02:10.278]  Oh yeah, yeah.
[00:02:10.818 --> 00:02:14.279]  So anyways, it's been a long journey.
[00:02:14.379 --> 00:02:22.922]  It's so complex what's going on with this case right now from December 2015 and then all of a sudden we're at the RNC convention.
[00:02:24.082 --> 00:02:31.588]   That happened and then August 10th, It was really when the three individuals were opened up in Crossfire Hurricane.
[00:02:32.449 --> 00:02:35.912]  August 16th was when the D.E.F.
[00:02:35.932 --> 00:02:39.296]  State decided to open up an investigation on General Flynn.
[00:02:39.596 --> 00:02:51.926]   The very next day, the August 17th date that Ivan Reikland mentioned, Uh, was when they decided to send this, this FBI agent in and essentially, uh, I mean, essentially spy.
[00:02:52.006 --> 00:02:55.388]  I mean, essentially get that baseline reading on my father for whatever reason.
[00:02:55.427 --> 00:03:00.828]   I mean, the biggest reason they went after him was because of that one picture of him
[00:03:00.828 --> 00:03:07.647]   sitting at a table with Putin when he and I traveled to Moscow in December 2015.
[00:03:07.647 --> 00:03:13.907]   And what's never been reported by the media, which to this day is unfathomable, was we
[00:03:13.907 --> 00:03:20.367]   absolutely briefed the DIA the day before we left for the trip and two weeks after we
[00:03:20.367 --> 00:03:21.828]  got back from the trip.
[00:03:22.267 --> 00:03:26.270]  Perfectly sanctioned, told them everything that, you know, as far as what we were going to do.
[00:03:26.290 --> 00:03:32.076]  I mean, everything that he talked about while we were in Russia is available to the public.
[00:03:32.617 --> 00:03:33.137]  So that was it.
[00:03:33.197 --> 00:03:38.676]   I mean, there was absolutely no reason why, why these guys, you know, could even open
[00:03:38.676 --> 00:03:43.937]   up a CIA investigation on him, other than the fact that he, he didn't, he, he didn't
[00:03:43.937 --> 00:03:48.516]   speak, you know, and didn't live up to the status quo in terms of the, you know, the,
[00:03:48.516 --> 00:03:50.597]  the establishment that is, you know, in D.C.
[00:03:50.597 --> 00:03:55.197]   So, I mean, from August to, to December, there was obviously a lot of, you know, talk about
[00:03:55.197 --> 00:03:56.956]  him being the, the vice president.
[00:03:56.956 --> 00:04:01.477]   And then, you know, we get into the, into December, going into January, and obviously,
[00:04:01.477 --> 00:04:06.356]   I think most people know about the, the January 24th interview that, you know, where, where
[00:04:06.356 --> 00:04:10.276]   the two agents were sent into the, into the White House by, you know, the, the assholes
[00:04:10.276 --> 00:04:12.076]  that are, you know, Comey and McCabe.
[00:04:12.938 --> 00:04:17.180]  I mean, I'm personally sick and tired of reading Comey's tweets.
[00:04:18.963 --> 00:04:20.644]  And John Brenner for that matter.
[00:04:20.684 --> 00:04:27.108]  I mean, you look at what these guys say and it's like, these guys were the heads of some of the most powerful agencies in the world?
[00:04:28.869 --> 00:04:36.454]  It's just so mind-boggling to me that these guys were running our most secret organizations, if you will.
[00:04:37.054 --> 00:04:52.101]  And so, you know, from really the end of January of 2017 to December 1st of 2017, when he was forced to plead guilty, I mean, it's like, people ask me all the time, why did he plead guilty?
[00:04:54.329 --> 00:04:54.949]  I mean, think about it.
[00:04:56.090 --> 00:04:58.631]  I can tell you unequivocally that I was absolutely threatened.
[00:04:59.052 --> 00:05:01.713]  I was absolutely threatened with being indicted.
[00:05:02.554 --> 00:05:06.636]  And I'm sure everybody knows who Sean Hannity is.
[00:05:06.736 --> 00:05:26.550]   He's been a loud voice for us, but he absolutely is correct that I had a father that absolutely fell on the sword to protect me from going through something that I would have had to put my then four-month-old and my wife through, okay?
[00:05:27.551 --> 00:05:30.834]  And look, I'm not up here looking for sympathy.
[00:05:30.874 --> 00:05:33.917]  I'm just letting you know that this is the truth.
[00:05:33.937 --> 00:05:34.678]  This is what happened.
[00:05:35.759 --> 00:05:37.921]  My father's not guilty of anything.
