[00:00:01.018 --> 00:00:03.079]  But hydroxychloroquine.
[00:00:04.880 --> 00:00:05.361]  Try it.
[00:00:06.121 --> 00:00:06.702]  If you'd like.
[00:00:07.082 --> 00:00:25.754]  There are thousands of points you should know, but one you should look into is a 2005 NIH-sponsored study run by Fauci that found that in primates, hydroxychloroquine was almost 100% effective in monkeys and other primates to treat the SARS corona family of viruses.
[00:00:26.735 --> 00:00:31.461]  But now he won't stand up for the president because he's bought and paid for by Bill and Melinda Gates.
[00:00:32.162 --> 00:00:33.563]  This is a crime against humanity.
[00:00:33.784 --> 00:00:38.830]  This is doctors bought off, ignoring the Hippocratic Oath to do no harm.
[00:00:42.469 --> 00:00:49.155]  You will always have conspiracy theories when you have very challenging public health crises.
[00:00:49.896 --> 00:00:51.498]  They are nothing but distractions.
[00:00:51.518 --> 00:00:52.779]  You know, I can assure you.
[00:00:53.079 --> 00:01:04.710]  You are about to see the most devastating information ever to the big pharma cartels, to the deep state, to the leftists that are dug in like ticks at the CIA.
[00:01:05.791 --> 00:01:08.733]  They have really jumped the shark.
[00:01:08.793 --> 00:01:10.814]  They've bitten off way more than they can chew.
[00:01:11.554 --> 00:01:16.677]  Coming out in the Washington Post and Vanity Fair and everywhere and saying, Trump is insane.
[00:01:17.498 --> 00:01:18.578]  He's not a doctor.
[00:01:19.019 --> 00:01:26.263]  How can he tell you that hydroxychloroquine is a well-known safe treatment for COVID-19?
[00:01:28.089 --> 00:01:39.517]  Trump in the press conference said the White House physician said it's a good idea with zinc and of course with Z-Pak to kill the bacteria that can carry the virus into the lungs.
[00:01:39.978 --> 00:01:44.141]  The zithromycin and zinc, they say zinc.
[00:01:44.921 --> 00:01:45.782]  You should add zinc.
[00:01:46.122 --> 00:01:51.425]  Now, it all has to be recommended by doctors, physicians, but they say zinc.
[00:01:51.445 --> 00:01:52.566]  I want to throw that out there.
[00:01:53.086 --> 00:01:58.150]  You'd be surprised at how many people are taking it, especially the frontline workers, before you catch it.
[00:01:59.724 --> 00:02:02.128]  The front line workers, many, many are taking it.
[00:02:02.788 --> 00:02:03.930]  I happen to be taking it.
[00:02:04.511 --> 00:02:05.593]  I happen to be taking it.
[00:02:06.153 --> 00:02:12.142]  But the media ignores that Trump is doing this under the White House doctor's direction and says Trump just pulled this out of his ass.
[00:02:13.023 --> 00:02:28.159]   So we're about to show you Just a few of the hundreds of major medical clinic and hospital owners and top scientists and researchers and other medical doctors, in some cases that have treated thousands of patients, others hundreds and hundreds.
[00:02:28.419 --> 00:02:30.821]  And it's been on ABC News locally.
[00:02:32.482 --> 00:02:36.064]  It's been in local newspapers, but it's never on the national news.
[00:02:36.525 --> 00:02:54.117]   Because Big Pharma wants you to think only a vaccine And then therapeutics like this Remdesivir that in many studies actually makes people worse but in a Fauci-sponsored study made 8% of people live four days longer.
[00:02:54.137 --> 00:03:03.045]  It's a randomized placebo-controlled trial comparing the Gilead drug Remdesivir with a placebo.
[00:03:03.165 --> 00:03:08.924]   And although the results were clearly positive from a statistically significant standpoint,
[00:03:08.924 --> 00:03:15.805]   they were modest. The improvement was 31% better chance of recovering and getting out of the hospital.
[00:03:15.805 --> 00:03:18.924]  You talk about a fraud, ladies and gentlemen.
[00:03:19.108 --> 00:03:19.748]  This is incredible.
[00:03:20.108 --> 00:03:39.478]  Meanwhile, there are studies in Canada, studies in Australia, studies in places like France that show that hydroxychloroquine with zinc is incredibly successful in almost every case, unless the person already is 85 years old and has cancer, has serious liver failure, kidney failure, then it doesn't work.
[00:03:39.939 --> 00:03:43.761]  There's only been one study that shows hydroxychloroquine doesn't work amazing.
[00:03:44.962 --> 00:03:49.845]  That was not a VA study.
[00:03:51.226 --> 00:03:56.049]  Researchers took VA numbers and they did not clinically review them.
[00:03:56.089 --> 00:03:57.270]  They were not peer-reviewed.
[00:03:58.111 --> 00:04:06.697]  They did not even look at what the President just mentioned, the various comorbidities that the patients who were referenced in that study had.
[00:04:07.437 --> 00:04:11.620]  The Department of Defense and VA have been using it for 65 years.
[00:04:16.124 --> 00:04:21.770]  So they've known this the whole time.
[00:04:22.030 --> 00:04:29.518]  So ask yourself, why are they suppressing all these scientists and medical doctors and others that are having miraculous results with this?
[00:04:29.938 --> 00:04:31.480]  Because they want you in fear.
[00:04:32.040 --> 00:04:40.466]  And they don't want you to know that it is basic vitamin and mineral deficiencies on record that allow you to become compromised and die.
[00:04:40.946 --> 00:04:49.451]  When you hear that zinc and vitamin D3 and iodine and vitamin C are essential, that's like oxygen being essential.
[00:04:50.052 --> 00:04:52.133]  That's like water being essential.
[00:04:52.453 --> 00:05:09.947]   But this is the power grab and your compliance wearing the stupid noodles on your heads or eating in Europe in these bubbles or wearing these weird Inertubes, when you go to bars, is like the Milgram or Stanford experiments in learned helplessness and Stockholm Syndrome to see how much you'll put up with.
[00:05:11.509 --> 00:05:25.740]  But this is really dividing the wheat from the chaff, the slaves from the free humans, because anyone buying into this is literally ignoring facts, ignoring science, and the left's belief that this would drive Trump from office isn't going to work.
[00:05:26.120 --> 00:05:29.163]  All it's done is imploded all of your blue cities even further.
[00:05:30.253 --> 00:05:31.754]  That's what they say about mentally ill scum.
[00:05:32.334 --> 00:05:33.554]  They love to destroy themselves.
[00:05:34.314 --> 00:05:35.675]  They love to be self-destructive.
[00:05:35.875 --> 00:05:37.516]  But here at Infowars, we're not self-destructive.
[00:05:37.536 --> 00:05:38.856]  We are constructive.
[00:05:39.216 --> 00:05:40.437]  And we believed in America.
[00:05:40.497 --> 00:05:45.318]  And we bet on you that when you heard the truth, no matter how horrible it was, you'd wake up and take action.
