[00:00:00.000 --> 00:00:03.640]  [Music]
[00:00:03.640 --> 00:00:09.039]   COVID-19 is a United Nations power grab to kill the US economy on record.
[00:00:09.039 --> 00:00:11.278]  Take off your mask.
[00:00:11.388 --> 00:00:13.489]  You must remove your mask!
[00:00:14.509 --> 00:00:21.511]  The mask is a symbol of slavery and a symbol of collapse of the economic world.
[00:00:22.011 --> 00:00:24.271]  Take off your mask!
[00:00:25.151 --> 00:00:27.212]  Take off your mask!
[00:00:27.692 --> 00:00:31.193]  The third world is starving to death because of the lockdown.
[00:00:31.913 --> 00:00:33.793]  The lockdown is killing millions.
[00:00:34.153 --> 00:00:37.814]  Bill Gates says that the shutdown of the economy will never end.
[00:00:38.894 --> 00:00:42.716]  We have to turn the economy back on.
[00:00:42.896 --> 00:00:46.658]  COVID-19 is a planetary economic collapse weapon.
[00:00:46.978 --> 00:00:57.044]  COVID-19 is the Davos Group's global reset to collapse the economy by design.
[00:00:57.084 --> 00:00:58.425]  Free Texas now!
[00:00:58.244 --> 00:01:13.245]   Free Texas South! Free Texas South! Free Texas South! Free Texas South! Free Texas South! Free Texas South!
[00:01:13.245 --> 00:01:30.245]   Free Texas South! Free Texas South! Free Texas South! Free Texas South! Free Texas South! Free Texas South! Free Texas
[00:01:30.245 --> 00:01:30.245]  South!
[00:01:30.279 --> 00:01:32.120]  That's what this fake pandemic is all about.
[00:01:32.560 --> 00:01:33.681]  A worldwide government.
[00:01:34.161 --> 00:01:36.262]  That's why they're calling for a cashless society.
[00:01:36.562 --> 00:01:38.523]  That's why they're calling for forced vaccines.
[00:01:38.803 --> 00:01:43.145]  That's why they're calling for medical documents just so you can open your business or go to a ballgame.
[00:01:44.066 --> 00:01:45.987]  We must reject this now.
[00:01:46.487 --> 00:01:50.349]  And we must re-elect Trump and tell him that he must reject it too.
[00:01:51.169 --> 00:02:00.220]  And if Governor Abbott doesn't reopen Texas by the next time he gets on the ballot, he's not going to be living in that mansion anymore!
[00:02:00.741 --> 00:02:02.663]  Our message to Governor Abbott is this.
[00:02:03.924 --> 00:02:06.147]  We now know that they've exaggerated the COVID-19 deaths.
[00:02:07.702 --> 00:02:08.323]  99.9 percent.
[00:02:08.383 --> 00:02:11.765]  We now know they've had false testing.
[00:02:12.025 --> 00:02:14.327]  They've counted folks that died of other things as COVID deaths.
[00:02:15.007 --> 00:02:20.871]  And it's time to end the COVID hoax and the COVID power grab now!
[00:02:21.472 --> 00:02:23.373]  End the lockdown now!
[00:02:23.754 --> 00:02:29.898]  If you continue this lockdown and these face mask orders, you will go down as one of the worst governors in the history of Texas.
[00:02:29.918 --> 00:02:33.300]   Governor Abbott, Do not destroy your legacy.
[00:02:33.640 --> 00:02:34.941]  Do not enslave Texas.
[00:02:35.361 --> 00:02:36.321]  Do the right thing.
[00:02:36.962 --> 00:02:38.402]  Admit that you got conned.
[00:02:38.943 --> 00:02:40.984]  Please, Governor Abbott, please.
[00:02:41.544 --> 00:02:43.525]  You're making Texas hate you forever.
[00:02:43.705 --> 00:02:48.107]  You're here in defiance of the Bill Gates U.N.
[00:02:48.167 --> 00:02:50.188]  lockdown, and I salute you!
[00:02:53.436 --> 00:02:55.359]  Turn back and do the right thing, Abbott!
[00:02:55.860 --> 00:02:57.702]  And to Free Texas Now!
[00:02:58.223 --> 00:02:59.505]  Free Texas Now!
[00:03:02.630 --> 00:03:04.272]  Free Texas Now!
[00:03:04.332 --> 00:03:05.694]  Free Texas Now!
[00:03:05.814 --> 00:03:06.716]  Free Texas Now!
