[00:00:00.000 --> 00:00:23.000]  [Music]
[00:00:23.000 --> 00:00:30.000]   In 2005, the Wachowski brothers produced the archetypal film V for Vendetta.
[00:00:30.543 --> 00:00:36.705]  And with almost prescient vision, they predicted what is unfolding in the year 2020.
[00:00:37.938 --> 00:00:44.562]  Imagine a virus, the most terrifying virus you can, and then imagine that you and you alone have the cure.
[00:00:45.262 --> 00:00:48.945]  If your ultimate goal is power, how best to use such a weapon?
[00:00:49.325 --> 00:01:05.692]   A newly elected government seeking power and control develops a secret bioweapon and launches it against its own population to establish authoritarian rule and to blame the attack on their political enemies.
[00:01:06.393 --> 00:01:25.241]   Taking pages right out of the 20th century we see this fictional dictatorship not just seeking to dominate and control the population but to be seen as saviors of the very people that they are dumbing down Enslaving, imprisoning, and killing.
[00:01:25.921 --> 00:01:32.267]  The writers had a deep historical well to work from in just the 20th century.
[00:01:32.927 --> 00:01:52.163]   With monsters like Hitler, Stalin, Mao, Pol Pot, Fidel Castro, Hugo Chavez, Kim Jong Un, Who don't just seek to dominate and control the very lives and thoughts of their minions, but who also want to be seen as the savior by the very people who are their slaves.
[00:01:52.404 --> 00:01:58.069]  Tonight I will speak directly to these people and make the situation perfectly clear to them.
[00:01:58.729 --> 00:02:03.294]  The security of this nation depends on complete and total compliance.
[00:02:03.774 --> 00:02:07.719]  What we need right now is a clear message to the people of this country.
[00:02:08.519 --> 00:02:13.405]  This message must be read in every newspaper, heard on every radio, seen on every television.
[00:02:13.965 --> 00:02:17.569]  This message must resound throughout the entire interlink!
[00:02:18.150 --> 00:02:21.213]  I want this country to realize that we stand on the edge of oblivion.
[00:02:21.533 --> 00:02:26.338]  I want every man, woman, and child to understand how close we are to chaos.
[00:02:26.358 --> 00:02:31.003]  I want everyone to remember why they need us!
[00:02:31.846 --> 00:02:36.388]  In the former United States, civil war continues to devastate the Midwest.
[00:02:36.548 --> 00:02:40.729]  Scientists attribute this latest water shortage to the lack of rainfall the last two years.
[00:02:41.329 --> 00:02:44.270]  Ministry officials expect water coupon prices to rise.
[00:02:44.330 --> 00:02:46.231]  Police have arrested nine suspects.
[00:02:46.251 --> 00:02:47.231]  Can you believe this?
[00:02:47.652 --> 00:02:49.132]  Recording avian flu vaccine.
[00:02:49.152 --> 00:02:50.012]  We've gone on all summer.
[00:02:50.152 --> 00:02:53.474]  Outside the quarantine zone, a new airborne pathogen has killed 27 people.
