[00:00:00.000 --> 00:00:28.500]  [Music]
[00:00:28.556 --> 00:00:32.779]  There are problems in our country that get me living trouble time.
[00:00:32.839 --> 00:00:37.202]  There are far too many criminals and far too many crimes.
[00:00:37.362 --> 00:00:41.745]  I'm locking every window and I'm opening every door.
[00:00:41.765 --> 00:00:47.688]  The school I teach and serve is not what you've been hunting for.
[00:00:47.707 --> 00:00:55.707]  You can rape, you can rape, you can make other man, but you can take my gun from my cold dead aunt.
[00:00:55.707 --> 00:01:06.707]  There are global corporations, they have billions that they pay.
[00:01:06.707 --> 00:01:10.707]  The greed of the officials to make sure things go their way.
[00:01:10.707 --> 00:01:14.707]  They attack the principal property we live from day to day.
[00:01:14.707 --> 00:01:17.707]  And then we're treated with fear, we don't get what they have to say.
[00:01:17.707 --> 00:01:21.707]  If you want to crack this constitution, is that what's in your plan?
[00:01:21.706 --> 00:01:28.906]  You can taste my gun from my cold, dead hand In every case in history, when genocide is
[00:01:28.906 --> 00:01:32.626]  slammed The firearms were gathered up and the opposition
[00:01:32.626 --> 00:01:33.626]  banged
[00:01:34.008 --> 00:01:37.390]  The tyrants made destruction and the people flew away.
[00:01:37.470 --> 00:01:48.196]  And by the time they realized they couldn't get away, the smiling face on my cheek says, we should all join hands and help create this vision of a new world or the flag.
[00:01:48.256 --> 00:01:53.439]  Well, now it's time for our defense to give our faces all away to the U.N.
[00:01:53.479 --> 00:01:56.101]  goalkeepers, and we'll keep just what they say.
[00:01:56.261 --> 00:01:58.763]  I literally just slid into the studio on the radio 30 minutes ago.
[00:01:58.903 --> 00:01:59.443]  All right.
[00:01:59.483 --> 00:02:01.345]  We are live, ladies and gentlemen.
[00:02:01.484 --> 00:02:23.604]  out of my t-shirt and into these duds for some stupid reason.
[00:02:24.107 --> 00:02:25.628]  Trying to straighten my tie out on the air.
[00:02:25.648 --> 00:02:26.048]  There we go.
[00:02:27.609 --> 00:02:29.009]  Oh boy, I love the camera shots, Mike.
[00:02:29.029 --> 00:02:31.691]  Yeah, that's some rare news hour, Mike.
[00:02:31.711 --> 00:02:32.911]  A living helicopter for you.
[00:02:34.272 --> 00:02:36.653]  We've actually got 30 hours from California.
[00:02:36.913 --> 00:02:37.794]  30 hours of video.
[00:02:39.315 --> 00:02:42.736]  We tried to put some images up on the website, InfoWars.com.
[00:02:42.796 --> 00:02:43.797]  It's the third thing down.
[00:02:43.817 --> 00:02:45.257]  There's some mainstream news articles there.
[00:02:45.297 --> 00:02:47.058]  But it's the third thing down there.
[00:02:47.118 --> 00:02:48.279]  It says, click on the thug.
[00:02:48.759 --> 00:02:49.760]  And there's some photos there.
[00:02:50.020 --> 00:02:50.580]  Download them.
[00:02:50.600 --> 00:02:51.200]  Do whatever you want.
[00:02:51.260 --> 00:02:52.221]  Use it for screen savers.
[00:02:53.201 --> 00:02:53.821]  You decide.
[00:02:53.841 --> 00:02:58.763]  We'll take some calls in about 20 minutes or so about what you see on InfoWars.com or the images.
[00:02:59.003 --> 00:03:01.044]  That's an old image.
[00:03:02.365 --> 00:03:07.767]  But the images that we actually got along in California last week.
[00:03:07.967 --> 00:03:08.407]  Alright.
[00:03:08.427 --> 00:03:18.091]  Again, it'll be a month or so until InfoWars is ready to come out with my newest documentary for Axios Television.
[00:03:18.431 --> 00:03:19.631]  That's going to be Police State 2000.
[00:03:19.691 --> 00:03:20.812]  You'll be able to see it here.
[00:03:22.405 --> 00:03:23.705]  You'll see it here first.
[00:03:24.626 --> 00:03:29.407]  And I'll play it quite a bit and sections of it on and on and on for you.
[00:03:29.447 --> 00:03:37.489]  So again, I certainly hope that everybody out there copies Police Tape 2000 when I do play it for the public.
[00:03:38.510 --> 00:03:43.111]  Now, you can see my notes and my articles are all in a mess.
[00:03:43.151 --> 00:03:44.491]  I literally slid into the chair.
[00:03:44.511 --> 00:03:47.312]  I was putting my microphone on, and this mic put me up in the air.
[00:03:47.332 --> 00:03:49.433]  I have to not do that, but it's okay.
[00:03:51.448 --> 00:03:53.529]  A lot to talk about, as usual.
[00:03:53.549 --> 00:03:56.431]  In fact, tons to talk about.
[00:03:56.451 --> 00:03:58.052]  We haven't done chroma key in a while.
[00:03:58.112 --> 00:03:58.953]  Isn't that interesting?
[00:04:03.115 --> 00:04:10.560]  Well, here at the Ali Philippus interview, I heard it like 12 times on the radio, plus about, what, 50, 60 times on Axis television.
[00:04:11.300 --> 00:04:12.361]  Hasn't been on in a few months.
[00:04:13.682 --> 00:04:18.285]  Talking about the attempted bribery and things with officials down in San Antonio with the Delta Force.
[00:04:19.457 --> 00:04:24.461]  February 8th through February 20th, we had Operation Last Dance, the ravaging going on there.
[00:04:24.481 --> 00:04:34.708]  In South Texas, in some cases like Port Aransas, not even telling the police, when black helicopters would swarm in, they'd leave some building in the middle of town, attack, fires, fire engines.
[00:04:35.008 --> 00:04:40.872]  In Kingsville, they didn't tell the sheriff or the fire department, they did tell the police and did help them out with some cash, we're told.
[00:04:41.980 --> 00:04:44.981]  Well, here from today's Office of American Statesman, it's an Associated Press article.
[00:04:45.001 --> 00:04:49.443]  It's actually a watered-down version from the San Antonio Express News article from Sunday.
[00:04:49.463 --> 00:04:53.925]  And, of course, this is Monday, March 22, 1999.
[00:04:55.386 --> 00:05:04.190]  Now, we have a link to the AP Whitewash online website, Infowars.com.
[00:05:04.470 --> 00:05:05.751]  And that's good with the website, guys.
[00:05:05.791 --> 00:05:06.111]  Thank you.
[00:05:08.039 --> 00:05:11.869]  And you can go and that's actually, I think, the fourth or fifth story there.
[00:05:11.890 --> 00:05:14.316]  There's a lot of... There's also a story from the Washington Post.
[00:05:15.792 --> 00:05:17.313]  I'll link to that from last Friday.
[00:05:17.333 --> 00:05:24.356]  The Marines now admit that they're planning for Y2K, and that's why they're setting up the camps and things that I've actually gone and seen for myself.
[00:05:24.876 --> 00:05:28.578]  Here are some of the actual photos that you can see on InfoWar.com.
[00:05:28.598 --> 00:05:29.618]  I think about 10 rolls.
[00:05:29.638 --> 00:05:31.399]  They're really an afterthought, taking photos.
[00:05:31.799 --> 00:05:33.680]  Mainly, we were there getting 30-plus hours.
[00:05:33.700 --> 00:05:35.501]  We had some listeners on my national radio show.
[00:05:35.521 --> 00:05:36.921]  About 10 of them showed up.
[00:05:36.981 --> 00:05:39.482]  That was fun, out in California, that live out there in the Bay Area.
[00:05:40.183 --> 00:05:41.603]  And no, we don't need a close-up, Mike.
[00:05:41.682 --> 00:05:46.423]  just showing them the actual pictures that they'll see on the site.
[00:05:46.423 --> 00:05:47.983]  In fact, here's our thug.
[00:05:47.983 --> 00:05:52.923]  You might even be able to cover some of our information and put it on access to you.
[00:05:52.923 --> 00:05:55.603]  You'll see this a lot at the start of the program.
[00:05:55.603 --> 00:05:56.603]  Click on the thug.
[00:05:56.603 --> 00:05:57.603]  So, again, all quiet.
[00:05:57.603 --> 00:06:04.043]  You can see here some of the discs from the digital camera that one of the listeners of
[00:06:04.043 --> 00:06:09.403]  my Exposing Corruption national radio program brought up there and took some digital photos.
[00:06:09.403 --> 00:06:10.962]  Those were also a great help.
[00:06:10.961 --> 00:06:15.481]  And we've actually got one that's been dozens of tapes.
[00:06:15.481 --> 00:06:20.161]  There's an Israeli general that was out there, but we had a lot of Dutch Royal Marines and
[00:06:20.161 --> 00:06:25.122]  people from the Netherlands, we had people from England, people from Australia.
[00:06:25.125 --> 00:06:31.409]  I'm not trying to freeze it on decent shots, this is all 30 hours of just raw footage that we shot en masse.
[00:06:31.469 --> 00:06:33.310]  We'll also show you some of the mock camps they have.
[00:06:33.330 --> 00:06:34.411]  They were flying people out.
[00:06:34.551 --> 00:06:37.673]  They had about 200 actors out there, part of this operation.
[00:06:37.693 --> 00:06:40.094]  I've never seen anything like it in my life.
[00:06:40.514 --> 00:06:44.337]  But again, today's Austin American Statesman article, AP article,
