[00:00:00.000 --> 00:00:28.079]  [ Music ]
[00:00:28.939 --> 00:00:29.359]  So what?
[00:00:29.640 --> 00:00:30.740]  You must know all this.
[00:00:30.761 --> 00:00:32.562]  You don't need government missions for years.
[00:00:33.102 --> 00:00:37.706]  Now the people of one Texas town are out to expose what they call a conspiracy.
[00:00:38.066 --> 00:00:41.849]  There was a black helicopter spraying some white powder.
[00:00:42.050 --> 00:00:42.690]  It's a lie.
[00:00:42.710 --> 00:00:43.791]  It's like an invasion.
[00:00:43.971 --> 00:00:46.813]  What's behind this helicopter is hell.
[00:00:48.215 --> 00:00:53.619]  Now the strange sightings that have a lot of people in the Lone Star State coming up with a lot of conspiracy theories.
[00:00:54.179 --> 00:00:58.423]  Steve Langford reports on the helicopters and health problems that have hit Austin.
[00:01:00.935 --> 00:01:03.678]  It sounds just like a tornado.
[00:01:04.319 --> 00:01:07.121]  They were so loud that they would shoot the windows.
[00:01:08.242 --> 00:01:09.704]  That's how they know they're back.
[00:01:10.184 --> 00:01:10.865]  It was huge.
[00:01:11.245 --> 00:01:13.948]  You could see the machine gun nails going in there and everything.
[00:01:13.988 --> 00:01:14.689]  And they were black.
[00:01:15.950 --> 00:01:17.632]  The black helicopters.
[00:01:18.072 --> 00:01:20.534]  Nine children, all sitting down sick at the same time.
[00:01:20.995 --> 00:01:23.057]  The whole side of my car was just covered in dead mats.
[00:01:26.424 --> 00:01:29.445]  Austin, Texas is a peaceful, laid-back kind of place.
[00:01:29.866 --> 00:01:32.187]  Just like its favorite son, Willie Nelson.
[00:01:33.087 --> 00:01:34.408]  At least it used to be.
[00:01:35.688 --> 00:01:38.029]  Until the black helicopters arrived.
[00:01:38.569 --> 00:01:39.129]  It's bizarre.
[00:01:39.170 --> 00:01:40.170]  It's like an invasion.
[00:01:41.129 --> 00:01:48.251]  Suddenly, people all over Austin started seeing them, with some saying they'd been harassed, and maybe even poisoned by the same.
[00:01:48.891 --> 00:01:53.213]  I can confirm black helicopters are swarming all over Texas and the rest of the U.S.
[00:01:53.253 --> 00:01:56.834]  harassing citizens, police, anybody that gets in their way.
[00:01:57.034 --> 00:02:00.135]  Black helicopters strike force the new world over.
[00:02:00.535 --> 00:02:10.238]  Alex Jones is a popular radio talk show host with Austin's KJFK, and he's been investigating and reporting on the mysterious black helicopter phenomenon for years.
[00:02:11.009 --> 00:02:14.950]  It reads like a science fiction novel, but it's really happening.
[00:02:15.942 --> 00:02:22.026]  Until recently, the government, the military, and law enforcement had denied the very existence of black helicopters.
[00:02:22.206 --> 00:02:25.648]  But now, authorities concede there really are such things.
[00:02:25.988 --> 00:02:27.849]  Yes, black helicopters are real.
[00:02:28.249 --> 00:02:29.730]  They're here to take care of you.
[00:02:29.750 --> 00:02:32.672]  They're for anti-terrorist training.
[00:02:33.592 --> 00:02:37.775]  But Jones and others suspect the black helicopters are the real terrorists.
[00:02:38.475 --> 00:02:41.657]  You're talking about the SS Cavalry right here in America?
[00:02:42.344 --> 00:02:54.454]  The sinister-looking unmarked choppers have been reported buzzing homes, following motorists, landing unannounced in schoolyards, and even dropping a mysterious white dust on Austin neighborhoods.
[00:02:54.875 --> 00:02:56.856]  See, it smears like paint.
[00:02:57.957 --> 00:03:03.582]  Norma Ruble says her car was covered with the dust after a black helicopter flew over her house.
[00:03:03.842 --> 00:03:06.024]  But that's to make it Sprite Painter's favorite.
[00:03:06.696 --> 00:03:12.258]  City officials examined the mysterious substance and declared it cedar ash from a nearby forest fire.
[00:03:12.278 --> 00:03:14.359]  There's no way it looked like cedar ash.
[00:03:14.940 --> 00:03:18.641]  And she says nobody can explain what else she found on her car.
[00:03:19.301 --> 00:03:20.822]  Thousands of dead gnats.
[00:03:20.862 --> 00:03:22.043]  Some of them gilded.
[00:03:22.983 --> 00:03:29.226]  Meanwhile, others who have seen the black helicopters fly over their homes say the dust might have poisoned them.
[00:03:29.586 --> 00:03:32.587]  All of my kids and myself all got sick with stomach trouble.
[00:03:33.208 --> 00:03:36.189]  And the Hopkins family suspects a government cover-up.
[00:03:36.749 --> 00:03:39.830]  I think most people would like to be able to just say, well our government would never do that.
[00:03:40.170 --> 00:03:42.451]  Alex Jones insists it would.
[00:03:42.931 --> 00:03:48.833]  They've tested blood from straight out of helicopters and she has salmonella and other types of bacteria that she would find in garbage.
[00:03:49.813 --> 00:03:55.655]  Jones suspects it's all part of secret government preparations for a possible state of emergency.
[00:03:55.975 --> 00:03:59.896]  We see a lot of indicators that the military is preparing for martial law.
[00:04:01.414 --> 00:04:03.135]  And Jones is not alone.
[00:04:03.155 --> 00:04:09.140]  The government has more control than they need, and I think that the black helicopter's probably had something to do with it.
[00:04:09.820 --> 00:04:12.062]  We're in the equivalent of 1936 Germany.
[00:04:12.082 --> 00:04:16.125]  But we're just now getting this powered, and they're getting ready to really clamp down.
[00:04:16.225 --> 00:04:22.489]  All right, guys.
[00:04:22.509 --> 00:04:24.591]  The station was struck twice by lightning.
[00:04:24.651 --> 00:04:26.652]  Hank's doing a great job keeping things going.
[00:04:26.712 --> 00:04:29.074]  John Stadtmiller, Mike Hanson, R.E.
[00:04:29.924 --> 00:04:33.467]  Of course, Scott, all the great crew and the other folks in there.
[00:04:34.468 --> 00:04:35.649]  Everybody's doing a fabulous job.
[00:04:35.669 --> 00:04:38.331]  We've got the fellow here tonight who's got me on in Dallas two hours a week.
[00:04:38.351 --> 00:04:45.316]  I'll tell you, I've sent my tapes to this one outfit up in Washington State and one in Michigan, and my tapes are on access stations all over the country.
[00:04:45.356 --> 00:04:48.559]  I want to thank all the great folks who tape the shows and send them out.
[00:04:48.879 --> 00:04:52.602]  Of course, this program originated right here in Austin, Texas.
[00:04:53.895 --> 00:04:59.016]  And it's May 17, 1999, one day closer to victory.
[00:04:59.036 --> 00:05:00.577]  You can see I'm soaking wet.
[00:05:02.137 --> 00:05:04.158]  At the time you see this tape show, it was incredible.
[00:05:04.178 --> 00:05:05.498]  I had to drive from the radio station.
[00:05:05.518 --> 00:05:06.398]  I got off at 10.
[00:05:07.099 --> 00:05:08.259]  I didn't leave until about 8 minutes after.
[00:05:08.319 --> 00:05:10.560]  I had to do some stuff on my website, infowarriors.com.
[00:05:10.920 --> 00:05:13.120]  I drove all the way from North Austin to down here.
[00:05:13.660 --> 00:05:16.581]  I'll tell you, I want to thank God for helping me make it.
[00:05:16.821 --> 00:05:17.682]  I got fist-broke.
[00:05:17.702 --> 00:05:18.482]  You really can't see it.
[00:05:18.862 --> 00:05:21.383]  I got fist-broke out of battle the way I ran in.
[00:05:21.403 --> 00:05:22.243]  Just from the car to
[00:05:23.664 --> 00:05:24.905]  I mean, literally 15 feet.
[00:05:25.945 --> 00:05:30.107]  We've got a lot of news for you tonight about the New World Order and where it's all headed.
[00:05:30.167 --> 00:05:32.128]  We are live, as I said, May 17th, 1999.
[00:05:32.468 --> 00:05:36.810]  You can take in your calls at 477-2288.
[00:05:37.730 --> 00:05:39.471]  And a lot of news this evening.
[00:05:40.311 --> 00:05:43.013]  We'll talk a lot about the phony war in Kosovo.
[00:05:43.433 --> 00:05:47.214]  That's been put on the back burner in the public's eyes, but it's really being accelerated.
[00:05:47.394 --> 00:05:51.293]  they're now coming out of the land saying ground troops will probably be used
[00:05:51.293 --> 00:05:56.994]  to the sovereign country. They are now admitting that there is not the genocide going on quietly.
[00:05:56.994 --> 00:06:01.914]  Well, not again aside on the Serbian side; definitely on the NATO side.
[00:06:01.914 --> 00:06:07.114]  Even Mother Jones, even an extremely liberal publication, and they've been the ones cheerleading
[00:06:07.114 --> 00:06:08.114]  this whole thing.
[00:06:08.114 --> 00:06:10.794]  Not Mother Jones, but the phony liberals, as we call them.
[00:06:10.841 --> 00:06:11.942]  Again, they're all just labels.
[00:06:11.962 --> 00:06:20.264]  But Mother Jones, who I disagree with on some issues, has even come out and done a 180 and says, well, the name of the article is Reality Check Genocide.
[00:06:20.704 --> 00:06:22.445]  Whatever happened to Charters of Genocide?
[00:06:22.565 --> 00:06:25.286]  They've quietly shut up and they're not talking about genocide anymore.
[00:06:25.646 --> 00:06:26.706]  It's all manufactured.
[00:06:29.358 --> 00:06:30.679]  The Wall of Shame here.
[00:06:30.739 --> 00:06:32.560]  Don't tell me I left that in the automobile.
[00:06:32.620 --> 00:06:33.941]  I'll tell you, it was incredible.
[00:06:33.961 --> 00:06:35.242]  I've got it up on InfoWars.com.
[00:06:35.382 --> 00:06:36.403]  I'll serve you info.
[00:06:36.944 --> 00:06:38.965]  Serve you dash info dot com.
