[00:00:00.089 --> 00:00:04.071]  I've blown up at people and been disparaging, whereas I shouldn't have been.
[00:00:04.812 --> 00:00:26.783]  I have just personally been dealing with some things, and the stress of doing two radio programs a day, and this television show, and trying to write a book, and make a new documentary, and all these things that are new to me, just trying to get the job done, that I have lost sight of the goal, and that is to educate the public about the real political paradigm, not the thousand lies that are out there.
[00:00:27.572 --> 00:00:34.117]  What you're watching tonight, or today when you're watching a tape program of this, is not some holy truth, some magic truth.
[00:00:34.157 --> 00:00:35.337]  We don't have all the answers.
[00:00:36.478 --> 00:00:43.043]  We don't say this yet to prescribe, I mean, subscribe to everything that we say.
[00:00:43.063 --> 00:00:47.946]  All we're talking about is key facts, things that need to be understood.
[00:00:47.966 --> 00:00:49.907]  The Federal Reserve is private, run for profit.
[00:00:50.308 --> 00:00:54.831]  They tell you that it's governmental, when the Congressional Record and all the facts show it's not.
[00:00:55.768 --> 00:00:59.130]  The IRS, the Internal Revenue Service, it's not being overhauled.
[00:00:59.170 --> 00:01:02.131]  There may be some window dressing being done, but it's simple.
[00:01:02.191 --> 00:01:07.454]  It's a criminal collection agency for the private banks, a select cadre of the Federal Reserve.
[00:01:08.674 --> 00:01:11.816]  With the Internal Revenue Service, there is no innocent until proven guilty.
[00:01:12.116 --> 00:01:13.416]  There is no due process.
[00:01:13.456 --> 00:01:19.279]  Now, any American or any person on the whole planet should be able to understand those simple facts.
[00:01:20.940 --> 00:01:22.841]  I have a great responsibility doing this
[00:01:24.008 --> 00:01:30.809]  Access television program, and some might laugh at that, but I get letters now from dozens of countries.
[00:01:31.430 --> 00:01:35.250]  From Europe, from as far flung as even Australia.
[00:01:36.111 --> 00:01:38.751]  Letters from Canada, people that listen to my radio program.
[00:01:40.451 --> 00:01:42.092]  Not my local one, but my syndicated one.
[00:01:43.552 --> 00:01:50.253]  And people that have gotten bootleg copies of Access television programs.
[00:01:50.313 --> 00:01:52.174]  It's not really bootleg, because it's free for everybody.
[00:01:52.214 --> 00:01:52.974]  What I should say is,
[00:01:53.624 --> 00:01:57.467]  5th, 6th, 8th, 10th generation copies floating around the world.
[00:01:59.828 --> 00:02:03.831]  And in the future I really do intend to start bringing some of these letters in here and reading them on the air.
[00:02:04.411 --> 00:02:06.693]  I get a lot of letters every week, sometimes 50 to 100.
[00:02:06.733 --> 00:02:08.194]  I mean, I lose count.
[00:02:08.674 --> 00:02:10.035]  I don't have a staff or anything.
[00:02:10.075 --> 00:02:13.557]  I have a camera guy who's Mike and other people that help out.
[00:02:13.597 --> 00:02:14.538]  I do appreciate that.
[00:02:14.558 --> 00:02:16.339]  And Buckley and Andy for exposing corruption.
[00:02:16.359 --> 00:02:22.183]  I don't even have a producer for my radio programs, but I have a producer per se that makes sure things are run right.
[00:02:23.018 --> 00:02:23.818]  Those type of operations.
[00:02:23.838 --> 00:02:25.058]  But that's enough talking about me.
[00:02:25.158 --> 00:02:31.900]  I just appreciate everybody out there in Austin, Texas that's trying to do something that's standing up on a consistent basis.
[00:02:32.280 --> 00:02:43.242]  If Alex Jones, with all my faults, and my rough delivery can wake up tens of thousands of people, then I assure you, you can wake up tens of thousands of people.
[00:02:43.702 --> 00:02:51.524]  All it takes is a sustained effort, planning those scenes in an effort, and moving forward on a consistent basis.
[00:02:52.406 --> 00:02:59.631]  That's how the criminal elite, the power elite, the old money has been able to get a massive stranglehold upon this country.
[00:03:00.192 --> 00:03:13.461]  In the future, I'm going to start trying to read from congressional records, bringing out this information going back hundreds of years, up until the present day, and show you where we've been and where we're going and what the political debate was in the past.
