[00:00:00.109 --> 00:00:00.870]  See, it smears.
[00:00:00.890 --> 00:00:01.171]  Like paint.
[00:00:05.797 --> 00:00:11.461]  Norma Rubel says her car was covered with the stuff after a black helicopter flew over her house.
[00:00:11.701 --> 00:00:14.102]  Looked like somebody took a spray painter and sprayed it.
[00:00:14.543 --> 00:00:20.226]  City officials examined the mysterious substance and declared it cedar ash from a nearby forest fire.
[00:00:20.246 --> 00:00:22.208]  There's no way it looked like cedar ash.
[00:00:22.788 --> 00:00:26.491]  And she says nobody can explain what else she found on her car.
[00:00:27.151 --> 00:00:28.692]  Thousands of dead gnats.
[00:00:29.112 --> 00:00:29.873]  Something killed them.
[00:00:30.837 --> 00:00:37.023]  Meanwhile, others who have seen the black helicopters fly over their homes say the dust might have poisoned them.
[00:00:37.043 --> 00:00:40.506]  All of my kids and myself all got sick with stomach trouble.
[00:00:41.046 --> 00:00:44.069]  And the Hopkins family suspects a government cover-up.
[00:00:44.609 --> 00:00:47.672]  I think most people would like to be able to just say, well, our government would never do that.
[00:00:48.052 --> 00:00:50.334]  Alex Jones insists it would.
[00:00:50.815 --> 00:00:52.636]  They've tested what's been sprayed out of the helicopters.
[00:00:52.816 --> 00:00:56.600]  It has salmonella and other type bacteria that you would find in garbage.
[00:00:57.675 --> 00:01:03.518]  Jones suspects it's all part of secret government preparations for a possible state of emergency.
[00:01:03.838 --> 00:01:07.860]  We see a lot of indicators that the military is preparing for martial law.
[00:01:09.281 --> 00:01:10.982]  And Jones is not alone.
[00:01:11.002 --> 00:01:16.965]  The government has more control than they need and I think that the black helicopters probably have something to do with it.
[00:01:17.686 --> 00:01:19.907]  We're in the equivalent of 1936 Germany.
[00:01:20.746 --> 00:01:29.546]  He's just now getting his power and they're getting ready to really clamp down.
[00:01:29.483 --> 00:01:32.105]  All right, ladies and gentlemen, we are live.
[00:01:32.145 --> 00:01:33.126]  That's right, we are live.
[00:01:33.166 --> 00:01:36.408]  It is June 28th, 1999.
[00:01:36.788 --> 00:01:38.410]  One day closer to victory.
[00:01:40.611 --> 00:01:50.919]  Every evening, on radio and television, I try to poke another hole in the curtain of mystery that surrounds the real political process.
[00:01:50.959 --> 00:01:54.902]  I try to let some light come in and be shed upon
[00:01:55.655 --> 00:01:57.516]  The corruption that we're all dealing with.
[00:01:57.556 --> 00:01:58.677]  So again, we are live.
[00:01:58.737 --> 00:02:00.598]  It is Monday, June 28, 1999.
[00:02:04.600 --> 00:02:09.102]  A lot of stories, a lot of important information we'll be getting to this evening.
[00:02:09.562 --> 00:02:11.844]  We'll also take your calls at 477-2288.
[00:02:15.566 --> 00:02:21.529]  Well, I've got a Hartford Current article here from the Hartford newspaper.
[00:02:22.922 --> 00:02:27.545]  And it talks about police and their new techniques to control suspects, good or bad.
[00:02:30.147 --> 00:02:43.356]  They quote, call it, skeletal manipulation and chaos is the key components of a new training technique being implemented at the Wethersfield Police Department and across the nation as part of federal grants from the Justice Department.
[00:02:43.676 --> 00:02:47.899]  It also talks about the goal being to exert extreme pain.
[00:02:48.519 --> 00:02:49.260]  This is nothing new.
[00:02:49.340 --> 00:02:52.362]  Torture Points was used on Mike Hanson, my cameraman, a couple months ago.
[00:02:53.385 --> 00:02:56.468]  For not letting the police search his vehicle, or an off-duty cop search his vehicle.
[00:02:57.408 --> 00:03:02.673]  Mike called 9-1-1 and certainly got a response, just not the response he thought that he would be receiving.
[00:03:03.293 --> 00:03:09.158]  So we'll get to this article, we'll also get into China is close to a manned space flight orbiting the planet.
[00:03:10.339 --> 00:03:21.529]  Women to spend nights on Navy subs and they're being, the admirals are being chastised for trying to protect the quote, citadel of male culture.
[00:03:22.674 --> 00:03:23.855]  Or mail preserve.
[00:03:25.075 --> 00:03:25.676]  Get into that.
[00:03:26.076 --> 00:03:32.319]  And also, DC plans to mobilize workers for Y2K backup and say they're not going to be ready.
[00:03:33.280 --> 00:03:35.361]  So, a lot to discuss this evening.
[00:03:35.761 --> 00:03:41.184]  Also, I have the Texas Comprehensive Annual Financial Report.
[00:03:41.544 --> 00:03:44.025]  This is the second set of books the government keeps.
[00:03:44.045 --> 00:03:48.027]  You notice this is a lavish 304-page phone book size.
[00:03:48.648 --> 00:03:50.829]  And the parameter is not the thickness.
[00:03:52.294 --> 00:03:59.752]  304 page prospectus for the banks and foreign institutions that deal in our slavery.
[00:04:00.783 --> 00:04:02.985]  And I'll be getting to some of this a little bit later in the program.
[00:04:03.345 --> 00:04:09.389]  You think the budget surplus they had was 6.6 or 6.9, depending on the numbers, surplus.
[00:04:09.449 --> 00:04:10.650]  That's the public books.
[00:04:11.090 --> 00:04:25.740]  We'll get into the hundreds of billions of dollars and then the low debt ratios the state of Texas are running, plus all the other 50 states and counties and cities are not exempt from this fraud, this Al Capone double bookkeeping type scenario.
[00:04:26.141 --> 00:04:27.882]  But again, it's not even a
[00:04:29.427 --> 00:04:33.270]  Very well-kept secret, because nobody seems to care about the fraud in the newspapers.
[00:04:33.590 --> 00:04:35.371]  The Comprehensive Annual Financial Reports.
[00:04:35.671 --> 00:04:41.275]  I'd like to challenge any Austin American Statesman writers to try to research this and get any information on it.
[00:04:41.515 --> 00:04:46.018]  It's from Carol Keaton Rylander's office, Comptroller of Public Accounts.
[00:04:46.078 --> 00:04:50.481]  This is the latest one that came out for year-end, August 31st, 1998.
[00:04:50.521 --> 00:04:51.922]  Texas Comprehensive Financial Report.
[00:04:56.593 --> 00:05:00.174]  Got some nice cactus flowers and Guadalupe Mountains in the background.
[00:05:00.234 --> 00:05:01.374]  You certainly can't miss it.
[00:05:01.634 --> 00:05:11.456]  We'll be getting some of this Al Capone-type bookkeeping for you, displaying the geometric growth rate of government and how we better get a handle on it or it's all over!
[00:05:11.516 --> 00:05:23.898]  The very intrinsic nature of large institutions growing out of control and becoming militaristic and quite predatory in their uncontrolled growth of these institutions.
[00:05:25.718 --> 00:05:30.121]  Also, we've got the United Nations grabbing more land through the Interior Department with Bruce Babbitt.
[00:05:30.922 --> 00:05:31.162]  U.S.
[00:05:31.182 --> 00:05:41.770]  suspects stolen data key to China's new mobile missile, the DF-31, a two-and-a-half-megaton missile able to deliver a two-and-a-half-megaton-type weapon.
[00:05:42.631 --> 00:05:49.696]  Storm reports, and also some famous quotes by Congressmen and Senators and others about the Federal Reserve.
[00:05:50.096 --> 00:05:52.698]  And one more key item that we will get to this evening,
[00:05:53.354 --> 00:05:53.935]  Or two more.
[00:05:53.955 --> 00:05:57.918]  Another anthrax story from the Statesman, front page of the Metro and State.
[00:05:57.958 --> 00:06:00.180]  Mrs. Jones goes to Washington about her son.
[00:06:01.041 --> 00:06:07.707]  And we've got another article here about American kids watching even more television and this dangerous trend.
[00:06:08.008 --> 00:06:10.110]  That is all from the Austin American Statesman.
[00:06:10.310 --> 00:06:12.812]  They're watching Pat television, the Jerry Springers of the world.
[00:06:14.634 --> 00:06:15.475]  All very interesting.
[00:06:15.655 --> 00:06:18.517]  Let's go ahead and go to this first article, then we'll go to your calls in about 20 minutes.
[00:06:20.453 --> 00:06:23.915]  First off, a new technique controls suspects.
[00:06:24.676 --> 00:06:27.277]  The two men appear to be deep in conversation.
[00:06:27.337 --> 00:06:33.721]  Suddenly, one steps forward quickly and grabs the other by the arm.
[00:06:33.781 --> 00:06:39.425]  He shoves him backward, then flips him onto the ground, leaving him face down, dazed and confused.
[00:06:39.765 --> 00:06:45.208]  All the articles we read here, mainstream and alternative, are on my website, InfoWars.com, updated daily.
[00:06:46.389 --> 00:06:46.949]  That's not true.
[00:06:46.989 --> 00:06:48.250]  Occasionally, we take off a Sunday.
[00:06:50.057 --> 00:06:53.859]  That was an example of, quote, skeletal manipulation and chaos.
[00:06:54.259 --> 00:06:59.643]  Key components of new training techniques being implemented at the Wethersfield Police Department.
[00:06:59.663 --> 00:07:06.907]  The department is the first in the state to use the technique which could eventually be used by police statewide.
[00:07:07.527 --> 00:07:20.841]  Called Scientifically Applied Force Tactics, or SAFT, the technique incorporates the surprise and dexterity that are part of the martial arts, enabling an officer to disable a reluctant suspect in the blink of an eye.
[00:07:23.155 --> 00:07:33.779]  Lou Hicks, a retired Navy SEAL and holder of numerous black belts in several martial arts, designed the program, which is being promoted as a more humane method to subdue a suspect.
[00:07:33.839 --> 00:07:37.821]  It's also funded nationwide by the Department of Justice.
[00:07:37.861 --> 00:07:42.943]  That's Butcher of Waco, Reno, and others like Webster Hubble before he went to prison for all his criminal activities.
[00:07:43.823 --> 00:07:57.231]  It is violence of action, and it makes fear your ally, said Weathersfield Sergeant Ken Dillon, who has recently returned from an intense 300-hour train-the-trainer course in Tallahassee, Florida.
[00:07:57.512 --> 00:07:58.672]  Fast is the key, he said.
[00:07:58.712 --> 00:07:59.653]  This is how it can work.
[00:08:01.172 --> 00:08:07.533]  An officer tries to persuade a suspect to accompany him to the police station, but the suspect resists.
