[00:00:00.129 --> 00:00:01.209]  Greetings.
[00:00:01.269 --> 00:00:02.910]  We are Anonymous.
[00:00:02.950 --> 00:00:04.530]  We are Legion.
[00:00:04.730 --> 00:00:07.250]  Anonymous has many different
[00:00:32.350 --> 00:00:33.250]  We're good to go.
[00:01:07.381 --> 00:01:08.121]  We're good to go.
[00:01:34.770 --> 00:01:36.651]  We're good to go.
[00:02:51.315 --> 00:02:56.938]  You have more off-the-record meetings with lobbyists than any president before you.
[00:02:57.459 --> 00:03:00.700]  Signed more executive orders than any president before you.
[00:03:01.061 --> 00:03:04.162]  Doubled the national debt when you promised to cut it in half.
[00:03:04.743 --> 00:03:06.544]  Everything you've said has been a lie.
[00:03:07.384 --> 00:03:08.705]  You are a fraud.
[00:03:09.225 --> 00:03:15.849]  And by exposing you, we expose those that are behind you who wish to stay anonymous.
[00:03:20.233 --> 00:03:21.314]  We're good to go.
[00:03:48.601 --> 00:03:49.622]  I don't think so.
[00:04:10.384 --> 00:04:14.267]  We will bring down the Rat Master Governance.
[00:04:15.028 --> 00:04:18.611]  True Anonymous is peaceful and not violent.
[00:04:19.251 --> 00:04:23.675]  Because the pig is mightier than the sword.
[00:04:24.495 --> 00:04:25.376]  We are Anonymous.
[00:04:26.016 --> 00:04:26.797]  We are Legion.
[00:04:27.438 --> 00:04:30.300]  And the State of the Union is a fraud.
[00:04:46.096 --> 00:04:46.538]  You
