[00:00:03.679 --> 00:00:06.260]  So what do you say about the influence?
[00:00:06.340 --> 00:00:07.961]  I mean, there's very powerful people there.
[00:00:07.981 --> 00:00:09.421]  Why does it have to be so secret?
[00:00:09.901 --> 00:00:14.263]  I mean, there is no secrecy.
[00:00:14.343 --> 00:00:15.543]  I talked to the hotel guys.
[00:00:15.603 --> 00:00:17.004]  It's just a private meeting.
[00:00:17.084 --> 00:00:26.808]  If you want to know the evils lurking within the Bilderberg group, look no further than the following quotes from Bilderberg insiders and those who've studied the secretive cabal.
[00:00:27.208 --> 00:00:27.828]  Bill Gates
[00:00:28.356 --> 00:00:45.589]  So you've got a thing on the left, CO2, that you want to get to zero, and that's going to be based on the number of people, the services each person's using on average, the energy on average for each service, and the CO2 being put out per unit of energy.
[00:00:45.749 --> 00:00:48.751]  Probably one of these numbers is going to have to get pretty near to zero.
[00:00:48.771 --> 00:00:53.435]  Now that's back from high school algebra, but let's take a look.
[00:00:53.823 --> 00:00:58.589]  Dr. Henry Kissinger at the 1992 Bilderberg meeting at Evians, France.
[00:00:59.170 --> 00:01:03.796]  Today, America would be outraged if UN troops entered Los Angeles to restore order.
[00:01:04.257 --> 00:01:06.740]  Referring to the 1991 LA riots.
[00:01:07.021 --> 00:01:08.623]  Tomorrow they will be grateful!
[00:01:08.843 --> 00:01:14.247]  This is especially true if they were told that there were an outside threat from beyond, i.e.
[00:01:14.287 --> 00:01:16.129]  an extraterrestrial invasion.
[00:01:16.429 --> 00:01:19.471]  Whether real or promulgated, that threatened our very existence.
[00:01:19.672 --> 00:01:23.935]  It is then that all peoples of the world will plead to deliver them from this evil.
[00:01:24.175 --> 00:01:26.577]  The one thing every man fears is the unknown.
[00:01:26.877 --> 00:01:34.924]  When presented with this scenario, individual rights will be willingly relinquished for the guarantee of their well-being granted to them by the world government.
[00:01:35.284 --> 00:01:37.746]  David Rockefeller wrote in his book Memoirs,
[00:01:38.366 --> 00:01:55.898]  If the Council on Foreign Relations raises the hackles of the conspiracy theorists, the Bilderberg meetings must induce apocalyptic visions of omnipotent international bankers plotting with unscrupulous government officials to impose cunning schemes on an ignorant and unsuspecting world.
[00:01:57.259 --> 00:02:16.316]  At the 1991 Bilderberg meeting at Badon, Germany, a meeting also attended by Bill Clinton, David Rockefeller said, We are grateful to the Washington Post, The New York Times, Time Magazine, and other great publications whose directors have attended our meetings and respected their promises of discretion for almost 40 years.
[00:02:17.737 --> 00:02:24.785]  It would have been impossible for us to develop our plan for the world if we had been subjected to the lights of publicity during those years.
[00:02:25.165 --> 00:02:29.790]  But the world is more sophisticated and prepared to march towards a world government.
[00:02:29.970 --> 00:02:39.120]  The supranational sovereignty of an intellectual elite and world bankers is surely preferable to the national auto-determination practiced in past centuries.
[00:02:40.021 --> 00:02:43.123]  And David Rockefeller from his book, Memoirs, again.
[00:02:43.563 --> 00:02:58.091]  Some even believe we are part of a secret cabal working against the best interests of the United States, characterizing my family and me as internationalists, and conspiring with others around the world to build a more integrated global political and economic structure.
[00:02:58.491 --> 00:03:00.152]  One world, if you will.
