[00:00:00.871 --> 00:00:01.651]  It's now official.
[00:00:02.292 --> 00:00:07.735]  The United States, only six days into Joe Biden's administration, is now under martial law.
[00:00:08.175 --> 00:00:10.216]  Martial law directed by the United Nations.
[00:00:10.396 --> 00:00:13.835]   And as we speak, one of the key organizations quarterbacking the global takeover,
[00:00:13.835 --> 00:00:16.556]  the Davos group, is meeting, plotting their next steps.
[00:00:16.556 --> 00:00:27.836]   Outgoing Hawaiian Congresswoman Tulsi Gabbards called out the elephant in the room over the
[00:00:27.836 --> 00:00:33.516]   weekend and asked President Biden, "Are we under martial law?"
[00:00:33.769 --> 00:00:37.071]  Well, that's like asking a member of the mafia if they're a gangster.
[00:00:37.732 --> 00:00:39.513]  Yes, we're under a civil emergency.
[00:00:39.913 --> 00:00:44.156]  Yes, we're under martial law and it's directed by the United Nations.
[00:00:44.796 --> 00:00:46.477]  It is directed by the Davos group.
[00:00:47.178 --> 00:00:55.264]   It is directed by the globalist and they used COVID-19 is the initial way to put the lockdown or the political clampdown in place.
[00:00:55.404 --> 00:01:10.677]  In all these countries that were unpopular, like Spain and France, where the leaders were set to be toppled, where they had basically open civil war starting with the yellow jackets and the rest of it, suddenly they have the excuse to clamp down.
[00:01:11.137 --> 00:01:13.820]  And what's really frustrating is none of this is even a secret.
[00:01:14.440 --> 00:01:24.421]   The entire planet Back in February and March of 2020 was put under United Nations directed global lockdown.
[00:01:24.721 --> 00:01:26.763]  We were told the WHO is in charge.
[00:01:27.423 --> 00:01:28.725]  Governments are taking its orders.
[00:01:29.645 --> 00:01:30.846]  Big Tech is taking its orders.
[00:01:30.906 --> 00:01:40.735]  It doesn't matter if thousands of doctors and scientists come out and say that COVID's overblown or the hydroxychloroquine is basically a cure or that they're listing people that died of other diseases.
[00:01:41.952 --> 00:01:47.175]  As COVID, the same formula worldwide, they were allowed to do it because it was a civil emergency.
[00:01:47.235 --> 00:01:54.519]  And the UN said, send COVID patients to nursing homes, the one group of people that COVID actually has a good chance of killing.
[00:01:54.980 --> 00:01:58.502]  For the rest of the public, it's 99.99999 that you can't die.
[00:01:58.922 --> 00:02:04.865]  But yes, if you've had cancer, if you're obese, if you're above 75, you are in trouble if you've got diabetes.
[00:02:05.346 --> 00:02:37.520]   But again, this was their excuse to muzzle us, both our speech online and physically in The real world and once that was in place all over the planet now they are putting permanent forms of martial law in place and say they're going to have military on the streets but more importantly they're announcing and the White House has officially done this through their spokesperson last Friday that they are going to work with the Defense Department, the FBI, the CIA, that's all illegal to have those groups domestically operating with the FBI against
[00:02:38.618 --> 00:02:48.066]  The American people, and they're going to create a list of people from religious extremists, that's whoever they want, pro-life people, folks like that, all the way to, quote, even libertarians.
[00:02:48.867 --> 00:02:56.934]  Now, that was Brennan a few days before her that said that, but then the White House press secretary came out and she said, indeed, that's what we're doing.
[00:02:57.255 --> 00:03:00.778]  But worse than that, we're going to have the Southern Poverty Law Center.
[00:03:01.834 --> 00:03:06.816]  We're going to have the ADL actually create these lists and give them to us.
[00:03:07.516 --> 00:03:11.057]  Those are the same groups that have created the list of who gets banned online.
[00:03:11.237 --> 00:03:14.739]  Our initial work on DVE will broadly fall into three areas.
[00:03:15.179 --> 00:03:26.543]  The first is a tasking from President Biden sent to the ODNI today requesting a comprehensive threat assessment coordinated with the FBI and DHS on domestic violent extremism.
[00:03:27.043 --> 00:03:33.731]  This assessment will draw on the analysis from across the government and, as appropriate, non-governmental organizations.
[00:03:34.434 --> 00:03:39.398]  The key point here is that we want fact-based analysis upon which we can shape policy.
[00:03:39.438 --> 00:03:46.823]  So this is really the first step in the process, and we will rely on our appropriate law enforcement and intelligence officials to provide that analysis.
[00:03:47.524 --> 00:03:52.788]  Facebook, when they named me as a dangerous person a few years ago, and said you can't even be nice to me.
[00:03:52.808 --> 00:04:00.054]  If you talk positively of me, the Facebook cult will kick you off or even remove you, not just suspend you.
[00:04:00.854 --> 00:04:09.097]  And it was all because the Southern Poverty Law Center and ADL, who are like gods, these fascist authoritarian gods, said that I'm a bad person.
[00:04:09.717 --> 00:04:10.557]  So that's how this worked.
[00:04:10.597 --> 00:04:22.261]  First they demonized me, built a straw man, twisted things I'd said, took things out of context, built this lie that I should be removed, unpersoned, and then once that domino fell, all the other dominoes fell.
[00:04:23.222 --> 00:04:24.322]  That's the same thing with the Capitol.
