[00:00:00.000 --> 00:00:15.000]  [MUSIC]
[00:00:15.000 --> 00:00:20.000]  InfoWars, the most banned network in the world.
[00:00:20.738 --> 00:00:27.041]  It's Saturday and I'm here with a very, very dire alert for you.
[00:00:27.882 --> 00:00:29.922]  Special news breakdown.
[00:00:32.363 --> 00:00:37.826]  I'll explain in a moment why I'm wearing sunglasses, but it all ties together literally and metaphorically.
[00:00:39.747 --> 00:00:42.608]  And I just want to get something off my chest for all the viewers and listeners out there.
[00:00:45.649 --> 00:00:46.510]  I'm 100% real.
[00:00:48.491 --> 00:00:50.012]  What I say on air is what I mean.
[00:00:52.854 --> 00:01:06.725]  But sometimes in my attempt to let you know how urgent things are, I tend to get so hyped up on air that it scares people and it demoralizes folks.
[00:01:07.205 --> 00:01:08.306]  And that is not my intention.
[00:01:09.167 --> 00:01:11.088]  And you know who it demoralizes more than anybody?
[00:01:12.189 --> 00:01:12.289]  Me.
[00:01:15.293 --> 00:01:29.000]  Since I was about 14 years old and went into one of my first red rages where I was fighting a couple guys and they were kicking my ass and I blacked out and was able to defend myself successfully, a blood vessel in my right eye at the bottom opens up.
[00:01:29.720 --> 00:01:30.460]  They didn't hit me in the eye.
[00:01:31.581 --> 00:01:42.286]  And that's how I know when I've gone into a rage is that not right at the time, but a few hours after it opens up and my eye looks like Count Dracula's total blood red.
[00:01:43.695 --> 00:01:45.996]  And yesterday that happened, that hadn't happened in a couple of years.
[00:01:47.836 --> 00:01:51.218]  And I know that that's a warning sign for my brain, my heart, all of it.
[00:01:52.358 --> 00:01:55.939]  And that's, that's why I'm wearing these sunglasses today.
[00:01:56.980 --> 00:02:02.682]  You remember a few years ago, I had to wear sunglasses for a week because the same eye was completely bloodshot and filled with blood.
[00:02:02.862 --> 00:02:07.603]  And you can kind of see that as a warning light for the country, but that's how much I care.
[00:02:08.444 --> 00:02:09.304]  I didn't break anything.
[00:02:09.344 --> 00:02:10.865]  I didn't scream at anybody here at the office.
[00:02:10.945 --> 00:02:11.905]  It was a controlled rage.
[00:02:13.161 --> 00:02:23.864]  Uh, but the reason I tell you my personal story is because I know you're going through a lot of stress and I know there's been record suicides all over the world.
[00:02:24.884 --> 00:02:29.945]  And I know that the number of veterans committing suicide went from 20 something to 40 something a day, an all time record.
[00:02:31.205 --> 00:02:34.766]  And I know we've seen record levels of suicide in teens and young people locked up in their houses.
[00:02:35.746 --> 00:02:42.488]  And I know the humiliation and the anger of being told that you're not essential and being cut off from your friends and family is a form of torture.
[00:02:43.337 --> 00:02:45.299]  Under the Geneva Convention and the Nuremberg Code.
[00:02:46.239 --> 00:02:50.063]  And so when I tell you this, I say this to myself.
[00:02:50.803 --> 00:02:57.989]  And I'm really trying to figure out how to manage this and not let the righteous anger destroy me in the process of taking out the globalists.
[00:02:59.610 --> 00:03:02.433]  Because what they've been doing is so over the top.
[00:03:03.694 --> 00:03:05.055]  And I knew it was coming down the road.
[00:03:05.695 --> 00:03:10.039]  But the fact that it's happening so quickly means they've moved their whole timetable up.
[00:03:11.417 --> 00:03:13.318]  And they're announcing lockdown too.
[00:03:13.478 --> 00:03:14.478]  They're preparing that here in the U.S.
[00:03:14.578 --> 00:03:15.499]  It's already happened in Europe.
[00:03:15.859 --> 00:03:18.940]  They're announcing jail time if you leave your house without the deadly inoculations.
[00:03:20.160 --> 00:03:24.762]  They're announcing on our news that, yeah, we've been reading all your text messages for a long time.
[00:03:25.882 --> 00:03:27.623]  The Democratic Party has, with Big Tech.
[00:03:29.964 --> 00:03:50.215]   And in a consortium, I'm going to show you the documents in a moment, with the Rockefeller Foundation and the Carnegie Endowment, as well as Bill Gates, the Southern Poverty Law Center, and the ADL, Run by the Democratic Party, just like the Communist Party in Cuba or North Korea or China runs the media.
[00:03:51.835 --> 00:03:59.317]  They have announced that the party is going to decide what election news can be out and what vaccine news or lockdown news can be out.
[00:03:59.717 --> 00:04:12.098]   And a month ago, they put out the new national counterterrorism strategy of the president, the puppet president, saying, if you question The election or lockdowns or vaccines, you're a terrorist.
[00:04:12.598 --> 00:04:25.443]  And then I was reading all these new documents they put out against people criticizing lockdowns and the danger of vaccines, that they are terrorists and that they are extremists.
[00:04:25.703 --> 00:04:28.284]  And I'm going to show you those documents here in just a moment.
[00:04:28.324 --> 00:04:43.865]   So even though I've known this is coming, and even though I know that this is a real thing we've talked about in the new world order, in the last week they've announced at the Vatican and The Australian Health Minister and all of them, that this is a new world order and that the United Nations is taking over.
[00:04:44.665 --> 00:04:46.347]  It's just, it's just insane.
[00:04:48.409 --> 00:04:50.650]  And so it's a real come to Jesus moment for all of us.
[00:04:52.372 --> 00:04:59.838]  But at the same time, I'm not exposing these people to then make you be depressed or to make you feel like all's lost.
[00:04:59.918 --> 00:05:04.562]  It's better that we know what they're doing so we can warn others and turn it around and stop it.
[00:05:05.540 --> 00:05:14.487]  That's the good news, because if we let it fully take over, its endgame strategy is a total forced depopulation operation that is now, again, out in the open.
[00:05:15.628 --> 00:05:20.292]  So, when I give you that advice, understand, I'm giving myself that advice at the same time.
[00:05:20.532 --> 00:05:23.474]  The old saying, when I point one finger at you, three more point back at me.
[00:05:25.015 --> 00:05:43.514]   And the only way I can control this rage, and I've been doing it for years, is prayer, and focusing, and eating healthier, and not letting The evil they're doing ever demoralized me, but let yourself know this is all part of God's plan.
[00:05:44.334 --> 00:05:55.960]  God is in control, and the globalists are barely winning by an inch right now, and they're throwing everything they've got at humanity right now because they want to stay in power and stay in control.
[00:05:56.301 --> 00:06:01.864]  So all of this desperate abuse and authoritarianism is a sign of weakness, not strength.
[00:06:02.484 --> 00:06:04.025]  I intellectually know that.
