[00:00:01.235 --> 00:00:02.336]  The human organism.
[00:00:03.257 --> 00:00:05.378]  Unique in all the universe in its complexity.
[00:00:06.179 --> 00:00:08.540]  The product of three billion years of evolution.
[00:00:09.101 --> 00:00:11.783]  Perfect in every way, except one.
[00:00:12.443 --> 00:00:15.443]  Like all machines, it wears out.
[00:00:15.443 --> 00:00:27.443]  [Music]
[00:00:27.443 --> 00:00:31.514]   Starkweather 2 Delta Your time has come.
[00:00:32.234 --> 00:00:34.675]  You're moving out to the island.
[00:00:35.095 --> 00:00:36.356]  Starkweather to Delta here.
[00:00:37.076 --> 00:00:40.197]  And as you know, the biggest dream of my life just came true.
[00:00:40.217 --> 00:00:44.078]  I mean, I've only been with you guys for like six months, but I won the lottery.
[00:00:44.098 --> 00:00:48.079]  Alright, I think we're about ready to open.
[00:00:51.159 --> 00:00:55.159]  Nothing's still right here...
[00:00:55.159 --> 00:00:57.159]  (Heavy breathing)
[00:00:57.159 --> 00:00:59.159]  (Glass shattering)
[00:00:59.159 --> 00:01:01.159]  (Gasping)
[00:01:01.159 --> 00:01:03.159]  (Screaming)
[00:01:03.159 --> 00:01:05.399]  (screaming)
[00:01:05.136 --> 00:01:14.844]  I don't want to die!
[00:01:14.944 --> 00:01:22.250]  I want to go to Ireland!
[00:01:22.310 --> 00:01:24.732]  I want to live!
[00:01:25.191 --> 00:01:29.191]  I don't want to live! I don't want to die!
[00:01:29.191 --> 00:01:36.191]  This is a community bulletin.
[00:01:36.505 --> 00:01:37.506]  Attention, residents.
[00:01:38.166 --> 00:01:41.849]  A contamination alert has been issued for Lincoln 6 Echo.
[00:01:42.610 --> 00:01:46.893]  Anyone coming in contact with you will be quarantined.
[00:01:48.134 --> 00:01:48.975]  I think they're gonna kill you.
[00:01:49.235 --> 00:01:49.955]  I'm going to the island.
[00:01:49.774 --> 00:01:50.774]  There is no island!
[00:01:50.774 --> 00:01:51.774]  [EXPLOSION]
[00:01:51.774 --> 00:01:54.734]  [MUSIC PLAYING]
[00:01:54.734 --> 00:02:06.854]   Imagine you wake up on an island, and you've got all these memories that you're there
[00:02:06.854 --> 00:02:13.094]   because a deadly virus was released onto the Earth, and that you've got to stay in this underground base
[00:02:13.094 --> 00:02:15.334]  for your own safety.
[00:02:14.818 --> 00:02:23.302]  But there's a lottery that pops up randomly where selected people get to go to a place called the island where they're rebuilding humanity.
[00:02:23.863 --> 00:02:24.163]  Sir.
[00:02:24.983 --> 00:02:25.384]  Yeah, you.
[00:02:28.339 --> 00:02:31.601]  Gondu Three Echo, you've been flagged for public disturbance before.
[00:02:32.242 --> 00:02:34.664]  I had a very small emotional outburst, sir.
[00:02:35.024 --> 00:02:35.945]  Safe to say it's over?
[00:02:36.325 --> 00:02:37.346]  Yes, very safe.
[00:02:38.547 --> 00:02:39.207]  I'm feeling much better.
[00:02:40.028 --> 00:02:41.108]  Well, then have a pleasant day.
[00:02:41.569 --> 00:02:42.089]  Thank you, you too.
[00:02:42.169 --> 00:02:43.310]  You both have a pleasant day, too.
[00:02:43.630 --> 00:03:00.706]   You see, if you submit and live under this police state tyranny inside this underground base, someday you'll be randomly selected to finally go out and live and be free again without a mask, Without robot, PCR test, without checkpoints, you'll finally be free.
[00:03:01.387 --> 00:03:05.252]  People are so excited when they finally get to go to the island.
[00:03:05.812 --> 00:03:12.661]  The only problem is, when they leave the island, they're actually shipped back to Tokyo or Los Angeles or New York or Austin, Texas.
[00:03:13.502 --> 00:03:22.166]  Or Johannesburg, South Africa, where their organs are harvested because a rich and powerful person has paid for a clone to be produced.
[00:03:22.226 --> 00:03:25.728]  But the problem is just growing organs and keeping them in a bag, they don't stay alive.
[00:03:25.748 --> 00:03:26.589]  They're not vibrant.
[00:03:26.609 --> 00:03:27.969]  They're not virile.
[00:03:28.029 --> 00:03:34.893]  So they've got to have a humanoid or a clone alive and ready to be harvested whenever they want.
[00:03:35.133 --> 00:03:37.454]  And that is the plot of the island.
[00:03:37.494 --> 00:03:51.439]   But the parallel with the island And what's happening now, a year and a half into this globalist nightmare, is that they believe they've got to stay locked down inside this underground base and are prisoners because outside is this deadly virus.
[00:03:52.060 --> 00:03:59.183]  And it's the virus that uses the excuse to keep them in this Milgram experiment of living in this controlled system.
[00:03:59.523 --> 00:04:02.325]  I want to know answers and I wish that there was more.
[00:04:04.666 --> 00:04:06.366]  More?
[00:04:06.587 --> 00:04:09.328]  More than just waiting to go to the island.
[00:04:13.590 --> 00:04:15.171]  It's your nature to question things.
[00:04:16.591 --> 00:04:18.252]  But don't you realize how lucky you are?
[00:04:19.332 --> 00:04:24.955]  That you survived the contamination, that nature has left you a garden of Eden to repopulate.
[00:04:25.535 --> 00:04:27.656]  That, Lincoln, is your purpose.
[00:04:28.656 --> 00:04:31.518]  But finally, a few of them figure it out.
[00:04:32.338 --> 00:04:45.591]   You call it spiritualism, you can call it genetics, you call it whatever it is, but somehow they're psychically picking up the memories of The people that they've been cloned from and are discovering who they are and break out.
[00:04:46.111 --> 00:04:47.652]  Now again, this is fiction.
[00:04:48.252 --> 00:05:03.318]   But the reason I'm pointing it out to you today is because the parallels of using a virus for full control of society have been written about by the Carnegie Foundation, the Rockefeller Foundation, the United Nations with Disease X, and they've talked about I'd like to run some tests on you, Lincoln.
