[00:00:03.979 --> 00:00:06.440]  It's Saturday, January 2nd.
[00:00:07.060 --> 00:00:07.960]  I'm Alex Jones.
[00:00:09.860 --> 00:00:14.041]  InfoWars.
[00:00:14.381 --> 00:00:16.002]  Tomorrow's news today.
[00:00:17.382 --> 00:00:18.082]  And wow!
[00:00:19.443 --> 00:00:21.223]  Here we are together in the year 2021.
[00:00:21.403 --> 00:00:31.127]   When I was a little kid, I thought the year 2000 sounded far off, but here we are, and it's shaping up to be a dystopia.
[00:00:31.887 --> 00:00:38.790]  A mad scientist world government coming with forced inoculations to reprogram our bodies and turn us into corporate-owned slaves.
[00:00:39.290 --> 00:00:42.912]  And all the numbers are coming out, the vaccine's killing people, maiming them, sterilizing them.
[00:00:44.412 --> 00:00:50.555]  And the globalists just want to normalize quietly maiming us and killing us for their admitted goal of the UN and Bill Gates and others.
[00:00:51.462 --> 00:00:53.623]  Global depopulation.
[00:00:53.663 --> 00:00:56.825]  And they have liability protection and they say they're going to try to force you to take it.
[00:00:57.745 --> 00:00:58.826]  And here's the Washington Post.
[00:00:58.906 --> 00:01:00.166]  Anti-vaxxers are dangerous.
[00:01:01.387 --> 00:01:03.768]  Make them face isolation, fines, and arrest.
[00:01:04.548 --> 00:01:07.050]  Sounds like something Hitler would come up with.
[00:01:07.090 --> 00:01:11.632]  But 80% of the nurses say they're not taking it in major polls in the United States.
[00:01:12.612 --> 00:01:19.576]  But Fauci says, oh, everything, including forced inoculation, is on the table.
[00:01:20.424 --> 00:01:33.036]  Well, we've got a viral video at Infowars.com of different, quote, flash mobs out protesting the mass, protesting the lockdowns, protesting the power grab.
[00:01:34.618 --> 00:01:40.203]  And we'll B-roll some of that now for TV viewers, because this is the future.
[00:01:41.364 --> 00:01:42.505]  This is the answer.
[00:01:43.486 --> 00:01:48.328]   This is how you counter Call the sheep that just want to be patted on the head.
[00:01:48.408 --> 00:01:51.470]  No, I'm a good person spreading bacterial pneumonia with the mask.
[00:01:51.770 --> 00:02:00.197]  Oh, I'm good going along with the hoax as they now admit that it looks about like the same number of people died in the year 2020 as died in 2019.
[00:02:00.377 --> 00:02:07.743]  The latest final numbers aren't in yet, but it looks like it may actually be less died in 2020.
[00:02:08.904 --> 00:02:09.565]  Think about that.
[00:02:09.925 --> 00:02:12.387]  And it looks like a few years before that in 2017, even more died.
[00:02:15.765 --> 00:02:18.887]  And of course, the number one cause of death on the planet is abortion.
[00:02:18.907 --> 00:02:23.651]  43 to 45 million children die a year on average.
[00:02:23.671 --> 00:02:28.935]  20 plus times the numbers globally that died of COVID, even with all the exaggeration.
[00:02:28.975 --> 00:02:29.756]  They don't count flu.
[00:02:29.776 --> 00:02:30.656]  They don't count pneumonia.
[00:02:30.857 --> 00:02:31.817]  They don't count heart attack.
[00:02:31.837 --> 00:02:34.139]  They don't count jet ski accidents.
[00:02:34.439 --> 00:02:36.281]  They don't count suicide.
[00:02:37.825 --> 00:02:40.167]  If you die, you died of COVID.
[00:02:40.908 --> 00:02:46.133]  Abortion, leading cause of death worldwide, 42.6 million this year alone.
[00:02:46.694 --> 00:02:51.498]  Stories up on InfoWars.com right now.
[00:02:52.625 --> 00:02:57.066]  Now we've got constitutional lawyer, Robert Barnes, about to join us.
[00:02:57.466 --> 00:03:00.707]  That's why I'm in here on Saturday, bringing you this emergency report.
[00:03:01.207 --> 00:03:03.908]  And when this is done airing at 5 p.m.
[00:03:03.968 --> 00:03:13.291]  today, as you're tuned in, it's going to loop every hour until I'm back live, Lord willing, tomorrow night with a regular Sunday show, 4 to 6 p.m.
[00:03:13.331 --> 00:03:15.111]  And I want to thank you all for tuning in.
[00:03:15.151 --> 00:03:19.592]  But there are police now arresting people in blue cities all over the U.S.
[00:03:19.612 --> 00:03:20.953]  for being outside at night.
[00:03:22.014 --> 00:03:40.525]  It's all about arbitrary power and the UN through the Bill and Melinda Gates Foundation and the Clinton Foundation is setting up worldwide UN controlled contact tracers that get your data from people at restaurants and businesses and then come to your house and demand to come in and demand to test you with a little computer.
[00:03:42.008 --> 00:03:46.872]  That is a fraudulent test even federal, state, and even foreign courts have ruled.
[00:03:47.212 --> 00:03:48.493]  The PCR tests are a fraud.
[00:03:48.513 --> 00:03:52.236]  You can set them just like a radar gun to show whatever you want.
[00:03:52.817 --> 00:04:07.109]  And so they're not going to kill you with a guillotine when they take you away to the secret COVID centers that blue states, blue cities have set up, and that Democrat and globalist controlled systems have, and that socialists and communists and new world order systems have set up in Australia, Canada, and Europe.
[00:04:08.527 --> 00:04:12.229]  They take you to secret facilities now all admitted.
[00:04:13.470 --> 00:04:17.533]  So this is the cover for all those SJWs that went to school to be cops.
[00:04:18.233 --> 00:04:22.776]  All the little pot bellies, all the women, all the people that want that raw power.
[00:04:23.496 --> 00:04:30.721]  And they're now marching out viciously and arresting people that show that the hospitals are empty when they claim they're full.
[00:04:32.824 --> 00:04:37.205]  But the good news is they're doing that to intimidate you because they don't have any power.
[00:04:37.445 --> 00:04:40.926]  And for every person they arrest, 10,000 have protested and said no.
[00:04:41.546 --> 00:04:43.347]  And I believe history will repeat itself.
[00:04:43.847 --> 00:04:49.528]  Their attempts at intimidation will only blow up in their corrupt, stinking faces.
[00:04:50.609 --> 00:04:54.970]  So Barnes is loaded for bear about going on the offense this year.
[00:04:57.219 --> 00:04:58.780]  And how Robert F. Kennedy Jr.
[00:04:58.820 --> 00:05:00.301]  and others plan to strike back.
[00:05:00.381 --> 00:05:01.341]  I'll be in D.C.
[00:05:01.361 --> 00:05:11.287]  next week, not just at our big events and our big elliptical event right south of the White House and our other big event Friday at Freedom Plaza that I'm emceeing much of.
[00:05:12.508 --> 00:05:19.072]  But we're also going to go to the big event they've got in the morning there at the Capitol for medical freedom.
[00:05:20.828 --> 00:05:25.720]  It is all coming up, ladies and gentlemen, and it is history.
[00:05:25.760 --> 00:05:30.130]  And I'll tell you again, Paul Reveres, the only way this dog hunts.
[00:05:31.115 --> 00:05:33.996]  Is when you spread the word and when you share the truth.
[00:05:34.516 --> 00:05:37.716]  Big censorship of big tech is needed for this to succeed.
[00:05:38.236 --> 00:05:40.337]  If you override them, they think you're lazy.
[00:05:40.657 --> 00:05:54.080]  And if you send people the live feed of this show at Band.Video or InfoWars.com, or if you share the archive of this important report with Robert Barnes coming up with your friends, your family, your neighbors, it is going to change the world.
[00:05:54.180 --> 00:05:55.840]  It is changing the world.
[00:05:56.693 --> 00:05:58.894]  It's so incredibly important.
[00:05:59.554 --> 00:06:02.215]  The New World Order will fail if you take action.
[00:06:02.255 --> 00:06:06.137]  And we're going to play a clip here and then come back with Barnes that they've got on via Skype.
[00:06:06.157 --> 00:06:07.698]  We're about to talk to him and he's ready to go.
[00:06:09.209 --> 00:06:12.051]  But first, we're going to get into the news that just broke this Saturday afternoon.
[00:06:12.331 --> 00:06:23.880]  They have 12 senators now and 140 House members, and it's growing, set to overturn the five fraudulent states and demand an emergency commission in the next 10 days to decide whether to overturn that election entirely.
[00:06:24.280 --> 00:06:25.841]  This is absolutely what needs to happen.
[00:06:25.881 --> 00:06:28.263]  It's constitutional, and Barnes will break down.
[00:06:29.485 --> 00:06:32.408]  Those latest developments as well first when he joins us.
[00:06:32.468 --> 00:06:36.072]  But separately, it takes money to put my crew and security in DC.
[00:06:36.633 --> 00:06:38.094]  And it takes money to organize this.
[00:06:38.114 --> 00:06:42.579]  And we put a lot of money, myself, into paying for the event that Trump's going to be at, the other event.
[00:06:42.900 --> 00:06:43.921]  And we hope millions come.
[00:06:43.961 --> 00:06:44.862]  Millions are set to come.
[00:06:46.058 --> 00:06:52.323]  So visit InfoWarsStore.com and get the X2 back in stock, the good halogen, the purest iodine out there.
[00:06:52.463 --> 00:06:55.866]  Get Pollen Block for your seasonal distress now back in stock.
[00:06:56.287 --> 00:06:58.348]  Get Super Mel Vitale now back in stock.
[00:06:58.408 --> 00:07:04.333]  Get the activated charcoal toothpaste that my dad, a retired dentist, designed that has been sold out for months and months.
[00:07:04.614 --> 00:07:05.334]  It's back in stock.
[00:07:05.394 --> 00:07:06.175]  Super high quality.
[00:07:06.435 --> 00:07:07.496]  No other toothpaste like it.
[00:07:07.536 --> 00:07:09.778]  None of the fillers, none of the garbage, none of the fluoride.
[00:07:10.158 --> 00:07:14.322]  InfoWarsStore.com and you're funding the second American Revolution worldwide.
[00:07:14.562 --> 00:07:16.543]  All right, here is the latest on the election.
[00:07:17.464 --> 00:07:21.065]  Led by Republican Senator Josh Hawley to challenge the election.
[00:07:21.666 --> 00:07:25.448]  Started out as a push from just one senator but it appears to be picking up steam.
[00:07:26.028 --> 00:07:30.230]  I'm hearing that it could be as much as a handful of Republican senators.
[00:07:31.211 --> 00:07:35.573]  Our colleague Jake Tapper is hearing perhaps as many 140 House members.
[00:07:36.213 --> 00:07:39.595]  Will this challenge go anywhere despite the numbers growing here?
[00:07:41.195 --> 00:07:50.781]  Well, no, because under the rules, both chambers, the House and the Senate, would have to agree that on a Trumpian slate of delegates.
[00:07:51.181 --> 00:07:54.143]  That obviously is not going to happen in the House of Representatives.
[00:07:54.643 --> 00:07:57.365]  And there aren't even a majority of votes in the U.S.
[00:07:57.465 --> 00:07:58.246]  Senate to have it.
[00:07:58.646 --> 00:08:00.387]  So, no, that won't go anywhere.
[00:08:02.028 --> 00:08:07.031]  And despite that, you have these members of Congress, though, going forward with this.
[00:08:07.571 --> 00:08:09.813]  What does this say about your party tonight, then?
[00:08:11.229 --> 00:08:12.350]  Well, nothing good.
[00:08:12.370 --> 00:08:19.614]  I think they probably see it as a freebie vote, which is extremely short-sighted for the future of the party.
[00:08:20.054 --> 00:08:35.022]  But they see that the Democrats in the House and enough Republican senators will save them from having to be in the unprecedented and unprincipled position of actually overturning the popular results of the election.
[00:08:35.502 --> 00:08:39.404]  And thank you for joining us on this special Saturday transmission.
[00:08:39.444 --> 00:08:44.546]  We'll also re-air this broadcast until I go live again tomorrow at 4 p.m.
[00:08:44.866 --> 00:08:47.568]  Central Standard Time with the Sunday Syndicated Show.
[00:08:47.608 --> 00:08:54.691]  But obviously so much huge news is breaking and unfolding that we are bringing you this special broadcast this evening.
[00:08:54.711 --> 00:09:01.060]   I want to thank the crew for coming in on a Saturday to do this. Now I already told you Robert Barnes,
[00:09:01.060 --> 00:09:06.500]   esteemed constitutional lawyer working for Trump on the campaign, doing the research into
[00:09:06.500 --> 00:09:12.630]   what's really happened with this fraudulent election, would be joining us today to
[00:09:12.630 --> 00:09:20.309]   get into the illegality of the attempts to intimidate us into forced inoculations, the illegal curfews,
[00:09:20.309 --> 00:09:25.759]   police arresting people, beating people up, and the rebellion that is forming a
[00:09:12.184 --> 00:09:17.504]   today to get into the illegality of the attempts to intimidate us into forced
[00:09:17.504 --> 00:09:23.703]   inoculations, the illegal curfews, police arresting people, beating people up, and
[00:09:23.703 --> 00:09:29.383]   the rebellion that is forming a constitutional, legal, lawful, common law
[00:09:29.383 --> 00:09:33.543]  approach as well to saying no to this declaration of tyranny.
[00:09:33.543 --> 00:09:38.744]   But as we just came out of the break, you saw that clip where it's now official.
[00:09:38.744 --> 00:09:43.063]  Trump has gotten, first it was six, now it's 12 senators.
[00:09:43.063 --> 00:09:48.863]   By next Wednesday, we're told it could be even more that are officially objecting
