[00:00:02.941 --> 00:00:04.141]  It's Sunday, March 28th.
[00:00:04.261 --> 00:00:05.962]  The year is 2021.
[00:00:06.102 --> 00:00:09.603]  I'm your host, Alex Jones, and it's now official.
[00:00:10.383 --> 00:00:16.245]  A world government UN-run planetary ID is being rolled out as we speak.
[00:00:17.685 --> 00:00:27.048]  The Bible, every dystopic novel warning of a future authoritarian state, every future is worth their salt.
[00:00:27.648 --> 00:00:40.665]   Every common sense person has always understood That once a planetary government is erected, and once it brings in a world ID, and a world tax, and a world army, and a world court, it will be able to control every facet of our lives.
[00:00:40.705 --> 00:00:41.325]  And now it's here.
[00:00:42.185 --> 00:00:44.607]  Communist China is the model of the globalists.
[00:00:44.647 --> 00:00:45.307]  They set it up.
[00:00:45.347 --> 00:00:47.708]  They gave it one-sided trade deals to build it up.
[00:00:47.748 --> 00:00:58.974]  And now it's global social credit score, announced six months ago by Xi Jinping, based on a QR code, is being adopted in the state of New York by the United Kingdom.
[00:01:00.199 --> 00:01:04.042]  Now, the European Union, and they're all acting like magically all this happened.
[00:01:04.542 --> 00:01:08.366]  But I told you back a year ago, when they closed all the restaurants, I said, watch.
[00:01:09.747 --> 00:01:15.912]  Next, they'll have a QR code instead of a menu, claiming it's dangerous to have menus, but really, it's there to acclimate you and prepare you.
[00:01:15.952 --> 00:01:16.572]  How did I know that?
[00:01:17.713 --> 00:01:32.364]   Because Stanford and Yale and other major universities here in the US, but also Oxford and others in the UK, We're on record being hired over a decade ago to prepare the public for the rollout of this planetary system.
[00:01:32.824 --> 00:01:35.545]  So they tie it to having vaccine records.
[00:01:35.885 --> 00:01:37.766]  So you can't travel if you haven't been vaccinated.
[00:01:37.786 --> 00:01:38.366]  That's bad enough.
[00:01:38.846 --> 00:01:49.449]   But what it really does is establish that global government and gives the UN the authority to administer the IDs and then has all the nation states Getting on board.
[00:01:49.609 --> 00:01:51.190]  And now you see all the PR firms.
[00:01:51.590 --> 00:01:53.471]  There's a big Zero Hedge article out on as well.
[00:01:53.691 --> 00:02:05.934]  It's on Infowars.com saying, oh, there's just so many different IDs and so many different QR codes and so many different systems and countries for these vaccine passports that we all agree we have to have to reopen.
[00:02:06.174 --> 00:02:07.675]  See, we're held hostage all based on a hoax.
[00:02:09.025 --> 00:02:15.388]  And so we need the UN to bring in the QR code, and oh, it's exactly what Xi Jinping proposed.
