[00:00:00.000 --> 00:00:20.480]  [Outro]
[00:00:20.541 --> 00:00:23.042]  The world as you know it is ending.
[00:00:24.182 --> 00:00:35.186]  The Great Reset is the plan to establish a planetary world government to carry out the end of the industrial age and the end of the human era.
[00:00:36.138 --> 00:00:38.820]  We are looking at the post-Homo sapien sapien era.
[00:00:39.621 --> 00:00:49.169]  And it all began with the launch of the COVID virus as the pretext to bring in a medical worldwide dictatorship controlled by the United Nations.
[00:00:49.949 --> 00:00:56.975]  They have no intention of allowing the American people to take the Republic back after their coup of 2020 and the stolen election.
[00:00:57.595 --> 00:01:07.005]   That's why they plan to launch a new lockdown that will stretch all the way through Next year and the midterm elections in 15 months so they can use mail-in ballots again to steal it.
[00:01:08.006 --> 00:01:10.189]  They can be stopped, but there's not much time.
[00:01:12.034 --> 00:01:18.537]  In all of recorded history, it is documented that elites routinely decide to call the general population because they don't want to look at us.
[00:01:19.157 --> 00:01:19.957]  They want to go to the lake.
[00:01:19.997 --> 00:01:20.877]  They want to go to the mountains.
[00:01:20.917 --> 00:01:24.279]  They want to go where they want and not look at the lower classes.
[00:01:25.019 --> 00:01:25.879]  And that's all this is.
[00:01:25.999 --> 00:01:27.660]  The globals are buying up all the private islands.
[00:01:28.600 --> 00:01:31.922]  They're getting nation-states to shut out general tourism.
[00:01:33.231 --> 00:01:37.953]  All of these carbon taxes are about shutting the general public down while the globalists live like kings.
[00:01:38.313 --> 00:01:47.577]  It's parasitic, it's evil, but if we lie down and let them dominate us, and let them teach us that we're bad and dirty and we have to wear these face masks and all the rest of it, we deserve what we get.
[00:01:48.157 --> 00:01:52.418]  These people are psychotics, they're beyond selfish, and they are your mortal enemies.
[00:01:52.819 --> 00:01:56.300]  And the Great Reset is the end of our world and the beginning of theirs.
[00:01:56.840 --> 00:01:58.901]  Are we going to let them have our planet and have our children's future?
[00:01:59.821 --> 00:02:01.162]  Look in the mirror and ask yourselves a question.
[00:02:02.611 --> 00:02:21.084]  I come to you with extremely grave tidings, and I'm going to have to lay out some really, really, really sad, frightening, disgusting things here, but that's got to be done because it's our main chance at stopping the globalists.
[00:02:23.005 --> 00:02:25.286]  That said, everything I'm going to lay out here is on record.
[00:02:25.947 --> 00:02:27.288]  Our enemies are extremely arrogant.
[00:02:28.291 --> 00:02:32.796]  And they have bragged about every facet and point of their operation.
[00:02:34.718 --> 00:02:37.802]  It is truly the globalist world now, and we're just living in it.
[00:02:38.703 --> 00:02:40.705]  And if they have their way, we won't be living in it for long.
[00:02:41.646 --> 00:02:45.991]  This entire controlled collapse is not to just get control of humanity.
[00:02:46.894 --> 00:03:07.890]  It is to get full control over humanity to carry out an orderly forced depopulation that includes not just sterilization through chemicals, the food and water and the destruction of the family and the chemical, chemical castration of boys, but physically being taken to work camps and work to death and or shot in the back of the head.
[00:03:08.810 --> 00:03:11.933]  So I'm going to lay this out for you right now as best I can.
[00:03:13.857 --> 00:03:38.101]  And I just beg that you get this information, every member of Congress you can, every legislator you can, every mayor, every city council person, every decision maker, because we have a very good chance of stopping this if people realize that I've been right 99% before, because I'm going off their own battle plans, their own war games, and that I'm not just right about what their plans are, I'm right about how to stop them.
[00:03:38.921 --> 00:03:40.502]  I've made it my life's work to study these people.
[00:03:41.442 --> 00:03:41.702]  Okay.
[00:03:42.984 --> 00:03:44.084]  First off, let's cover this.
[00:03:44.824 --> 00:03:48.765]  This is an endless global lockdown that is designed to, over time, only get tighter.
[00:03:49.626 --> 00:03:55.327]  They have the illusion of loosening it from time to time, but that will be for just a few weeks or a few months maximum.
[00:03:56.127 --> 00:04:04.369]  Australia, Canada, places like Germany and France, they are ahead of us in the game because they're under deeper authoritarian control.
[00:04:05.376 --> 00:04:09.020]  And so they are, again, a year or so ahead of us.
[00:04:09.080 --> 00:04:11.182]  Everything you see there is now coming here.
[00:04:11.322 --> 00:04:16.066]  As I told you a year and a half ago, what you see happening in Europe now will be here in a year to two years.
[00:04:17.208 --> 00:04:17.648]  And it's here.
[00:04:19.630 --> 00:04:26.737]  Biden is set within two weeks to announce a new nationwide lockdown, just as they did a year and a half ago.
[00:04:26.917 --> 00:04:28.599]  The big corporations are already leading it.
[00:04:29.551 --> 00:04:36.194]  With Big Tech and others already saying don't come into work and already basically locking down and saying no one who hasn't taken the experimental shot can come into work.
[00:04:36.894 --> 00:04:39.555]  You see all the major sports franchises, the NFL, they're all doing it.
[00:04:39.575 --> 00:04:40.535]  That's what globalism is.
[00:04:41.195 --> 00:04:42.976]  It's corporate world governance being enforced.
[00:04:44.857 --> 00:04:50.039]  And so within two weeks, this is from sources inside the government, but I don't need to have those sources.
[00:04:50.799 --> 00:04:52.760]  You can see all the preconditioning, all the chatter everywhere.
[00:04:54.332 --> 00:05:11.645]  They will then start announcing another lockdown and the lockdown of non-essential small businesses to further bankrupt those that consolidate power for the Fortune 100, who've doubled and tripled their profits in the last year and a half, and who have been directing, again, the planetary lockdowns that are also causing massive deaths in the tens of millions across the world.
