[00:00:00.229 --> 00:00:02.531]  Humanity is being held hostage.
[00:00:03.172 --> 00:00:08.936]  A worldwide medical tyranny, controlled by the Fortune 500 and the UN, is being permanently put in place.
[00:00:09.577 --> 00:00:15.361]  We must resist its criminal establishment of global dominance, or we will be slaves for generations.
[00:00:15.622 --> 00:00:18.184]  And more importantly, our children will be slaves.
[00:00:18.443 --> 00:00:20.283]  We are now at the crossroads.
[00:00:20.283 --> 00:00:29.403]  What have I told you that you could predict the future?
[00:00:29.616 --> 00:00:30.776]  What have I proved to you?
[00:00:31.456 --> 00:00:34.377]  That if you do the right research, you can predict the future.
[00:00:34.737 --> 00:00:37.158]  And more importantly, you can change the future.
[00:00:37.178 --> 00:00:38.478]  You don't need a mask.
[00:00:38.498 --> 00:00:39.918]  The mask is about compliance.
[00:00:39.938 --> 00:00:42.239]  Because they know Canadians like to do what they're told.
[00:00:42.519 --> 00:00:44.019]  So they tell you, you have to wear a mask.
[00:00:44.359 --> 00:00:46.179]  Next, they're going to tell you, you have to contact trace.
[00:00:46.560 --> 00:00:48.500]  Then they're going to tell you, you have to take the vaccine.
[00:00:48.820 --> 00:00:52.341]  And because Canadians like to do what they're told, they're hoping that everyone just complies.
[00:00:52.621 --> 00:00:53.661]  And then guess what, kids?
[00:00:54.041 --> 00:01:10.032]   Once you take your vaccine, like a dumb person that doesn't know any better, They're gonna tell you, sorry, the vaccine isn't as effective as we thought it was gonna be, so now you still gotta wear your mask, still gotta get contact trace, still have all the restrictions and social distancing, and still take your vaccine.
[00:01:10.292 --> 00:01:11.713]  And then what did you get out of all of this?
[00:01:12.093 --> 00:01:19.319]  You got a whole year where you weren't allowed to travel, your business was closed, they took your rights and freedoms, they forced a vaccine on you, and...
[00:01:20.080 --> 00:01:20.580]  What happened?
[00:01:20.900 --> 00:01:30.283]  The same amount of people died, everything is the exact same, and now they're gonna put you back on lockdown and bring it all the way till July of next year so they can do the same thing again!
[00:01:30.643 --> 00:01:36.345]  Bring you from July, August, and September, getting you off lockdown, but just to bring you back on lockdown again.
[00:01:36.685 --> 00:01:46.569]   If you idiots haven't figured it out yet, it's a perpetual cycle that you never get out of, and it's a way to take your rights, your freedoms, Close your business, take your wealth.
[00:01:46.849 --> 00:01:47.129]  Why?
[00:01:47.229 --> 00:01:48.830]  So you become dependent on government.
[00:01:49.210 --> 00:01:49.571]  Why?
[00:01:49.831 --> 00:01:52.952]  If you're independent, the government works for you like it's supposed to.
[00:01:53.253 --> 00:02:02.277]  If you depend on the government to give you a paycheck to feed your family every month, because they closed your business on you, now the government doesn't work for you, the government rules you.
[00:02:02.657 --> 00:02:10.442]  So instead of a middle class, we have the government, upper class, and the lower class dependents that rely on the government to survive.
[00:02:10.742 --> 00:02:12.563]  In other words, we have a slave class.
[00:02:13.243 --> 00:02:14.844]  The clip you just saw is from a year ago.
[00:02:14.924 --> 00:02:16.825]  It's Canadian activist Chris Sky.
[00:02:17.486 --> 00:02:21.549]  How was he able to specifically, exactly predict what would happen?
[00:02:21.829 --> 00:02:26.312]  And in the longer video, he specifically even predicted the time frames in which it would happen.
[00:02:27.032 --> 00:02:32.136]  Months and months before Chris Sky made his prediction, I made my own predictions that came 100% true.
[00:02:32.316 --> 00:02:33.417]  We'll play that clip in a few minutes.
[00:02:33.897 --> 00:02:35.198]  Again, how was I able to do that?
[00:02:35.950 --> 00:02:38.873]  Because the globalists do control the planet to a great extent.
[00:02:39.113 --> 00:02:40.995]  They set worldwide policy.
[00:02:41.676 --> 00:02:43.978]  I can't predict when my neighbor's going to have a heart attack.
[00:02:44.038 --> 00:02:48.983]  I can't predict if your fifth grader is going to break their arm in the next year falling out of a tree.
[00:02:49.784 --> 00:02:51.385]  Because those are little micro events.
[00:02:52.176 --> 00:03:03.499]  But when you talk about the big, giant events, the globalists really are in control of this planet, and we had all the documents and all the admissions from the United Nations and the Davos Group from Klaus Schwab on their plan.
[00:03:04.159 --> 00:03:15.122]  They said once they got one lockdown in, they would then lighten the lockdown only to bring it back, and over time, tighten it down more and more and more until there were no freedoms left.
[00:03:15.962 --> 00:03:16.722]  And now they've come out.
[00:03:17.382 --> 00:03:41.442]   As of yesterday, the CDC Run by all the big Bill Gates and Fauci money, and have said, you are going to have to wear masks basically forever, children, everybody else, and those that have been supposedly vaccinated against COVID-19 with these experimental shots, you are just as likely to transmit it to others, maybe even more likely to transmit new variants to others.
[00:03:41.962 --> 00:03:45.025]  How do you turn the entire planet Earth into a prison planet?
[00:03:46.124 --> 00:03:48.786]  You simply declare having a cold an act of terrorism.
[00:03:49.286 --> 00:03:50.107]  And they're saying that now.
[00:03:50.127 --> 00:03:53.449]  They're saying if you're not inoculated with this experimental shot, you're like a drunk driver.
[00:03:53.629 --> 00:03:54.450]  You're like a murderer.
[00:03:54.650 --> 00:03:55.530]  You're like a terrorist.
[00:03:56.091 --> 00:04:01.474]  And now Microsoft is putting out video games called Stay Homer, where the Chinese military and the U.S.
[00:04:01.494 --> 00:04:07.719]  military go around and kill peaceful protest men, women, and children because they're terrorists and super spreaders?
[00:04:08.439 --> 00:04:18.193]  This is the pretext to track and control you via a phone, via an app, that then becomes the cashless society and the worldwide program for the social credit score.
[00:04:18.274 --> 00:04:19.175]  And it's now official!
[00:04:19.867 --> 00:04:24.629]  And thousands of companies across the United States are now saying, you're not coming into our business.
[00:04:24.649 --> 00:04:25.829]  You're not coming into our hotel.
[00:04:25.849 --> 00:04:27.090]  You're not coming into our restaurant.
[00:04:27.630 --> 00:04:32.812]  You're not coming into this area unless you have had this injection into your body.
[00:04:33.072 --> 00:04:35.593]  And then it's expanding to other corporations, other businesses.
[00:04:35.853 --> 00:04:38.554]  And Biden's looking at mandating it for all federal employees.
[00:04:39.135 --> 00:04:39.975]  You can't do that.
[00:04:40.635 --> 00:04:45.977]  You can't mandate an approved FDA shot with all their problems in history in the federal law and Nuremberg Code.
[00:04:46.137 --> 00:04:47.318]  But this is experimental.
[00:04:48.098 --> 00:04:52.620]  This violates the very heart of the Nuremberg Code and our own federal and state laws.
[00:04:52.660 --> 00:04:56.902]  So we are at the crossroads and they've lied to us at every step of the way.
[00:04:57.102 --> 00:04:59.103]  They're now saying you got to wear masks forever.
[00:04:59.623 --> 00:05:03.325]  They're now saying, sorry, the vaccines don't work, but you got to have more vaccines.
[00:05:04.065 --> 00:05:07.547]  And people that have had the vaccines are just as likely or more so to give it to you.
[00:05:08.127 --> 00:05:10.848]  Oh, but then those that don't take it, you're even worse terrorist.
[00:05:11.268 --> 00:05:13.089]  You shouldn't have a job or even have your children.
[00:05:13.129 --> 00:05:14.210]  That's Kathleen Sebelius.
[00:05:15.194 --> 00:05:17.035]  Obama's former Health and Human Services head.
[00:05:17.435 --> 00:05:47.512]   This is all being announced by the megacorporations and by the blue cities and the blue states and other globalist enclaves around the world to hold humanity hostage and make us accept a worldwide ID tracking system on our phones which Klaus Schwab and the UN admit under the social credit score they want to announce by next year We'll track everywhere you go and what you do and every purchase you make and put it into your carbon score and tax you according to how much carbon you use.
[00:05:48.253 --> 00:05:50.073]  So this is the endgame.
[00:05:50.574 --> 00:05:52.775]  Everything from this point on goes over the edge of a cliff.
[00:05:52.875 --> 00:05:54.575]  Everything accelerates now.
[00:05:55.436 --> 00:05:57.096]  This is all classically illegal.
[00:05:57.417 --> 00:05:58.657]  It's all classic tyranny.
[00:05:59.417 --> 00:06:00.618]  It's incredibly dangerous.
[00:06:01.118 --> 00:06:07.541]  And we need governors and legislatures and pastors and business owners and citizens to come up with a plan.
[00:06:08.499 --> 00:06:12.681]  Maybe an upside down flag of America or something because we are in distress.
[00:06:13.021 --> 00:06:16.923]  And that upside down flag means we understand what's going on.
[00:06:16.963 --> 00:06:18.444]  We understand humanity's under siege.
[00:06:18.934 --> 00:06:25.198]  And we understand this is all a scam and a fraud and a crisis they've created that's impossible to get out of.
[00:06:25.218 --> 00:06:27.119]  Because there's always going to be new flu viruses.
[00:06:27.339 --> 00:06:28.940]  There's always going to be new cold viruses.
[00:06:29.140 --> 00:06:30.881]  There's always going to be new coronaviruses.
[00:06:31.161 --> 00:06:34.183]  There's always going to be labs run by Fauci with new stuff to release.
[00:06:34.603 --> 00:06:43.068]  And now they've trained us to get on our knees and say that we're non-essential and go into our homes and just sit there while the Amazons and the Walmarts and the Targets take over.
[00:06:43.468 --> 00:06:44.769]  Because there's also that incentive.
[00:06:45.669 --> 00:06:53.397]   Depending on the corporation, The Fortune 100, during the last year and a half of global lockdowns, doubled their profits.
[00:06:53.857 --> 00:06:57.358]  Some of them doubled their overall stock value, and some tripled it.
[00:06:57.378 --> 00:07:03.019]  I mean, we're talking companies making hundreds of billions of dollars extra each.
[00:07:03.459 --> 00:07:11.600]  We're talking CEOs and owners whose wealth went up 50, 60, 70 billion a piece, because they're set up in the infrastructure to keep operating.
[00:07:11.620 --> 00:07:12.240]  They're essential.
[00:07:12.640 --> 00:07:18.659]   They have the supply chains, but your small business, your community, your church, Are all going to fall apart.
[00:07:19.480 --> 00:07:25.863]  And here we're going to be in a depression and have them dictate to the social credit score, the universal income, how we live our lives.
[00:07:26.363 --> 00:07:29.605]  They already admit that if you don't take all these shots, you won't have a job.
[00:07:29.625 --> 00:07:31.766]  You won't get your, your, your welfare check.
[00:07:31.806 --> 00:07:32.987]  I mean, it's not coming.
[00:07:33.027 --> 00:07:33.287]  It's here.
[00:07:34.090 --> 00:07:37.251]  And how many times did I warn you over and over and over again?
[00:07:38.071 --> 00:07:41.172]  Because again, it's in operation lockstep.
[00:07:41.252 --> 00:07:43.353]  It's in all their documents.
[00:07:43.673 --> 00:07:45.834]  They think we're so stupid, they lay all this out.
[00:07:46.254 --> 00:07:51.135]  And really, if humanity puts up with this, don't we really deserve then what happens to us?
[00:07:51.856 --> 00:08:02.439]  So yes, adults that go along with this and who don't care and who are so stupid, win the Darwin Awards and deserve to be basically killed by these poison injections that we now know are designed to cause blood clots all over the body.
[00:08:03.097 --> 00:08:04.098]  But you know who doesn't deserve it?
[00:08:04.198 --> 00:08:04.739]  The children.
[00:08:05.380 --> 00:08:07.743]  The one-year-olds, the five-year-olds, the six-year-olds, the ten-year-olds.
[00:08:08.865 --> 00:08:13.310]  It's up to us to protect them and to lead them to the truth.
[00:08:14.517 --> 00:08:32.880]  And we have a responsibility, all of us, to start having a discussion about what do we do when the globalists are casting us as the criminals, casting us as the dirty humans that gotta cover our ugly faces and that are germ spreaders, when all the studies show that 99% of the time our germs sharing makes us healthier, and if you're not exposed to other people's germs, you get sick and die.
[00:08:34.605 --> 00:08:35.546]  That's the real science.
[00:08:35.566 --> 00:08:38.088]  But see, they say, oh no, there's new science out.
[00:08:38.528 --> 00:08:41.171]  Psaki said, that's why you've now got to wear a mask.
[00:08:41.211 --> 00:08:42.432]  And that's why the vaccines don't work.
[00:08:42.472 --> 00:08:43.173]  But they still work.
[00:08:43.393 --> 00:08:43.953]  You've got to take them.
[00:08:44.714 --> 00:08:53.782]  Science is about asking questions, not having a scientific dictatorship of corporations bully and control all the real doctors and scientists who, by the way, are saying the opposite of what they're saying.
