[00:00:00.660 --> 00:00:01.521]  You see this article?
[00:00:03.202 --> 00:00:04.103]  It's out of Politico.
[00:00:05.745 --> 00:00:11.089]  And it announces what is the equivalent of digital martial law.
[00:00:12.090 --> 00:00:15.193]  A total suspension of free speech on the internet.
[00:00:16.034 --> 00:00:25.749]   Years ago, CNN's Brian Stelter and Oliver Darcy I called for my private text messages to be censored if I was on Facebook's WhatsApp.
[00:00:25.929 --> 00:00:26.309]  I wasn't.
[00:00:26.729 --> 00:00:34.293]  Yes, now Facebook is going to be banning Alex Jones and InfoWars from not only their main platform, Facebook, but also from Instagram.
[00:00:34.794 --> 00:00:47.080]  I checked in also to see if these people would be banned from WhatsApp, which is also owned by Facebook, and a spokesperson could not say immediately because it's, I guess, unclear whether some of these people have WhatsApp accounts, according to the spokesperson.
[00:00:47.918 --> 00:00:54.802]  Then I learned that there had been censorship all over the world by Facebook of people's private text messages during political campaigns.
[00:00:55.542 --> 00:00:58.064]  But they hadn't had the nerve yet to do it.
[00:00:59.175 --> 00:01:00.015]  Here in the United States.
[00:01:00.355 --> 00:01:28.707]  Well, in this article from Politico titled, Potentially a Death Sentence, White House Goes Off on Vaccine Fearmongers, we learn from the White House Press Secretary that the DNC is requesting Apple and the Droid manufacturers to give Democrat-approved fact-checkers trained by the ADL and Southern Poverty Law Center access to all your private text messages.
[00:01:29.997 --> 00:01:30.598]  Think about that.
[00:01:31.438 --> 00:01:32.479]  They're already in your phone.
[00:01:32.919 --> 00:01:33.920]  They're already surveilling you.
[00:01:33.960 --> 00:01:35.141]  They're already tracking you with cookies.
[00:01:35.822 --> 00:01:41.286]  They're already reading your private messages on Facebook, on Twitter, on YouTube, including your private nude pics.
[00:01:41.486 --> 00:01:42.387]  That came out years ago.
[00:01:43.248 --> 00:01:47.591]  They tried to deny it, but Project Veritas got the recordings, and then later they said, okay, yeah, we are, no big deal.
[00:01:47.871 --> 00:01:48.652]  But that's not enough.
[00:01:49.353 --> 00:02:08.381]   Now your text messages to grandma, or your girlfriend, or your husband, or your children, or your doctor, It's all going to be read by them to make sure you're not spreading medical disinformation, like the virus coming from the Wuhan lab, now admitted, or that ivermectin or hydroxychloroquine have 99% recovery rates.
[00:02:09.521 --> 00:02:11.563]  These are the criminals that ran the Wuhan lab.
[00:02:12.083 --> 00:02:17.747]  And big tech's been investing in these very same big pharma companies, these drug dealing companies.
[00:02:18.447 --> 00:02:20.169]  So this is beyond 1984.
[00:02:22.779 --> 00:02:24.881]  If they get away with this, the sky's the limit.
[00:02:24.901 --> 00:02:28.223]  And they're using the pretext of medical disinformation.
[00:02:28.764 --> 00:02:32.687]  It is the right of consumers to say whatever we want about products.
[00:02:33.248 --> 00:02:36.630]  And if we lie about the products, they can sue us, they can win a defamation case.
[00:02:36.670 --> 00:02:37.691]  But that's not what this is about.
[00:02:38.812 --> 00:02:41.935]  This is about the Democratic Party that's hijacked America and stolen an election.
[00:02:42.664 --> 00:02:46.824]   that knows the people are awake to it. It's the same thing with the unpopular EU. It's the same
[00:02:46.824 --> 00:02:51.144]   thing with unpopular UN. They've all gotten together to use this hyped up virus as the
[00:02:51.144 --> 00:02:56.583]   pretext for ongoing lockdowns and really martial law, not just digital martial law, but physical
[00:02:56.583 --> 00:03:01.223]   martial law. And they're getting ready with more lockdowns and more control, and they want to be
[00:03:01.223 --> 00:03:06.023]   able to intimidate and censor everybody ahead of that. Also in this article, it says, you know,
[00:03:06.023 --> 00:03:13.464]   there's lies about the plans of those coming door to door to intimidate you or to twist your arm
[00:03:13.464 --> 00:03:14.984]  to compel inoculation.
[00:03:15.277 --> 00:03:16.297]  And that's just not true.
[00:03:16.597 --> 00:03:27.522]  Now we need to go to community by community, neighborhood by neighborhood, and oftentimes door-to-door, literally knocking on doors, to get help to the remaining people protected from the virus.
[00:03:27.642 --> 00:03:41.098]   And they attack a congressman saying he's a liar, but Fauci was on TV last week saying we need local, mandated, or forced But I do believe at the local level, Jake, there should be more mandates.
[00:03:41.538 --> 00:03:42.399]  There really should be.
[00:03:42.439 --> 00:03:44.802]  We're talking about life and death situation.
[00:03:45.370 --> 00:03:49.972]  They're all over the news on CNN saying we need to punish people and compel them to take it.
[00:03:49.992 --> 00:03:53.133]  I mean, you were mentioning, Chris, about how all these states are reopening.
[00:03:53.413 --> 00:03:55.093]  They're reopening at 100%.
[00:03:55.554 --> 00:04:00.615]  And we have a very narrow window to tie reopening policy to vaccination status.
[00:04:00.956 --> 00:04:04.677]  Because otherwise, if everything is reopened, then what's the carrot going to be?
[00:04:05.077 --> 00:04:07.658]  How are we going to incentivize people to actually get the vaccine?
[00:04:07.978 --> 00:04:13.100]   So that's why I think the CDC and the Biden administration needs to come So this is true gaslighting.
[00:04:13.120 --> 00:04:14.941]  They've made an authoritarian move.
[00:04:14.981 --> 00:04:19.523]  These big corporations, these big banks that own big pharma and big tech, they think the sky's the limit.
[00:04:19.343 --> 00:04:22.023]  going to go out and enjoy these freedoms anyway.
[00:04:22.023 --> 00:04:24.823]  So this is true gaslighting.
[00:04:24.823 --> 00:04:30.423]   They've made an authoritarian move, these big corporations, these big banks that own big pharma and big tech,
[00:04:30.423 --> 00:04:31.663]  they think the sky's the limit.
[00:04:31.663 --> 00:04:33.102]  They think they can do anything they want.
[00:04:33.102 --> 00:04:38.143]   Do you understand that to know what you're saying in your text messages, they have to be reading them?
[00:04:37.291 --> 00:04:40.393]  And they say, oh don't worry, a person doesn't do it at first.
[00:04:40.913 --> 00:04:44.575]  It's scanned by AI and flagged for a person.
[00:04:45.376 --> 00:04:48.017]  Oh, so no judge, no jury, no warrant.
[00:04:48.258 --> 00:04:59.004]  When I say something that they don't like about the DNC, it's flagged and then some DNC trained person reads what I've said.
[00:04:59.946 --> 00:05:00.766]  This is so insane.
[00:05:01.006 --> 00:05:05.108]  We just had the FBI come out with its new National Threat Assessment of white supremacists everywhere.
[00:05:05.588 --> 00:05:10.710]  They said if you question the election or you question lockdowns, you're a terrorist, you're a white supremacist.
[00:05:11.090 --> 00:05:17.052]  And they said in an FBI letter to the public, even in tweets they put out, watch your family, watch your neighbors.
[00:05:17.452 --> 00:05:18.413]  Are they extreme?
