[00:00:00.069 --> 00:00:04.234]  Bill Gates said yesterday that he made a mistake when he met with sex trafficker Jeffrey Epstein.
[00:00:04.274 --> 00:00:07.238]  Gates realized his mistake after speaking with an advisor.
[00:00:11.889 --> 00:00:19.375]  When it was announced yesterday that Bill and Melinda Gates were splitting, a lot of people said, oh, this is probably some staged event to hide money.
[00:00:19.795 --> 00:00:26.840]  They've already done that in their tax-free eugenics foundation that funds the United Nations and worldwide forced inoculations.
[00:00:27.181 --> 00:00:32.905]  They literally control almost all of the major medical bureaus of the major countries of the planet.
[00:00:33.485 --> 00:00:36.167]  That is, the countries they haven't been kicked out of, that's over 30 of them.
[00:00:37.068 --> 00:00:37.908]  But I'll get to that in a moment.
[00:00:38.428 --> 00:00:43.290]  There's an excellent Daily Mail article, it's also a New York Times article, breaking down the details of the divorce.
[00:00:43.630 --> 00:00:48.251]  We'll also post it here below at InfoWars.com, the divorce petition.
[00:00:48.991 --> 00:00:50.592]  And it's exactly what I thought it was.
[00:00:51.492 --> 00:01:09.955]   She is embarrassed by the fact that it's come out that he lied to her, and he lied to the courts, he lied to federal officers as well, and told the international media for years he'd never stayed with Jeffrey Epstein In Paris, in New York, or gotten on the Lolita Express and gone to the Pedophile Island.
[00:01:11.291 --> 00:01:32.068]  Turns out Bill Gates went to all three places and spent months total, it's now been documented, in New York, in Paris, staying at the sex palaces, the pervert palaces, that are compounds, some of them six, seven, eight stories tall, that have all sorts of bizarre things going on inside of them.
[00:01:32.448 --> 00:01:36.511]  Prostitutes, underage people, pedophilia, you name it.
[00:01:37.352 --> 00:01:43.392]   But also Bill Gates was heavily involved with not just Jeffrey Epstein, but other pimps
[00:01:43.392 --> 00:01:46.992]  corrupting top scientists around the world to get control.
[00:01:46.992 --> 00:01:51.951]   So it wasn't just the hundreds of billions of dollars that he funneled into the National
[00:01:51.951 --> 00:01:58.112]   Health Services of the planet and the United Nations to get control of world medical policy.
[00:01:58.112 --> 00:02:00.031]  It was also the sex.
[00:02:00.031 --> 00:02:01.031]  It was the drugs.
[00:02:01.031 --> 00:02:02.312]  It was the blackmail.
[00:02:02.312 --> 00:02:04.272]  And all of that is starting to come out.
[00:02:04.370 --> 00:02:11.853]  And that's why, from my own research, I believe this is connected to Jeffrey Epstein, because we know she's been extremely embarrassed by this.
[00:02:12.193 --> 00:02:29.776]   She's also shown a lot of naïveté when she goes on these different shows with her now-to-soon-be ex-husband, and will say, oh no, he's not into eugenics, oh he's not into population reduction, Bill looks all like Sylvester with Tweety Bird in his mouth.
[00:02:29.776 --> 00:02:33.296]   And when you pull back from that, maybe she is just ignorant
[00:02:33.296 --> 00:02:35.615]  because she's given speech after speech saying this.
[00:02:35.615 --> 00:02:39.215]   Just this week, she was on national TV and John Oliver picked it up
[00:02:39.215 --> 00:02:41.936]   where she said, listen, the technology doesn't exist to have
[00:02:41.936 --> 00:02:44.536]  microchips inside vaccines.
[00:02:44.536 --> 00:02:46.814]  My husband's not involved with that. I would know.
