# Transcription model: CohereLabs/cohere-transcribe-03-2026, WAV2VEC2_ASR_BASE_960H, sat-12l-sm, script v26.04.01, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: b3cf1c2e6cecea0f66360df349d3e5ab
[00:01:41.281 --> 00:01:42.332]  him off this time.
[00:01:50.859 --> 00:01:52.359]  Jones to Central Command.
[00:01:52.740 --> 00:01:53.740]  Get me out of here.
[00:01:56.682 --> 00:01:58.421]  Alex, we're tracking you now.
[00:01:58.781 --> 00:02:00.442]  I can have you up here in a few minutes.
[00:02:00.722 --> 00:02:02.423]  I don't have a few minutes.
[00:02:04.483 --> 00:02:05.884]  I'm coming to get you.
[00:02:06.125 --> 00:02:09.746]  You can't hide from me, you crazy conspiracy theorist piece of shit.
[00:02:12.947 --> 00:02:15.927]  Look, McBreen, don't take all day on this.
[00:02:16.768 --> 00:02:18.288]  It doesn't have to look fancy.
[00:02:21.468 --> 00:02:21.990]  Okay.
[00:02:23.349 --> 00:02:24.990]  But this would look better if I had more.
[00:02:25.030 --> 00:02:29.352]  Time just beam me up.
[00:02:30.051 --> 00:02:31.292]  Prepare to transport.
[00:02:35.114 --> 00:02:36.973]  We are ready to beam up Alex Jones.
[00:02:40.094 --> 00:02:44.295]  And by the way, you look smoking hot in that uniform.
[00:02:45.456 --> 00:02:49.257]  I know you guys really need to get me out of here.
[00:02:50.737 --> 00:02:52.318]  Gotcha now.
[00:02:52.899 --> 00:02:53.878]  Energize.
[00:03:16.027 --> 00:03:16.687]  Glam dunk.
[00:03:18.643 --> 00:03:21.245]  I hate you, Alex!
[00:03:21.985 --> 00:03:23.026]  Jones!
[00:03:23.426 --> 00:03:24.347]  Put me on screen.
[00:03:25.008 --> 00:03:27.191]  I need to send an urgent message to planet Earth.
[00:03:27.852 --> 00:03:29.513]  Okay, Alex, we're patching you through now.
[00:03:31.754 --> 00:03:35.959]  You are live in three, two, one, go!
[00:03:42.600 --> 00:03:46.865]  Ladies and gentlemen, what you just watched was science fiction.
[00:03:47.967 --> 00:03:50.711]  But what I'm about to tell you is real.
[00:03:51.913 --> 00:03:56.177]  Because truth is stranger than fiction.
[00:04:05.280 --> 00:04:07.960]  Ladies and gentlemen, the show goes on.
[00:04:08.439 --> 00:04:13.641]  Yes, folks, I'm coming to you live from the InfoWars headquarters here in Austin, Texas.
[00:04:13.721 --> 00:04:14.501]  I'm Harrison Smith.
[00:04:14.681 --> 00:04:18.621]  Alex Jones is on his way to the studio and will be here shortly.
[00:04:18.661 --> 00:04:26.701]  We are a mere five hours, 55 minutes, and 45 seconds from the shutdown of InfoWars.
[00:04:26.782 --> 00:04:33.502]  Now, in case you're just tuning in, in case you haven't heard, it goes like this.
[00:04:35.323 --> 00:04:39.703]  Bankruptcy receiver who's in charge of all of our finances has stopped paying the bills.
[00:04:40.203 --> 00:04:43.343]  And so as of midnight tonight, we will no longer have internet.
[00:04:44.003 --> 00:04:45.503]  We're getting kicked out of the building.
[00:04:45.862 --> 00:04:47.343]  Basically, they stopped paying the bills.
[00:04:47.864 --> 00:04:49.084]  They cut us off that way.
[00:04:49.744 --> 00:04:51.684]  And so we're going to have to shut down tomorrow.
[00:04:51.824 --> 00:04:57.223]  We will be reopening the Alex Jones Network, AJN Live on X.
[00:04:57.584 --> 00:05:05.144]  And I hope that you follow us there and tune in as we go live like we do every day 11 a.m. with the Alex Jones Show, 3 p.m. with the War Room.
[00:05:05.185 --> 00:05:10.345]  We'll be going out of our Satellite Studio Escape Pod, and we hope to see you all there.
[00:05:10.384 --> 00:05:15.485]  But we're going live tonight until the final minute for as long as we possibly can.
[00:05:15.646 --> 00:05:17.165]  Alex Jones is on his way in.
[00:05:17.526 --> 00:05:19.886]  A huge raft of great guests coming up.
