# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: efab700d49896440c682cbe5c4e1557e
[00:00:13.359 --> 00:00:16.160]  InfoWars, tomorrow's news, today.
[00:00:18.719 --> 00:00:23.839]  Ladies and gentlemen, it is Sunday, February 1st, 2026.
[00:00:24.160 --> 00:00:37.119]  We're about to present incredible evidence, certified emails going back to 2006 and right until recently, with Jeffrey Epstein with top Democrats and world leaders literally trafficking children.
[00:00:37.439 --> 00:00:39.359]  One slice of pizza for seven people.
[00:00:39.679 --> 00:00:40.399]  You're going to love it.
[00:00:40.640 --> 00:00:42.719]  The glow, the love, it's going to be so great.
[00:00:43.039 --> 00:00:44.880]  They would talk about children, torturing them.
[00:00:45.119 --> 00:00:47.039]  This is confirmed real stuff.
[00:00:47.520 --> 00:00:51.280]  And then you've also got Mamdani as a child at parties with them, all the rest of it.
[00:00:51.359 --> 00:00:55.679]  This is going to be an absolutely massive transmission today.
[00:00:56.000 --> 00:00:57.200]  We've got all the documents.
[00:00:57.359 --> 00:01:08.879]  Myself and Harrison Smith, stay with us for this and share the live feed right now at RealAlexJones on X, the Rumble Feed at the Alex Jones Show, Infowars.com forward slash show and tell folks about the Amin Festation you're listening to.
[00:01:09.040 --> 00:01:09.840]  This is historic.
[00:01:10.079 --> 00:01:13.519]  It's a huge victory that we forced all this out bipartisanly.
[00:01:13.840 --> 00:01:14.960]  And now it's all coming out.
[00:01:15.040 --> 00:01:16.000]  Trump's been vindicated.
[00:01:16.079 --> 00:01:17.439]  He's not in there in any real stuff.
[00:01:17.600 --> 00:01:18.560]  So why did he do this?
[00:01:18.879 --> 00:01:21.920]  Now he's saying, look, I'm vindicated because they lied to him.
[00:01:22.000 --> 00:01:24.000]  It said for National Security, don't release it.
[00:01:24.320 --> 00:01:26.239]  Trump needs to go to full of these people.
[00:01:26.400 --> 00:01:28.000]  We need indictments now.
[00:01:28.560 --> 00:01:29.600]  That's the next phase.
[00:01:29.840 --> 00:01:31.120]  The people demand it.
[00:01:31.439 --> 00:01:32.879]  The main transmission starts now.
[00:01:33.359 --> 00:01:34.320]  Share those live feeds.
[00:01:34.400 --> 00:01:35.439]  You are the Paul Revere's.
[00:01:35.519 --> 00:01:36.240]  Humanity's winning.
[00:01:36.320 --> 00:01:37.120]  We've turned the tide.
[00:01:37.280 --> 00:01:38.240]  We're winning the battles now.
[00:01:38.320 --> 00:01:39.200]  We have to win the war.
[00:01:39.439 --> 00:01:42.879]  This is ultra-mass, the biggest news I've covered in 32 years on air.
[00:01:43.040 --> 00:01:44.000]  You're the Paul Revere's.
[00:01:44.079 --> 00:01:45.120]  Share the live feeds now.
[00:01:45.680 --> 00:01:49.840]  Welcome, ladies and gentlemen, to, well, to the bottom of the rabbit hole.
[00:01:50.159 --> 00:01:53.439]  It's the Alex Jones show, Infowars.com, banned.video.
[00:01:53.600 --> 00:01:54.640]  Share those links, folks.
[00:01:54.799 --> 00:01:56.879]  You're not going to want to miss this broadcast.
[00:01:57.200 --> 00:01:59.519]  We got a lot of reports that Alex Jones has filed.
[00:02:00.240 --> 00:02:01.439]  I'm sitting in the studio.
[00:02:01.600 --> 00:02:03.760]  I'll throw to him and pitch to them.
[00:02:04.079 --> 00:02:07.680]  But it has been a wild, I was been 48 hours at this point.
[00:02:07.760 --> 00:02:12.800]  The Epstein files released last Friday, 3 million documents.
[00:02:12.960 --> 00:02:17.200]  And I have to admit, I didn't think we'd ever get this tranche.
[00:02:17.280 --> 00:02:21.840]  I've been saying for months at this point, we're never getting the Depstein documents.
[00:02:22.240 --> 00:02:22.960]  It's a pipe dream.
[00:02:23.039 --> 00:02:26.319]  It'd be nice if it happened, but I don't think it's ever going to happen.
[00:02:26.560 --> 00:02:27.680]  I never thought this was going to happen.
[00:02:28.000 --> 00:02:36.319]  I never thought we would get the level of exposure that we now have with the Epstein files.
[00:02:36.640 --> 00:02:38.719]  It is absolutely massive.
[00:02:38.800 --> 00:02:42.000]  The things being discussed are absolutely mind-blowing.
[00:02:42.319 --> 00:02:49.439]  Now, of course, if you're an InfoWars viewer, it's not all going to be that explosive because we've known a lot of this already.
[00:02:49.599 --> 00:02:50.719]  We're getting the details.
[00:02:51.039 --> 00:02:53.840]  We've had the sort of black and white image for a long time.
[00:02:54.000 --> 00:02:55.680]  Now we're getting the colors filled in.
[00:02:56.000 --> 00:03:01.520]  We're going to know exactly where the money was sent and to who and the code words that they talked in.
[00:03:03.360 --> 00:03:11.360]  And it's amazing to see the way that the human intelligence network has developed since we were first covering this story.
[00:03:11.599 --> 00:03:16.960]  I say we as an InfoWars was covering this story back in, what, 2006 when it first broke.
[00:03:17.280 --> 00:03:18.879]  And we were the only ones talking about it.
