# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 7f3f004fc590da18f6f78dde1d5808b3
[00:00:00.560 --> 00:00:05.919]  Whatever the future may hold, InfoWars will always live forever.
[00:00:06.160 --> 00:00:07.919]  The fight will continue.
[00:00:08.240 --> 00:00:14.160]  Be sure to follow us on X at RioAlexJones and at AJN Live.
[00:00:14.480 --> 00:00:18.480]  And now you can download the number one news app in the world.
[00:00:18.800 --> 00:00:28.179]  Go to alexjonesapp.com and let the Democrat Deep State Party know that we will never be silenced.
[00:00:56.719 --> 00:00:58.880]  Welcome to the Alex Jones show.
[00:00:59.200 --> 00:01:01.679]  It is I, Brianna Morella, filling in for Alex today.
[00:01:02.320 --> 00:01:03.120]  Buckle up, folks.
[00:01:03.200 --> 00:01:05.680]  We've got a lot that we're going to be discussing on today's program.
[00:01:05.760 --> 00:01:07.280]  I'm excited you're jumping on board with us.
[00:01:07.519 --> 00:01:15.040]  As many of you guys know, I host the American Journal, normally on InfoWars, but today we're switching things up and I'm very thankful that you're all jumping on with us.
[00:01:15.359 --> 00:01:19.200]  A lot happening in the last few minutes that we want to make sure you are read in on.
[00:01:19.359 --> 00:01:24.239]  But most importantly, we have an incredible lineup of guests joining us today, and I'm very excited about that.
[00:01:24.560 --> 00:01:28.719]  Let me just give you some brief overview as to who's going to be joining me on today's show.
[00:01:28.879 --> 00:01:39.840]  Sarah Gonzalez will be joining us in a bit, and there's a lot to talk about in regards to H-1B visas because she has been on the ball and exposing all of the H-1B visa fraud in the great state of Texas.
[00:01:40.159 --> 00:01:41.760]  So I look forward to having her on for that.
[00:01:41.920 --> 00:01:44.159]  Joe Paggs will also join the program as well.
[00:01:44.320 --> 00:01:49.280]  Mel Kay, who I know is a fan favorite, will be joining me later in the show as well.
[00:01:49.439 --> 00:02:02.400]  Autry Pruitt, also jumping on to give us some business news and to react to the left's push to pretend like, you know, women are just too dumb to be able to obtain a voter ID and vote in our federal elections.
[00:02:02.560 --> 00:02:04.240]  He'll be jumping in on that as well.
[00:02:04.560 --> 00:02:09.039]  I'll also be joined in by Dan Ball, one of the great hosts over at OAN.
[00:02:09.199 --> 00:02:18.319]  Dan's been sounding off on a lot, but as many of you guys are probably well aware of, OAN and Infowars have been censored as one of the great media outlets.
[00:02:18.640 --> 00:02:22.080]  And there's a lot of censorship going on all around the country still to this day.
[00:02:22.400 --> 00:02:27.520]  Dan's going to be weighing in on that, plus the failures within the corporate media because CNN is collapsing.
[00:02:27.840 --> 00:02:30.080]  And we're going to do a little victory lap there with Dan.
[00:02:30.159 --> 00:02:32.000]  I'll also be joined by Ken Silva as well.
[00:02:32.240 --> 00:02:39.680]  Ken, is a great independent journalist over at Headline USA, and he's doing some incredible document diving.
[00:02:39.759 --> 00:02:41.840]  And he just learned more about Thomas Crooks.
[00:02:42.000 --> 00:02:44.319]  And he's going to be joining us to detail just that.
[00:02:44.400 --> 00:02:45.920]  But we're not stopping there, folks.
[00:02:46.240 --> 00:02:51.920]  There's just been a ruling handed down by the corrupt judge, James Boesberg.
[00:02:52.159 --> 00:02:57.920]  And this one has to do with those Venezuelan illegal aliens that were deported and sent out of the country.
[00:02:58.240 --> 00:03:06.800]  Well, Judge Boesberg is now trying to get the Trump administration to bring those illegal aliens back into this country.
[00:03:07.120 --> 00:03:10.960]  I'll give you the very latest ruling that just dropped a couple of minutes ago as well.
[00:03:11.200 --> 00:03:14.480]  Plus, Tom Homan, is he giving in?
[00:03:14.800 --> 00:03:17.759]  You know, I'm watching everyone on X and they're not very happy with what's going on right now.
[00:03:17.920 --> 00:03:20.480]  Tom Homan holding a press conference earlier this morning.
[00:03:20.800 --> 00:03:32.080]  And at that press conference, Homan specifically was detailing, well, DHS's plans to start pulling more and more agents out of Minneapolis and Minnesota.
[00:03:32.319 --> 00:03:37.200]  Folks, I've been talking to sources, DHS sources, several of them.
[00:03:37.360 --> 00:03:40.159]  And I'm going to give you some insight on this before you get upset.
[00:03:40.480 --> 00:03:47.920]  Because there's been a lot of really disappointing things happening within the Trump administration, but you got to get some context here.
[00:03:48.000 --> 00:03:51.599]  And I will give you that context that you're not going to see anywhere else in just a little bit.
[00:03:52.080 --> 00:04:00.000]  Plus, also, I don't know if you saw it, but the Minnesota AG, Keith Elson, has been testifying today in front of Congress.
