# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: dfe6f1c3b72259399ad1a9976a170ef6
[00:01:03.600 --> 00:01:04.799]  Goblin Goblin, Goblin.
[00:01:04.879 --> 00:01:28.560]  Six Five Four Three, The.
[00:01:31.899 --> 00:01:32.819]  Thank you.
[00:02:10.080 --> 00:02:15.920]  in the world today, All the little girls filling up the world today with the good comes the bad, the bad comes the good.
[00:02:16.080 --> 00:02:18.319]  But I'ma live my life like I should, like I should.
[00:02:18.640 --> 00:02:20.000]  Now all the critics wanna hit it.
[00:02:20.159 --> 00:02:20.960]  This shit can now.
[00:02:21.120 --> 00:02:22.879]  We did it Just because they don't get it.
[00:02:23.120 --> 00:02:24.159]  But I'll stay fitted.
[00:02:24.319 --> 00:02:25.280]  New era committed.
[00:02:25.520 --> 00:02:27.520]  Now this red cap gets a rap from these critics.
[00:02:28.240 --> 00:02:29.200]  Do we always gotta cry?
[00:02:29.360 --> 00:02:32.319]  We've gotta cry Do we always gotta go inside a living side of life?
[00:02:32.800 --> 00:02:33.599]  Life's just a blast.
[00:02:33.840 --> 00:02:34.879]  That's moving really fast.
[00:02:35.280 --> 00:02:37.280]  Better stay on top or Layo, kick you where the ass.
[00:02:37.840 --> 00:02:39.200]  Follow me into a solo.
[00:02:39.520 --> 00:02:40.719]  Remember that kid.
[00:02:40.960 --> 00:02:43.039]  So what you wanna do and where you gonna run.
[00:02:43.120 --> 00:02:46.640]  When you're staring down, the cable of my mic pointed at your grill like a gun.
[00:02:47.280 --> 00:02:48.879]  The biscuit is rocking the scent.
[00:02:48.960 --> 00:02:51.200]  It's like rushing roulette when you're placing your bed.
[00:02:51.520 --> 00:02:55.280]  So don't be upset when you're broke and you're done, Cause I'ma be the one till I jet.
[00:02:56.800 --> 00:02:58.319]  I know why you wanna hate me.
[00:02:59.200 --> 00:03:00.719]  I know why you wanna hate me.
[00:03:01.680 --> 00:03:06.000]  I know why you wanna hate me, Cause hate is all the world has ever seen lately.
[00:03:06.640 --> 00:03:07.920]  I know why you wanna hate me.
[00:03:09.120 --> 00:03:10.400]  I know why you wanna hate me.
[00:03:13.308 --> 00:03:15.069]  Cause hate is all about us even
[00:03:49.060 --> 00:03:52.220]  Jones Network is tomorrow's news today.
[00:03:53.109 --> 00:03:58.350]  This information we cover is not number one.
[00:03:58.480 --> 00:03:59.039]  It's everything.
[00:03:59.360 --> 00:04:02.160]  This is not some political genre.
[00:04:03.440 --> 00:04:07.520]  This is a fight for civilization and our very lives.
[00:04:08.640 --> 00:04:14.640]  You hear all these movies about coaches and stuff get out there and win and they all care and they come together and it's triumphant.
[00:04:14.800 --> 00:04:16.080]  That's for a game.
[00:04:16.639 --> 00:04:20.480]  But we recognize that because we're supposed to be able to come together and do great things.
[00:04:20.720 --> 00:04:23.520]  So the system goes, oh, you go out and do a children's thing.
[00:04:23.600 --> 00:04:25.040]  You go out and play a sport.
[00:04:25.520 --> 00:04:26.960]  That's where you put your manhood.
[00:04:27.120 --> 00:04:27.920]  That's who we honor.
[00:04:28.080 --> 00:04:29.280]  That's who we admire.
[00:04:29.600 --> 00:04:32.560]  Then they even take that away from you and put men and women sports.
[00:04:32.639 --> 00:04:35.360]  It's all about taking every human institution and destroying it.
[00:04:35.680 --> 00:04:36.720]  That was sweet, huh?
[00:04:37.040 --> 00:04:38.160]  Did you like that?
[00:04:38.960 --> 00:04:39.200]  Yeah.
[00:04:39.759 --> 00:04:44.319]  So you watch these coaches in games, especially the playoffs, and they're just, oh, they're all nervous.
[00:04:44.560 --> 00:04:45.520]  Everybody looks at the coach.
[00:04:45.600 --> 00:04:45.840]  That's good.
[00:04:45.920 --> 00:04:47.040]  It's how a man's supposed to act.
[00:04:47.120 --> 00:04:47.600]  He really cares.
[00:04:47.759 --> 00:04:48.800]  He's got the numbers, the facts.
[00:04:48.879 --> 00:04:49.759]  He knows the other side.
[00:04:49.920 --> 00:04:50.639]  He's on the ball.
[00:04:50.879 --> 00:04:56.160]  Because you're supposed to do that in life and business and culture and health and with your relationship with God.
[00:04:57.040 --> 00:05:00.879]  You're supposed to act like that about the real world, like Trump and Elon Musk are.
[00:05:01.520 --> 00:05:08.639]  Instead, these evil little nerds who weren't in the cool club and hate everybody and they love passive-aggressive murder.
