# Transcription model: nvidia/canary-1b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 8db85116eb05465e0d7250a7e9d9f2cf
[00:00:15.359 --> 00:00:19.298]  The Alex Jones Network is tomorrow's news today.
[00:00:41.959 --> 00:00:46.319]  No, this is not the remake of Dune and the attack on Arakeen by the Harkonnens.
[00:00:46.640 --> 00:00:50.240]  This is the real world today.
[00:00:52.079 --> 00:00:56.000]  Credible Blitzkrieg operation, incredible precision, unbelievable.
[00:00:56.880 --> 00:00:57.840]  Say what you want about it.
[00:00:58.159 --> 00:01:00.958]  sends fear into the Russians, the Chinese, and others.
[00:01:09.358 --> 00:01:13.338]  They knocked out thousands of targets across the country in five minutes.
[00:01:13.399 --> 00:01:15.878]  Then the Delta Force raided his compound.
[00:01:18.239 --> 00:01:22.000]  And let me tell you, it was nothing but slaughter for the Commys.
[00:01:22.400 --> 00:01:24.819]  Their days of bullying ran into a steel fist.
[00:02:26.080 --> 00:02:27.280]  What do we do?
[00:02:49.508 --> 00:02:55.177]  All right, ladies and gentlemen, it is Saturday, January 3rd, 2025.
[00:02:55.599 --> 00:02:58.080]  Trump just went live from Marlago.
[00:02:58.640 --> 00:02:59.200]  So back it up.
[00:02:59.280 --> 00:03:03.759]  I just went live 20 seconds ago, back at the live feed, we're going to go to Trump right now with his announcement.
[00:03:03.920 --> 00:03:05.599]  You're supposed to be speaking already 30 months ago.
[00:03:05.759 --> 00:03:06.719]  We're here with live coverage.
[00:03:06.879 --> 00:03:08.319]  This is so historic from so many angles.
[00:03:08.400 --> 00:03:09.599]  We're breaking out what's coming next.
[00:03:09.759 --> 00:03:11.039]  But here is President Trump right now.
[00:03:11.120 --> 00:03:11.759]  Let's go to him.
[00:03:16.159 --> 00:03:30.159]  Late last night and early today, at my direction, the United States Armed Forces conducted an extraordinary military operation in the capital.
[00:03:34.400 --> 00:03:48.080]  Overwhelming American military power air, land and sea was used to launch a spectacular assault, and it was an assault like people have not seen since World War II.
[00:03:50.480 --> 00:04:01.120]  It was a force against a heavily fortified military fortress in the heart of Caracas to bring outlaw dictator Nicolas Maduro to justice.
[00:04:02.480 --> 00:04:13.760]  This was one of the most stunning, effective and powerful displays of American military might and competence in American history.
