[00:00:19.724 --> 00:00:21.445]  It's Wednesday, October 14th.
[00:00:21.665 --> 00:00:22.805]  I'm Paul Joseph Watson.
[00:00:22.965 --> 00:00:24.806]  This is Infowars Nightly News.
[00:00:24.846 --> 00:00:26.846]  Let's take a look at what's coming up tonight.
[00:00:29.847 --> 00:00:32.528]  Tonight, fly the friendly skies.
[00:00:32.969 --> 00:00:48.454]  A commercial airliner that normally caters to tourists will now fly migrants directly from the Middle East to Sweden in the latest example of how the European welfare state is rolling out the red carpet for refugees.
[00:00:49.054 --> 00:00:50.857]  Then, nothing to see here.
[00:00:51.218 --> 00:00:51.899]  No worries.
[00:00:52.119 --> 00:00:54.182]  This is probably just a pep rally.
[00:00:54.423 --> 00:01:03.878]  Although residents from this town in Germany are a little concerned over masked migrants with sticks and pipes chanting Allah, Allah, Akbar.
[00:01:07.438 --> 00:01:13.265]  And it's about time a Democrat calls out hypocrite politicians with armed guards.
[00:01:13.566 --> 00:01:18.712]  There are people at high levels in this government who have bodyguards.
[00:01:19.753 --> 00:01:21.676]  24 hours a day, 7 days a week.
[00:01:21.956 --> 00:01:24.780]  Up next on the Info Wars, Nightly News.
[00:01:33.909 --> 00:01:43.290]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:01:43.630 --> 00:01:46.191]  All of our children are hit with modern mind control.
[00:01:46.331 --> 00:01:49.672]  Television, music, fast food, GMOs, sugars, you name it.
[00:01:49.872 --> 00:01:55.913]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:01:56.213 --> 00:02:01.054]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:02:01.354 --> 00:02:07.518]  Working with my team we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:02:07.718 --> 00:02:15.203]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:02:15.463 --> 00:02:22.728]  Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:02:23.029 --> 00:02:26.471]  Obtain your Child Ease today at InfoWarsLife.com.
[00:02:26.611 --> 00:02:29.553]  That's Child Ease exclusively at InfoWarsLife.com.
[00:02:33.335 --> 00:02:35.757]  Top story tonight on Infowars.com.
[00:02:35.917 --> 00:02:39.499]  New airline to fly migrants directly into Sweden.
[00:02:39.779 --> 00:02:52.267]  A commercial airliner that normally caters for tourists will fly migrants directly from the Middle East to Sweden in the latest example of how the European welfare haven is rolling out the red carpet for refugees.
[00:02:52.607 --> 00:02:56.010]  The vast majority of whom aren't even from Syria.
[00:02:56.710 --> 00:02:58.732]  And this is basically reported out of Spicer.
[00:02:58.772 --> 00:03:02.314]  It's also on STV, the Swedish top public broadcaster.
[00:03:02.915 --> 00:03:14.304]  Ahmad Zand and Suzanne Najafi have started the airline Refugee Air to fly refugees from camps in the Middle East directly to Sweden, where they can seek asylum.
[00:03:14.604 --> 00:03:22.350]  The planes used to transport the migrants are usually reserved for tourists travelling to and from Scandinavia, but will be repurposed.
[00:03:22.950 --> 00:03:26.153]  And so basically these migrants, they promise us, will be vetted
[00:03:26.673 --> 00:03:29.615]  To assure that they're genuine, legitimate migrants.
[00:03:29.635 --> 00:03:36.841]  But as we know from the reports coming out of the people smugglers, large numbers of these migrants aren't even from Syria.
[00:03:37.241 --> 00:03:41.765]  They're economic refugees, economic migrants fleeing to a higher standard of living.
[00:03:42.105 --> 00:03:45.968]  And the UN's own figures, the UN's own numbers that were published a few weeks ago,
[00:03:46.849 --> 00:03:50.571]  ...concluded that only one in five are actually Syrian.
[00:03:50.971 --> 00:04:00.416]  So we're being sold this whole humanitarian crisis on the basis that the overwhelming majority of these refugees are fleeing ISIS, they're fleeing war, they're fleeing persecution.
[00:04:00.956 --> 00:04:16.264]  That's only true for one in five, and even of those one in five, many are committing fraud by claiming to be Syrian, producing fake documents given to them by these people smugglers who they pay thousands of dollars to get to Europe.
[00:04:16.704 --> 00:04:23.308]  So, as many cultural commenters have noted, Sweden is basically committing cultural suicide.
[00:04:23.328 --> 00:04:32.374]  80,000 migrants have already entered Sweden since the 1st of September, and the police say that half of those have gone underground.
[00:04:32.434 --> 00:04:34.536]  That's just since the 1st of September.
[00:04:35.436 --> 00:04:39.999]  40,000 migrants have disappeared into the underground in Sweden.
[00:04:40.559 --> 00:04:43.441]  And why do they say that they're committing cultural suicide?
[00:04:43.461 --> 00:04:43.982]  Well, it's because
[00:04:44.582 --> 00:04:57.969]  Top politicians in Sweden are now openly calling for jobs, for welfare, for free housing, not only to be given to migrants, but to be given to returning ISIS jihadists.
[00:04:58.409 --> 00:05:04.952]  This is the liberal basket case that is Sweden, and it's only going to get worse on the back of this policy.
[00:05:05.332 --> 00:05:12.216]  Of course, last month we reported how a top Swedish bishop in Stockholm, Sweden, is calling for
