[00:00:00.270 --> 00:00:01.918]  The Alex Jones Show.
[00:00:15.956 --> 00:00:20.098]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.779 --> 00:00:21.579]  You want answers?
[00:00:22.359 --> 00:00:23.260]  Well, so does he.
[00:00:23.900 --> 00:00:27.542]  He's Alex Jones on the GCN Radio Network.
[00:00:28.102 --> 00:00:32.184]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.406 --> 00:00:44.511]  If you want to know the model of Internet censorship and how the globalists are going to control every facet of life, we're going to be covering it coming up at the start of the next segment.
[00:00:45.444 --> 00:00:48.105]  Rand Paul introduces a bill to kill Obama gun control.
[00:00:48.125 --> 00:00:50.687]  There is just so much coming up today.
[00:00:50.727 --> 00:00:58.171]  But first off, John Bowne, as we open so many shows, has another powerful report on the type of stuff they've tucked into the omnibus bill.
[00:00:58.551 --> 00:01:08.376]  Not just open borders, not just bringing in the Syrian refugees, not just all this pork barrel, but censoring and controlling the internet in the name of cyber security, more NSA spying.
[00:01:08.416 --> 00:01:09.017]  Here's that report.
[00:01:10.031 --> 00:01:18.637]  Back in April of 2015, 55 civil society organizations, security experts, and academics signed a letter opposing CISA.
[00:01:18.777 --> 00:01:24.941]  Then in October of 2015, the Senate passed the Cybersecurity Information Sharing Act by a vote of 74 to 21.
[00:01:25.041 --> 00:01:25.221]  That act
[00:01:27.162 --> 00:01:34.323]  quietly slipped its way into the government funding omnibus bill that was recently signed into law by President Obama.
[00:01:34.423 --> 00:01:42.365]  However, the CISA privacy provisions added to the omnibus stripped even more privacy protections than the October version.
[00:01:42.505 --> 00:01:49.246]  They took a bad bill and they made it worse, says Robin Green, policy counsel for the Open Technology Institute.
[00:01:49.446 --> 00:01:53.347]  Essentially, warrantless searches of anyone's private information
[00:01:53.627 --> 00:02:03.273]  ...will be shared between third-party companies and a whole new host of federal agency portals, local police fusion centers, and as a side effect, foreign hackers.
[00:02:03.514 --> 00:02:20.565]  Wired reports the earlier bill had only allowed that back-channel use of the data for law enforcement in cases of imminent threats, while the new bill requires just a specific threat, potentially allowing the search of the data for any specific terms regardless of timelines.
[00:02:20.845 --> 00:02:30.308]  The fact is, not every bill with cyber security in the title is necessarily a good idea.
[00:02:31.548 --> 00:02:47.113]  I believe this bill will do little to make Americans safer, but will potentially reduce the personal privacy of millions of Americans in a very substantial way.
[00:02:47.693 --> 00:02:50.074]  The groups that I'm talking about
[00:02:51.135 --> 00:02:58.856]  Are ones with members who have companies with millions and millions of customers.
[00:03:00.017 --> 00:03:04.398]  And they're saying they can't support this bill at this time.
[00:03:05.718 --> 00:03:06.798]  I think I know why.
[00:03:07.698 --> 00:03:17.280]  These companies who didn't have a problem with previous kinds of versions of this legislation are saying they don't support it.
[00:03:18.715 --> 00:03:22.377]  These companies, Mr. President, are hearing from their customers.
[00:03:23.777 --> 00:03:30.100]  And they're worried that their customers are saying, this doesn't look like it's going to protect our privacy.
[00:03:30.120 --> 00:03:31.481]  Of course we want to be safe.
[00:03:32.181 --> 00:03:34.542]  We also want to have our liberty.
[00:03:35.362 --> 00:03:41.045]  Ben Franklin famously said anyone who gives up their liberty to have security really doesn't deserve either.
[00:03:41.607 --> 00:03:50.729]  In 2013, declassified documents revealed that the NSA had been scooping up thousands of emails of citizens it wasn't allowed to target.
[00:03:51.050 --> 00:04:03.993]  Simply put, if the government has any concern, whether real or imagined, about John Q. Public, they can easily raid any and everything Mr. Public shares online, and there is nothing John Q. can do about it.
[00:04:04.213 --> 00:04:07.334]  Emails, financial information, political philosophy,
[00:04:07.654 --> 00:04:16.844]  All of this done in the name of the CIA's blockbuster fail, The Interview, after Americans were sold the propaganda that North Korea had hacked Hollywood.
[00:04:17.125 --> 00:04:21.289]  Americans are now surveilled from the skies, wiretapped through their cell phones.
[00:04:21.710 --> 00:04:29.098]  Energy usage is gathered by smart meters for the inevitable carbon taxation coming, and all personal documents and information
[00:04:29.258 --> 00:04:29.438]  I think?
[00:04:51.701 --> 00:04:52.802]  It is a takeover of the species itself.
[00:05:09.795 --> 00:05:12.158]  Hillary Clinton wants to censor people who make fun of her.
[00:05:12.298 --> 00:05:18.145]  She was recently trying to censor comedy skits that poked fun at her, which were produced by the Laugh Factory in Los Angeles, California.
[00:05:18.306 --> 00:05:24.854]  The owner of the Laugh Factory, Jamie Masada, told Judicial Watch that her campaign threatened to put him out of business if he didn't pull the videos.
[00:05:25.094 --> 00:05:33.398]  So in response to this attack on free speech, InfoWars.com has launched the Make Fun of Hillary Defend the First Amendment contest with a first place cash prize of $5,000.
[00:05:33.958 --> 00:05:38.940]  We want the funniest, most outrageous satire and comedy videos guaranteed to make Hillary's blood boil.
[00:05:39.120 --> 00:05:46.123]  To enter, read the contest rules at InfoWars.com forward slash contest and then shoot a comedy or satire video making fun of Hillary Clinton.
[00:05:46.483 --> 00:05:51.727]  All entries must be uploaded to YouTube in a link emailed to HillaryContest at InfoWars.com.
[00:05:52.007 --> 00:05:55.310]  Enter your video before the contest deadline at 1159 p.m.
[00:05:55.370 --> 00:05:58.172]  Pacific Standard Time on Tuesday, December 22, 2015.
[00:05:59.333 --> 00:06:04.177]  Once again, the contest rules and information can be found at InfoWars.com forward slash contest.
[00:06:04.437 --> 00:06:06.298]  This is Kit Daniels with InfoWars.com.
[00:06:06.318 --> 00:06:08.380]  We look forward to your video making fun of Hillary Clinton.
[00:06:09.804 --> 00:06:14.606]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:06:14.866 --> 00:06:23.548]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:06:23.708 --> 00:06:27.469]  Youngevity also offers you an ingenious way to augment your income.
[00:06:27.650 --> 00:06:28.330]  And the best part?
[00:06:28.450 --> 00:06:31.031]  You'll be helping your friends and family along the way.
[00:06:31.331 --> 00:06:33.751]  Visit InfoWarsTeam.com today.
[00:06:33.931 --> 00:06:34.552]  Become a member.
[00:06:34.712 --> 00:06:38.733]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:06:38.993 --> 00:06:45.475]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:06:45.715 --> 00:06:46.435]  Another win-win.
[00:06:46.675 --> 00:06:50.256]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:06:50.416 --> 00:06:51.416]  And you can be too.
[00:06:51.656 --> 00:06:52.116]  It's simple.
[00:06:52.216 --> 00:06:55.017]  Just go to Infowarsteam.com today.
[00:06:55.137 --> 00:06:57.057]  Complete a short sign-up and you're part of the team.
[00:06:57.257 --> 00:07:00.318]  That's Infowarsteam.com or Infowarshealth.com.
[00:07:00.498 --> 00:07:06.660]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:07:06.800 --> 00:07:08.120]  Check it out for yourself today.
[00:07:09.631 --> 00:07:16.455]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[00:07:16.555 --> 00:07:19.256]  We've always offered five months free.
[00:07:19.436 --> 00:07:24.999]  But since I announced six free months a few days ago, we have seen record numbers of sign-ups.
[00:07:25.339 --> 00:07:28.481]  PrisonPlanet.TV began 15 years ago.
[00:07:28.721 --> 00:07:31.723]  It's grown into InfoWars, Nightly News, and so much more.
[00:07:32.043 --> 00:07:40.587]  All of my documentary films, scores of ebooks, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[00:07:41.008 --> 00:07:49.872]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously.
[00:07:50.072 --> 00:07:50.993]  We're good.
[00:08:21.403 --> 00:08:25.325]  You are listening to an InfoWars.com Frontline Report.
[00:08:25.805 --> 00:08:27.346]  It's Alex Jones.
[00:08:32.429 --> 00:08:35.410]  A dizzying array of incredible information.
[00:08:35.450 --> 00:08:37.371]  Hopefully I'll get to 10% of it here today.
[00:08:41.253 --> 00:08:41.934]  Where to begin?
[00:08:43.395 --> 00:08:43.975]  Where to start?
[00:08:46.150 --> 00:09:06.207]  Nico came in this morning, one of the main producers of the radio slash TV transmission, and he said, I know you've mentioned this, but Buckley, my cousin who helped found InfoWars 20 years ago, who's on vacation right now, he said, Buckley is sending me all these text messages and emails and freaking out about this, and says you ought to cover it.
[00:09:07.528 --> 00:09:11.691]  So I guess Buckley just discovered this, and I say that in a good way because
[00:09:12.757 --> 00:09:14.958]  I mentioned it a few times six months ago.
[00:09:15.078 --> 00:09:24.102]  I talked about it when Zuckerberg had the head of Chinese internet censorship to the United States for two weeks of intensive meetings about how to censor the internet better.
[00:09:24.562 --> 00:09:27.944]  He then of course met with Merkel and was caught on a hot mic saying he would do that.
[00:09:30.084 --> 00:09:35.787]  And then I'm glad that Buckley's freaking out about this because this is something that we should freak out about.
[00:09:37.608 --> 00:09:47.432]  Because when you understand this, and you understand Chinese government censorship is the model and the testing ground for the rest of the world because it is an open totalitarian state.
[00:09:47.452 --> 00:09:49.833]  There's no ifs, ands, or buts about it.
[00:09:50.213 --> 00:09:52.274]  And they execute you for your political views there.
[00:09:52.294 --> 00:09:59.657]  And the fact that our media won't even talk about that today shows you just how authoritarian the mindset is of our leaders.
[00:10:02.725 --> 00:10:24.178]  But when you wonder what all the NSA and corporate spying and the fusion of all that information is about, and the algorithms that can predict what you're going to purchase online weeks before you do it, it's bigger than just predicting the future in mass trends down to basically one one-hundredth of a percent.
[00:10:25.679 --> 00:10:29.441]  It's about then guiding future trends by manipulating stimuli.
[00:10:34.909 --> 00:10:53.668]  When you get seven million plus people wired into the internet and you're tracking all the different metrics from energy usage to keystrokes to what people are buying, where they're going, what they're saying, and you feed that all into giant supercomputers, you get basically godlike predictive powers.
[00:10:56.210 --> 00:10:58.112]  You want to know why the elite are on such a power trip?
[00:10:58.212 --> 00:10:58.713]  This is why.
[00:11:00.512 --> 00:11:20.808]  And just in the last few days, I've talked to a very successful, well-known director and producer in person, who I've known for years, and I've talked to other people that I've known for more than a decade, who have said, yeah, okay, 16, 17 years ago, I thought you were funny, thought a lot of what you said was true, but thought you were a crazy kook.
[00:11:21.188 --> 00:11:22.109]  It's all true now.
[00:11:25.205 --> 00:11:36.610]  I basically listen all the time, but I'm going to just go along with the system now, and not even talk about any of these issues that I had talked about a little bit, because I'm afraid for my family.
[00:11:38.710 --> 00:11:40.411]  That's separate from the producer-director.
[00:11:41.952 --> 00:11:43.892]  But the producer-director was pretty much at that point.
[00:11:45.753 --> 00:11:52.276]  Because in Hollywood, and in New York, and the big media centers in DC, and Chicago,
[00:11:53.769 --> 00:12:03.498]  They openly call people into boardrooms now and tell them you're either with the world government and the totalitarian takeover or you're going to be left behind with the rest of the unwashed masses.
[00:12:05.580 --> 00:12:07.221]  We are turning off the resources.
[00:12:07.842 --> 00:12:09.964]  We're saving the planet from the scourge of humans.
[00:12:10.404 --> 00:12:13.347]  You get on board or you're going to be cut off.
[00:12:16.329 --> 00:12:17.811]  And they're calling the military in
[00:12:20.247 --> 00:12:25.408]  From basically captains and above, especially in special operations, and giving them the same six speeches.
[00:12:29.089 --> 00:12:37.351]  And it's kind of having a paradoxical effect that it makes what we do just have incredible credibility in the power structures.
[00:12:40.532 --> 00:12:44.673]  Just frightening influence this show has.
[00:12:45.334 --> 00:12:46.634]  Believe me, I'm not bragging folks.
[00:12:48.527 --> 00:12:53.348]  And I knew we had a lot of influence a long time ago, but man, it's like Thunderbolt level.
[00:12:56.069 --> 00:12:58.329]  I cannot believe I'm in this position.
[00:12:59.670 --> 00:13:02.850]  I look at my reporters and I tell them, I mean, do you understand the position you're in?
[00:13:06.151 --> 00:13:11.532]  How important what you cover is, what you do, the eyes of the world are on you.
[00:13:14.353 --> 00:13:14.613]  And then
[00:13:20.390 --> 00:13:35.203]  You know, even finding out super prominent conservative icons are afraid for their kids and don't think humanity is up to the challenge of taking on the New World Order.
[00:13:36.384 --> 00:13:44.191]  And they listen to this show and they say, we really appreciate the job you're doing, but we're not going to take this on.
[00:13:47.168 --> 00:13:51.831]  Just because I talked about the Hollywood producer and director, I talked about this other big media personality.
[00:13:52.932 --> 00:13:56.454]  And then I was talking about another famous movie star just now.
[00:14:00.817 --> 00:14:02.818]  Who just is basically going to hide out.
[00:14:05.720 --> 00:14:10.963]  And do some things against tyranny, but just kind of do it at impulse speed, kind of life support speed.
[00:14:12.784 --> 00:14:15.206]  And we're not going to turn anything around with that attitude.
[00:14:16.618 --> 00:14:18.418]  And I'm not up here criticizing anybody.
[00:14:20.659 --> 00:14:32.642]  I am just so committed to this and I talked to famous special forces people from the ground level right up to generals.
[00:14:33.502 --> 00:14:34.203]  They're scared.
[00:14:34.223 --> 00:14:38.264]  And they ask me why I'm not more scared.
[00:14:38.284 --> 00:14:42.825]  I'm scared of the globalist winning!
[00:14:45.982 --> 00:14:47.264]  I can't give up my fight!
[00:14:49.486 --> 00:14:51.309]  Right as so many people are waking up!
[00:14:52.911 --> 00:14:57.256]  You see, there's a realization taking place that we're in the hands of true scientific evil.
[00:14:58.237 --> 00:15:02.102]  And a lot of people think they're just going to keep their head down and make it out of this.
[00:15:02.462 --> 00:15:05.286]  Keeping our heads down got us into this position.
[00:15:11.058 --> 00:15:14.439]  I don't have much more proving what I've warned of here on air.
[00:15:14.499 --> 00:15:15.539]  I mean, it's really pointless.
[00:15:15.579 --> 00:15:24.302]  It's almost like just giving a weather report in the middle of winter and telling you, you know, that it's below zero in Michigan or Minnesota.
[00:15:24.322 --> 00:15:26.542]  I mean, everybody knows that.
[00:15:33.324 --> 00:15:38.426]  But I just can't believe the mind trick that they've run on men in this country.
[00:15:40.737 --> 00:15:43.278]  To believe that they don't have the power to change the world.
[00:15:45.538 --> 00:15:52.199]  And to believe that they should just capitulate to evil.
[00:15:58.021 --> 00:16:02.041]  I mean, as the evil intensifies, I know that for every action there's an equal and opposite reaction.
[00:16:02.061 --> 00:16:02.842]  Newtonian physics.
[00:16:03.162 --> 00:16:04.442]  It's a spiritual rule as well.
[00:16:04.922 --> 00:16:07.663]  And I can feel the power of liberty rising.
[00:16:08.483 --> 00:16:09.423]  I can feel
[00:16:10.765 --> 00:16:15.387]  The strength, the discernment, the focus, the will.
[00:16:17.667 --> 00:16:20.208]  And a lot of men feel that as well, but they're scared of it.
[00:16:20.528 --> 00:16:24.130]  They need to embrace it, and they need to commit to their destiny to fight tyranny.
[00:16:25.230 --> 00:16:35.994]  Because tiny 1%, 5% measures against evil will not buy you a ticket out of hell.
[00:16:36.014 --> 00:16:39.815]  And I mean hell on this planet, not hell after you die.
[00:16:40.666 --> 00:16:45.870]  And your children will be brought into bondage and will be destroyed by the globalists.
[00:16:47.691 --> 00:16:52.115]  If you don't, as men, stand up against this system.
[00:16:57.719 --> 00:17:01.302]  You see all these men out there that act so tough, boy.
[00:17:02.303 --> 00:17:04.624]  Somebody's dog craps in their yard, they'll get in their face.
[00:17:04.664 --> 00:17:07.507]  Somebody takes their parking spot at the mall, they'll get in their face.
[00:17:08.587 --> 00:17:10.309]  They got courage up against other men.
[00:17:11.596 --> 00:17:19.783]  But when it comes to social conditioning and fear of the media, they shake in their boots.
[00:17:23.787 --> 00:17:31.574]  It is a congressional medal of honor to be attacked and demonized and lied about by the establishment media.
[00:17:32.434 --> 00:17:36.458]  It is not a mark of shame when these enemies lie about you.
[00:17:41.018 --> 00:17:47.101]  But most people are in careers where they come out of entertainment.
[00:17:48.341 --> 00:17:50.102]  They're not disciplined in that.
[00:17:50.943 --> 00:17:53.224]  They're always immersed in what's going on.
[00:17:55.185 --> 00:17:58.906]  And so they really don't understand the power of the individual overall.
[00:18:02.068 --> 00:18:07.731]  And they really buy in to the overall bluster and bark of the New World Order.
[00:18:07.931 --> 00:18:10.232]  You know, the Bible says that Satan goes about
[00:18:11.499 --> 00:18:17.683]  Like a lion roaring, seeing who he may devour.
[00:18:24.887 --> 00:18:32.771]  And people fall down before the devil in fear, and they think that's gonna protect them from the lion.
[00:18:35.433 --> 00:18:39.215]  When you can run the spear of truth right into that beast,
[00:18:40.287 --> 00:18:43.948]  And it'll turn tail and run so fast it'll make your head spin.
[00:18:55.590 --> 00:18:57.350]  Victory against evil is in our hands.
[00:19:00.231 --> 00:19:04.591]  And all we need is a few good men who aren't afraid.
[00:19:07.152 --> 00:19:08.272]  And who aren't afraid to fail.
[00:19:09.645 --> 00:19:21.294]  So many great men, and they are great men, want to figure out the perfect lever, the perfect button, the perfect move, the perfect plan to move the world.
[00:19:25.558 --> 00:19:34.205]  It's the intent, it's the action, it's the struggle that together will cause ripple effects that finds the answers to change our current course.
[00:19:36.860 --> 00:19:47.851]  Now, when we come back, I'm just going to mention some of the news that's coming up, then I'll get into the China situation, but they're going to feed everything you do into these grids, and then you're going to have a credit score, but it's a social score.
[00:19:49.122 --> 00:19:57.971]  Your internet ID, where if your score isn't high enough, you can't even go on websites, you can't even be on the internet, and it's gonna be for jobs, it's gonna be for culture, it's hooked into the governments.
[00:19:58.972 --> 00:19:59.432]  It is.
[00:19:59.933 --> 00:20:01.194]  Beyond 1984.
[00:20:01.494 --> 00:20:04.077]  And if your friends don't have good ratings, you lose ratings.
[00:20:04.397 --> 00:20:07.700]  So it's also meant to shun society and create electronic gulags.
[00:20:08.020 --> 00:20:08.301]  Literal.
[00:20:10.677 --> 00:20:16.921]  Chronic inflammation is now known to block your ability to repair and compromises your immune system, making you more vulnerable to all diseases.
[00:20:17.401 --> 00:20:22.364]  Since poor diet, injuries or stress are all contributing factors, many people suffer from inflammation.
[00:20:22.564 --> 00:20:27.447]  Your body's number one means of neutralizing inflammation and the pain that it may be causing is glutathione.
[00:20:27.707 --> 00:20:32.030]  Glutathione is the body's number one peptide to neutralize free radicals and thus stop inflammation.
[00:20:32.270 --> 00:20:33.390]  Hi, my name is Jason.
[00:20:33.490 --> 00:20:34.431]  I'm 44 years old.
[00:20:34.611 --> 00:20:40.813]  For 10 years, I have been suffering from chronic pain in my abdomen and groin that radiated down into my feet.
[00:20:40.973 --> 00:20:48.175]  After three weeks on One World Way, the pain in my feet reduced by 50% and the overall pain in my body reduced significantly as well.
[00:20:48.295 --> 00:20:50.636]  I ran out of One World Way and the pain returned.
[00:20:50.856 --> 00:20:56.497]  I got another container and again after three weeks, the pain reduced significantly throughout my body.
[00:20:56.657 --> 00:20:58.518]  I'd highly recommend One World Way to
[00:20:58.678 --> 00:21:01.240]  Anyone dealing with chronic pain due to inflammation.
[00:21:01.320 --> 00:21:02.500]  Call 888-988-3325 or visit OneWorldWay.com.
[00:21:02.520 --> 00:21:03.321]  That's OneWorld, W-H-E-Y.com.
[00:21:10.367 --> 00:21:11.568]  911, what is your emergency?
[00:21:11.628 --> 00:21:12.588]  There's somebody in my house.
[00:21:13.129 --> 00:21:13.829]  Hurry, please.
[00:21:14.389 --> 00:21:17.031]  A home break-in happens every 22 seconds.
[00:21:17.351 --> 00:21:21.633]  Homes without a security system are up to three times more vulnerable to a burglary.
[00:21:21.793 --> 00:21:23.374]  That's why they're SimpliSafe.
[00:21:23.694 --> 00:21:28.557]  In an emergency, our advanced wireless technology alerts police up to 10 times faster.
[00:21:28.717 --> 00:21:34.340]  And your connection to emergency services can't be cut because SimpliSafe doesn't rely on landlines.
[00:21:34.600 --> 00:21:37.962]  SimplySafe costs less than half what traditional companies charge.
[00:21:38.062 --> 00:21:41.845]  Just $14.99 a month and there's no commitment to an annual contract.
[00:21:41.985 --> 00:21:44.807]  Protect your family with the highest caliber security.
[00:21:45.107 --> 00:21:51.692]  Go now to SimplySafeDefense.com and get 10% off with free shipping and a three-year warranty.
[00:21:51.972 --> 00:21:54.794]  Hurry, and you'll also receive a keychain remote worth $25.
[00:21:55.714 --> 00:21:57.895]  Try SimpliSafe for a full 60 days.
[00:21:58.035 --> 00:22:01.437]  You'll feel confident that your family is safe or your money back.
[00:22:01.617 --> 00:22:04.959]  Go to SimpliSafeDefense.com right now.
[00:22:05.420 --> 00:22:07.661]  SimpliSafeDefense.com
[00:22:09.693 --> 00:22:19.021]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:19.121 --> 00:22:23.444]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:23.544 --> 00:22:30.370]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:30.550 --> 00:22:32.232]  Buy now at DefenderShield.com.
[00:22:32.432 --> 00:22:34.654]  For 10% off, use promo code GCN.
[00:22:34.834 --> 00:22:38.357]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:39.286 --> 00:22:43.249]  With a new year coming, it's time for a new way to look at weapon storage.
[00:22:43.549 --> 00:22:46.652]  Safes can't be accessed quickly and racks are unsafe for children.
[00:22:46.792 --> 00:22:49.294]  Covert Cabinets are the next level in home defense.
[00:22:49.354 --> 00:22:54.758]  They fit seamlessly into any home's decor and they provide quick access to firearms while keeping them uniquely hidden.
[00:22:54.818 --> 00:22:55.619]  Covert Cabinets.
[00:22:55.699 --> 00:22:57.400]  The ideal hidden storage solution.
[00:22:57.420 --> 00:22:58.821]  Custom made in the USA.
[00:22:58.921 --> 00:23:04.366]  Covert Cabinets are an elegant and practical alternative to the bulky and obvious storage systems of the past.
