[00:00:08.735 --> 00:00:12.277]  Rob Dew here for InfoWars.com and the InfoWars Nightly News.
[00:00:12.917 --> 00:00:18.739]  Last week you may have seen the report Joe Biggs and I did on the Samsung VR technology that they've just released.
[00:00:18.819 --> 00:00:21.861]  It works with the Samsung Galaxy phone, the Gear VR system.
[00:00:22.501 --> 00:00:28.944]  My intention with that was to get people talking about this new VR technology and whether it is a gateway portal into the Matrix.
[00:00:29.404 --> 00:00:35.607]  And I made different analogies to the original Matrix series, plus we showed a clip of Flash Gordon with
[00:00:36.167 --> 00:00:39.868]  The VR set actually infused into the eyes of these agents.
[00:00:40.308 --> 00:00:46.870]  I read some of the comments, people out there claiming that we were working for Samsung and agents of Samsung and all that.
[00:00:47.230 --> 00:00:50.091]  Nothing could be further from the truth with those statements.
[00:00:50.511 --> 00:00:54.612]  But a lot of people really were interested in this technology, pro and con.
[00:00:55.700 --> 00:00:57.381]  So it really did get the conversation started.
[00:00:57.881 --> 00:01:03.644]  I got an email two days ago and it was from somebody that said, hey, you got to watch this Joe Rogan podcast.
[00:01:03.664 --> 00:01:06.186]  He talks about the stuff you were talking about, the VR technology.
[00:01:06.226 --> 00:01:07.706]  So I was listening to it.
[00:01:08.107 --> 00:01:10.508]  Incidentally, he had a transhumanist on there.
[00:01:10.648 --> 00:01:15.310]  This guy is running for the transhumanist presidential party and really interesting stuff.
[00:01:15.651 --> 00:01:22.674]  But when he got to the part about the VR, he relates a conversation one of his friends had with him about going to a recent conference.
[00:01:22.694 --> 00:01:23.615]  And we'll get to that in a second.
[00:01:24.275 --> 00:01:28.320]  My first impression of this VR technology is that it's still in its infancy.
[00:01:29.201 --> 00:01:36.490]  We've just started seeing these headsets come out, but back in the 90s, actually, they started a technology called Virtual Boy, which was starting to capitalize on that.
[00:01:36.530 --> 00:01:40.014]  But unfortunately, you have stuff, you know, the technology was too expensive.
[00:01:40.555 --> 00:01:41.296]  I think.
[00:01:55.697 --> 00:01:56.557]  But what does that mean?
[00:01:57.017 --> 00:01:58.498]  And will that take us into the Matrix?
[00:01:58.538 --> 00:02:06.300]  Well, looking at the technology now, it just doesn't have the resolution that you're going to be looking for to really lose yourself into the world.
[00:02:06.520 --> 00:02:07.660]  It's pretty good, let me tell you.
[00:02:07.680 --> 00:02:11.941]  I was very impressed with just the movie theater setting of the Gear VR system.
[00:02:12.521 --> 00:02:15.762]  But now, they're working on 4K solutions for VR devices.
[00:02:16.122 --> 00:02:16.782]  And what does that mean?
[00:02:16.922 --> 00:02:21.284]  More resolution, which is going to allow you to lose yourself in the environment.
[00:02:21.824 --> 00:02:22.224]  I predict
[00:02:23.103 --> 00:02:30.848]  Within three years, somebody's going to die by having a virtual reality headset on and they're going to forget to eat, go to the bathroom, whatever, and they're going to find them dead with the headset on.
[00:02:31.268 --> 00:02:32.909]  I predict in three years we're going to see that.
[00:02:33.469 --> 00:02:36.051]  I predict in five years, everybody's going to have one.
[00:02:37.352 --> 00:02:38.674]  It's going to be just like a smartphone.
[00:02:38.694 --> 00:02:42.198]  Everybody's going to have their VR headset, although they won't be as big and bulky as you see them now.
[00:02:42.458 --> 00:02:48.946]  Because as that technology gets better, it's going to get smaller, more compact, and more detail, more processing power involved in it.
[00:02:49.147 --> 00:02:54.433]  Case in point, there's an article in paultan.org talking about the new technologies in the automobile industry.
[00:02:54.473 --> 00:02:54.774]  It's called
[00:02:55.094 --> 00:02:59.776]  Innovation for Millions, Ford showcases its technology and highlights Australia's changing role.
[00:03:00.156 --> 00:03:11.842]  Most of the article is just talking about improvements in car technology, basic safety, different types of GPS that they're going to have, which of course they're going to track, track everywhere you go and tax you by the mile, but that's neither here nor there, that's beside the point.
[00:03:11.862 --> 00:03:12.782]  We're talking about VR today.
[00:03:13.342 --> 00:03:22.807]  What's really interesting about this is that Ford is already developing 4K type systems for their engineers to use to actually get in and build virtual cars and look at them and see how they run.
[00:03:23.407 --> 00:03:23.807]  Here it is.
[00:03:24.407 --> 00:03:33.949]  The system employed by Ford uses a virtual reality head-mounted display identical to those used in the animation and gaming industry to provide designers and testers with lifelike experience of virtual vehicles.
[00:03:34.769 --> 00:03:41.111]  With the VR headset in place, users can move through the room in a manner that they can interact with the virtual vehicle the same way they would in real life.
[00:03:41.671 --> 00:03:47.372]  The headset even provided a view into the physical world so the user can see his or her body in relation to the virtual data.
[00:03:47.752 --> 00:03:50.413]  And you can see what it looks like from some of the pictures there in the article.
[00:03:50.673 --> 00:03:52.033]  But here's where it gets more interesting.
[00:03:52.313 --> 00:03:58.939]  Including a move to a new photorealistic virtual reality software, VRED, present a view in ultra high definition.
[00:03:59.179 --> 00:04:00.940]  Four times the resolution of HD.
[00:04:00.980 --> 00:04:04.083]  That's 4K resolution for those of you out there who aren't aware of that.
[00:04:04.563 --> 00:04:09.487]  And offers a high level of detail at which engineers can inspect issues that arise throughout vehicle development.
[00:04:09.807 --> 00:04:11.889]  In use, the system is breathtaking in scope.
[00:04:11.929 --> 00:04:15.993]  There's dimensionality and perspective and level of detail on the view is astounding.
[00:04:16.293 --> 00:04:19.856]  I was amazed to do a walk around of a Mustang well before I eventually saw it in the metal.
[00:04:20.276 --> 00:04:23.680]  Even managing to put my head into the engine block to view the pistons in detail.
[00:04:24.020 --> 00:04:26.102]  Something that would not have been possible in the real world.
[00:04:26.523 --> 00:04:27.864]  Well, in short of a mishap, at least.
[00:04:28.184 --> 00:04:29.646]  And I doubt I get to see that much of the point.
[00:04:30.166 --> 00:04:33.110]  So now, this 4K technology is just starting out in its infancy.
[00:04:33.270 --> 00:04:34.291]  Engineers are using it.
[00:04:34.471 --> 00:04:37.154]  It's just a few years down the line it's going to be in consumers' hands.
[00:04:37.254 --> 00:04:42.860]  And that's when I think you're going to start seeing these people immersing into these lives, into their altered lives online.
[00:04:43.200 --> 00:04:53.789]  In gaming worlds, like World of Warcraft, you can see people using this and just really immersing themselves into technology, laying back, becoming a piece of furniture, essentially.
[00:04:54.069 --> 00:04:56.471]  A virtual reality piece of furniture living in a world.
[00:04:56.952 --> 00:04:59.154]  Now let's get back to that Joe Rogan interview.
[00:04:59.754 --> 00:05:02.997]  Here's Joe describing his friend who went to a virtual reality conference.
[00:05:04.578 --> 00:05:06.179]  When I saw this, I was totally blown away.
[00:05:06.220 --> 00:05:06.560]  Here it is.
[00:05:07.455 --> 00:05:18.978]  We're going to come, there's going to come a point in time where we will be able to create some sort of a virtual life that is absolutely indistinguishable from the life that you and I are experiencing right now.
[00:05:19.598 --> 00:05:22.419]  If that's the case, how do we know we're not already in it?
[00:05:22.799 --> 00:05:24.560]  I'm sure you've messed around with Oculus Rift.
[00:05:25.220 --> 00:05:25.440]  I have.
[00:05:26.121 --> 00:05:27.301]  I haven't tried the new one.
[00:05:28.201 --> 00:05:34.084]  My friend Duncan, he's got the old model and now he has a new model.
[00:05:34.124 --> 00:05:35.525]  He has the developer's kit.
[00:05:36.185 --> 00:05:38.766]  The old one I put on, it was all pixelated and weird.
[00:05:38.947 --> 00:05:41.888]  He went to some sort of a virtual conference that they had in Los Angeles.
[00:05:42.268 --> 00:05:44.930]  And he called me up just ranting and screaming.
[00:05:44.970 --> 00:05:45.991]  It's over man!
[00:05:46.332 --> 00:05:47.893]  This is bigger than the printing press!
[00:05:48.113 --> 00:05:49.374]  This is bigger than the internet!
[00:05:49.594 --> 00:05:50.976]  This is gonna be reality!
[00:05:51.016 --> 00:05:52.657]  And he was just freaking out.
[00:05:52.757 --> 00:05:56.620]  So much so that I'm scared to go and try this this headset on.
[00:05:56.941 --> 00:06:04.407]  But he was talking about going into some virtual room where there's a person playing the piano and you you interact with them and you feel like you're in the room with them.
[00:06:04.887 --> 00:06:15.153]  And he said it was the freakiest thing he's ever experienced in his life because it's all in like 4k HD super like like really really clear video.
[00:06:15.173 --> 00:06:17.754]  A couple other articles I want to mention.
[00:06:17.815 --> 00:06:18.915]  One from VR Focus.
[00:06:19.495 --> 00:06:23.898]  Oculus eye tracking might not work with Rift until 4k displays are utilized.
[00:06:24.218 --> 00:06:26.900]  So they're already talking about 4k too with the Oculus Rift.
[00:06:27.340 --> 00:06:30.762]  So it's not going to be long before they're going to be having eye tracking software installed in that one.
[00:06:30.922 --> 00:06:34.883]  Looking at where you look and how you move, and that's how you're going to control these systems.
[00:06:35.503 --> 00:06:37.944]  Another article asks, why is virtual reality happening now?
[00:06:38.304 --> 00:06:40.685]  People have been talking about this, building devices for years.
[00:06:41.085 --> 00:06:44.226]  Back in the mid-90s, they even mentioned the Virtual Boy back in 95.
[00:06:44.786 --> 00:06:47.787]  Why are they buying the Oculus Rift now in 2015?
[00:06:48.207 --> 00:06:52.209]  Well, because the detail is getting there, and it's getting close to real life.
[00:06:52.569 --> 00:06:58.591]  And with the 3D aspect of it, it's just waiting to invite people into the Matrix.
[00:06:59.251 --> 00:06:59.591]  But I think
[00:07:00.558 --> 00:07:06.002]  Being able to take off the helmet and put it down and walk away from it, that's not what the system wants.
