[00:00:19.884 --> 00:00:22.129]  It's September 23rd, 2015.
[00:00:22.329 --> 00:00:23.632]  I'm Paul Joseph Watson.
[00:00:23.712 --> 00:00:25.897]  This is InfoWars Nightly News.
[00:00:25.937 --> 00:00:28.202]  Let's take a look at what's coming up on the show tonight.
[00:00:31.755 --> 00:00:34.336]  We have a problem in this country.
[00:00:34.356 --> 00:00:35.677]  It's called Muslims.
[00:00:36.097 --> 00:00:38.558]  We know our current president is one.
[00:00:38.779 --> 00:00:40.459]  Come on, is this guy for real?
[00:00:40.720 --> 00:00:42.641]  Or is he an agent provocateur?
[00:00:42.801 --> 00:00:54.847]  The unknown man who recently questioned Donald Trump about Muslims and Barack Obama has been mysteriously featured on left-wing blogs and anti-Tea Party websites for years.
[00:00:55.347 --> 00:01:01.734]  Then, why are police in Germany turning a blind eye to rape victims in refugee camps?
[00:01:02.375 --> 00:01:09.923]  Plus, US-trained Syrian rebels surrender their stockpile of weapons to Muslim extremists on the Turkish border.
[00:01:10.304 --> 00:01:13.467]  And a message from the pot-bellied pedophile network.
[00:01:16.144 --> 00:01:17.786]  Submit to liberalism!
[00:01:18.147 --> 00:01:19.629]  Submit to cleanliness!
[00:01:20.050 --> 00:01:21.532]  Give us full control!
[00:01:30.404 --> 00:01:33.786]  We've reached a critical juncture in the globalist program.
[00:01:34.046 --> 00:01:37.708]  That's why we're launching Operation Money Bomb 2015.
[00:01:38.468 --> 00:01:52.475]  And with the money we raise from this, we will be able to stay on the satellites and get on cable stations across North America, reaching tens of millions of more people right at the time they're receptive and looking for answers.
[00:01:52.755 --> 00:01:56.237]  So join us this September 16th and 17th.
[00:01:56.537 --> 00:01:59.879]  We're charging up, getting ready, and going in!
[00:02:33.157 --> 00:02:40.162]  Top story tonight, German police covering up rapes so as not to legitimise critics of mass migration.
[00:02:40.242 --> 00:02:42.104]  This is a story up on Infowars.com.
[00:02:42.624 --> 00:02:55.134]  Police in Germany are keeping quiet about a spate of rapes targeting children committed by Muslim migrants in and around refugee camps so as not to, quote, legitimise critics of mass migration.
[00:02:55.905 --> 00:02:58.046]  And that's according to local media reports.
[00:02:58.526 --> 00:03:09.789]  The Gatestone Institute, and you can click through on the article to see this full list, has compiled a list of the innumerable rapes committed by predominantly Muslim asylum seekers over the last few months.
[00:03:09.829 --> 00:03:11.050]  And if you go into the article,
[00:03:11.914 --> 00:03:16.317]  Literally about two dozen of these instances just over the last few months.
[00:03:16.837 --> 00:03:24.062]  And one of those cases involved a 13-year-old girl who was raped at a migrant camp in Detmold, a city in West Central Germany.
[00:03:24.702 --> 00:03:35.609]  The girl and her mother originally fled the Middle East to escape from sexual abuse in their home, only to be targeted by an asylum seeker from the same country.
[00:03:36.209 --> 00:03:40.372]  So police, fearing that knowledge of the rape, if this went public,
[00:03:41.172 --> 00:03:44.114]  Could lead to, quote, right-wing demonstrations.
[00:03:44.794 --> 00:03:46.315]  Buried the incident.
[00:03:46.355 --> 00:03:48.717]  They prevented it from going public for three months.
[00:03:49.137 --> 00:03:51.558]  And again, this is just one of dozens of examples.
[00:03:52.079 --> 00:03:55.501]  We have a 14-year-old boy who was raped on a train recently.
[00:03:55.781 --> 00:04:01.985]  There was a 16-year-old girl who was walking home from a train station situated near a migrant camp.
[00:04:02.685 --> 00:04:11.309]  And police in the German Bavarian town of Maring have also warned parents not to allow their children to go outside unaccompanied.
[00:04:11.790 --> 00:04:22.255]  Just as we covered in another town in Germany, the school that told girls not to wear shorts so as to avoid offending migrants and provoking attacks.
[00:04:23.035 --> 00:04:26.598]  So we've got a massive cover-up going on of these rape cases.
[00:04:27.399 --> 00:04:36.867]  At first it seemed like a trickle, but then we realized that the police were not even reporting divulging information about any of these cases until months after the event.
[00:04:37.387 --> 00:04:44.674]  And now we know that's because they fear public backlash, public demonstrations, if they find out.
[00:04:45.234 --> 00:04:55.858]  About these rapes that are happening, not only in the migrant camps, so the victims aren't just Muslim migrants, Muslim children, they're also Germans who live nearby.
[00:04:56.259 --> 00:05:01.741]  So this is impacting everyone in the area and we're seeing in Germany what happened
[00:05:02.401 --> 00:05:12.285]  In the UK, for over 15 years in the town of Rotherham, we had girls trafficked for sexual abuse by these Muslim rape gangs.
[00:05:12.665 --> 00:05:23.929]  But the police, the councillors and the social workers in that area refused to arrest the perpetrators because they were afraid of being called politically incorrect.
[00:05:24.429 --> 00:05:26.690]  So Germany is basically, over the next 5-10 years,
[00:05:27.950 --> 00:05:32.243]  If this migrant invasion continues, they're talking about 800,000 before the end of the year.
[00:05:32.624 --> 00:05:33.567]  Millions after that.
[00:05:34.588 --> 00:05:37.289]  They're going to experience what Sweden has experienced.
[00:05:37.749 --> 00:05:41.229]  Again, Sweden opened its doors to mass migration back in the 70s.
[00:05:41.609 --> 00:05:45.890]  Since that time, a 1,400% increase in rapes.
[00:05:46.430 --> 00:05:53.092]  And the people who complain about that in Sweden are being charged with hate crimes simply for talking about it.
