[00:00:00.049 --> 00:00:02.510]  And don't tell me that I'm a weirdo because I'm upset about this.
[00:00:02.610 --> 00:00:04.731]  I'm just sick of dishonorable trash.
[00:00:04.991 --> 00:00:08.112]  Supreme Cobra Commander!
[00:00:08.172 --> 00:00:08.993]  You're failures!
[00:00:09.033 --> 00:00:11.654]  You think I'd sell my family out like you dirtbag?
[00:00:13.237 --> 00:00:15.798]  This is Jakari Jackson for InfoWars.com.
[00:00:16.118 --> 00:00:17.859]  We're being joined today by Cody Wilson.
[00:00:17.899 --> 00:00:18.759]  You guys know him.
[00:00:18.799 --> 00:00:22.780]  He's bringing us this breaking news update talking about his Ghost Gunner.
[00:00:22.840 --> 00:00:29.163]  Now, you guys recall Cody, he's been at the center of the, I don't know if you want to call it the controversy, of the printable gun phenomenon.
[00:00:29.203 --> 00:00:33.304]  He's produced many firearms, many parts of firearms to go along with this.
[00:00:33.424 --> 00:00:35.065]  Also, he's been known for the dark wallets.
[00:00:35.085 --> 00:00:35.625]  You guys know him.
[00:00:35.985 --> 00:00:37.866]  From that to people who keep up with the Bitcoins.
[00:00:38.266 --> 00:00:49.771]  But today he's going to talk to us about the Ghost Gunner processing and when he tries to ship it out, he's now having some pushback from FedEx when he wants to put out his product.
[00:00:50.071 --> 00:00:59.175]  So Cody, can you start from the beginning and tell us basically how you got to the process of now making the Ghost Gunner and what problems you're having when you're trying to ship it out?
[00:01:00.413 --> 00:01:04.660]  Yeah, thank you by the way, it's a pleasure to be back.
[00:01:04.720 --> 00:01:08.907]  The Ghost Hunter was a joy to engineer and we've spent the last few months
[00:01:09.751 --> 00:01:13.212]  Uh, really engineering out and conducting our manufacturing of the device.
[00:01:13.732 --> 00:01:19.353]  And for the past few months, it seemed clear to me that I had a FedEx freight and FedEx business shipping account.
[00:01:19.713 --> 00:01:25.974]  I would just use FedEx to fulfill the machine when I wanted to ship it to the consumers who purchased the machine so far.
[00:01:26.554 --> 00:01:34.775]  And this is... I did not think this would be controversial, because FedEx caters to the gun industry, has NRA, FedEx Advantage Program, etc.
[00:01:34.795 --> 00:01:38.816]  Uh, and anyway, when I finally solicited them for the ultimate rates,
[00:01:39.522 --> 00:02:08.884]  to do business to consumer for my business they began to demur and they began to make excuses and then ultimately last week they said despite my submitting all the legal work I've done all the clear memorandum and stating how the law was obvious that this is just a tool that people can make to make their guns which is constitutionally protected activity they said because people can use my machine to make firearms they would not ship my machine they would not offer me any rate at all they do not want my business this is a CNC concept a milling machine
[00:02:09.384 --> 00:02:14.746]  Which, notably, is good enough to take an 80% AR-15 lower receiver, take it to 100%.
[00:02:15.366 --> 00:02:19.888]  You can make an AR-15 in the comfort of your own home, un-serialized, without government surveillance.
[00:02:20.208 --> 00:02:23.429]  But you could do a number of other things with it, because it's just a mill at the end of the day.
[00:02:23.709 --> 00:02:24.670]  It is just a tool.
[00:02:25.090 --> 00:02:27.131]  It is just a tool that you can use to make what you want.
[00:02:27.491 --> 00:02:31.372]  Defense Distributed sells it and gives software that you can use to make gun parts with it.
[00:02:31.713 --> 00:02:35.494]  But FedEx is very uncomfortable with the idea that you could use it to do this.
[00:02:35.908 --> 00:02:37.892]  Have you ever had any other type of pushbacks?
[00:02:37.952 --> 00:02:40.617]  I know you've made actual weapons.
[00:02:40.998 --> 00:02:45.366]  I guess you don't ship those around, but have you ever encountered this type of opposition before?
