[00:00:00.814 --> 00:00:03.423]  You're listening to The Alex Jones Show.
[00:00:15.666 --> 00:00:16.306]  Big Brother.
[00:00:16.967 --> 00:00:17.987]  Mainstream media.
[00:00:18.748 --> 00:00:19.828]  Government cover-ups.
[00:00:20.509 --> 00:00:21.309]  You want answers?
[00:00:22.090 --> 00:00:22.990]  Well, so does he.
[00:00:23.631 --> 00:00:27.273]  He's Alex Jones on the GCN Radio Network.
[00:00:27.833 --> 00:00:31.875]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.006 --> 00:00:39.268]  Welcome to the Alex Jones Show on this Monday, October 26, 2015.
[00:00:40.308 --> 00:00:41.749]  I'm David Knight, your host.
[00:00:42.470 --> 00:00:44.451]  We have a host of news.
[00:00:44.972 --> 00:00:49.895]  We have the IRS now having their own Stingray cell phones.
[00:00:50.956 --> 00:00:54.218]  This has been something that's been done by a lot of different agencies.
[00:00:54.699 --> 00:01:00.002]  And of course, whenever they do it, they do it secretly because they don't want the citizens to know about it.
[00:01:00.022 --> 00:01:03.285]  I remember we had a story about a year, year and a half ago,
[00:01:04.369 --> 00:01:09.571]  There was a local police department that had used Stingray to illegally search people without a warrant.
[00:01:09.691 --> 00:01:16.773]  And of course, Stingray is an electronic device whereby they can grab your cell phone location and other information without getting a search warrant.
[00:01:18.193 --> 00:01:19.774]  And they're not supposed to do that.
[00:01:20.154 --> 00:01:24.935]  They had a situation where they had apprehended someone who was involved in alleged theft.
[00:01:24.955 --> 00:01:29.096]  And when he came before the judge, the judge said, well, how did you acquire this information?
[00:01:29.116 --> 00:01:31.257]  And they said, well, we can't tell you, judge.
[00:01:31.277 --> 00:01:33.678]  We have a non-disclosure agreement.
[00:01:34.867 --> 00:01:38.370]  And he said, uh, you don't have a non-disclosure agreement with me.
[00:01:38.391 --> 00:01:40.713]  He said, how did you get this information?
[00:01:41.193 --> 00:01:44.977]  So they huddled together and they said, never mind, we're going to drop the charges.
[00:01:45.457 --> 00:01:51.063]  They've done everything they can to try to hide this illegal snooping using Stingray.
[00:01:51.083 --> 00:01:51.904]  Now we find out...
[00:01:52.404 --> 00:02:01.810]  That the 13th agency, we've had 12 different agencies that have been exposed to be doing this, the 13th agency is now the IRS doing this.
[00:02:01.890 --> 00:02:07.734]  Yes, it is total information awareness, total surveillance by every bureaucracy you can imagine.
[00:02:08.314 --> 00:02:14.058]  All of them arming themselves with weapons, all of them arming themselves with listening devices to spy upon you.
[00:02:14.838 --> 00:02:17.459]  That's the kind of government we're looking at right now.
[00:02:17.499 --> 00:02:20.481]  So we're going to break into what's going on with that.
[00:02:20.521 --> 00:02:28.445]  And of course, just this last week, the end of last week, they passed CISA, the Cyber Security Information Sharing Act.
[00:02:28.465 --> 00:02:30.667]  This is something that is supposed to allow them to
[00:02:32.127 --> 00:02:42.935]  ...provide legal protection for corporations who turn over information to them, because they don't want to give the corporations any excuse to deny turning this information over to them.
[00:02:42.955 --> 00:02:45.577]  So they're going to say, don't worry, you're protected, but you better turn it over.
[00:02:46.437 --> 00:02:53.542]  It's also a way of giving legal protection and legal cover to something that's been going on for quite a while.
[00:02:53.642 --> 00:02:59.647]  We see a lot of tech companies, a lot of them who have been collaborators, quizlings for the surveillance state,
[00:03:00.367 --> 00:03:00.687]  Thank you.
[00:03:18.656 --> 00:03:22.339]  This is how the government has been rolling this out for quite some time.
[00:03:22.619 --> 00:03:32.927]  Saying that the information that the phone company collects, that your internet service provider collects, that anybody that you deal with, anyone that collects any information on you, that's no longer your information.
[00:03:33.428 --> 00:03:34.308]  So turn it over.
[00:03:35.309 --> 00:03:38.412]  Because you don't want us to play rough with you if you're the phone company.
[00:03:38.432 --> 00:03:42.475]  You know, we give you a monopoly, a nice lucrative monopoly.
[00:03:43.029 --> 00:03:47.433]  We're going to look at some minority report pre-crime ways that this information is being used.
[00:03:47.574 --> 00:03:52.218]  If you don't think that it's really going to be used against Americans, understand, of course, it already is.
[00:03:52.819 --> 00:04:05.672]  We just had the IRS given a free rein by the Department of Justice, quote-unquote, this last week, saying that there wasn't any malice with this, there wasn't any political targeting of this.
[00:04:05.712 --> 00:04:06.353]  Of course there was.
[00:04:07.478 --> 00:04:13.163]  If there wasn't any malice or political targeting, it would have been done across the political spectrum.
[00:04:13.543 --> 00:04:14.004]  It wasn't.
[00:04:14.424 --> 00:04:16.606]  It was focused on conservative groups.
[00:04:17.187 --> 00:04:18.568]  And they said, this isn't happening.
[00:04:18.608 --> 00:04:19.769]  Well, it is still going on.
[00:04:19.809 --> 00:04:25.854]  There are still Tea Party organizations that have had their paperwork held up for years.
[00:04:26.015 --> 00:04:28.237]  Many of them have still not gotten that information.
[00:04:28.899 --> 00:04:44.847]  We're also going to cover some information about what's going on with Paul Reino, the person who seems to be the choice for the next Speaker of the House, someone who is going to be able to work with Obama, be acceptable to John Boehner because he's going to give them everything that they want.
[00:04:44.887 --> 00:04:45.888]  We're going to take a look at that.
[00:04:46.208 --> 00:04:52.571]  Also, some news on open borders and what it tells us about the collapsing globalist socialist state.
[00:04:52.671 --> 00:04:53.432]  We'll be right back.
[00:04:53.452 --> 00:04:53.792]  Stay with us.
[00:05:09.588 --> 00:05:11.509]  Kid Daniels, InfoWars.com.
[00:05:11.570 --> 00:05:14.912]  Did you know that half of all Americans make less than $30,000 a year?
[00:05:15.092 --> 00:05:22.538]  New government data also reveals that 40% of Americans are making less than $20,000 annually, which is well below the poverty level for a family of four.
[00:05:22.818 --> 00:05:31.544]  And, according to the Daily Caller, this new data doesn't take into account the 8 million Americans who are unemployed, or the tens of millions of Americans who gave up trying to find a job.
[00:05:31.845 --> 00:05:35.067]  In fact, we're now experiencing the lowest participation rate since 1977.
[00:05:36.348 --> 00:05:40.851]  This means that America's middle class is systematically being destroyed, and this is intentional.
[00:05:41.011 --> 00:05:48.316]  Niccolò Machiavelli, a 16th century pioneer on statescraft, once said that it was in the government's best interest to keep its citizens poor.
[00:05:48.436 --> 00:05:48.836]  But why?
[00:05:49.057 --> 00:06:00.324]  Well, if the middle class disappears, we're going to have a huge income gap in America between the ultra-elite, who hold most of the government power, and the dirt poor, who are too impoverished to stop the expanse of government at the expense of their rights.
[00:06:00.604 --> 00:06:06.068]  Once again, this is Kit Daniels with InfoWars.com and PrisonPlanet.tv, and keep checking back for more reports.
[00:06:09.409 --> 00:06:19.312]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:06:19.532 --> 00:06:25.514]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:06:25.654 --> 00:06:31.276]  They call it their low-profile platform, PVX Muzzle Brakes, proven to help control muzzle rise.
[00:06:32.577 --> 00:06:35.119]  6061 billet material with type 3 hard coating.
[00:06:35.359 --> 00:06:38.642]  Bolt carrier group for .308 and .556 ARs.
[00:06:38.982 --> 00:06:40.243]  Custom Kydex holsters.
[00:06:40.543 --> 00:06:45.227]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:06:45.407 --> 00:06:47.809]  Most competitors material use .060.
[00:06:47.910 --> 00:06:51.092]  Configure yours today at HDfirearms.com.
[00:06:51.312 --> 00:06:53.194]  And my favorite, single stage trigger.
[00:06:53.354 --> 00:06:56.757]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:06:56.977 --> 00:07:00.341]  Find out more at hdfirearms.com today or call 770-485-7015.
[00:07:00.361 --> 00:07:02.504]  That's hdfirearms.com or call 770-485-7015.
[00:07:02.664 --> 00:07:03.004]  Secret 12.
[00:07:03.105 --> 00:07:05.107]  InfoWars Life's Vitamin B12 Formulation.
[00:07:13.417 --> 00:07:19.524]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:07:19.724 --> 00:07:26.711]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
