[00:00:00.131 --> 00:00:00.495]  I'm good.
[00:00:15.407 --> 00:00:16.047]  Big Brother.
[00:00:16.728 --> 00:00:17.749]  Mainstream media.
[00:00:18.489 --> 00:00:19.590]  Government cover-ups.
[00:00:20.250 --> 00:00:21.051]  You want answers?
[00:00:21.831 --> 00:00:22.712]  Well, so does he.
[00:00:23.372 --> 00:00:26.974]  He's Alex Jones on the GCN Radio Network.
[00:00:27.575 --> 00:00:31.677]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.879 --> 00:00:38.342]  Well, I don't usually get butterflies about a guest on the show.
[00:00:39.776 --> 00:00:43.599]  I did get almost heart attack level butterflies when Matt Drudge surprised me.
[00:00:44.380 --> 00:00:52.107]  Let some of the crew knew he was coming a few days before and then just during a one-minute break came into the studio and it's Matt Drudge standing there I don't know four or five weeks ago.
[00:00:53.388 --> 00:00:58.872]  And really around that time I was also starting to work on another big gift and I
[00:01:00.461 --> 00:01:05.706]  Because my show is controversial, it's not just one of the biggest interviews you can get in the world right now.
[00:01:06.446 --> 00:01:10.530]  You add it together with my broadcast, it will be extremely explosive, politically.
[00:01:12.792 --> 00:01:14.213]  It's surreal, quite frankly.
[00:01:14.614 --> 00:01:23.662]  This will be bigger than the Piers Morgan story that was the biggest political blow-up in 2013, according to the LA Times, CNN, and others.
[00:01:23.722 --> 00:01:24.523]  They did big polls.
[00:01:26.761 --> 00:01:27.981]  I never get butterflies.
[00:01:28.041 --> 00:01:29.482]  We're talking maybe every 10 years.
[00:01:29.622 --> 00:01:31.102]  I got them real bad right now.
[00:01:32.362 --> 00:01:39.384]  To the point of I almost don't even want to be on the air right now until it happens.
[00:01:40.224 --> 00:01:48.426]  Because it's like getting the 5,000 pound marlin right up to your boat, but I don't want to say I've got the fish on the line until it's in the boat.
[00:01:50.748 --> 00:01:56.051]  But in about 25 minutes or less, I'll be announcing who is on the show, so I really look forward to it.
[00:01:56.431 --> 00:02:01.134]  And I don't normally spend three hours writing questions like I did last night.
[00:02:03.335 --> 00:02:11.540]  I knew last week this interview was supposedly happening today, but as it neared and as we talked to his people and as all of it got set up, I got pretty excited.
[00:02:13.336 --> 00:02:16.997]  But I'm going to let the Drudge Report tell folks in about 15 minutes who's coming on the show.
[00:02:17.017 --> 00:02:22.719]  Another thing is Skype testing on the road is always a hassle, so that's going on right now as we speak with them.
[00:02:23.239 --> 00:02:32.663]  So I'd rather be in there monkeying around with that to make sure it all happens, because the bigger the interview, the more gremlin snafus tend to get in the way.
[00:02:32.723 --> 00:02:36.364]  But that's not something I'm particularly worried about here today.
