[00:00:00.070 --> 00:00:00.332]  The show.
[00:00:16.089 --> 00:00:20.270]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.930 --> 00:00:21.731]  You want answers?
[00:00:22.511 --> 00:00:23.411]  Well, so does he.
[00:00:24.051 --> 00:00:27.672]  He's Alex Jones on the GCN Radio Network.
[00:00:28.252 --> 00:00:32.293]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.503 --> 00:00:47.805]  Hard to believe it's already Friday, the 23rd day of January 2015.
[00:00:49.465 --> 00:00:51.066]  I'm your host Alex Jones.
[00:00:51.566 --> 00:00:53.387]  We'll be live here for the next three hours.
[00:00:54.647 --> 00:01:02.510]  We don't have any guests today because it's Open Line Friday, the customary tradition of Talk Radio that we occasionally follow.
[00:01:03.230 --> 00:01:11.473]  So we will have open phones today, wide open phones, first-time callers, long-time callers, people that agree, disagree, free for all, any subjects you want to raise.
[00:01:12.423 --> 00:01:18.166]  We've got questions, comments, whatever the case is, the phones will be open throughout the transmission today.
[00:01:18.646 --> 00:01:19.967]  The toll-free number to join us is 800-259-9231.
[00:01:19.987 --> 00:01:20.027]  800-259-9231.
[00:01:20.047 --> 00:01:22.188]  Where to begin with all of this wild news that we have here?
[00:01:35.458 --> 00:01:37.779]  Billionaire lecture surfs in Davos.
[00:01:37.859 --> 00:01:42.481]  Quote, Americans lifestyle expectations are far too high.
[00:01:43.961 --> 00:01:48.703]  Harvard professor at Davos says government mosquito drones will extract your DNA.
[00:01:49.084 --> 00:01:50.384]  Quote, privacy is dead.
[00:01:50.544 --> 00:01:52.245]  Academic tells Davos, elight.
[00:01:54.918 --> 00:01:58.022]  Infowars.com story that's on DrudgeReport.com right now.
[00:01:58.162 --> 00:02:01.727]  Bill Gates pushes Cashless Society at Davos.
[00:02:02.068 --> 00:02:04.050]  That little stack all ties together.
[00:02:04.731 --> 00:02:05.673]  We're going to be getting to that.
[00:02:06.454 --> 00:02:09.277]  Man threatened with six months in jail sentence for owning a windmill.
[00:02:11.409 --> 00:02:15.311]  That ties into all these other reports.
[00:02:15.932 --> 00:02:20.534]  State of Mississippi wants to punish an 88-year-old doctor for treating the poor out of his car.
[00:02:21.255 --> 00:02:23.656]  Boston City employees barred from hating on Olympics.
[00:02:24.016 --> 00:02:26.958]  Mayor sees free speech still an act.
[00:02:27.458 --> 00:02:30.560]  Mayor attempts to silence dissent with authoritarian decree.
[00:02:30.580 --> 00:02:34.182]  That's just some of the news.
[00:02:34.302 --> 00:02:36.924]  Bombings kill 14 soldiers, militiamen in Iraq.
[00:02:38.339 --> 00:02:39.360]  That ties into U.S.
[00:02:39.400 --> 00:02:44.643]  trainers to deploy along with armored vehicles to Ukraine to back up Ukrainian government against the Russkies.
[00:02:45.304 --> 00:02:45.564]  U.S.
[00:02:45.584 --> 00:02:47.545]  fears chaos as government of Yemen falls.
[00:02:48.106 --> 00:02:48.346]  U.S.
[00:02:48.386 --> 00:02:51.368]  and Iraq planning strike to reclaim Mosul from Islamic State.
[00:02:51.388 --> 00:02:57.932]  It's always good to turn your phone off when you get ready to go live on air.
[00:02:58.613 --> 00:02:58.933]  Alex.
[00:03:00.914 --> 00:03:01.915]  Lecturing myself here.
[00:03:03.154 --> 00:03:06.676]  With oligarch justice, powerful pedophiles roam free.
[00:03:07.257 --> 00:03:17.664]  As Barrett Brown returns to jail, he was given 60 plus months in prison for reporting on WikiLeaks, basically.
[00:03:19.105 --> 00:03:22.968]  Under Obama, we have never since the time of Lincoln
[00:03:26.019 --> 00:03:36.146]  seen such a war on the press and by and large mainstream media is still completely sycophantic and lapdog towards Barack Obama.
[00:03:37.327 --> 00:03:38.768]  You can say well Barack Obama's a puppet.
[00:03:38.828 --> 00:03:44.833]  Well regardless he's the quote commander-in-chief and the guy is dismantling what was left of the country.
[00:03:45.993 --> 00:03:54.840]  And then God help us when the Republicans put in Jeb Bush or Chris Christie or somebody they're just going to grease the skids even more.
[00:03:58.058 --> 00:04:06.163]  Speaking of police state, I see so many horrible things police are doing around the country that it makes me cringe.
[00:04:07.124 --> 00:04:09.906]  I don't sit there and go, oh, goody, goody, gumdrop.
[00:04:10.947 --> 00:04:13.268]  I've got something that really makes the police look bad.
[00:04:16.671 --> 00:04:19.993]  Quite frankly, 15, 20 years ago, I did kind of behave like that.
[00:04:21.834 --> 00:04:24.957]  And the reason I talk so much about this is it's the key to everything.
[00:04:25.457 --> 00:04:33.425]  If the public can understand this, if the police can understand this, if I can articulate it, we can wrap our mind around it, a lot of folks do understand it.
[00:04:34.306 --> 00:04:40.031]  But if we can communicate this message, I'm telling you, it could bring down the corrupt system and restore the republic to a great extent.
[00:04:40.491 --> 00:04:46.177]  Doesn't mean we'll be in some panacea utopia, but
[00:04:49.076 --> 00:04:57.325]  I got footage of this UFC fighter pulled over and tased for asking the cops for ID.
[00:04:57.786 --> 00:04:58.847]  But that's not even the issue.
[00:04:58.887 --> 00:05:02.251]  They charge him with assaulting the police and it's all on video.
[00:05:02.271 --> 00:05:02.951]  He didn't touch him.
[00:05:04.553 --> 00:05:07.596]  And in this is the essence of what will make this country collapse.
[00:05:10.071 --> 00:05:13.913]  The average person's life is filled with unexpected challenges.
[00:05:14.673 --> 00:05:20.916]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:05:21.036 --> 00:05:30.079]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:05:30.440 --> 00:05:35.282]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:05:40.097 --> 00:05:43.599]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:43.759 --> 00:05:47.722]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:48.042 --> 00:05:49.503]  Can you put two and two together?
[00:05:49.823 --> 00:05:57.408]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:57.688 --> 00:05:58.529]  But for how long?
