[00:00:07.799 --> 00:00:10.840]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:00:11.260 --> 00:00:15.521]  The anti-vaccine paranoia and hysteria has reached a fevered pitch.
[00:00:16.322 --> 00:00:18.182]  The Nightly News is covered with these stories.
[00:00:18.542 --> 00:00:21.303]  Anywhere on the web you look, even Jon Stewart's covering it.
[00:00:21.663 --> 00:00:26.865]  Everybody is hating after the people who don't want to inject themselves with toxic substances and live viruses.
[00:00:27.765 --> 00:00:37.451]  Even a new Rasmussen National Television survey finds that 83% of American adults are at least somewhat concerned that children who do not receive vaccinations will cause health problems for other children.
[00:00:37.811 --> 00:00:41.774]  That title, as Americans insist, no vaccine, no school.
[00:00:42.334 --> 00:00:42.834]  That's right.
[00:00:42.914 --> 00:00:46.156]  They want to go after anybody who doesn't go with the status quo.
[00:00:46.496 --> 00:00:52.060]  If you're somebody that speaks out, if you're a sheep that strays from the flock, you must be beaten down.
[00:00:52.540 --> 00:00:54.942]  Vaccines are good!
[00:00:55.922 --> 00:01:04.104]  Governments that have been caught doing secret experiments by killing people in mass are trustworthy.
[00:01:04.944 --> 00:01:12.726]  But as we've been covering, there are many instances where we've proven that vaccines are causing the diseases that they're supposed to prevent.
[00:01:13.706 --> 00:01:15.187]  And there's many reasons why that is.
[00:01:15.767 --> 00:01:18.528]  One mainly is that they're injecting live viruses into your system.
[00:01:18.788 --> 00:01:23.349]  Here's an article, studies show that vaccinated individuals spread disease from Globe Newswire.
[00:01:24.471 --> 00:01:26.873]  And one of the statistics in here is shocking.
[00:01:27.293 --> 00:01:29.174]  The vaccine was introduced in 1963.
[00:01:29.254 --> 00:01:37.859]  Between 2005 and 2014, there have been no deaths from measles in the United States and 108 deaths from the MMR vaccine.
[00:01:38.280 --> 00:01:43.423]  So the vaccine has killed more people than the disease that it's trying to protect you from.
[00:01:43.863 --> 00:01:44.163]  Wow.
[00:01:44.684 --> 00:01:54.530]  You got a ton of hype from a childhood disease that just when I was a kid back in the 80s, if somebody got the measles or the chickenpox or the mumps in the neighborhood, we were sent over to that house to get that disease.
[00:01:54.590 --> 00:02:02.396]  In fact, I was able to get it from my brother and sister who had it before me and then stay home from school for two weeks, had a pretty good time.
[00:02:02.936 --> 00:02:04.137]  But no, not anymore.
[00:02:04.217 --> 00:02:05.038]  We can't have that.
[00:02:05.098 --> 00:02:08.980]  We can't have kids getting childhood diseases and then having lifetime immunity from them.
[00:02:09.320 --> 00:02:11.462]  No, we have to inject them with toxic substances.
[00:02:11.502 --> 00:02:12.683]  That is the only way out.
[00:02:13.423 --> 00:02:20.645]  I wonder if the CDC has conducted or facilitated a study comparing vaccinated children with unvaccinated children yet.
[00:02:20.865 --> 00:02:21.425]  Have you done that?
[00:02:22.806 --> 00:02:27.227]  We have not studied vaccinated versus unvaccinated.
[00:02:27.267 --> 00:02:27.647]  Never mind.
[00:02:27.667 --> 00:02:28.387]  Stop there.
[00:02:28.467 --> 00:02:29.828]  That was the meaning of my question.
[00:02:29.848 --> 00:02:30.968]  You wasted two minutes of my time.
[00:02:31.248 --> 00:02:36.349]  So we have lots of hysteria, but not a lot of facts backing it up, especially with this herd immunity.
[00:02:36.870 --> 00:02:40.271]  And here we go on the CDC websites, talking about a 2014 measles outbreak.
[00:02:42.451 --> 00:02:48.496]  Many of the cases in 2014 were associated with cases brought in from the Philippines which experienced a large measles outbreak.
[00:02:48.977 --> 00:02:55.983]  Well, if you go to the Department of Health in the Philippines, it states back in 2012 that they actually eradicated the disease.
[00:02:56.263 --> 00:02:59.505]  They only had 60 cases in 2012 in the entire country.
[00:03:00.086 --> 00:03:01.988]  And they said that means it's been eradicated.
[00:03:02.988 --> 00:03:08.113]  So how does two years later they have a large outbreak that then transfers over to the United States?
[00:03:08.253 --> 00:03:10.515]  It's because the vaccines are causing the disease.
[00:03:11.348 --> 00:03:12.729]  And wait, I'm not through.
[00:03:12.749 --> 00:03:25.560]  And this is out of Eurosurveillance, Volume 18, Issue 49, dated December 5, 2013, titled, Case of Vaccine-Associated Measles, Five Weeks Post-Immunization, British Columbia, Canada, October 2013.
[00:03:26.340 --> 00:03:37.530]  And they actually describe in here a case that's documented at least three different times of a two-year-old baby who got the measles just 37 days after receiving the immunization.
[00:03:38.817 --> 00:03:39.758]  How does that happen?
[00:03:40.118 --> 00:03:44.981]  It happens because they're injecting the live virus into the person and then the person gets the disease.
[00:03:45.301 --> 00:03:54.608]  And you've seen past reports from myself and Alex talking about how in the insert, the package insert, it actually says in three different places it can give you the measles.
[00:03:55.188 --> 00:04:07.774]  We described the case of a vaccine-associated measles in a two-year-old patient from British Columbia, Canada, in October 2013, who received her first dose of measles-containing vaccine 37 days prior to onset of prodermal symptoms.
[00:04:08.474 --> 00:04:14.457]  Identification of this delayed vaccine-associated case occurred in the context of an outbreak investigation of a measles cluster.
[00:04:15.537 --> 00:04:16.998]  And I want to end with this.
[00:04:18.697 --> 00:04:22.158]  This is from the European Journal of Clinical Nutrition, dated in 2003.
