[00:00:00.009 --> 00:00:01.631]  The Alex Jones Show.
[00:00:25.883 --> 00:00:27.164]  Why you don't do your job?
[00:00:27.524 --> 00:00:33.009]  President Obama's questionable sanity is now not just being noticed by mental health professionals.
[00:00:33.529 --> 00:00:36.592]  Some of his behavior seems irrational to me.
[00:00:36.612 --> 00:00:45.899]  It seems beyond that of just a typical narcissistic, arrogant, sort of, I'm a leader of a big country and I feel tyrannical at the moment kind of attitude.
[00:00:45.959 --> 00:00:47.441]  Demonstrating behavior that is
[00:00:47.981 --> 00:00:56.285]  Not only anti-American, but irrational and erratic and perhaps not exactly what we might want to deem sane.
[00:00:56.605 --> 00:01:00.707]  Or political activist and former presidential nominee, Lyndon LaRouche.
[00:01:01.127 --> 00:01:07.630]  If you move this president, Obama, out of office on the basis of his charge that he's insane,
[00:01:08.695 --> 00:01:10.435]  That's under the 25th Amendment Section 4.
[00:01:11.336 --> 00:01:15.696]  He qualifies for expulsion from the presidency on the basis of that.
[00:01:16.177 --> 00:01:18.297]  Or best-selling author and former U.S.
[00:01:18.317 --> 00:01:20.517]  State Department official Steve Pchenik.
[00:01:20.737 --> 00:01:21.158]  Obama.
[00:01:21.418 --> 00:01:37.541]  The minute he talks about his conspiracy theory or silliness or whatever he wants to say, then what happens is it repercusses back to him and it opens up his own narcissistic vulnerability, which is a fancy way of saying, listen, the more you pump yourself up, stupid,
[00:01:38.041 --> 00:01:44.365]  The more you're going to be vulnerable to the American public asking questions of what did you do in Chicago when you were growing up?
[00:01:44.805 --> 00:01:45.826]  While you were married?
[00:01:45.886 --> 00:01:46.987]  Before you were married?
[00:01:47.287 --> 00:01:48.868]  Before you were educated?
[00:01:48.948 --> 00:01:51.169]  What kind of education did you really have?
[00:01:51.469 --> 00:01:58.694]  Let's look at really what you did because the more stupid things you say and you do to the American public, the more vulnerable you become.
[00:01:58.734 --> 00:02:01.876]  And go ask Axelrod, who's not the brightest guy in the world.
[00:02:02.216 --> 00:02:08.240]  And ask your own heads of national intelligence who remain there because they get pensions and they get double pensions.
[00:02:08.280 --> 00:02:14.263]  These are not the same guys from the 90s and 80s who worked for Bush and Reagan who really sacrificed their lives.
[00:02:14.543 --> 00:02:19.586]  These are guys who earned their pensions, remained there, and really have never been in the outside world.
[00:02:19.646 --> 00:02:23.949]  So I want this president to keep on attacking me and you and the American public
[00:02:24.289 --> 00:02:29.453]  To come out with more and more stupidity, because underneath it all, he's not just a liar.
[00:02:29.553 --> 00:02:30.934]  He knows he's a sociopath.
[00:02:31.014 --> 00:02:33.475]  He knows it from the day he was born he's a sociopath.
[00:02:33.695 --> 00:02:37.718]  You don't get to be President of the United States unless you want to manipulate the even lie.
[00:02:37.958 --> 00:02:40.400]  But this is not a man who's basically all that bright.
[00:02:40.840 --> 00:02:43.282]  In the same way Condoleezza was not very bright.
[00:02:43.642 --> 00:02:44.863]  We know Bush Jr.
[00:02:44.923 --> 00:02:45.503]  was stupid.
[00:02:46.004 --> 00:02:48.685]  Clinton was very bright, but he's a bright liar.
[00:02:48.926 --> 00:02:50.707]  This man is not even a bright liar.
[00:02:51.087 --> 00:02:54.870]  But now an entire country has voiced its concern.
[00:02:55.410 --> 00:03:12.562]  John Schindler, a security expert and whistleblower who now writes for the Daily Beast, has claimed that a senior EU official from an undisclosed country also inquired about the impeachment proceedings, saying that the nation believes Obama is not fit for office.
[00:03:12.942 --> 00:03:15.204]  Schindler tweeted out the revelation Monday.
[00:03:15.644 --> 00:03:19.827]  It read, had a senior EU diplomat old friend asked me today,
[00:03:20.527 --> 00:03:21.989]  How does your impeachment work?
[00:03:22.570 --> 00:03:26.374]  My government believes Obama is quite mentally unwell.
[00:03:26.875 --> 00:03:34.423]  In fact, the submissive, domesticated Obama supporters at this point have to be suffering varying degrees of psychosis.
[00:03:34.844 --> 00:03:39.769]  You would have to be delusional to ignore Obama's shrouded upbringing by communist Muslims.
[00:03:40.330 --> 00:03:59.967]  His former identity as Barry Sotero, an Indonesian foreign exchange student with confidential college records that rose to prominence traversing Marxist-Socialist circles catapulted into the political landscape due to funds provided by shadowy foreign backers and New World Order strategist George Soros.
[00:04:00.447 --> 00:04:04.469]  President Obama has now shown almost all of the cards in his hand.
[00:04:04.749 --> 00:04:06.089]  After decimating the U.S.
[00:04:06.149 --> 00:04:08.910]  military, aiding and abetting the assault of the U.S.
[00:04:08.970 --> 00:04:29.558]  Constitution, increasing our national debt, creating a mandatory health care tax to destroy the middle class, engaging in divide-and-conquer leadership, and overseeing the policies and trade deals that serve as a Trojan horse for an emerging, corporacratic, global government, you would have to be mentally ill to oppose prosperity.
[00:04:29.958 --> 00:04:38.624]  Humanity has an unlimited potential, massively overshadowing the potential of the New World Order beast's technocratic eugenics plan.
[00:04:38.944 --> 00:04:43.947]  Our sovereign individual national identities have to be maintained and developed.
[00:04:44.347 --> 00:04:51.492]  It is only through this method of human innovation that all of our greatest and sanest achievements have been obtained.
[00:04:52.072 --> 00:04:54.314]  John Bowne for InfoWars.com
[00:04:55.374 --> 00:04:59.615]  John Bowne deserves a Peabody or something for the reporting he does.
[00:04:59.675 --> 00:05:01.996]  He is just absolutely amazing.
[00:05:03.056 --> 00:05:07.297]  I've got some news so devastating that I can hardly even cover it when we come back.
[00:05:07.437 --> 00:05:07.837]  Seriously.
[00:05:08.178 --> 00:05:13.719]  Indiana Sheriff Brad Rogers made his stance on the Second Amendment clear during a recent interview.
[00:05:14.059 --> 00:05:24.282]  If President Obama today said, I'm creating an executive order that all sheriffs and police chiefs around this nation need to start registering firearms, I will disregard it.
[00:05:24.522 --> 00:05:34.265]  Presidential candidate Jim Webb defended the Second Amendment rights of Americans during the first Democratic debate and he actually called out his fellow politicians on their hypocrisy.
[00:05:34.425 --> 00:05:42.007]  There are people at high levels in this government who have bodyguards 24 hours a day, 7 days a week.
[00:05:42.387 --> 00:05:47.449]  The average American does not have that and deserves the right to be able to protect their family.
[00:05:47.689 --> 00:05:51.970]  And Webb's point echoes recent comments made by media pioneer Matt Drudge.
[00:05:52.430 --> 00:05:53.591]  I challenge Hillary.
[00:05:53.851 --> 00:05:55.353]  Take away your Secret Service.
[00:05:55.653 --> 00:05:56.474]  Dismiss them.
[00:05:56.934 --> 00:05:57.475]  I dare you.
[00:05:57.775 --> 00:05:58.716]  Obama, same thing.
[00:05:58.976 --> 00:06:00.738]  Leave the White House unguarded, Obama.
[00:06:00.758 --> 00:06:02.419]  You know what would happen in 30 seconds?
[00:06:02.960 --> 00:06:04.941]  Both of those people would no longer be on planet Earth.
[00:06:05.242 --> 00:06:07.263]  Read more now at InfoWars.com
[00:06:08.044 --> 00:06:13.047]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:06:13.187 --> 00:06:19.071]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:06:19.311 --> 00:06:23.894]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:24.074 --> 00:06:27.416]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:27.656 --> 00:06:29.237]  No needles, no injections.
[00:06:29.637 --> 00:06:34.760]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:06:37.982 --> 00:06:42.185]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:06:42.365 --> 00:06:46.328]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:06:46.508 --> 00:06:51.291]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:51.451 --> 00:06:55.994]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:56.114 --> 00:06:59.437]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:06:59.597 --> 00:07:02.899]  Now available in our limited first run at Infowarslife.com.
[00:07:03.059 --> 00:07:04.880]  That's Infowarslife.com or call 888-253-3139.
[00:07:07.762 --> 00:07:16.771]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:16.852 --> 00:07:24.960]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:25.260 --> 00:07:29.942]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:30.122 --> 00:07:36.864]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:36.924 --> 00:07:44.007]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:44.087 --> 00:07:50.949]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:51.109 --> 00:07:55.473]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:55.593 --> 00:07:58.856]  Available in original or with our immune support infusion blend.
[00:07:58.996 --> 00:08:05.122]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:05.282 --> 00:08:06.963]  Available at InfoWarsLife.com
[00:08:08.493 --> 00:08:09.053]  We've got it.
[00:08:09.093 --> 00:08:15.555]  This transmission is coming to you.
[00:08:15.635 --> 00:08:17.695]  Waging war on corruption.
[00:08:19.996 --> 00:08:25.717]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
