[00:00:00.069 --> 00:00:00.935]  Spend Liberty Worldwide!
[00:00:15.768 --> 00:00:16.388]  Big Brother.
[00:00:17.069 --> 00:00:18.090]  Mainstream media.
[00:00:18.830 --> 00:00:19.931]  Government cover-ups.
[00:00:20.592 --> 00:00:21.392]  You want answers?
[00:00:22.173 --> 00:00:23.053]  Well, so does he.
[00:00:23.714 --> 00:00:27.356]  He's Alex Jones on the GCN Radio Network.
[00:00:27.917 --> 00:00:32.020]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.822 --> 00:00:40.506]  It's already the 8th day of September, 2015, on this Tuesday Worldwide Broadcast.
[00:00:41.086 --> 00:00:43.248]  Feels like a Monday.
[00:00:43.268 --> 00:00:44.209]  We just had
[00:00:45.313 --> 00:00:47.974]  Labor Day, the International Workers' Communist Day.
[00:00:47.994 --> 00:00:56.416]  The very groups and organizations that always end up impoverishing populations into a North Korean or Cuban-style hell.
[00:00:57.836 --> 00:00:59.496]  But here we are, ladies and gentlemen.
[00:00:59.536 --> 00:01:03.237]  Thank you so much for joining us for this worldwide transmission.
[00:01:03.277 --> 00:01:06.998]  The news is particularly over-the-top.
[00:01:08.356 --> 00:01:17.841]  Coming up later in the broadcast, Paul Watson is going to be joining us to break down his story that's up on DrudgeReport.com.
[00:01:18.582 --> 00:01:34.271]  Muslim refugees chant Allah Akbar F U, attack citizens, throw feces, and they're so socialist and so liberal and so entitled, they believe Europe literally belongs to them and everything is free.
[00:01:34.411 --> 00:01:35.472]  A percentage of these
[00:01:36.452 --> 00:01:36.853]  Immigrants.
[00:01:37.253 --> 00:01:40.755]  And they wear t-shirts we have photos of saying, fear for your wife.
[00:01:42.517 --> 00:01:50.222]  And it is just a... There's an entitlement, but also with these third world populations, let's just face it, massive class envy.
[00:01:51.323 --> 00:02:04.353]  And an idea that wealthy Westerners are there and are the problem in the world because our own media pushes that idea while using our money and our military to go and destabilize the countries these people are from.
[00:02:06.052 --> 00:02:11.557]  And these aren't the hard-working immigrants, many of them, that have come here in the past from the Middle East, Africa, and places.
[00:02:12.338 --> 00:02:15.040]  A lot of these are criminals, people that have changed their names.
[00:02:15.380 --> 00:02:16.121]  That's in the news.
[00:02:16.522 --> 00:02:18.023]  That have gotten fake passports.
[00:02:18.063 --> 00:02:19.564]  There's a huge business doing that.
[00:02:20.285 --> 00:02:26.751]  Pat Buchanan calls it the Islamic invasion of Europe.
[00:02:28.396 --> 00:02:30.538]  And that is exactly what is going on.
[00:02:30.618 --> 00:02:33.421]  This is a planned takedown of the West.
[00:02:33.881 --> 00:02:42.309]  With political correctness, if you're Christian, libertarian, or conservative, you will be arrested for reading the Bible or for following your Christian beliefs.
[00:02:43.010 --> 00:02:50.457]  But if you want to sexually mutilate your daughters and put hoods on their heads and not let them leave the house and chain them up, baby, you're going to be protected.
[00:02:52.366 --> 00:02:56.573]  Because there's a hate of the West in the scientific technocratic elite.
[00:02:56.973 --> 00:03:03.143]  Because it has free will, it has a renaissance in it, and that threatens the new dark age the globalists are bringing in.
[00:03:04.076 --> 00:03:07.520]  They're going to set up the Muslims in the end with the clash of civilizations.
[00:03:07.660 --> 00:03:18.871]  I'm not a quote Islamophobe, but the West has brought in radical leadership out of Saudi Arabia and other nations to take over the Middle East, Central Asia, and much of Africa.
[00:03:18.911 --> 00:03:24.957]  And they are forging Islam, you can debate whether it was before, into a weapon against the West.
[00:03:25.017 --> 00:03:26.819]  And Paul Watson put out an article
[00:03:27.600 --> 00:03:32.963]  You can look this up for yourself, but it's on Real Alex Jones on Twitter, and I think this image should go viral.
[00:03:33.743 --> 00:03:37.805]  Qatar, zero migrants, zero immigrants, zero refugees.
[00:03:38.185 --> 00:03:40.566]  Saudi Arabia, zero, zero.
[00:03:41.067 --> 00:03:42.187]  Bahrain, zero.
[00:03:42.427 --> 00:03:43.388]  Kuwait, zero.
[00:03:43.948 --> 00:03:45.149]  United Arab Emirates, zero.
[00:03:45.349 --> 00:03:47.990]  Oman, zero, zero, zero.
[00:03:48.210 --> 00:03:49.531]  How many Palestinians did they take?
[00:03:49.591 --> 00:03:51.492]  Zero, zero, zero.
[00:03:52.152 --> 00:03:56.915]  Only Germany, only France, only the United Kingdom, only the United States.
[00:03:57.356 --> 00:03:59.777]  It's our job to take the world's poor.
[00:04:00.177 --> 00:04:02.759]  It's our job for people to come here and have their babies for free.
[00:04:03.199 --> 00:04:08.983]  It's our job as a sacrament to give up any original Americana culture.
[00:04:10.344 --> 00:04:15.167]  And to submit, and to kneel, and to do what we're told.
[00:04:17.605 --> 00:04:19.327]  This is the social engineering.
[00:04:19.427 --> 00:04:22.370]  It is here to destroy our families, destroy our culture.
[00:04:23.911 --> 00:04:36.063]  And the minute people realize that poison's been fed to us, and that globalism and multiculturalism is nothing but pure tyranny, the minute we vomit this poison out is the sooner chance we've got of surviving.
[00:04:36.904 --> 00:04:38.185]  We've turned green.
[00:04:38.526 --> 00:04:40.287]  We've got blood coming out of our nose.
[00:04:41.519 --> 00:04:42.240]  Vomit it out!
[00:04:42.400 --> 00:04:44.181]  Stick your fingers down your throat!
[00:04:44.561 --> 00:04:45.202]  Get it out!
[00:04:45.562 --> 00:04:46.883]  Admit you were brainwashed!
[00:04:47.184 --> 00:04:49.906]  Break your conditioning now or all is lost!
[00:04:50.406 --> 00:04:52.168]  World government is officially here.
[00:04:53.028 --> 00:04:55.390]  It's now going to bring us into hell itself.
[00:04:55.871 --> 00:04:58.713]  They're now announcing major roads nationwide to be closed.
[00:04:59.313 --> 00:05:01.035]  The rest of the power plants to be shuttered.
[00:05:01.655 --> 00:05:06.319]  And the militarized police are getting their armored vehicles and preparing for war with gun owners.
[00:05:10.023 --> 00:05:12.105]  Do you know what it means to be an American?
[00:05:12.346 --> 00:05:13.547]  It's more than a flag.
[00:05:13.827 --> 00:05:16.490]  It's more than knowing the star-spangled banner.
[00:05:16.690 --> 00:05:18.072]  It's knowing the Constitution.
[00:05:18.292 --> 00:05:21.155]  It's understanding those rights and fighting for them.
[00:05:21.376 --> 00:05:24.539]  Our country's falling apart because people have forgotten to fight.
[00:05:24.699 --> 00:05:27.863]  To stand up in the face of tyranny and do the right thing.
[00:05:28.183 --> 00:05:33.187]  It's putting your life on the line to protect your country from enemies both foreign and domestic.
[00:05:33.307 --> 00:05:40.954]  The Bill of Rights is what the people are entitled to against every government and no government should refuse or rest on inference.
[00:05:41.494 --> 00:05:46.498]  So the Tree of Liberty must be refreshed from time to time with the blood of patriots and tyrants.
[00:05:47.319 --> 00:05:51.803]  I'm Joe Biggs with Infowars.com, and I believe our flag is more than cloth and ink.
[00:05:52.243 --> 00:05:54.945]  It is a symbol that stands for liberty and freedom.
[00:05:55.305 --> 00:05:59.989]  It is a history of our nation, and it's marked by the blood of those who died defending it.
[00:06:00.469 --> 00:06:02.170]  So join me in this Infowar.
[00:06:02.190 --> 00:06:06.654]  Turn off your TV, put your Cheetos down, get off your butt and join the resistance.
[00:06:09.952 --> 00:06:14.976]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:06:15.096 --> 00:06:20.980]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:06:21.220 --> 00:06:25.784]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:26.004 --> 00:06:29.326]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:29.587 --> 00:06:31.168]  No needles, no injections.
[00:06:31.548 --> 00:06:36.692]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:06:39.854 --> 00:06:44.055]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:06:44.215 --> 00:06:48.176]  Introducing the new InfoWarsLife.com Oil of Oregano formulation.
[00:06:48.376 --> 00:06:53.157]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:53.317 --> 00:06:57.838]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:57.978 --> 00:07:01.298]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:07:01.458 --> 00:07:04.759]  Now available in our limited first run at InfoWarsLife.com.
[00:07:04.899 --> 00:07:06.739]  That's InfoWarsLife.com or call 888-253-3139.
[00:07:09.780 --> 00:07:13.584]  Alex Jones here with a very important news alert for InfoWars listeners.
[00:07:13.864 --> 00:07:24.175]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[00:07:24.335 --> 00:07:27.238]  So prices are going up and it's very hard to secure it.
[00:07:27.398 --> 00:07:36.140]  We have been able to secure a limited supply of the Pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[00:07:36.180 --> 00:07:37.941]  This is the good halogen.
[00:07:38.041 --> 00:07:40.781]  This is the opposite of the bad halogens like fluoride.
[00:07:41.102 --> 00:07:52.885]  Now we at Infowarslife.com are bringing you the only source of clean, pure, 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[00:07:53.105 --> 00:07:54.365]  Watch the informational videos
[00:07:54.585 --> 00:08:00.835]  At Infowarslife.com, discover how transformational pure iodine can be for you and your family.
[00:08:01.036 --> 00:08:01.957]  Folks, this isn't hype.
[00:08:02.098 --> 00:08:05.203]  Read the reviews for yourself at Infowarslife.com or call 888-253-3139.
[00:08:10.199 --> 00:08:10.779]  We've got it.
[00:08:10.819 --> 00:08:17.264]  This transmission is coming to you.
[00:08:17.344 --> 00:08:19.446]  Waging war on corruption.
[00:08:21.267 --> 00:08:31.234]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:31.574 --> 00:08:38.139]  We are coming to you from the ATX zone, deep in the heart of captured Texas FEMA Region 6.
[00:08:41.058 --> 00:08:45.580]  And you know, I come in here with that intro, and it's not hyperbole.
[00:08:46.540 --> 00:08:47.341]  It's not rhetoric.
[00:08:48.101 --> 00:08:50.042]  It's not hype.
[00:08:50.922 --> 00:08:52.743]  I am under a UN treaty.
[00:08:54.083 --> 00:08:55.984]  I am under UNESCO rule.
[00:08:57.225 --> 00:08:58.645]  I am under the Treaty of Rome.
[00:09:00.586 --> 00:09:02.487]  I am under Agenda 21.
[00:09:04.128 --> 00:09:07.790]  Signed by the President in 1992, never ratified by Congress.
[00:09:08.190 --> 00:09:10.891]  They brag at the Club of Rome publicly.
[00:09:11.572 --> 00:09:14.693]  They brag at the Council on Foreign Relations publicly.
[00:09:15.493 --> 00:09:20.556]  They brag at the United Nations in Davos and the Trilateral Commission publicly.
[00:09:21.096 --> 00:09:23.457]  They write scores of books publicly.
[00:09:23.777 --> 00:09:24.878]  Keyword publicly.
[00:09:25.338 --> 00:09:29.260]  Admitting the entire planetary world government plan.
[00:09:32.912 --> 00:09:37.996]  Back in the 70s, Senator Barry Goldwater wrote with no apologies.
[00:09:38.776 --> 00:09:41.038]  I read that book when I was 16 years old.
[00:09:41.558 --> 00:09:44.981]  Every stinking word of it is true.
[00:09:46.062 --> 00:09:48.263]  Every stinking word of it came true.
[00:09:51.085 --> 00:09:53.307]  I don't need to know what's coming or gonna happen.
[00:09:54.468 --> 00:09:58.551]  Our own government, people that were patriots, held it back for decades.
[00:09:59.918 --> 00:10:03.119]  Warned us, won some battles, lost others.
[00:10:05.540 --> 00:10:12.761]  The Globalists are between 10 and 15 years behind in their own words, and so now they are pedal to the metal.
[00:10:12.901 --> 00:10:14.742]  This is the final assault.
[00:10:15.422 --> 00:10:20.884]  They have decided to go, yeah, your kids can't do chores, it's child labor, we'll arrest you.
[00:10:21.224 --> 00:10:23.904]  $4,000 a day fines for any dust in a barn of hay.
[00:10:24.985 --> 00:10:25.745]  You can have no
[00:10:28.902 --> 00:10:30.042]  Classical light bulbs.
[00:10:31.443 --> 00:10:34.703]  You cannot say the word father or mother or boy or girl or he or she.
[00:10:35.823 --> 00:10:38.964]  We will arrest you if you're a county clerk and don't certify a gay marriage.
[00:10:39.944 --> 00:10:48.286]  We're gonna shut down half the roads in Austin, half the roads in Los Angeles, half the roads in New York, half the roads in Minneapolis-St.
[00:10:48.326 --> 00:10:48.666]  Paul.
[00:10:49.166 --> 00:10:50.027]  You're like, no they won't.
[00:10:50.207 --> 00:10:51.027]  It's being announced.
[00:10:51.527 --> 00:10:56.768]  They're in the LA Times today saying, we're gonna shut everything down and teach you to live sustainably.
[00:10:57.927 --> 00:11:01.189]  But what they don't tell you is, it's for control, not to help the Earth.
[00:11:01.429 --> 00:11:07.473]  They're doing the genetic engineering, the Hadron manipulations, and all these things we know, the leaking reactors.
[00:11:07.953 --> 00:11:11.495]  They don't care about the Earth and the real red-level crises.
[00:11:11.715 --> 00:11:14.957]  They're using this as a neo-feudalistic putsch.
[00:11:16.198 --> 00:11:17.619]  A total takeover.
[00:11:19.560 --> 00:11:21.661]  First, they prime us with political correctness.
[00:11:23.902 --> 00:11:26.304]  They go in and destabilize North Africa and the Middle East.
[00:11:27.671 --> 00:11:32.134]  There's a billion people in the Middle East and North Africa and Central Asia.
[00:11:32.555 --> 00:11:33.656]  A billion plus.
[00:11:36.498 --> 00:11:43.283]  And they now are setting it up with the news media and Western-run Al Jazeera, going, how dare the West not accept millions?
[00:11:43.323 --> 00:11:45.004]  How dare they not give you everything free?
[00:11:45.285 --> 00:11:49.148]  With TVs blaring as tens of thousands a day.
[00:11:50.796 --> 00:11:57.457]  Pour into every European country, and they are carjacking the trucks, they are beating people up.
[00:11:57.477 --> 00:11:58.738]  We're going to put this on the Nightly News tonight.
[00:11:58.778 --> 00:12:02.178]  I've shown you on the radio slash TV here, but we're going to produce a whole piece.
[00:12:02.959 --> 00:12:13.861]  Just type into YouTube, migrants or illegals carjack, truckjack, trucks waiting for ferries, buses waiting for ferries.
[00:12:15.080 --> 00:12:25.628]  You can see in Macedonia, or in Czechoslovakia, or in other countries, just human waves of thousands hitting the fences and climbing over.
[00:12:27.810 --> 00:12:41.261]  And then showing up, and then major governments saying, you will pay for these people, you'll pay for their kids, and in Sweden, they're trying to pass a law to make you house them in your house.
[00:12:44.735 --> 00:12:47.897]  But let's put the graphic up that's at RealAlexJones on Twitter.
[00:12:48.038 --> 00:12:51.240]  I want to create a graphic of this and send it out on Facebook and everywhere else.
[00:12:55.203 --> 00:13:10.275]  How many of the quote refugees is Saudi Arabia running the Al-Qaeda and ISIS attacks to destabilize these countries and make them collapse so there are giant migrant waves into which ISIS and Al-Qaeda admit they're infiltrating and hiding?
[00:13:12.679 --> 00:13:28.547]  How many did the country that quarterbacked the whole operation with NATO to destabilize the Middle East, how many migrants, migrants, they call them illegals there, and imprison them, or throw them out, how many precious migrants, how many precious illegal aliens did Saudi Arabia take?
[00:13:28.967 --> 00:13:36.191]  Zip, nada, zero, zero, zero, zero, zero, zero, zero.
[00:13:36.511 --> 00:13:40.353]  And by the way, if you're a new listener, the New York Times had the headline yesterday.
[00:13:40.373 --> 00:13:41.694]  No, it was on Sunday, I covered it.
[00:13:43.576 --> 00:13:46.518]  Saudi Arabia is criticized for not taking refugees.
[00:13:46.598 --> 00:13:50.059]  If you're a new viewer, you're like, there's no way they didn't take anybody.
[00:13:50.359 --> 00:13:50.800]  Oh yes!
[00:13:51.420 --> 00:13:59.584]  They knocked the beehive over, and then they opened our window up and said, fly in here, but they're not taking a single illegal alien.
[00:14:03.006 --> 00:14:04.947]  Now, let's go back to the graphic.
[00:14:05.667 --> 00:14:09.069]  How many people from the next country
[00:14:12.233 --> 00:14:14.354]  How many people did the next country take?
[00:14:16.735 --> 00:14:19.916]  It's up on Twitter, at Real Alex Jones.
[00:14:20.437 --> 00:14:22.798]  Saudi Arabia, zero, zero, zero.
[00:14:23.078 --> 00:14:25.059]  Bahrain, zero, zero, zero.
[00:14:25.339 --> 00:14:27.180]  Qatar, zero, zero, zero.
[00:14:27.440 --> 00:14:29.241]  Kuwait, zero, zero, zero.
[00:14:29.641 --> 00:14:31.482]  UAE, zero, zero, zero.
[00:14:31.802 --> 00:14:33.603]  Oman, zero, zero, zero.
[00:14:34.023 --> 00:14:36.144]  All of them, zero, zero, zero.
[00:14:37.025 --> 00:14:40.068]  We have a link to a video report showing all the articles breaking it down.
[00:14:40.408 --> 00:14:51.737]  But then you've got arrogant, hateful, mainly 20-year-old men, 18 to 25 is the average age, with their fake passports from all over the world, screaming with hatred.
[00:14:51.958 --> 00:15:00.385]  They've been watching Western porn, they've been watching MTV, they've mutated with the bizarre gangster cop-killer culture.
[00:15:00.865 --> 00:15:02.186]  Go to Europe, that's all you see.
[00:15:02.587 --> 00:15:04.848]  They're the majority now in most major cities.
[00:15:05.836 --> 00:15:19.643]  And they openly brag, your wives, your daughters, everything belongs to us, we are conquerors, get out of our way, and Europeans are knocked knee with political correctness and literally fall down and urinate on themselves in front of anyone that says you do it, you're racist.
[00:15:19.943 --> 00:15:32.149]  Germans, Dutch, all of them, French, UK, they are so politically correct, they hit their knees and say, here's everything.
[00:15:35.558 --> 00:15:37.179]  This is a full-on assault.
[00:15:37.379 --> 00:15:39.680]  And you see the same thing here with Latin America.
[00:15:39.860 --> 00:15:40.380]  Opened up.
[00:15:40.900 --> 00:15:41.520]  Flooded in.
[00:15:41.800 --> 00:15:43.601]  Oh, first it's refugee children.
[00:15:44.702 --> 00:15:45.782]  Now it's their families.
[00:15:45.822 --> 00:15:46.862]  Then it's their families.
[00:15:47.243 --> 00:15:52.625]  Everything paid for being housed at Democratic Party homes.
[00:15:53.125 --> 00:15:55.466]  $7,000 per three immigrants they take per month.
[00:15:55.686 --> 00:15:56.826]  They warehouse them in a room.
[00:15:57.106 --> 00:15:58.167]  Give them driver's license.
[00:15:58.407 --> 00:15:59.127]  Start them voting.
[00:15:59.687 --> 00:16:00.648]  Get them on welfare.
[00:16:01.128 --> 00:16:02.449]  Skim part of the welfare.
[00:16:02.469 --> 00:16:03.469]  This is on record.
[00:16:05.213 --> 00:16:07.414]  Because it's a mafia organization, the Democratic Party.
[00:16:07.434 --> 00:16:09.155]  It's like Akron on steroids.
[00:16:09.655 --> 00:16:10.176]  Times ten.
[00:16:11.056 --> 00:16:11.757]  And all their scams.
[00:16:12.017 --> 00:16:13.998]  Hey, I got some underage sex slaves I want to run.
[00:16:14.018 --> 00:16:14.838]  You're going to help?
[00:16:14.858 --> 00:16:15.158]  Of course!
[00:16:15.179 --> 00:16:15.799]  That's what we do!
[00:16:16.799 --> 00:16:17.060]  Really?
[00:16:17.280 --> 00:16:17.740]  Well, here.
[00:16:18.040 --> 00:16:18.861]  Project Veritas.
[00:16:18.881 --> 00:16:20.041]  Let's go to the next facility.
[00:16:20.201 --> 00:16:21.282]  Yeah, we got sex slaves.
[00:16:21.422 --> 00:16:21.742]  Great!
[00:16:21.862 --> 00:16:22.563]  That's what we're into.
[00:16:22.583 --> 00:16:25.684]  Let me tell you how to just keep them in the school, pay the taxes.
[00:16:25.964 --> 00:16:26.705]  You won't have any problem.
[00:16:27.906 --> 00:16:28.226]  Alright.
[00:16:30.447 --> 00:16:31.548]  This is the new system.
[00:16:32.768 --> 00:16:33.789]  This is how it works.
[00:16:35.083 --> 00:16:42.126]  And so they bring the people in, they house them, they get them voting, they get them a job at the meat packing plant or cleaning your house.
[00:16:42.446 --> 00:16:44.627]  They're hard-working people on average trying to flee tyranny.
[00:16:45.807 --> 00:16:49.008]  But then they put them on welfare under multiple IDs.
[00:16:49.328 --> 00:16:50.609]  They get tax refunds.
[00:16:50.989 --> 00:16:56.651]  One house in Austin, I forget, got something like $89 million in tax returns four years ago.
[00:16:56.891 --> 00:16:58.171]  But Atlanta beat Austin.
[00:16:58.372 --> 00:17:00.933]  It was a hundred and something million at one house.
[00:17:01.333 --> 00:17:01.833]  And guess what?
[00:17:01.893 --> 00:17:04.514]  There was no investigation, no charges.
[00:17:05.694 --> 00:17:10.677]  Do you think illegal aliens were really getting hundreds of millions of dollars at houses?
[00:17:11.397 --> 00:17:11.597]  No.
[00:17:12.258 --> 00:17:15.400]  They run it through them as cutouts for the takedown.
