[00:00:19.451 --> 00:00:21.533]  Welcome to tonight's InfoWars Nightly News.
[00:00:21.593 --> 00:00:23.995]  Today is Thursday, April 23rd, 2015.
[00:00:24.156 --> 00:00:26.958]  I'm your host Rob Due and here's a look at what's coming up tonight.
[00:00:32.546 --> 00:00:35.409]  A breakdown of marine riot training.
[00:00:35.949 --> 00:00:40.994]  Then, a childhood classic is ruined in a bid to push vaccines.
[00:00:41.674 --> 00:00:45.237]  And, the world's largest polluter is exposed.
[00:00:45.638 --> 00:00:49.561]  That's next, on the InfoWars Nightly News.
[00:00:50.122 --> 00:00:56.708]  If you really want to get into conspiracy theories, I'm a reptoid clone of John Wayne and Elvis.
[00:01:00.253 --> 00:01:10.197]  Our top story tonight already adds to the heightened concern that a lot of people in America are experiencing now, especially with all this military training that is going on in our backyard, and it's this article from Paul Joseph Watson.
[00:01:10.537 --> 00:01:10.917]  Video.
[00:01:11.177 --> 00:01:13.118]  Marines conduct riot control drill.
[00:01:13.458 --> 00:01:16.279]  Troops repel angry protesters with pepper spray and rifles.
[00:01:16.739 --> 00:01:23.242]  He writes, the video, which shows Marines taking on irate demonstrators with pepper spray, batons, and rifles, will only serve to heighten concerns that the U.S.
[00:01:23.302 --> 00:01:28.764]  Army and federal government are preparing for more civil unrest in America in the aftermath of the Ferguson, Missouri, riots.
[00:01:29.344 --> 00:01:36.308]  The fact that the training exercise has been presented for the consumption of the American public also raises questions as to its intended purpose.
[00:01:36.829 --> 00:01:41.292]  And now we're going to go to the accompanying video report produced by Next News Network's Gary Franchi.
[00:01:41.572 --> 00:01:47.556]  And when we get back, I want to talk about some movies he's produced in the past which show how this has been building up to the point that we're getting to today.
[00:01:47.876 --> 00:01:53.479]  And we're going to have Staff Sergeant Joe Biggs, retired, in here to talk about some other developments that have happened with Jade Helms, so stay tuned.
[00:02:00.865 --> 00:02:02.506]  Breaking news this just in.
[00:02:02.566 --> 00:02:09.670]  We just received a tip about an operational readiness exercise conducted at the Naval Weapons Station in Yorktown, Virginia.
[00:02:10.551 --> 00:02:12.492]  Marines training for riot control.
[00:02:12.512 --> 00:02:12.972]  That's right.
[00:02:13.613 --> 00:02:15.854]  Marines training for riot control.
[00:02:15.874 --> 00:02:22.058]  Per the usual, the exercise was given the cover story of overseas preparation.
[00:02:23.123 --> 00:02:32.445]  Sergeant Andrew S. Wilbur, a non-lethal weapons instructor, said of a similar exercise, quote, Consider they are hypothetically operating within an embassy.
[00:02:33.905 --> 00:02:44.147]  However, as we've been following for weeks, public concerns are running high amidst the recent Fort Lauderdale FEMA camp roundup drills and Ontario, California, martial law training.
[00:02:45.688 --> 00:02:52.009]  Participants in this latest training exercise were the Bravo Fleet Anti-Terrorism Security Team Company.
[00:02:53.638 --> 00:02:58.222]  Oddly, the high production footage you're seeing right now is directly from the Department of Defense.
[00:02:59.603 --> 00:03:03.567]  It is a professional news package intended for the public to see.
[00:03:05.468 --> 00:03:08.311]  So this exercise actually has a two-fold effect.
[00:03:08.411 --> 00:03:19.000]  First, the Marines are training for riot and crowd control on American soil, where Tea Partiers and Constitutionalists are constantly demonized by politicians and the media.
[00:03:20.711 --> 00:03:25.312]  In the event of civil unrest, these same Marines could deploy this training upon Americans.
[00:03:27.292 --> 00:03:34.554]  Second, the media production aspect of this is chilling because it shows they're doing this in full public view.
[00:03:34.814 --> 00:03:36.194]  They want this to be seen.
[00:03:38.215 --> 00:03:38.455]  Why?
[00:03:39.235 --> 00:03:47.357]  Because they want the public to accept Marines, not police, conducting riot control during the coming martial law and societal breakdown.
[00:03:50.370 --> 00:03:56.753]  While training is a common part of military life, these tactics are suspect in context of our other reports.
[00:03:58.194 --> 00:04:04.958]  I implore you to please review the content that is on this channel to gain the full perspective.
[00:04:06.699 --> 00:04:10.941]  And, most importantly, please be prepared for the unknown days that lie ahead.
[00:04:12.862 --> 00:04:15.724]  For the Next News Network, I'm Gary Franchi.
[00:04:16.906 --> 00:04:20.388]  And remember, like, share, and subscribe to our channel.
[00:04:21.489 --> 00:04:24.310]  That is how we bypass the mainstream media.
[00:04:24.911 --> 00:04:25.611]  That is how we grow.
[00:04:46.997 --> 00:04:55.240]  And, uh, but as we've shown time and time before, we've shown plenty of footage of Army and Marines even training here on American soil, National Guard.
[00:04:56.100 --> 00:04:56.800]  It doesn't stop.
[00:04:56.960 --> 00:04:58.261]  The training is continuing here.
[00:04:58.321 --> 00:05:00.322]  They always say you train where you're going to fight.
[00:05:00.682 --> 00:05:09.905]  We've seen the cities over in Virginia at Camp AP Hill, Fort AP Hill, where they actually built a city with American signage and a mosque and a church and a soccer field.
[00:05:10.425 --> 00:05:15.388]  All this stuff is being done for us, and I'd like to call your attention to some videos that we put out a long time ago.
[00:05:16.368 --> 00:05:21.131]  We actually didn't put this one out, but William Lewis, the guy who was narrating the video we just played, put out Camp FEMA.
[00:05:21.471 --> 00:05:23.732]  No, that was, I'm sorry, Gary Franchi with William Lewis.
[00:05:24.032 --> 00:05:27.694]  Put out Camp FEMA, American Lockdown, Enemy of the State, Camp FEMA Part 2.
