[00:00:20.134 --> 00:00:22.237]  Welcome to the InfoWars Nightly News.
[00:00:22.358 --> 00:00:23.279]  I'm Darren McBreen.
[00:00:23.379 --> 00:00:26.384]  It is Thursday, March 5th, 2015.
[00:00:26.664 --> 00:00:28.026]  Here's a quick look at what's coming up.
[00:00:33.726 --> 00:00:39.447]  Israel reportedly seizes Iranian weapons hours after Netanyahu's congressional speech.
[00:00:40.307 --> 00:00:43.208]  And how the mark of the beast is closer than ever.
[00:00:43.928 --> 00:00:47.649]  That's next on the InfoWars Nightly News.
[00:00:48.509 --> 00:00:56.250]  Emissaries, ringwraiths, generals, field marshals of Satan manifesting their planetary wickedness on a giant scale.
[00:00:56.650 --> 00:01:00.691]  Opening the hell gates, preparing to be given their one hour upon the earth.
[00:01:00.931 --> 00:01:17.222]  Less than 24 hours after Israeli Prime Minister Netanyahu gave his speech to Congress, warning us all of the dangers posed by Iran, the Israeli Navy, they say they have captured a shipment of rockets in the Red Sea.
[00:01:17.622 --> 00:01:20.964]  Supposedly it was en route to Gaza and coming from Iran.
[00:01:22.285 --> 00:01:28.830]  IDF spokesman Lieutenant Colonel Peter Lerner said the ship was flying under the Panama flag.
[00:01:29.350 --> 00:01:32.512]  That is the true definition of a false flag right there.
[00:01:32.873 --> 00:01:37.116]  And it contained a shipment of Syrian M302 rockets.
[00:01:37.836 --> 00:01:44.521]  The Israeli military estimates that Hamas has amassed an arsenal of some 10,000 rockets since Israel withdrew from Gaza in 2005.
[00:01:44.741 --> 00:01:48.944]  The newest addition to Hamas' rocket arsenal is the Syrian-made M302,
[00:01:50.438 --> 00:01:50.919]  We're good to go.
[00:02:06.601 --> 00:02:11.244]  Now even though they captured this shipment of rockets, they obviously didn't get them all.
[00:02:11.604 --> 00:02:11.904]  Alright?
[00:02:11.944 --> 00:02:18.147]  I mean, Hamas could still launch rockets from the Gaza Strip into Tel Aviv and even Jerusalem.
[00:02:18.487 --> 00:02:24.911]  And according to the Israeli Navy, Iran is the one supplying Hamas with this arsenal.
[00:02:25.271 --> 00:02:28.453]  So, very dangerous developments indeed.
[00:02:28.893 --> 00:02:33.916]  Now, I was just talking about Netanyahu's speech to Congress the other day.
[00:02:34.276 --> 00:02:38.018]  He wants a regime change in Iran, and he wants the U.S.
[00:02:38.098 --> 00:02:39.118]  to support him.
[00:02:39.419 --> 00:02:47.663]  But don't forget, it was Netanyahu back in 2002 who said if we were to take out Saddam Hussein, who U.S.
[00:02:47.703 --> 00:02:50.825]  intelligence put in power as a puppet dictator, by the way,
[00:02:51.585 --> 00:02:55.549]  If we were to take out Saddam, all would be good and peaceful in Iraq.
[00:02:55.930 --> 00:03:01.156]  He said there would be enormous positive reverberations on the region.
[00:03:01.596 --> 00:03:05.120]  And of course this was echoed by the neocons in the U.S.
[00:03:05.460 --> 00:03:07.562]  and by the Bush administration.
[00:03:08.581 --> 00:03:17.168]  But flash forward to modern day times and what a mess since the capture and execution of Saddam Hussein.
[00:03:17.409 --> 00:03:24.214]  There's been death, chaos, tremendous instability in the region, and worst of all, the emergence
[00:03:25.055 --> 00:03:37.848]  A top member of the jihadist group that the US government and NATO armed and funded in the overthrow of Colonel Gaddafi back in 2011 is now leading ISIS forces in Libya.
[00:03:38.068 --> 00:03:47.418]  Once again, the growth of ISIS can be traced directly back to our government's insane policy of aiding terrorists who went on to join ISIS.
[00:03:48.038 --> 00:03:52.781]  After the destabilisation of the secular governments in Libya and Syria.
[00:03:52.981 --> 00:04:06.728]  Abdel Hakim Belhadj, seen here meeting with Senators John McCain and Lindsey Graham, was the Emir of the Libyan Islamic Fighting Group, LIFG, an organisation affiliated with Al-Qaeda and the Taliban.
[00:04:07.168 --> 00:04:11.570]  Which killed US troops in Iraq and Afghanistan.
[00:04:11.590 --> 00:04:29.096]  In 2011, I wrote a series of articles pointing out that the US and Britain were directly supporting jihadists like Belhadj in an area in Libya which West Point warned was the world capital for Al-Qaeda suicide bomber recruitment.
[00:04:29.357 --> 00:04:32.538]  We were supporting these people to overthrow Gaddafi.
[00:04:33.038 --> 00:04:46.761]  When Tripoli fell, with the aid of British and American cruise missiles, these same terrorists got access to nuclear material, deadly chemicals, and 30,000 shoulder-fired rockets.
[00:04:47.181 --> 00:04:55.563]  After being handed power, these same terrorists flew the Al-Qaeda flag over courthouses in Benghazi, the same flag now being flown by ISIS militants.
[00:04:56.004 --> 00:05:01.705]  They imposed Sharia law, while transforming Libya from a relatively prosperous and thriving nation
[00:05:02.185 --> 00:05:09.251]  into a brutal hellhole run by tribal warlords and jihadists and our governments helped them do it.
[00:05:09.391 --> 00:05:22.943]  Some of these same terrorists were then airlifted into Syria by our allies to join the ranks of jihadist rebels in the effort to topple the Assad government, which of course led to the birth of ISIS in the region.
[00:05:23.644 --> 00:05:24.484]  And even as the U.S.
[00:05:24.544 --> 00:05:31.686]  continues to support so-called moderate rebels in Syria, thousands of them are defecting to the Islamic State.
[00:05:31.866 --> 00:05:44.409]  The Citizens Committee on Benghazi report concluded that the United States was involved in, quote, knowingly facilitating the provision of weapons to known al-Qaeda militias and figures, including Belhaj,
[00:05:44.949 --> 00:05:54.171]  And that if the US, quote, hadn't been helping to arm Al-Qaeda militias throughout Libya, the attack on the US consulate wouldn't have occurred a year later.
[00:05:54.351 --> 00:06:05.133]  The White House armed, funded, militarily aided, and gave political office to the guy now leading ISIS terrorists in Libya.
[00:06:05.433 --> 00:06:09.414]  So we keep hearing this line in the media over and over again.
[00:06:09.834 --> 00:06:11.274]  How do we stop ISIS?
[00:06:11.635 --> 00:06:13.475]  Do we need to send in ground troops?
[00:06:13.755 --> 00:06:14.335]  How about this?
[00:06:14.476 --> 00:06:20.880]  How about you stop arming and funding fucking bloodthirsty terrorists in the first place?
[00:06:21.120 --> 00:06:23.262]  How's that for a novel idea?
[00:06:23.382 --> 00:06:31.828]  How about you stop destabilizing secular governments and replacing them with gangs of jihadist lunatics?
[00:06:32.048 --> 00:06:41.892]  How about we find out why the hell ISIS keeps receiving these accidental airdrops of weapons caches from British and American planes.
[00:06:42.332 --> 00:06:48.975]  ISIS is now threatening to send half a million immigrants from Libya to cause chaos on the streets of Europe.
[00:06:49.255 --> 00:06:54.798]  The Islamic State continues to butcher Christians and Muslims across the region.
[00:06:55.538 --> 00:07:02.802]  And all because our governments supported these subhuman scumbags from the very beginning.
[00:07:02.822 --> 00:07:05.463]  Iraqis have evidence U.S.
[00:07:05.983 --> 00:07:07.584]  arms Islamic State terrorist.
[00:07:08.104 --> 00:07:09.005]  Do we have that clip ready?
[00:07:10.525 --> 00:07:15.988]  Iraqi Prime Minister says he will release documents soon.
[00:07:19.008 --> 00:07:25.251]  The head of the Baatir organization in Iraq told parliament on Thursday he has evidence the U.S.
[00:07:25.291 --> 00:07:31.174]  is arming the Islamic army, according to a report carried by the Arabic language newspaper.
[00:07:33.407 --> 00:07:33.587]  I think?
[00:07:52.112 --> 00:07:53.414]  On at least two occasions, U.S.
[00:07:53.434 --> 00:07:56.877]  military aircraft dropped weapons in areas held by Islamic State.
[00:07:57.438 --> 00:07:59.920]  The Iraqi intelligence sources reiterated the U.S.
[00:07:59.960 --> 00:08:12.473]  military planes have airdropped several aid cargos for ISIL terrorists to help them resist the siege laid by the Iraqi army, security and popular forces Iraqi intelligence claimed in December.
[00:08:12.914 --> 00:08:13.895]  And then it goes into now
[00:08:15.316 --> 00:08:24.688]  The London-based organization Conflict Arrangement Research previously reported that ISIS fighters are using significant quantities of arms, including M16 rifles, marked property of U.S.
[00:08:24.708 --> 00:08:25.008]  government.
[00:08:26.104 --> 00:08:33.248]  In June, Aaron Klein, writing for WorldNet Daily, reported that members of ISIS were trained in 2012 by U.S.
[00:08:33.308 --> 00:08:38.390]  instructors working at a secret base in Jordan, according to information from Jordanian officials.
[00:08:38.790 --> 00:08:51.676]  Kentucky Senator Rand Paul said last year ISIS was able to capture large areas of Iraq due to arms transfers from moderate, so-called, in Syria fighting a proxy war against the government of Bashar al-Assad.
[00:08:52.877 --> 00:08:54.598]  Now, let's just remember here
[00:08:55.885 --> 00:09:05.310]  And again, we have the clip on Infowars.com with the president of Iraq, but it's in Arabic, so you can go watch it if you want to see that Iraqi news report.
