[00:00:00.009 --> 00:00:10.453]  Another world.
[00:00:10.473 --> 00:00:10.974]  Another time.
[00:00:11.034 --> 00:00:12.074]  In the age of wonder.
[00:00:37.414 --> 00:00:41.318]  If you are receiving this transmission, you are the resistance.
[00:00:42.039 --> 00:00:48.046]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:00:49.551 --> 00:00:52.592]  Well, to say I'm chomping at the bit is a understatement.
[00:00:52.612 --> 00:00:54.633]  Missing much of three shows last week.
[00:00:55.054 --> 00:00:58.615]  Dealing with family issues that have now come to a good ending.
[00:00:59.116 --> 00:01:01.697]  So we're glad that's all been taken care of by the grace of God.
[00:01:01.717 --> 00:01:02.617]  Wow!
[00:01:02.737 --> 00:01:03.458]  Where to start?
[00:01:03.478 --> 00:01:06.499]  I mean, it is just overwhelming on so many fronts.
[00:01:06.519 --> 00:01:07.920]  I don't know where to begin.
[00:01:09.040 --> 00:01:13.702]  Later, I'm going to the grocery store and I see this two days ago.
[00:01:14.243 --> 00:01:17.024]  Nature's Best Remedies National Geographic.
[00:01:18.629 --> 00:01:25.995]  They put Kevin Trudeau in prison for writing a book that basically said the same thing as this, and I'm not defending Kevin Trudeau.
[00:01:26.496 --> 00:01:30.779]  I think the guy has serious issues and, you know, said he was at Area 51 with space aliens.
[00:01:32.741 --> 00:01:34.662]  I mean, I've got problems with him.
[00:01:35.123 --> 00:01:44.871]  I don't think he should be in prison, though, for writing a book, that's what he was convicted of, about natural remedies and cures they don't want you to know about was the name.
[00:01:45.976 --> 00:01:48.198]  Nature's Best Remedies, National Geographic.
[00:01:48.499 --> 00:01:52.602]  So I bought it, and it's like a boil-down.
[00:01:54.344 --> 00:02:03.053]  It's like a 129-page, yup, 129-page redux boil-down of Kevin Feudal's book.
[00:02:03.073 --> 00:02:05.215]  So are we going to arrest National Geographic?
[00:02:06.195 --> 00:02:12.237]  And I just tweeted out the new issue of the official National Geographic.
[00:02:12.558 --> 00:02:16.779]  This is one of those little books that Time Live and others put out, similar.
[00:02:16.819 --> 00:02:23.102]  You know, they're at the tabloid stand on certain issues, like the ten faces of Jesus, or ten disasters.
[00:02:23.122 --> 00:02:24.302]  I mean, we've all seen them.
[00:02:25.323 --> 00:02:26.403]  Or JFK.
[00:02:27.023 --> 00:02:27.643]  Stuff like that.
[00:02:28.064 --> 00:02:33.666]  Well, now they've put out a new one where they talk about the war on science.
[00:02:35.401 --> 00:02:37.623]  And they say climate change does not exist.
[00:02:37.723 --> 00:02:39.524]  Evolution never happened.
[00:02:40.025 --> 00:02:41.726]  The moon landing was fake.
[00:02:42.227 --> 00:02:44.188]  Vaccinations can lead to autism.
[00:02:44.689 --> 00:02:46.671]  Genetically modified food is evil.
[00:02:47.411 --> 00:02:49.313]  And they mix truth with lies there.
[00:02:50.396 --> 00:02:54.697]  So, this just illustrates how there's people within any organization.
[00:02:55.057 --> 00:02:57.358]  They know there's a market for herbs and vitamins.
[00:02:57.638 --> 00:03:07.841]  They know the science is there and they go over the science of the studies in this about all the things it can do for you and how many drugs have been derived from herbs and fruit extracts and things like that.
[00:03:08.921 --> 00:03:09.802]  Even trace minerals.
[00:03:11.002 --> 00:03:13.843]  But then separately they're putting out something evil on the other side.
[00:03:15.686 --> 00:03:20.730]  that is basically demonizing anyone that questions official narratives.
[00:03:20.770 --> 00:03:23.773]  So, that's coming up in the last 30 minutes.
[00:03:23.813 --> 00:03:42.989]  We're talking about the collapse of confidence in the system and it ties into this when Anthony Gucciardi, one of our InfoWars.com writers, and the head of Natural Society as well, wrote a story for InfoWars.com titled, it's official, McDonald's and Monsanto are both losing money fast.
[00:03:43.189 --> 00:03:44.230]  That's a close quote.
[00:03:45.071 --> 00:03:48.517]  Public awakens to what's really in their food.
[00:03:49.218 --> 00:03:53.145]  And I'm going to tell you, if Monsanto and McDonald's fall, the whole thing falls.
[00:03:53.185 --> 00:03:55.710]  They are canaries in the globalist coal mine.
[00:03:56.636 --> 00:04:02.020]  They are tip of the spear in the New World Order dehumanization soft kill operation.
[00:04:02.761 --> 00:04:03.901]  And we're going to be going over that.
[00:04:04.882 --> 00:04:11.987]  And because the system can't win the info war against us, there's a big article out today out of Reason Magazine, the government's war on freedom of the press.
[00:04:12.007 --> 00:04:14.369]  We're going to get into that all the last 30 minutes today.
[00:04:14.950 --> 00:04:18.652]  These three stacks of news in this magazine article.
[00:04:18.993 --> 00:04:21.995]  We're going to break that down when Anthony Gucciardi joins us in studio.
[00:04:23.331 --> 00:04:26.114]  Everybody knows I'm not a big fan of Rudolph Giuliani.
[00:04:26.154 --> 00:04:28.036]  He's pro-open border, anti-gun.
[00:04:29.138 --> 00:04:31.320]  He's about as Republican as Arnold Schwarzenegger is.
[00:04:31.801 --> 00:04:33.222]  Also open border, anti-gun.
[00:04:34.203 --> 00:04:34.784]  Pro-abortion!
[00:04:37.026 --> 00:04:38.768]  I mean, everybody attacks him because he's a drag queen.
[00:04:38.808 --> 00:04:39.950]  I don't see that as a big issue.
[00:04:41.741 --> 00:04:44.742]  But now, I saw CNN and a bunch of other headlines this weekend.
[00:04:44.963 --> 00:04:46.143]  The end of Giuliani!
[00:04:46.183 --> 00:04:47.344]  The fall of Giuliani!
[00:04:47.624 --> 00:04:48.744]  No longer America's mayor!
[00:04:49.145 --> 00:04:52.526]  All because he came out and said Obama hates this country, which is true.
[00:04:53.226 --> 00:04:55.207]  Now Scott Walker's come out and basically said that.
[00:04:55.227 --> 00:04:56.768]  Says he's not even sure he's a Christian.
[00:04:57.468 --> 00:05:00.190]  Remember the Obama truce squads in the first election in 2008?
[00:05:00.230 --> 00:05:03.211]  They said they'd arrest you in Missouri if you said you might not be a Christian?
[00:05:03.952 --> 00:05:04.992]  I mean, that's pure tyranny.
[00:05:05.012 --> 00:05:06.353]  We'll be back with this and a lot more.
[00:05:06.433 --> 00:05:06.833]  Stay with us.
[00:05:09.535 --> 00:05:15.322]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:05:15.642 --> 00:05:19.947]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:05:20.248 --> 00:05:27.957]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:05:28.177 --> 00:05:33.402]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:05:33.702 --> 00:05:39.287]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:05:39.667 --> 00:05:44.491]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:05:44.611 --> 00:05:48.214]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:05:48.555 --> 00:05:54.780]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:05:55.140 --> 00:06:00.146]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:06:00.306 --> 00:06:03.910]  Now available in our limited first run at Infowarslife.com.
[00:06:04.030 --> 00:06:05.932]  That's Infowarslife.com or call 888-253-3139.
[00:06:10.101 --> 00:06:20.213]  Massachusetts proposing legislation that would allow police to forcefully quarantine residents and even impose martial law without a warrant.
[00:06:20.493 --> 00:06:22.395]  We have to keep geoengineering on the table.
[00:06:22.435 --> 00:06:27.221]  We have to look at it very carefully because we might get desperate enough to want to use it.
[00:06:27.581 --> 00:06:31.084]  I really feel like running around the street, jumping in front of cars, trying to warn people.
[00:06:31.144 --> 00:06:34.287]  Mercury-containing vaccines may help, not harm kids.
[00:06:34.467 --> 00:06:35.348]  Vaccines!
[00:06:36.088 --> 00:06:36.789]  Good!
[00:06:37.249 --> 00:06:47.538]  It's like the 1950s Body Snatcher, where at the end he's running out of the town, and he gets out on the highway and runs up the back of an army truck, and there's more of the pods, and he's like, oh my gosh, they're everywhere!
[00:06:47.778 --> 00:06:48.939]  You've got to warn everyone!
[00:06:49.239 --> 00:06:50.320]  I mean, that's how I feel.
[00:06:50.660 --> 00:06:58.465]  He can authorize non-healthcare licensed personnel, read that to mean police, to vaccinate people against their will.
[00:06:58.746 --> 00:07:04.349]  Why on earth would so-called conservative talk show host cover up the FEMA camps and do hit pieces on us saying it isn't true?
[00:07:05.470 --> 00:07:12.115]  Why on earth would Brian Williams be for Obamacare when he knows full well it's got death panels, was written by insurance companies, is a giant screw job?
[00:07:13.155 --> 00:07:18.119]  Why on God's green earth would we be starting a war with Russia right now?
[00:07:19.440 --> 00:07:20.245]  And be the bad guys.
[00:07:21.292 --> 00:07:21.612]  Why?
[00:07:21.632 --> 00:07:24.113]  I mean, somebody's gotta get hysterical here.
[00:07:24.513 --> 00:07:25.594]  I really am freaked out.
[00:07:25.854 --> 00:07:27.114]  I really have seen the tyranny.
[00:07:27.454 --> 00:07:29.375]  I really have learned to not trust the system.
[00:07:29.795 --> 00:07:32.596]  And I know it's getting worse, because I've grown up seeing.
[00:07:33.216 --> 00:07:37.738]  And so I am running around, freaking out, trying to warn people as best I can.
[00:07:38.118 --> 00:07:41.999]  They say they're another species, they're super sapien, they're gonna get rid of us.
[00:07:42.259 --> 00:07:44.500]  They've already decided they're taking over, okay?
[00:07:44.780 --> 00:07:46.361]  This is like a war we've never seen.
[00:07:46.621 --> 00:07:49.762]  It's a cultural, scientific, rewrite, takeover.
[00:07:50.462 --> 00:07:51.522]  And so we gotta warn people!
[00:07:51.863 --> 00:07:56.624]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:02.806 --> 00:08:07.028]  It's Alex Jones on the GCN Radio Network.
[00:08:07.448 --> 00:08:09.709]  We are coming to you live on this
[00:08:16.544 --> 00:08:19.947]  2-22, the 22nd day of February 2015.
[00:08:21.329 --> 00:08:23.551]  I'm your host Alex Jones.
[00:08:23.591 --> 00:08:31.619]  We'll be here until 6 o'clock Central Standard Time and of course re-aired on affiliates across the country back in less than 24 hours at 11 a.m.
[00:08:31.679 --> 00:08:32.120]  Central.
[00:08:32.480 --> 00:08:36.444]  That's 12 noon Eastern for the big weekday broadcast.
[00:08:36.584 --> 00:08:36.785]  Okay.
[00:08:38.100 --> 00:08:45.788]  Let me just read to you the stacks here and see if I can go through just the 15 or so stacks I've got so you know what's coming up today.
[00:08:46.549 --> 00:08:50.393]  Al Shabab threatens malls, including some in the U.S.
[00:08:51.414 --> 00:08:56.820]  Head of Homeland Security warns the public says be vigilant.
[00:08:57.440 --> 00:08:58.301]  USA Today.
[00:08:59.298 --> 00:09:04.341]  Minneapolis officer wounded in an apparent targeted attack of police.
[00:09:04.401 --> 00:09:05.622]  Just killed him because he was a cop.
[00:09:06.842 --> 00:09:09.364]  You notice that's been funded by the White House, that whole movement.
[00:09:11.725 --> 00:09:13.526]  That's just some of the news on that front.
[00:09:13.646 --> 00:09:17.588]  Giuliani to 1010 WINS.
[00:09:17.728 --> 00:09:23.352]  Obama's lack of patriotism come from his upbringing and as a critic of the US.
[00:09:24.457 --> 00:09:28.458]  Says that he could basically be a communist and he doesn't, quote, love America.
[00:09:28.958 --> 00:09:30.279]  That's out of politico.
[00:09:30.379 --> 00:09:32.919]  Incredible rhetoric, which is actually accurate.
[00:09:33.640 --> 00:09:37.861]  Scott Walker in the Washington Post says, I don't know whether Obama is a Christian.
[00:09:40.482 --> 00:09:42.362]  And here's that actual headline out of the Metro.
[00:09:42.822 --> 00:09:45.103]  Obama's influenced by communists since youth.
[00:09:45.143 --> 00:09:46.163]  Well, that's just true.
[00:09:46.183 --> 00:09:49.904]  Giuliani stands by Obama comments.
[00:09:52.990 --> 00:10:01.234]  It's unprecedented to see that out of Rulof Giuliani, who has been anti-gun, pro-open border, and is basically a rhino, Republican in name only.
[00:10:01.694 --> 00:10:09.678]  Why would he be coming out with such hardcore rhetoric if he isn't going to run for president, knowing he would be fully attacked for telling the truth?
[00:10:09.698 --> 00:10:11.599]  Because you can say what you want about Giuliani.
[00:10:12.409 --> 00:10:13.730]  What he's saying is the truth.
[00:10:14.351 --> 00:10:21.599]  And I mean, I suddenly just saw it all over the front page of Yahoo, CNN, it was in my email, it was just everywhere.
[00:10:21.879 --> 00:10:23.340]  The fall of America's mayor!
[00:10:23.541 --> 00:10:24.802]  The end of Giuliani!
[00:10:25.082 --> 00:10:25.843]  These are the headlines.
[00:10:26.484 --> 00:10:27.345]  It's over for him!
[00:10:29.172 --> 00:10:35.016]  Well, I don't think when dinosaur media sits there and says it's over for somebody, that doesn't work anymore.
[00:10:35.356 --> 00:10:38.098]  In fact, I predict Giuliani will only get more popular.
[00:10:38.798 --> 00:10:45.963]  He's pretty much become obscure and we'll now, we'll see a resurgence of Giuliani on the talk circuit.
[00:10:46.463 --> 00:10:51.306]  He does these big talks, paid talks around the country at these different self-help events with Colin Powell and others.
[00:10:51.827 --> 00:10:56.990]  I predict his stock's gonna go up because, look, Brian Williams is a canary in the coal mine.
[00:10:59.266 --> 00:11:07.270]  And when Brian Williams gets forced out of NBC and ultimately ends up losing his job, which I predict they'll announce in six months, he's gone.
[00:11:07.290 --> 00:11:10.432]  It's just a face-saving maneuver to say he's suspended for six months.
[00:11:11.693 --> 00:11:17.476]  This is just another signpost in the death of the dinosaur media and the death of its credibility.
[00:11:18.657 --> 00:11:27.822]  And so when mainstream media announces, like NBC and CNN and MSNBC have all announced, the end of somebody for daring to speak bad of Der Fuhrer,
[00:11:30.666 --> 00:11:35.749]  It's only going to blow up in their faces because they have no credibility.
[00:11:38.131 --> 00:11:44.254]  Speaking of no credibility, the Oscars record low profits for Hollywood in 2014.
[00:11:45.375 --> 00:11:46.956]  Of course, tonight is the stupid Oscars.
[00:11:47.897 --> 00:11:51.039]  Our critic predicted the big Oscar wins and surprises.
[00:11:51.499 --> 00:11:52.820]  That's out of the New York Post.
[00:11:54.710 --> 00:11:58.413]  What's in the Oscar nominee's gift bag?
[00:11:58.433 --> 00:12:00.775]  $125,000 in swag.
[00:12:01.155 --> 00:12:02.597]  Yes, I'm sure, just what they need.
[00:12:02.817 --> 00:12:08.261]  This is all from the so-called leftist, almost to a man or woman that say, redistribute wealth, take gun owners' guns.
[00:12:09.002 --> 00:12:13.065]  But they're all for Obama having 25, 30, 100 bodyguards at one time, conservatively.
[00:12:13.426 --> 00:12:15.147]  But you can't have bodyguards when they do.
[00:12:15.848 --> 00:12:20.512]  Out of AFP, Oscar protest planned over all white nominees.
[00:12:21.499 --> 00:12:25.504]  The African American Civil Rights Group plans to protest outside Sunday's Oscars.
[00:12:25.804 --> 00:12:28.387]  That's right, any white person winning is a sign of racism.
[00:12:28.747 --> 00:12:35.255]  This is the total political correctness brainwashing where we don't know how to read or write or do anything, but we know how to obsess over race all day.
[00:12:38.032 --> 00:12:39.253]  So that's just some of the silliness.
[00:12:39.273 --> 00:12:41.534]  We're going to look at that propaganda coming up.
[00:12:41.595 --> 00:12:44.316]  I'm not going to the news in the order of most important.
[00:12:44.336 --> 00:12:46.098]  I'm just letting you know some of what's coming up.
[00:12:46.638 --> 00:12:48.299]  Let's go to some of the most important news.
[00:12:48.680 --> 00:12:55.084]  Fresh nuclear leak detected at Fukushima plant, where five of the six plants, including a plutonium-based
[00:12:56.804 --> 00:12:58.685]  Mox Reactor blew up?
[00:12:59.345 --> 00:13:02.426]  Well, now it's openly leaking and melting down again.
[00:13:02.446 --> 00:13:08.808]  Again, French News Agency reports, sensors at the Fukushima nuclear plant have detected a fresh leak of highly radioactive water to the sea.
[00:13:09.148 --> 00:13:13.470]  The plant's operator announced today, highlighting difficulties in decommissioning the crippled plant.
[00:13:14.830 --> 00:13:16.571]  Tokyo Electric had more to say.
[00:13:17.011 --> 00:13:18.512]  They've been whitewashing it big time.
[00:13:18.532 --> 00:13:19.452]  We're going to go over that.
[00:13:19.792 --> 00:13:24.794]  Meanwhile, Sunday Express reports UK nuclear sites warned over drone terror attack.
[00:13:25.811 --> 00:13:26.772]  We're gonna look at that story.
[00:13:28.393 --> 00:13:41.061]  Shifting gears and what I see as the biggest threat, three parents, three parent babies could risk the future of the human race, is the headline out of the UK Daily Express.
[00:13:41.081 --> 00:13:44.863]  That's right, the UK legalized last year three baby parents.
[00:13:46.844 --> 00:13:49.406]  Now these will not even be humans, ladies and gentlemen.
[00:13:50.407 --> 00:13:52.048]  And as infertility increases,
[00:13:53.220 --> 00:13:55.623]  You're going to have to go in and basically get a designer baby.
[00:13:55.964 --> 00:13:58.587]  And then with these systems, they can build Trojan horses in.
[00:13:59.168 --> 00:14:03.974]  On record, they can decide certain trays to leave in, certain trays to take out.
[00:14:04.275 --> 00:14:07.078]  I'm going to break that down coming up today as well.
