[00:00:00.009 --> 00:00:02.892]  Infowarslife.com or call 888-253-3139.
[00:00:04.854 --> 00:00:08.717]  You are watching the Infowars Nightly News, which airs 7pm central.
[00:00:15.495 --> 00:00:16.135]  Big Brother.
[00:00:16.796 --> 00:00:17.816]  Mainstream media.
[00:00:18.557 --> 00:00:19.658]  Government cover-ups.
[00:00:20.318 --> 00:00:21.118]  You want answers?
[00:00:21.899 --> 00:00:22.799]  Well, so does he.
[00:00:23.440 --> 00:00:27.062]  He's Alex Jones on the GCN Radio Network.
[00:00:27.642 --> 00:00:31.685]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.852 --> 00:00:35.573]  Welcome to the Alex Jones Show.
[00:00:35.754 --> 00:00:42.799]  I'm Anthony Gucciardi filling in for Wing Commander Alex Jones on this Friday, September 4th, 2015 broadcast.
[00:00:43.459 --> 00:00:46.582]  Coming up in the next segment, Alex joins us with a key video.
[00:00:46.882 --> 00:00:51.846]  He's going to respond also in this show to Louis Farrakhan's calls to start killing people.
[00:00:52.406 --> 00:00:58.431]  But specifically, he's got a video breakdown coming up in the next segment that is absolutely essential to watch.
[00:00:58.991 --> 00:01:03.896]  Also, I know you miss Alex, but this show is absolutely jam-packed with exclusive key news.
[00:01:04.216 --> 00:01:14.226]  We're going to break down the newest segments of Black Lives Matter, calling to kill cops, the newest attacks on the police, and also we're going to get into some real news, not just distractions.
[00:01:14.927 --> 00:01:19.551]  Headlines that we have today include, Iran commander, we're getting prepared to overthrow Israel.
[00:01:20.532 --> 00:01:37.516]  Migrant smuggling in Europe is now worth billions, and from Infowars.com we have a massive, massive stack of absolutely ludicrous news here, such as shock video, man dies in jail lobby after encounter with sheriff's deputies, U.S.
[00:01:37.576 --> 00:01:41.257]  military ordering troops in Iraq to dust off chemical weapons suits,
[00:01:42.162 --> 00:01:51.246]  New York Clerk's Office will issue marriage licenses Friday without the clerk and a lot of other news including some economic news and the economic collapse.
[00:01:51.866 --> 00:01:52.826]  We're also going to get into Trump.
[00:01:52.846 --> 00:02:04.671]  We're going to take your calls and we have a very special guest, Dr. Mercola, the largest natural health website in the world, Mercola.com, and we're going to speak with the March Against Monsanto founder on a little bit of a short update.
[00:02:05.291 --> 00:02:15.173]  And we're really going to get into key things that you can do, solutions economically, whether it's health or going along the lines of this breakdown in the economic system.
[00:02:16.273 --> 00:02:18.294]  For example, we have this from CNS News.
[00:02:18.474 --> 00:02:22.595]  Record 94,031 Americans not in labor force.
[00:02:22.655 --> 00:02:28.096]  Participation rate stuck at 38-year low for third straight months.
[00:02:29.708 --> 00:02:31.049]  S&P hovers near correction.
[00:02:31.109 --> 00:02:33.432]  Dow plunges triple digits after jobs.
[00:02:34.212 --> 00:02:36.835]  Greenspan, the Fed can't solve every problem.
[00:02:37.275 --> 00:02:39.517]  Of course not, they actually create all of the problems.
[00:02:39.838 --> 00:02:40.258]  And U.S.
[00:02:40.278 --> 00:02:41.860]  job growth slows.
[00:02:41.940 --> 00:02:43.041]  Unemployment rate falls to 5.1%.
[00:02:44.887 --> 00:02:58.000]  Obviously we are in a state, no matter how you look at it, where there is so much corruption and so much deception and so much collapse in all areas that it seems, it seems as if there's nothing we can do about it.
[00:02:58.801 --> 00:03:05.828]  But the truth of the matter is, and so many people talk about, oh, I want positivity, I want solutions and all this, the best way is to cover these issues.
[00:03:06.368 --> 00:03:08.550]  That's what this show is so powerful in doing.
[00:03:09.111 --> 00:03:12.975]  And like I said, Alex is coming up next segment to cover a lot of these different issues.
[00:03:13.015 --> 00:03:14.797]  He has a key breakdown, actually just shot it.
[00:03:15.778 --> 00:03:24.347]  And it all ties in with the idea that if we can really highlight this information, we can do something about it.
[00:03:25.179 --> 00:03:33.708]  I also want to hear later on today your calls on Trump because the newest attack on Trump is that he's apparently fumbling questions on terrorist leaders.
[00:03:34.008 --> 00:03:41.336]  We have the breakdown of the interview here in which he is asked about some of the Al-Qaeda type operatives and he doesn't know their name.
[00:03:41.556 --> 00:03:41.916]  Oh my!
[00:03:42.950 --> 00:03:51.619]  And he kind of says, well, you know, it's not that big of a deal because there's new Al Qaeda operatives all the time, and by the time I'm president, it'll probably be an entirely different set of individuals.
[00:03:52.380 --> 00:04:00.208]  But apparently, the liberal media thinks that him not knowing some names of these operatives is the biggest attack yet, as they call it.
[00:04:00.228 --> 00:04:01.730]  So we're going to get into that.
[00:04:01.770 --> 00:04:02.831]  We're also going to talk about
[00:04:03.772 --> 00:04:06.933]  In some new ways, we found whether or not Trump is the real deal.
[00:04:07.913 --> 00:04:13.235]  Today on this broadcast, I think what it ultimately comes down to is sifting through the distractions.
[00:04:13.475 --> 00:04:25.019]  I mean, we have these Black Lives Matter individuals, you know, the phony ones, saying that it's time to kill cops, and obviously it's happening, shooting cops at the gas station for pretty much no reason at all other than to kill someone.
[00:04:25.519 --> 00:04:28.960]  So we're going to go ahead and break down all that information, talk about
[00:04:30.031 --> 00:04:49.453]  The true Black Lives Matter quote-unquote true Black Lives Matter protesters versus the ones that just want to incite this type of violence and how I think we can really solve that problem based on the analysis of numerous experts because today we have headline MPD officer confronted by crowd hunched police say and in this article they talk about
[00:04:49.733 --> 00:04:50.954]  It's time to go on the offensive.
[00:04:51.014 --> 00:04:52.075]  It's time to kill cops.
[00:04:52.175 --> 00:04:53.876]  It's time for mass chaos.
[00:04:54.396 --> 00:04:57.299]  So we will be back in the next segment with Alex Jones.
[00:04:57.319 --> 00:05:00.661]  He has a key video and he's going to also talk about some of these subjects.
[00:05:00.841 --> 00:05:03.903]  And today we have his message to Louis Barracon.
[00:05:03.943 --> 00:05:04.404]  Stay tuned.
