[00:00:00.149 --> 00:00:00.852]  Yeah.
[00:00:16.209 --> 00:00:16.849]  Big Brother.
[00:00:17.510 --> 00:00:18.531]  Mainstream media.
[00:00:19.291 --> 00:00:20.372]  Government cover-ups.
[00:00:21.033 --> 00:00:21.853]  You want answers?
[00:00:22.634 --> 00:00:23.514]  Well, so does he.
[00:00:24.195 --> 00:00:27.817]  He's Alex Jones on the GCN Radio Network.
[00:00:28.378 --> 00:00:32.421]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.494 --> 00:00:38.255]  Friday, November 27th.
[00:00:38.435 --> 00:00:40.376]  This is the Alex Jones Show live.
[00:00:40.436 --> 00:00:42.117]  We will be live for the next three hours.
[00:00:42.137 --> 00:00:43.917]  I'll be your host, Paul Joseph Watson.
[00:00:44.398 --> 00:00:48.880]  And of course, Black Friday madness has descended upon America.
[00:00:49.020 --> 00:01:00.205]  We're going to show you some of the much-expected brawling and rioting over Darth Vader toasters and vegetable steamers that we're seeing in malls and stores across America today.
[00:01:01.052 --> 00:01:03.014]  We're also going to be taking your calls at 800-259-9231.
[00:01:03.054 --> 00:01:07.458]  That's 800-259-9231.
[00:01:08.018 --> 00:01:12.862]  Two guests lined up as well, and these will be extremely interesting interviews.
[00:01:13.383 --> 00:01:14.844]  First up, Christopher Murphy.
[00:01:15.345 --> 00:01:21.970]  This is the lawyer for Gregory Allen Elliott, who is the artist from Toronto, and we've talked about this story before.
[00:01:22.751 --> 00:01:28.255]  Who faces six months in prison for disagreeing with feminists on Twitter.
[00:01:28.575 --> 00:01:30.276]  That was the sum of his crime.
[00:01:30.696 --> 00:01:32.838]  His life has been completely ruined.
[00:01:33.158 --> 00:01:37.481]  He's desperately trying to raise money to pay this $100,000 court bill.
[00:01:38.361 --> 00:01:45.306]  And this has got huge implications for free speech, not just in Canada, but on the internet in general for everyone.
[00:01:45.466 --> 00:01:52.031]  They're trying to create the precedent where harassing a feminist, which in their mind is disagreeing with them,
[00:01:52.971 --> 00:01:57.975]  Is a form of harassment that you can be put away for for six months, so that's going to be a huge interview.
[00:01:58.855 --> 00:02:03.859]  Also CJ Pearson, you've probably seen him in the media before over the past few months.
[00:02:03.899 --> 00:02:13.726]  This is the black teen conservative activist who has already been making waves with his vehement criticism of President Obama and Black Lives Matter.
[00:02:14.406 --> 00:02:17.428]  He's had a plethora of viral videos.
[00:02:17.448 --> 00:02:29.797]  He's been attacked directly by White House aides because they can't pigeonhole him into these politically correct boxes because he's a young black conservative and he doesn't go along with Black Lives Matter.
[00:02:29.817 --> 00:02:32.919]  So it's going to be interesting to get his take on affairs.
[00:02:33.820 --> 00:02:35.261]  Absolute ton of news, of course.
[00:02:35.281 --> 00:02:39.644]  We're going to delve into the geopolitical stuff with a shoot down of the Russian fighter jet.
[00:02:40.524 --> 00:02:42.566]  But first up, we're going to talk about Black Friday.
[00:02:43.479 --> 00:03:01.265]  Because it seems to be declining in influence, which is a good thing, and yet still within hours of it beginning, and in fact beforehand yesterday, these videos were pouring out on the internet of people beating each other up over gods that they don't need and they can't afford anyway.
[00:03:02.065 --> 00:03:07.046]  And in fact, one of the top stories on Drudge Report right now is an InfoWars.com article.
[00:03:07.066 --> 00:03:08.807]  I'm going to play this video after the break.
[00:03:09.247 --> 00:03:09.987]  Black Friday!
[00:03:10.027 --> 00:03:12.188]  Americans brawl over vegetable steamers.
[00:03:12.688 --> 00:03:20.079]  Now what's interesting about this video, which isn't the case with the other videos that are embedded on this page, some people are saying that this is fake.
[00:03:20.760 --> 00:03:27.089]  So now the desire, the lust to get a viral video, to get it featured on a show like, you know, Jimmy Kimmel or whatever...
[00:03:28.070 --> 00:03:36.798]  Is so vehement that people seem to be now staging the Black Friday brawl videos and this is the one that's gone viral so we're going to look into it.
[00:03:37.199 --> 00:03:48.149]  Also again a ton of others that are not staged and feature basically people punching the hell out of each other to get access to these cheap slave goods made in China that they don't need and can't afford.
[00:03:48.789 --> 00:03:51.111]  But there's a whole psychology behind Black Friday.
[00:03:52.032 --> 00:03:58.357]  It's not just about getting the deals, because as we will delve into, Black Friday is a complete scam.
[00:03:58.777 --> 00:04:08.084]  The retailers raise their prices in the months before Black Friday to then, in comparison, make the Black Friday deal seem like a bargain.
[00:04:08.664 --> 00:04:10.705]  Seem like a discount, a great deal.
[00:04:11.285 --> 00:04:12.626]  It's a complete scam.
[00:04:12.986 --> 00:04:14.886]  So why do people still do it?
[00:04:15.247 --> 00:04:22.930]  Why do they brave these aggressive mob crowds to try and get their hands on these products which don't even offer much of a discount?
[00:04:23.510 --> 00:04:28.832]  And there's a psychological, well there's a couple of psychological reasons behind it which we will touch upon.
[00:04:29.983 --> 00:04:44.071]  Yesterday Donald Trump came out and tweeted InfoWars and the Liberals, the regressive progressives, went into a complete meltdown based on the very fact that he merely tweeted out a link to InfoWars.com.
[00:04:44.111 --> 00:04:51.935]  He then quoted yours truly and the butthurt crybaby meltdown amongst the Liberals continued and of course that surrounded
[00:04:52.635 --> 00:05:02.810]  A couple of controversies that have been swirling around Donald Trump this week regarding so-called Muslims celebrating 9-11 and of course his treatment of this disabled reporter.
[00:05:02.850 --> 00:05:05.153]  We'll get back on it after the break.
[00:05:05.173 --> 00:05:06.816]  This is the Alex Jones Show Live.
[00:05:06.836 --> 00:05:07.377]  Stay tuned.
[00:05:10.345 --> 00:05:12.946]  All you pro-vaccine people should rejoice at this news.
[00:05:13.286 --> 00:05:18.589]  Anti-vaccine parents to stop receiving child care benefits under Australian no-jab-no-pay law.
[00:05:18.769 --> 00:05:26.592]  The new changes that will take effect on January 1st, 2016 are projected to save the Australian government over 500 million dollars over four years.
[00:05:27.012 --> 00:05:29.553]  And how many children are not receiving their vaccines?
[00:05:29.753 --> 00:05:33.916]  According to the Australian Childhood Immunization Register, it's 1.77%.
[00:05:35.176 --> 00:05:38.358]  I thought all you needed was 90% to have herd immunity.
[00:05:38.598 --> 00:05:44.681]  The government believes that by removing the non-medical exemption, it will reinforce the importance of immunization and protecting public health.
[00:05:44.801 --> 00:05:49.023]  But what this is really about is the government wants to put anything in your body that they want.
[00:05:49.264 --> 00:05:51.285]  And they want to make sure you bend over and take it.
[00:05:51.525 --> 00:05:55.927]  A footnote in the article is that by 2020, childless couples will overtake those with children.
[00:05:56.187 --> 00:05:59.470]  Now I know where the next Muslim migrant invasion is going to take place.
[00:05:59.651 --> 00:06:03.114]  Rob Dew reporting for InfoWars Nightly News and InfoWars.com.
[00:06:03.234 --> 00:06:08.239]  Be sure you check out some of our great specials this week, running all week in the InfoWarsStore.com.
[00:06:08.379 --> 00:06:09.060]  Thanks for watching.
[00:06:10.066 --> 00:06:13.268]  When cells become toxic, they die early and aging sets in.
[00:06:13.568 --> 00:06:21.573]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:21.813 --> 00:06:26.836]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:27.236 --> 00:06:29.518]  You want the best that's out there at the lowest price anywhere?
[00:06:29.758 --> 00:06:31.559]  We now have the synergistic solution.
[00:06:31.879 --> 00:06:36.061]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:06:40.026 --> 00:06:41.247]  Attention Info Warriors!
[00:06:41.487 --> 00:06:49.233]  InfoWarsStore.com is launching store-wide free shipping for this Black Friday week only and launching deep discounts across the board on top-selling products.
[00:06:49.533 --> 00:06:53.596]  Find big discounts on Alexa Pure Pro water filters and much more.
[00:06:53.916 --> 00:07:01.001]  33% off DNA Force, 30% off Rain Force, the lowest prices on storable foods and many other deals on top of store-wide free shipping.
[00:07:01.121 --> 00:07:04.784]  Visit InfoWarsStore.com today and get free shipping for this week only.
[00:07:04.924 --> 00:07:06.665]  That's InfoWarsStore.com or 888-253-3139.
[00:07:10.552 --> 00:07:13.514]  A clean, toxic-free body is the foundation of true health.
[00:07:13.814 --> 00:07:23.460]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:23.760 --> 00:07:28.983]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:07:29.083 --> 00:07:37.948]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:07:38.248 --> 00:07:46.874]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:47.115 --> 00:07:54.080]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:07:54.220 --> 00:07:59.544]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[00:07:59.824 --> 00:08:05.354]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:08:05.534 --> 00:08:07.497]  That's Infowarslife.com or call 888-253-3139.
[00:08:22.578 --> 00:08:25.583]  Crashing through the lies and disinformation.
